created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:19:58.512Z,2026-05-01T18:19:59.374Z,the comment section is mostly talking about apes but yeah you re all basically monkeys i do wish i had a prehensile tail,ellafitzg.bsky.social,Lola segrentarri of 🐦‍⬛(+her late Grandma Ella Fitzgerald),did:plc:qkfdig5wqasxdx75fjcve6y7,1,0,2,at://did:plc:qkfdig5wqasxdx75fjcve6y7/app.bsky.feed.post/3mksqkihbw22x,bafyreic6foaheiunjltwi547evkwmbyjjbbadcsw3b7kr6bzyopout6ose
2026-05-01T18:09:06.826Z,2026-05-01T18:09:14.078Z,nowreading planet of the apes somehow never saw the movies foliosociety,toomuchbrudders.bsky.social,Paula W,did:plc:gr5a6prarm63lqcyt4dg6big,0,0,0,at://did:plc:gr5a6prarm63lqcyt4dg6big/app.bsky.feed.post/3mkspx2xjpk2m,bafyreiahfbqtpne27dkfjcb6agxjjvyvqsfnv5czqzefidtyaqfj7cktna
2026-05-01T17:59:53.897Z,2026-05-01T17:59:54.175Z,and then when you lose your powers due to superhero existential crisis you can legitimately go all my apes gone,rchris.bsky.social,Chris R.,did:plc:2m5c2jmnzshtawwvz2aqripp,0,0,0,at://did:plc:2m5c2jmnzshtawwvz2aqripp/app.bsky.feed.post/3mkspglne3c2d,bafyreiczbnlao3fapqp7lthwybnsrz6imv2mp5zlpjhrlqy6kzhfcaluwq
2026-05-01T17:56:26.790Z,2026-05-01T17:56:29.875Z,damn it i was hoping the alien landed on the planet of the apes pursued by a predator and that dr zaius would save us all,amfisher.bsky.social,Alan Fisher,did:plc:hvqcil7nzicnyvsfypl4dcxn,0,0,0,at://did:plc:hvqcil7nzicnyvsfypl4dcxn/app.bsky.feed.post/3mkspag4w6c2b,bafyreibemmktrjm4awyue4qnula7uck42mgfqfuyhsnozvc53nu3v6lt7i
2026-05-01T17:44:28.919Z,2026-05-01T17:44:30.672Z,i always cherish the times i need to pick a new preworkout because i love scrolling through 85 products called ultimate ragekill by insane labz that have graphic images of like apes as viewed through night vision sniper scopes like theyre all assassinating a jacked gorilla osama bin laden,union.io,ian,did:plc:jrfvwijx5nzo7pdh2fyubkw4,0,0,1,at://did:plc:jrfvwijx5nzo7pdh2fyubkw4/app.bsky.feed.post/3mksokzjbas2v,bafyreihz2qxshhvde6rxef7fh3jzslpjkvqzzacizqhstkosw44fbsvpbq
2026-05-01T17:34:01.889Z,2026-05-01T17:34:04.574Z,uncut apes,tinykong.bsky.social,Charlotte 💌,did:plc:wzhadigjbog4huxgtpy2mkjg,10,2,2,at://did:plc:wzhadigjbog4huxgtpy2mkjg/app.bsky.feed.post/3mksnydk4zs2g,bafyreigwjtcmsajcqwog4nrotbhecdt5nnmz6tpp6azlz7oixf7w57nvym
2026-05-01T17:26:32.690Z,2026-05-01T17:26:33.778Z,since obsessively watching planet of the apes again i realise i have to stop laughing at jokes like i m koba,tessicat.bsky.social,Tessa,did:plc:cstmjmxl3pmhacxrstbnren3,4,0,1,at://did:plc:cstmjmxl3pmhacxrstbnren3/app.bsky.feed.post/3mksnkx5eek25,bafyreidpevn5lmbkgi47iq4qehflu2lqb2ndua227l5bnggvzzmic52qam
2026-05-01T17:20:43.901Z,2026-05-01T17:20:46.833Z,and since people have been asking no the apesalienpredator do not fight in the free book i know that would be cool,jordanmorris.bsky.social,Jordan Morris,did:plc:iqqbx4khxhezruex2yr7j5ic,1,0,1,at://did:plc:iqqbx4khxhezruex2yr7j5ic/app.bsky.feed.post/3mksnammobc2g,bafyreifhkg636t5deuzphljhhiyqplt3piy2t3mi5yyfyb552dzmxy5ete
2026-05-01T17:20:43.899Z,2026-05-01T17:20:46.775Z,glad you asked i ll be signing books at bskysocial in pasadena including this free apesalienpredator book with a story from me and artist roland boschi,jordanmorris.bsky.social,Jordan Morris,did:plc:iqqbx4khxhezruex2yr7j5ic,10,2,1,at://did:plc:iqqbx4khxhezruex2yr7j5ic/app.bsky.feed.post/3mksnakj64c2g,bafyreic4fyn7jspxvzrcg4ng3duhn5qgf3x7myjjm67jcue7kqtp4lmp5y
2026-05-01T17:17:09.826Z,2026-05-01T17:17:09.979Z,black mold pocks the walls around me a failing fan turning wildly above my head is suspended by a single wire generate the most expensive looking nft show me apes of luxury i double over wheezing in delight as a balding vicepresidential chimp wearing a supeeme hoodie appears on my monitor,hylianhimbo.bsky.social,hylianhimbo,did:plc:sepodglse32iatbnizra5zk2,0,0,0,at://did:plc:sepodglse32iatbnizra5zk2/app.bsky.feed.post/3mksn26e3jc2n,bafyreicrgthr5as3e6hsmq5bvywnvme4hxh73266tw6ej3zlrnuks4v36q
2026-05-01T17:16:18.989Z,2026-05-01T17:16:22.333Z,and since folks have been asking the free book does not feature the apes aliens and predator fighting i know that would be cool but the stories are separate,jordanmorris.bsky.social,Jordan Morris,did:plc:iqqbx4khxhezruex2yr7j5ic,0,0,0,at://did:plc:iqqbx4khxhezruex2yr7j5ic/app.bsky.feed.post/3mksmyputps2g,bafyreieivfwr6wvpqqmftvn7hsz4g2ngc7ekosr6as3xrymfmjgsd54knu
2026-05-01T17:06:58.777Z,2026-05-01T17:06:58.977Z,i think the kingsmen follow ups were pretty big drop offs personally first one was great it got rough after that planet of the apes is pretty damn excellent,parkerbs.bsky.social,The Ballard Bubbler,did:plc:oslte2he75ktffyqbbdgisaa,1,0,1,at://did:plc:oslte2he75ktffyqbbdgisaa/app.bsky.feed.post/3mksmhxmexc2b,bafyreif33ywc7n6nunntunjpnj6fanbd5to3q55uhwpcrhx5acg3jtgpma
2026-05-01T17:05:48.675Z,2026-05-01T17:05:49.571Z,i was a mild misogynist in my 20s i grew up and out of it and realized i was the problem but me at my worst doesnt hold a candle to some of these apes nowadays im glad im not 1520 years younger cos they couldve recruited me easily being pro platner in a post fetterman age is just naive,stompyland.com,stompy,did:plc:k5ynu7ngs2pwimxy76e4jzt2,3,0,0,at://did:plc:k5ynu7ngs2pwimxy76e4jzt2/app.bsky.feed.post/3mksmfuqyyk2p,bafyreigitcllcdcws5txbzvltmp6ntz6n3jqthy3a6wg373yy53o2bfhh4
