created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T19:00:21.387Z,2026-05-01T19:00:21.873Z,i owe beta testers my life one of my puzzles literally gives the player misinformation because i don t know what numbers are lmaooooooooo also many typos many many typos oh boy,qzproductions.bsky.social,QZ Productions,did:plc:3r467gdovo2ge4o5mbhd5ihl,0,0,0,at://did:plc:3r467gdovo2ge4o5mbhd5ihl/app.bsky.feed.post/3mksssp3jsk22,bafyreibsxux7pfnljwe3scnp2dhlzd7zzwuhu5s7de5r5ppc467vfwuif4
2026-05-01T19:00:13.582Z,2026-05-01T19:00:13.776Z,new paper gaseous forms of 76ge 82se 96zr 100mo 124sn and 130te new avenues to future 0nubetabeta time projection chambers link,arxiv-nucl-ex.bsky.social,Nuclear experiment,did:plc:hstlmjpi2wbha6iws7d2pgf3,0,0,0,at://did:plc:hstlmjpi2wbha6iws7d2pgf3/app.bsky.feed.post/3mkssshpwja2o,bafyreidd54efhrbgfbft276lrcllp5costgarm52g6vm5zrgesdvvmdpwy
2026-05-01T18:56:07.737Z,2026-05-01T18:56:33.879Z,i ve officially gotten the kids done and i am hoping that breaking them into pairs will help with the image quality beta trolls are next homestuck alphakids betakids,jackalopean.bsky.social,Jackalopean,did:plc:gziub2lvaqmhi5zllfm7wou4,1,2,0,at://did:plc:gziub2lvaqmhi5zllfm7wou4/app.bsky.feed.post/3mkssl56yk22k,bafyreiesthnarrcmxxj2pzob42t4i7ftebctd5sduuppqucy5i3sbnb4g4
2026-05-01T18:55:24.110Z,2026-05-01T18:55:24.072Z,looking for betacp for anna an 85k ya speculative novel an impoverished teenager accidentally swaps bodies with a famous singer in a world where beauty really is all that matters romantic subplot ai overlady dystopia near future soft scifi abcpit,deborahholmes.bsky.social,Deborah (fondly known as Chaos On Legs),did:plc:ov5uqzwlsv2urgshnuyug6pd,0,0,0,at://did:plc:ov5uqzwlsv2urgshnuyug6pd/app.bsky.feed.post/3mkssjtlj4k2v,bafyreiaal433ivop573hdubv6fzijx47cflzzpmvipcjnhvzf5cg75xwji
2026-05-01T18:55:20.761Z,2026-05-01T18:55:22.374Z,the beta band dry the rain taken from the champion versions ep regal 1997 musicsky betaband championversions youtube6xkvbroumnk,marsdenmouse.bsky.social,Tom Robinson,did:plc:hq5dlhvrl3qwwxnl4ntao4bh,2,0,0,at://did:plc:hq5dlhvrl3qwwxnl4ntao4bh/app.bsky.feed.post/3mkssjqffk22g,bafyreiavqqkxtulchn5pkwhv5t2nm3mcan5omumwafcbyb7a6xrrco6com
2026-05-01T18:54:48.970Z,2026-05-01T18:54:50.674Z,patiently waiting for penum glamourer and c to return now that dalamud is out of beta i need to see fornax and ryss for my wellbeing,verysmallcyborg.bsky.social,Fornax 🔥 «The Battleforged»,did:plc:wn7lbapi2arlp7w7xcaqs3wr,8,0,3,at://did:plc:wn7lbapi2arlp7w7xcaqs3wr/app.bsky.feed.post/3mkssis2xtc26,bafyreibzgyodwlhotn5qu4kpv4g772335nkgp4umfjl3f5shcrwoiqc2zy
2026-05-01T18:54:20.060Z,2026-05-01T18:54:21.373Z,happy 5 years to this fic clothes swap m omegadazaibetakunikida this is such a sweet soft fic dazai doesnt want to announce his pregnancy yet but his clothes are too tight so kunikida dresses him in his shirt and waistcoat instead archiveofourownorgworks31028420,darke-faerie.bsky.social,Faerie,did:plc:gzzfveanceppoes5o3pvrgls,0,0,0,at://did:plc:gzzfveanceppoes5o3pvrgls/app.bsky.feed.post/3mksshwiqf226,bafyreibmmiyh2z5wwaqqw2morqmbwrd7n5ak3imyztl7vimszvzfob73wm
2026-05-01T18:54:15.959Z,2026-05-01T18:54:16.675Z,beta cuck is more like it,digitalpenguin.bsky.social,,did:plc:czohsdooxftonwaim5ax4c6f,1,0,0,at://did:plc:czohsdooxftonwaim5ax4c6f/app.bsky.feed.post/3mksshslkjk22,bafyreib7wkzeivkhx25uhybe3h62oishu4q6vdkxm4d6res4xltmatui3i
2026-05-01T18:52:54.220Z,2026-05-01T18:52:55.273Z,ive no proof and also no doubt that penumbra dev has started delaying updates to his stuff even in testing post patches so people would stop using dalamud beta manually injecting etc for them lmao,domitorsbane.bsky.social,Khanter,did:plc:l67sn6qv47alukvkyaquhwbm,0,0,0,at://did:plc:l67sn6qv47alukvkyaquhwbm/app.bsky.feed.post/3mkssfen3bs2n,bafyreiajgqddut4gs6va5m4zofs5niun5r6fbhxz56ttbioil3a4waqbnm
2026-05-01T18:48:40.784Z,2026-05-01T18:48:41.474Z,without ib i need to check that actually but im sure theres some natural gattlings that arent gapless the safe on block reversals are funny though especially combined with this if theyre still around after beta i think theoretically its cool having a baitable mash point mid lmh string,chemicaljade.bsky.social,ChemicalJade,did:plc:akmbx3hlqotg6gywl2bj5hcv,1,0,0,at://did:plc:akmbx3hlqotg6gywl2bj5hcv/app.bsky.feed.post/3mkss5swt6s2e,bafyreif2sylpz4lpdffaw4yjija3qtz7zkmgbdwzxte5pjwhbneg25lzz4
2026-05-01T18:48:15.564Z,2026-05-01T18:48:16.074Z,one job send try not to fail findom finsub wallet tribute paypig human atm beta boi,lady-lux.bsky.social,Lady Lux,did:plc:qcinn2it6co6ge7m2tciqbzv,2,0,0,at://did:plc:qcinn2it6co6ge7m2tciqbzv/app.bsky.feed.post/3mkss52vaac23,bafyreifb3fuenlg2gzi6c4x3dvliobi4h3cgbhbj5ci6oemrxxgl7dcy4a
2026-05-01T18:47:18.267Z,2026-05-01T18:47:21.974Z,mimi has a new cosy youtube video consider to watch cowork or play alongside my loftia closed beta let s play video all support is greatly appreciated as it really helps my channel to grow loftiapartner bskysocial tap here to watch youtubevo74u9wbz9q,dearmimi.bsky.social,Mimi 🧸🌷Cosy Twitch & YouTube Partner,did:plc:fvfzfju64yjz2gytpiftxpe3,0,0,0,at://did:plc:fvfzfju64yjz2gytpiftxpe3/app.bsky.feed.post/3mkss3eao522c,bafyreicvzbrajkeaprsusgelul3uvpleyu2culkanlvjs4bcw4kivm2prm
