created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-04-30T13:11:57.564Z,2026-04-30T13:11:57.876Z,and why tf not it s not like there s a war on or anything woot woot btfd lfg,theonetruedoktor.bsky.social,The Doktor,did:plc:ryh32j6o2g6tgm7oxew4chdr,0,0,0,at://did:plc:ryh32j6o2g6tgm7oxew4chdr/app.bsky.feed.post/3mkpous6r522u,bafyreiepag5y3zspyavf3lysbh3xwgn44lxksjq2d4w63qwvldma25sh6q
2026-04-28T17:03:02.001Z,2026-04-28T17:03:03.376Z,huge btfd opportunity cant lose bro,dropdea.bsky.social,Drop D,did:plc:jaxncyfumj6wkhmuzvflipbn,0,0,0,at://did:plc:jaxncyfumj6wkhmuzvflipbn/app.bsky.feed.post/3mkl2u5gbg22z,bafyreid3zld6mjs5e4nj7k4w75h5v6zkjh3tkt6ng5ir55xhtr3p5657au
2026-04-28T12:15:56.043Z,2026-04-28T12:15:58.075Z,littlest rollover and not a btfd any more,frontiere.bsky.social,,did:plc:d5fq7eltii576naj42ny4d64,0,0,1,at://did:plc:d5fq7eltii576naj42ny4d64/app.bsky.feed.post/3mkkksrhqsk2d,bafyreiayje2pg5dv7yokyd75rsy3mqt5mehqbayej4yytlefg7oposd66e
2026-04-27T19:25:51.284Z,2026-04-27T19:25:51.656Z,did you just tell it to btfd,deus01.bsky.social,eggnog slut,did:plc:ntozjojtvshojywsym7wbsca,2,0,1,at://did:plc:ntozjojtvshojywsym7wbsca/app.bsky.feed.post/3mkisembct22r,bafyreifkb7oy2m3hnbwykaynluwvlkls4irexyrelrs76lzjhxjs7z4yxi
2026-04-24T15:48:07.493Z,2026-04-24T15:48:07.955Z,pardon my french but nothing fucking matters at this point stock prices just go up get over yourself if i had to summarize the markets narratives i ve read this week that s it nothing fucking matters move over btfd it s nfm time bskysocial,jessefelder.com,Jesse Felder,did:plc:lzcoujf7r7lgjvx2yrmpvxlc,21,1,2,at://did:plc:lzcoujf7r7lgjvx2yrmpvxlc/app.bsky.feed.post/3mkausjbrh22v,bafyreihtfoavitfaazc67otjngcbwozv3whzttvus2cud4bywvqrf66rxy
2026-04-23T19:17:35.457Z,2026-04-23T19:17:37.556Z,supervisor mike mccready is joined by btfd fire chief leroy and trustee kolinski to discuss a possible interlocal agreement for fire service with the village of bingham farms in this clip they discuss how no extra equipment personnel or expenses would be required youtubecomshortsgagc1,bloomfieldtwpgov.bsky.social,Bloomfield Township Government,did:plc:xtvkyg7ilwizpqxjvgkv2oau,0,0,1,at://did:plc:xtvkyg7ilwizpqxjvgkv2oau/app.bsky.feed.post/3mk6q25kvqk2a,bafyreid4dinf7zdoemjg34fsgbojqkypsgjjsr2i7hmsvlhaqrpzw4amsu
2026-04-23T18:06:22.601Z,2026-04-23T18:06:21.160Z,real company fico down 19 lgo down 61 with multiple btfd emotf bought thru a twitter reco and blogs back in the day down 86 frcb still holding to teach myself a lesson after repeatedly buying the dips they wont let it failsomeone will buy it 9999 wipeout so far recaf down 79,britexileark.bsky.social,,did:plc:fs2geioaf4rsfudxxofaluew,0,0,1,at://did:plc:fs2geioaf4rsfudxxofaluew/app.bsky.feed.post/3mk6m2snntc2r,bafyreic2tvlpdd6o4xvvzoz5arkopke5qyi6hf73lgh3o3qm5cd5nvcedq
2026-04-23T17:55:28.773Z,2026-04-23T17:55:29.156Z,now thats a btfd,bobmungovan.bsky.social,Bob Mungovan,did:plc:trdkyzclczb2km67pnycz3oe,2,0,0,at://did:plc:trdkyzclczb2km67pnycz3oe/app.bsky.feed.post/3mk6lhd4ex22s,bafyreidsrjpjxc2f3xc3n6cbqslytup4ake4lv4nzyp4f3wggjlyv3kmiu
2026-04-23T17:15:10.742Z,2026-04-23T17:15:11.167Z,that s the first 1 drop for smh in 17 days btfd,acrossthecurve.bsky.social,Kevin,did:plc:g4glp3g4dflvac5ds5kl3jmw,0,0,0,at://did:plc:g4glp3g4dflvac5ds5kl3jmw/app.bsky.feed.post/3mk6j7b3wkc2j,bafyreidkww22jbyv3f7ntxwuekwgvxlx35ohr3rqbe3jzyw6yb7rux6mha
2026-04-23T15:43:58.780Z,2026-04-23T15:43:59.059Z,btfd baby undefeated unless the tariffs line up with oil shock in which case yes its going to be some bad earnings,isaiahbishop.bsky.social,Isaiah Bishop,did:plc:ewwwkdaurqzrask2yjpuu3kn,4,0,1,at://did:plc:ewwwkdaurqzrask2yjpuu3kn/app.bsky.feed.post/3mk6e46mvns2e,bafyreiglpfyzhk4uuchxpsiqmk5nwhjytc2m6hgzh67zwq3lyocuqbf6ca
2026-04-23T00:22:49.770Z,2026-04-23T00:22:50.163Z,ngl there s a part of me wanting us to hit the wall btfd needs to die,thinkyparts.bsky.social,Thinky Parts (human algorithm),did:plc:ktp2ld7ndrfviqzoveuz5yng,8,0,1,at://did:plc:ktp2ld7ndrfviqzoveuz5yng/app.bsky.feed.post/3mk4qmzym2k2n,bafyreiagtcl3jtqcwo5y4bvxieqh6eyjqukoxva65d4rvjpxqtfpjqk6lm
2026-04-22T16:00:15.560Z,2026-04-22T16:00:15.865Z,btfd,bobmungovan.bsky.social,Bob Mungovan,did:plc:trdkyzclczb2km67pnycz3oe,1,0,0,at://did:plc:trdkyzclczb2km67pnycz3oe/app.bsky.feed.post/3mk3ukep4es2i,bafyreigskt2sh2cb77kkfgyfjibuo5mclsqadpxqprscwi5jeurcasutze
2026-04-22T13:23:29.368Z,2026-04-22T13:23:29.661Z,cant stop here this is btfd country,deus01.bsky.social,eggnog slut,did:plc:ntozjojtvshojywsym7wbsca,2,0,0,at://did:plc:ntozjojtvshojywsym7wbsca/app.bsky.feed.post/3mk3ls2awy22e,bafyreicheanvhkxzittrm7ijyatkx3fy7jl77f5j3qyunv65b372t3asua
2026-04-21T23:17:18.289Z,2026-04-21T23:17:18.557Z,btfd,bobmungovan.bsky.social,Bob Mungovan,did:plc:trdkyzclczb2km67pnycz3oe,0,0,0,at://did:plc:trdkyzclczb2km67pnycz3oe/app.bsky.feed.post/3mk24ix6k622x,bafyreidq6jjcjzjykk73otmogi2smbwrkuvuwpfhpoyria34d3slfzdiwa
2026-04-21T21:16:40.637Z,2026-04-21T21:16:42.956Z,youtubecomwatchvbtfd,brucemseymour.bsky.social,Blue B-liever,did:plc:wegufmrgiv7c2wmob4ja2brd,0,0,1,at://did:plc:wegufmrgiv7c2wmob4ja2brd/app.bsky.feed.post/3mjzvraswn22o,bafyreib2oohfejcpfbeomcqzkoybh4z33lrwznpwfcblsvqvt664ki2gpy
2026-04-21T16:46:36.460Z,2026-04-21T16:46:36.959Z,this btfd just does not end like you should not want to buy qqq here but some is trying,kingbradentucky.bsky.social,,did:plc:tmr5xpcvpidyrtuimv5u37yj,2,0,1,at://did:plc:tmr5xpcvpidyrtuimv5u37yj/app.bsky.feed.post/3mjzgodcpz22c,bafyreigy7h5nwl2iaslanqj2aspfjsoigykqg62obm2xftrpxb7cpiuypi
2026-04-21T14:20:36.217Z,2026-04-21T14:20:36.162Z,ny btfd cvd es7170 mnq 30 mes2,xeoren114p.bsky.social,orenXEッペル,did:plc:suopnuyypv6rlj5fwnkzh7ze,1,0,0,at://did:plc:suopnuyypv6rlj5fwnkzh7ze/app.bsky.feed.post/3mjz6javd7c2p,bafyreigpeqivpn57ek3iqerwsz43uqyvfnoqwjbzmno5acl2jbt6lk5oii
2026-04-20T20:41:02.494Z,2026-04-20T20:41:04.259Z,supervisor mike mccready is joined by btfd fire chief john leroy and trustee chris kolinski to discuss a possible interlocal agreement for fire service with the village of bingham farms youtubecomshortsqxmj we want resident feedback please share your input at bloomfieldtwpmigovcontact,bloomfieldtwpgov.bsky.social,Bloomfield Township Government,did:plc:xtvkyg7ilwizpqxjvgkv2oau,0,0,1,at://did:plc:xtvkyg7ilwizpqxjvgkv2oau/app.bsky.feed.post/3mjxdcmbebc2z,bafyreigansqqlwv5c7pknos3c4unw65e65vshms7vygsd5kyikgohqqnee
2026-04-17T14:11:58.595Z,2026-04-17T14:11:59.156Z,keeping some dry powder to btfd will end up buying bonds instead,deus01.bsky.social,eggnog slut,did:plc:ntozjojtvshojywsym7wbsca,3,0,2,at://did:plc:ntozjojtvshojywsym7wbsca/app.bsky.feed.post/3mjp465fpyk2h,bafyreidpeo7xrhmwgrmblabb4zovvn4c2odeid43srs5c6k5gcu5usqgpy
2026-04-15T20:05:03.396Z,2026-04-15T20:05:05.222Z,this has been another really whack btfd moment,interfluidity.com,Steve Randy Waldman,did:plc:whewc7lro4sggfu6iifjdrkq,4,0,1,at://did:plc:whewc7lro4sggfu6iifjdrkq/app.bsky.feed.post/3mjkoxnv37223,bafyreiauq6uzryzgymaa3ca3nv4u46uqfijg65urlbhkuq43j2ualrodnq
2026-04-13T11:44:05.478Z,2026-04-13T11:44:06.199Z,keep your cool buy the dip btfd aabt,ghostlineboo.bsky.social,Ghostline,did:plc:7xuv2wys4plvie7xqzqycaih,0,0,0,at://did:plc:7xuv2wys4plvie7xqzqycaih/app.bsky.feed.post/3mjerzziooc2y,bafyreig2jzujpqsxng6bj65rlzoov5jvwp6sxb54g5ghus3362xog5a4pm
2026-04-10T17:55:12.166Z,2026-04-10T17:55:12.801Z,maybe we need more ptsd to escape from btfd,jenonymous.bsky.social,Jen d’Arc,did:plc:nfb4rhvuhpvhrfscrj2k4t3f,1,0,0,at://did:plc:nfb4rhvuhpvhrfscrj2k4t3f/app.bsky.feed.post/3mj5veubt6c2d,bafyreig2l6t6murcw7whfsow2urtyzv62e52wded45s7ztggwghggikxvq
2026-04-10T08:05:01.767Z,2026-04-10T08:05:06.492Z,this dynamic will bury passive flow and btfd youtubekk2h9124kj4,barracudacap.bsky.social,Barracuda Capital,did:plc:7qfuw3lqs6tcqbytsqql5k3w,2,0,0,at://did:plc:7qfuw3lqs6tcqbytsqql5k3w/app.bsky.feed.post/3mj4ufo7un52k,bafyreibfactjp7jpzcijw3yobbaxx56lbi55lsbg3ws3fjxlwvmbijluf4
2026-04-08T23:28:35.373Z,2026-04-08T23:28:37.393Z,djing for the gym cats dance floorroutine floormusic uofa universityofarizona btfd beardown tucson,craywayne.bsky.social,Cray wayne,did:plc:64nit6wke6d4xlst42jzios5,2,0,0,at://did:plc:64nit6wke6d4xlst42jzios5/app.bsky.feed.post/3mizh36quqs2q,bafyreicjdtjexnoq4ecdj6wdi4irxxuew45hkzvoox7yn2reptrje6dkoa
2026-04-08T01:39:29.664Z,2026-04-08T01:39:34.293Z,how old is the concept btfd and how infused is it into the people driving these rallies,kingoficme.bsky.social,Alex,did:plc:jhj7r6fxkyj5jgfrxyc2lebl,0,0,0,at://did:plc:jhj7r6fxkyj5jgfrxyc2lebl/app.bsky.feed.post/3mix5wcuy222b,bafyreig4tyhqswmzbmsxxspdgrj2557k6ahlsrclur27i4uqia3lnis4uq
2026-04-07T23:11:30.980Z,2026-04-07T23:11:31.397Z,my 2026 investing strategy is a lot like my covid investing strategy either all this is going to pass and stocks are going to shoot back up or civilization is going to end and my brokerage account wont matter so btfd,bsky.vitriol.net,Steve,did:plc:e5zw7rjyqiqcxerktpysrn2p,0,0,0,at://did:plc:e5zw7rjyqiqcxerktpysrn2p/app.bsky.feed.post/3miwvnpiz7s2v,bafyreidczgitbgbyj4fzcmj24474hkooowkz5w3ggbwkahfqie6elk2tdm
