created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:22:09.187Z,2026-05-01T18:22:09.474Z,frajer u zemunu na semaforu onglira loptom kad je pri ao autu vidim nosi dres italije dao sam mu 5 kaemova i zapjevao ajem from boznia tejkmi tu amerika,kupek.bsky.social,KUPEK Efendija,did:plc:ecp5ecrwsindsh32calmxfdi,0,0,0,at://did:plc:ecp5ecrwsindsh32calmxfdi/app.bsky.feed.post/3mksqof367s2b,bafyreignyndx6puitlrip2qx37lf6vsewaerkep3ff3qhlopumkfutqpnu
2026-05-01T18:20:17+00:00,2026-05-01T18:20:18.572Z,papa za biskupa u zapadnoj virginiji imenovao biv eg ilegalca dao sam mito da me puste u sad,telegram.hr,Telegram,did:plc:w2oi2zl2cx2mm5wligibetn4,0,0,0,at://did:plc:w2oi2zl2cx2mm5wligibetn4/app.bsky.feed.post/3mksql2gdyt2e,bafyreigqunetdokb7nnn4b2zpbsnokq4btnlubne6qflovmjwahhbs6w44
2026-05-01T17:57:06.238Z,2026-05-01T17:57:13.273Z,centr o e bolsonarismo exageram na medida e d o muni o a contraataque uol noticiasuolcombrcolunasdani,cleuzatur.bsky.social,CleuzaTur.bsky.social,did:plc:7ltwmect2fkss3tdlhapvj2z,6,3,1,at://did:plc:7ltwmect2fkss3tdlhapvj2z/app.bsky.feed.post/3mkspblqtks2s,bafyreibf6ll63bwnyf3ohcf4vrj3wysljk3d3mw5mc3nx46b6vfuum7ef4
2026-05-01T17:40:14.959Z,2026-05-01T17:40:15.177Z,foda q alguns v deos do davi brito me d o um pouco de ptsd por ter crescido em c rculos h teros soteropolitanos,falsoitalobalt.bsky.social,falso ítalo,did:plc:o2ghgcob4xtgf4rpa5qasj3v,6,0,0,at://did:plc:o2ghgcob4xtgf4rpa5qasj3v/app.bsky.feed.post/3mksodhdh4c2x,bafyreibdmufunc3s7xpkmk6uivc7jdmu5sbu2cbbr732klcvhocnzm6c3a
2026-05-01T17:13:56.643Z,2026-05-01T17:13:57.381Z,estar com pessoas que me d o energia para viver mto bom me sinto recarregada 3,cyberkawaii.transgender.quest,Artificial Gostosa Intelligence (AGI),did:plc:62bgt6tlesowr6mif5s22won,15,0,0,at://did:plc:62bgt6tlesowr6mif5s22won/app.bsky.feed.post/3mksmug4n7s2x,bafyreidxg6cz5mx3eh25egj47y226fcazzydlvw55jrdo4uil3c5noxlbm
2026-05-01T16:59:43.370Z,2026-05-01T16:59:44.175Z,seguir gnt q gosta das mesmas coisas q eu pra ter uma fy com conteudo q eu gosto mas maior parte da galera q gosta das coisas q eu gosto insuport vel pra caralho ai eu tenho q ficar vendo umas tonhona flr umas coisas que me d o pregui a e ai me da vontade de novo de sair das redes sociais,wtfckizzy.lesbian.cat,Izzy🕯,did:plc:lzvbeemlfwaiaovdlhmparfy,2,0,1,at://did:plc:lzvbeemlfwaiaovdlhmparfy/app.bsky.feed.post/3mksm2yertc2g,bafyreidil7pemn2ram3ql76ordat6gky4pza62tjqmocuddigxbga3jzhe
2026-05-01T16:43:43.958Z,2026-05-01T16:43:46.773Z,ele conforme foi crescendo foi gradualmente clareando tipo crian as loiras que o cabelo vai escurecendo gradualmente eles n o d o explica o nenhuma mas entendi assim,tamarutac0.bsky.social,Czar do shitposting,did:plc:xwzsbfbwpaihwx6rywsummmi,1,0,1,at://did:plc:xwzsbfbwpaihwx6rywsummmi/app.bsky.feed.post/3mksl6ffuzk2s,bafyreid5y5to4j7fjv3nzuykaez52iwfjqmfr43aroxyikn4qdaeawygvy
2026-05-01T16:34:23.800Z,2026-05-01T16:34:24.377Z,tem uns perfis 18 aqui que me d o block porque todo v deo que eu assisto dou uma curtida pra sinalizar que aquele conte do eu j vi pra n o perder tempo vendo de novo na pr xima vez s que eu vejo uns 500 v deos em seguida e curto tudo entendo que enche o saco pra quem mant m as notifica es,diegor.bsky.social,Obsoleto,did:plc:f5gydkkaosrulalw3ckwi2cu,4,0,0,at://did:plc:f5gydkkaosrulalw3ckwi2cu/app.bsky.feed.post/3mksknp77q22s,bafyreidhg4ysz2h2wjj65xfw5msslq7j34yhomt2uctiei4rrepkcz3qha
2026-05-01T16:32:27.562Z,2026-05-01T16:32:28.278Z,centr o e bolsonarismo exageram na medida e d o muni o a contraataque veja mais em noticiasuolcombrcolunasdani,danilima-jorn.bsky.social,Daniela Lima Jornalista,did:plc:2qws2yaifjgc3hz4pzfykjqf,42,11,2,at://did:plc:2qws2yaifjgc3hz4pzfykjqf/app.bsky.feed.post/3mkskkadv3c2o,bafyreigx3ejk27r6nscddd2ib3w323xlrtpr5h6islyhyzjo73lzeehal4
2026-05-01T16:10:45.002Z,2026-05-01T16:10:45.576Z,paci ncia consegui resolver esse jogo espec fico essas coisas piratas as vezes d o dor de cabe a mesmo mas d i menos do que pagar 400 reais num jogo ent o prefiro,nyanfau.bsky.social,calcinha antiaérea sabor framboesa,did:plc:zvad4vh4lzj57jxmvoaif23p,1,0,0,at://did:plc:zvad4vh4lzj57jxmvoaif23p/app.bsky.feed.post/3mksjdg4wsk2n,bafyreihczbgnqmlg7skr4ds6y2h7jwzmpq6hw4mlwyvcltpshgvvazz6le
