created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T15:21:15.895383+00:00,2026-05-01T15:21:16.374Z,most men panicsold mega at 31 and locked in the loss i watched the same chart same red candles same doom in the replies but i waited for one thing they missed the volume spike that hits before every dead cat bounce that spike just flashed on mega i built tradesignal to cat crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mksgkwzo2y2c,bafyreicmjwqnysfgvb5v3nek7eovw653exwzp3tyfaturutjf6dp7t7aoi
2026-05-01T14:23:01.036Z,2026-05-01T14:23:00.178Z,rblx plummeted earlier but appears to be rebounding i hope it is not a dead republican traitor bounce aka dead cat bounce i prefer the happy traitor image over the sad cat image of course i will greet a dead republican traitor with a joyous smile,dburhans.bsky.social,,did:plc:qeidvfvnfjpa3umwh2grltmz,1,0,1,at://did:plc:qeidvfvnfjpa3umwh2grltmz/app.bsky.feed.post/3mksdcrmdz22x,bafyreiarhqn6lpemwhrolij6u5wlar6ti62ho34xjdbxnyypsayibtezg4
2026-05-01T11:29:00.347Z,2026-05-01T11:29:01.576Z,got up and into work and hour early this morning for a meeting im that knackered now it feels like ive carried a fridge up everest dont know how the office early starters do this every day still i get to go home an hour early so lets hope thats my dead cat bounce,shouldbeinbed.bsky.social,Shouldbeinbed,did:plc:iwi6oa72i7xvdnfqy5gvcel4,2,0,0,at://did:plc:iwi6oa72i7xvdnfqy5gvcel4/app.bsky.feed.post/3mkrzlmlsns2t,bafyreigch7xhy4ilwniehyg7snac6wnz2zfxgbqljfnjbjzbbytfsrljyi
2026-05-01T10:25:50.731192+00:00,2026-05-01T10:25:50.778Z,your mate who just lost thirtyone percent on mega is still asleep he panictweeted at three am you saw the dump in premarket and stayed calm he bags the l you short the deadcat bounce for eight percent free same coin opposite play that is the quiet edge the alert that pin crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mkrw2ofodt2h,bafyreidl4qvk4pcechtozlggolnt3mxekzm6ovk6ppje57symfxve7scw4
2026-05-01T10:19:52.847561+00:00,2026-05-01T10:19:52.974Z,your boys who bought mega at the top just got publicly spanked down 31 and they are panictexting the group chat right now smart money shorted the deadcat bounce and walked away clean same coin opposite side the only difference is the signal that signal just fired again it crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mkrvpz3kj52s,bafyreigigiwax433rcyjgh36qlzok2krd4zz4aksch7yun6tt7jzlrbl2y
2026-04-30T18:02:16.794Z,2026-04-30T18:02:17.777Z,i like how the proposed trend line for trump does a complete 180 deg turn doesnt seem to follow the trend at all maybe thats a dead cat or ferret bounce,baileywilee.bsky.social,,did:plc:5pkk43obtxpskfy26bksui7o,2,0,0,at://did:plc:5pkk43obtxpskfy26bksui7o/app.bsky.feed.post/3mkq73whhwk2w,bafyreie46vg4v4zxwff3ivbcbw5riozz3wlhfyubiye5q3yoa2vhgenmdy
2026-04-30T16:41:56.708Z,2026-04-30T16:41:57.871Z,it takes around three months for a crude oil tanker to sail from the strait of hormuz to a refinery in the us the war in iran started around three months ago making the positive news a textbook example of a dead cat bounce,mrhands31.bsky.social,Mr. Hands is making SuccuDeck 😈🃏,did:plc:xvao4lqvzjzhhgaxr54p3k7w,3,0,1,at://did:plc:xvao4lqvzjzhhgaxr54p3k7w/app.bsky.feed.post/3mkq2mbo4p22p,bafyreih7b6yzuf4yl2hydbtbeebhhxu4ugrx77d4am75dk2qxrmxuclzkq
2026-04-29T20:56:31.448932Z,2026-04-29T20:56:32.677Z,parts 133 efta00398242jpg epsteinweb efta00398242 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mknyelmdik2f,bafyreif3fmq44ghnglrbttvj72ykc4ub6hhxtbh3nwvtzsrv4uymte3dia
2026-04-29T13:51:22.349Z,2026-04-29T13:51:24.173Z,767k and 062 is what we call a dead cat bounce that didnt bounce holding above 77k but this chop is genuinely painful etf outflows arent helping bulls need something catalysts soon or this consolidates forever,shitcoinape.bsky.social,"Shitcoin Ape | 8 years in crypto, still Building…",did:plc:tdu2kyr4iteyl6cv7jsomiie,0,0,0,at://did:plc:tdu2kyr4iteyl6cv7jsomiie/app.bsky.feed.post/3mknamfjpid2i,bafyreibtfcp7ir3jzeyeu5qwvh3paa5c3d4uxabs2ysesnjxosejdfijbe
2026-04-29T02:55:05Z,2026-04-29T02:55:10.576Z,13 55 200 storesteampoweredcomsearch,steamgamefan.bsky.social,Steamゲームリリース・セール情報,did:plc:wsbcxxrjoccvesfrjks43e2b,0,0,0,at://did:plc:wsbcxxrjoccvesfrjks43e2b/app.bsky.feed.post/3mkm3wxkscs2d,bafyreibiclcpaommyc6crozwpgmfrtcnj4h7kovjxihes52cj2l3fqvjeu
2026-04-29T02:00:08.957Z,2026-04-29T02:00:09.278Z,not a dead cat bounce,upuque.bsky.social,Jacqueline,did:plc:vkqjs7v2wn4od42knq4csgnj,1,0,1,at://did:plc:vkqjs7v2wn4od42knq4csgnj/app.bsky.feed.post/3mklyulgw522g,bafyreicnd6drw4ymtx5mkjl4kpbeaenspsytasx5pc7dgknhjyppoi5cfq
2026-04-29T01:55:21.822Z,2026-04-29T01:55:22.272Z,i don t want overreact but this thing is close to over was the first half of game four out dead cat bounce,paintnpdx.bsky.social,The Tortured Florist Department 🍉🍎🌺⛓️⏰,did:plc:77r5i7bdjm2fm5bk4qcpwblw,2,0,1,at://did:plc:77r5i7bdjm2fm5bk4qcpwblw/app.bsky.feed.post/3mklylzmbtk2y,bafyreiad3r6tqjf6czh3rkieze6abqozhfpfk4jwgnosijkfz2i76n5qhi
2026-04-29T00:44:17.184Z,2026-04-29T00:44:17.873Z,the sixers will not fool me with this dead cat bounce,2adult2person.gobirds.online,Mike,did:plc:oya7oxcyn5x45agphp6ub7ea,0,0,0,at://did:plc:oya7oxcyn5x45agphp6ub7ea/app.bsky.feed.post/3mklumx3m7o2i,bafyreidkeibxqiqo45j3z3dke6m7bdlhgn5yvkztt2dmo65nxtaohszple
2026-04-28T22:17:35.660928+00:00,2026-04-28T22:17:35.983Z,which data point in the cryptoonchain report makes you most confident this isnt just a dead cat bounce,newsgroup-site.bsky.social,VIR.GROUP && NEWS GROUP,did:plc:atlkjg42q45quxehr5m7hcmc,0,0,0,at://did:plc:atlkjg42q45quxehr5m7hcmc/app.bsky.feed.post/3mklmgmt6pa2y,bafyreiaejh2lo4fyfgxsvy4cxxez5gkkldv5c73e7epxakngabkexxsama
2026-04-28T21:04:02.617Z,2026-04-28T21:04:07.881Z,april 28th 1986 energy stocks have lagged the market due to falling oil prices while some analysts expect a price rebound many bears argue that current stock prices already reflect a recovery making them risky experts warn that recent gains might just be a dead cat bounce,40yearsago.bsky.social,1986 News,did:plc:6xb27hvdldyjxtq5pb5gst5p,1,0,0,at://did:plc:6xb27hvdldyjxtq5pb5gst5p/app.bsky.feed.post/3mklid4d3eh2b,bafyreiacfng2mawi65o77zior7t5ppe74ay5ennaujxtjawzz6nns4q5wi
2026-04-28T16:54:28.813Z,2026-04-28T16:54:30.472Z,nuscale ticker s m r is down about three quarters from its high pure speculative nukes that s the kind of chart where bagholders pray for a bounce while real money waits to sell them exit liquidity you buying this or just trading the deadcat wicks daytrade stocks squeeze,dayrade.bsky.social,,did:plc:hfqylmt5xuvbwsaino6ubyjd,0,0,0,at://did:plc:hfqylmt5xuvbwsaino6ubyjd/app.bsky.feed.post/3mkl2eu6aui27,bafyreifnrg6lk33iyxgbpp4e6nv6zvjl3dvjzbgdccg5kfq42f3vwej3zy
2026-04-28T15:46:35.124Z,2026-04-28T15:46:35.476Z,stuck between feeling doomy plus a little bad for topper not even close to all his fault and hoping it actually works don t think it will doesn t feel like 2022 lineup feels broken and stale and even a dead cat bounce won t change that but hope i m wrong,pjdurning.bsky.social,Patrick Durning,did:plc:wcxcjlarcgtk2hksbtclhsyn,0,0,0,at://did:plc:wcxcjlarcgtk2hksbtclhsyn/app.bsky.feed.post/3mkkwlgzxcc2j,bafyreiaxliwbwzhicw2ch52h7ce7tfdp5xtdkihcdvraila4kl4gaep7se
2026-04-28T00:02:54.928Z,2026-04-28T00:02:55.256Z,some guy named dead cat bounce,keithlaw.bsky.social,Keith Law,did:plc:l7s4rksndlrnouklhdrtrymz,2,0,0,at://did:plc:l7s4rksndlrnouklhdrtrymz/app.bsky.feed.post/3mkjbtzsn6s2n,bafyreicq7weviu55gkqmjs5s4yxrw44ystxlfejutksprqd26yuc3sjz5m
2026-04-27T21:14:16.835Z,2026-04-27T21:14:17.356Z,i was willing to concede a sympathy dead cat bounce in the polls not anymore,nadinbrzezinski.bsky.social,,did:plc:56strn3ms2idksn4b2tnfgz4,5,0,0,at://did:plc:56strn3ms2idksn4b2tnfgz4/app.bsky.feed.post/3mkiygigxxs2l,bafyreiarmk2lhkjzoqup2swtycxae3kb7wlesmpb36ve3r47na6kg6zpra
2026-04-27T21:13:21.023Z,2026-04-27T21:13:21.358Z,did someone say dead cat bounce,snoopdawwg.bsky.social,,did:plc:cktlxffew7j64c2miij3xjfo,0,0,0,at://did:plc:cktlxffew7j64c2miij3xjfo/app.bsky.feed.post/3mkiyet7p3k2s,bafyreidivbotcstetggm6s4ohgzfqvhxifztuudlgo3k6jkbj5bl5t5a5u
2026-04-27T16:13:40Z,2026-04-27T16:13:40.659Z,midday futures dead cat bounce lifts natural gas off multimonth lows,nginews.bsky.social,Natural Gas Intelligence,did:plc:pq3wtek3tsbuim46weg73yyx,0,0,0,at://did:plc:pq3wtek3tsbuim46weg73yyx/app.bsky.feed.post/3mkihmxncxd2n,bafyreifox646lfnn54g3sooynm6iiyftylt3ewx3hrebdip57yupyiin2i
2026-04-27T08:33:14.498Z,2026-04-27T08:33:17.856Z,if hes looking for a bounce it will be a dead cat,iammenotu.bsky.social,iammenotu,did:plc:xdf7u7mwrdvdkl4x3rxdtmgp,0,0,0,at://did:plc:xdf7u7mwrdvdkl4x3rxdtmgp/app.bsky.feed.post/3mkhnvngyzc2o,bafyreiaa3tc5k533th2xwp6blgrqv3quavpj4rxdrml7iahkcjm34l74wm
2026-04-27T00:55:27.000Z,2026-04-27T00:55:38.559Z,bskysocial according to the nytimes his approval is at 39 on wallstreet they call that a dead cat bounce resist kakistocracy with a bluetsunami,chemicaleyeguy.mstdn.science.ap.brid.gy,Preston MacDougall,did:plc:va5mm7ffsaeggpz7tsplk4h2,0,0,0,at://did:plc:va5mm7ffsaeggpz7tsplk4h2/app.bsky.feed.post/3mkgudces6tc2,bafyreicieuw2tyor2nackb2anj5rgf65fbvnledrbcjv5zfuw6jgytqhve
2026-04-26T15:50:17.000Z,2026-04-26T20:26:52.758Z,eos energy enterprises rebounds after collapse recovery or dead cat bounce if you blinked in late february you might have missed one of the sharper reversals in smallcap energy storage shares investing origin interest match,nasdaq.activitypub.awakari.com.ap.brid.gy,Nasdaq,did:plc:sp4n47vvnrezv5u2gwkjk76m,0,0,0,at://did:plc:sp4n47vvnrezv5u2gwkjk76m/app.bsky.feed.post/3mkgfclwzgod2,bafyreie5ommoi6qic5lx4kxg2rg5ifoqyqxfux2sb7oo43ocllppf24u6a
2026-04-26T15:33:24.990Z,2026-04-26T15:33:25.465Z,could have been a dead cat bounce though we can beat boro we can it may not matter but we can,lloyddabbler.bsky.social,lloyddabbler,did:plc:cb64g5m7av6jzhrpx422uo6q,0,0,0,at://did:plc:cb64g5m7av6jzhrpx422uo6q/app.bsky.feed.post/3mkfuw2lg4c2q,bafyreiblb5l72i5rydakd6ahy3nagtawqwvnyx6sjryw422ljk7kziobfy
2026-04-25T16:36:33.031Z,2026-04-25T16:36:33.760Z,david montgomery dead cat bounce incoming,jeffkrisko.bsky.social,"Jeff ""Ephesians Prysock"" Krisko",did:plc:nzvnzrl2n6mf5msz7pttr45b,1,0,0,at://did:plc:nzvnzrl2n6mf5msz7pttr45b/app.bsky.feed.post/3mkdhxzoivk2d,bafyreiefrj343hwfwlsunqbnv65yj6mwxfhl3r3mzknhpem2ee4wmryb6m
2026-04-25T14:23:10.067Z,2026-04-25T14:23:11.656Z,die oplevingen steeds weer nog steeds geen dead cat bounce geduld geduld komt wel,yvet666.bsky.social,Yvet,did:plc:lf6tbhu24s4nq6tzer53oe4j,1,0,0,at://did:plc:lf6tbhu24s4nq6tzer53oe4j/app.bsky.feed.post/3mkdajjhhds2v,bafyreiay4jyp5ihdfl7dxeiou34zzbx25xoyukzotlkskftisfb3x42qc4
2026-04-25T11:57:13.432Z,2026-04-25T11:57:14.756Z,so uhhh is this stock market run a dead cat bounce or something wtf is going on,jamtoday.bsky.social,Shakira Kurosawa,did:plc:3btxxb66crd2th6e3rletsly,0,0,2,at://did:plc:3btxxb66crd2th6e3rletsly/app.bsky.feed.post/3mkcyeki5y22z,bafyreie3oqf4wu42aaflyubakl4rxgdhwrgner2ejvaula7gmx7ttsgl7m
2026-04-25T06:31:11.896Z,2026-04-25T06:31:13.059Z,tao hype hit the nov 25 high a common deadcat bounce target see the short post and discuss in our telegram channel crypto tao hype rosesleaks,rosesleaks.bsky.social,Rose Premium Signals 🌹 (Real Rose Signals),did:plc:7ahoaxmu5d77gcvwl3qdovxs,0,0,0,at://did:plc:7ahoaxmu5d77gcvwl3qdovxs/app.bsky.feed.post/3mkcg5lqhb22q,bafyreibb4jgp4wvm7k6p6fmno2dlx5xy4umlw54zeg4hwvpqszmouejkcu
2026-04-25T06:23:33.847Z,2026-04-25T06:23:33.957Z,dead cat bounce or genuine upswing look at the on chain volume spikes break away 20 day ma and on tvl growth if fomo stays high and whale entitlements rise the move looks real if not prepare for a pull back stay ready for target levels and risk reversal patterns,whalesignalsapp.bsky.social,WhaleSignals.APP,did:plc:sjog5j7brym6onfw5bqtu455,0,0,0,at://did:plc:sjog5j7brym6onfw5bqtu455/app.bsky.feed.post/3mkcfpwdvz32q,bafyreig2c5ptpndqh33tgsrhkiud2shuf6cgakenajmhwnfgjet7ymqyoa
2026-04-25T06:23:27.816Z,2026-04-25T06:23:28.556Z,new post market update dead cat bounce shortterm rebound or reversal read the full analysis in our telegram channel rosesleaks crypto trading market,rosesleaks.bsky.social,Rose Premium Signals 🌹 (Real Rose Signals),did:plc:7ahoaxmu5d77gcvwl3qdovxs,0,0,0,at://did:plc:7ahoaxmu5d77gcvwl3qdovxs/app.bsky.feed.post/3mkcfpqz3mt2z,bafyreigq3tbcs5rjbgk6kvbbj3ndxoh5ulkbawtz4o3vrcz2f5vgmmtfgu
2026-04-25T06:23:00.474Z,2026-04-25T06:23:01.156Z,dead cat bounce or real recovery check our market analysis for traders and risk tips join the discussion in our telegram channel crypto trading marketanalysis rosesleaks,rosesleaks.bsky.social,Rose Premium Signals 🌹 (Real Rose Signals),did:plc:7ahoaxmu5d77gcvwl3qdovxs,0,0,1,at://did:plc:7ahoaxmu5d77gcvwl3qdovxs/app.bsky.feed.post/3mkcfowwmpa2t,bafyreihruvrfa6u5v5neukjvflr6qlqyzq3657zztmwib66scnyofjeske
2026-04-23T18:59:03.600086Z,2026-04-23T18:59:03.957Z,i remain bearish on the whole software sector ai is eating the saas lunch the deadcat bounce in igv is unwinding lower lows incoming,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,0,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mk6oyzfqft2f,bafyreibutwdsdn424hbbygukb5lsp3u3so7be6bzj3ahtjcbe337ogrobe
