created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T17:39:38.131033+00:00,2026-05-01T17:39:38.477Z,fresh listing alert grab primepayflicketh for just 00005 eth this prime name could be the perfect digital identity for your next venture scoop up this valuable piece of the decentralized web today,fantasia-creations.bsky.social,Fantasia Creations - deansmart.eth,did:plc:ymit3tv6dapyr26xu3gvmvit,0,0,0,at://did:plc:ymit3tv6dapyr26xu3gvmvit/app.bsky.feed.post/3mksoceax6v2q,bafyreif7ll6t4mm4rrynnzxv44ilhrpnoeytbeaqhwo34grfmeh7wulxka
2026-05-01T17:39:01.571898+00:00,2026-05-01T17:39:02.573Z,btc etfleri ve tether rezervleri b y yor eth xrp doge hype zec shib bnb morpho stable wlfi daha fazla oku,blockzhub-tr.bsky.social,BlockzHub Haberleri,did:plc:6rtgi3r6jgiynnj3r2mp6ubn,0,0,0,at://did:plc:6rtgi3r6jgiynnj3r2mp6ubn/app.bsky.feed.post/3mksobb7v4z26,bafyreic4tzcecjkph66s6gb7yt73tg3te3hnlgin7gv3mhhbewrzfhiy2m
2026-05-01T17:38:48.064550+00:00,2026-05-01T17:38:48.873Z,gli etf su bitcoin e le riserve di tether crescono eth xrp doge hype zec shib bnb morpho stable wlfi leggi di pi,blockzhub-it.bsky.social,BlockzHub Notizie,did:plc:glt5xghixcdl3zgdymjl5tmd,0,0,0,at://did:plc:glt5xghixcdl3zgdymjl5tmd/app.bsky.feed.post/3mksoaud5ze2f,bafyreibs5sqvjh23wjoyvpeetiqft7w4nsq7ods5jruwqlk52ercgrvzsm
2026-05-01T17:38:33.105025+00:00,2026-05-01T17:38:34.575Z,btc etfs tetherreserven wachsen eth xrp doge hype zec shib bnb morpho stable wlfi weiterlesen,blockzhub-de.bsky.social,BlockzHub Nachrichten,did:plc:zfta7oasl3fwwluyjhyijd5a,0,0,0,at://did:plc:zfta7oasl3fwwluyjhyijd5a/app.bsky.feed.post/3mksoafwutn2z,bafyreiddy526dsr4bx2qezktx472pgojgumsrw3vi3p5vffnxbzjhejc2e
2026-05-01T17:38:27.449018+00:00,2026-05-01T17:38:27.873Z,crypto crypto markets splinter as miners pivot to ai bitmine doubles down on eth stablecoin liquidity idles and tokenized treasurys reshape trading collateral,marketwire.bsky.social,MarketWire 📡,did:plc:4aeinxjwao74le6dktiiyxg4,0,0,0,at://did:plc:4aeinxjwao74le6dktiiyxg4/app.bsky.feed.post/3mksoaazuha2u,bafyreihkso7v3xjkgwgaiekxzptviycheziybiifk6qupnrtdjmlfd2et4
2026-05-01T17:38:22.195775+00:00,2026-05-01T17:38:22.575Z,btc etf tether eth xrp doge hype zec shib bnb morpho stable wlfi,blockzhub-ru.bsky.social,BlockzHub Новости,did:plc:nrnbwzmrb577teyr5bxja2xa,0,0,0,at://did:plc:nrnbwzmrb577teyr5bxja2xa/app.bsky.feed.post/3mksoa3npfr2l,bafyreia2fcy2zaja22hmvrykpmqe25klysdktkyaownuygl46xfqz7pale
2026-05-01T17:38:08.045759+00:00,2026-05-01T17:38:08.976Z,les etf bitcoin et les r serves de tether augmentent eth xrp doge hype zec shib bnb morpho stable wlfi lire la suite,blockzhub-fr.bsky.social,BlockzHub Actualités,did:plc:blquv2b3nsxr2wilgl2hxwuz,0,0,0,at://did:plc:blquv2b3nsxr2wilgl2hxwuz/app.bsky.feed.post/3mkso7nzv7y27,bafyreicizx6hkxsyobmiv4qcdn55nia2lncen4j2fxkfeagzwodgrtqaka
2026-05-01T17:37:54.195182+00:00,2026-05-01T17:37:54.972Z,los etf de btc y las reservas de tether crecen eth xrp doge hype zec shib bnb morpho stable wlfi leer m s,blockzhub-es.bsky.social,BlockzHub Noticias,did:plc:6kwwz3c4smhbbpcogm4r6fvt,0,0,0,at://did:plc:6kwwz3c4smhbbpcogm4r6fvt/app.bsky.feed.post/3mkso7axafv2p,bafyreifcf42rcb7h5epfpms5tqzd3vdjqj53cbfiqiwwhvee3plsxlfoze
2026-05-01T17:37:43.099960+00:00,2026-05-01T17:37:43.672Z,btc etf eth xrp doge hype zec shib bnb morpho stable wlfi,blockzhub-kr.bsky.social,BlockzHub 암호화폐 뉴스,did:plc:nnulzynoinc5rqh6xqdyqymk,0,0,0,at://did:plc:nnulzynoinc5rqh6xqdyqymk/app.bsky.feed.post/3mkso6wekta2p,bafyreif5rcielsy4we7wzi4fhrub4hlwfkcwb6oikozld565jkeb5nt6la
2026-05-01T17:37:28.907303+00:00,2026-05-01T17:37:30.077Z,btc etf tether eth xrp doge hype zec shib bnb morpho stable wlfi,blockzhub-cn.bsky.social,BlockzHub 加密货币新闻,did:plc:eg3enosfj6yafpufhgj3nnuj,1,0,0,at://did:plc:eg3enosfj6yafpufhgj3nnuj/app.bsky.feed.post/3mkso6it4rd22,bafyreictbdrfoqbyfq6i5kblhy6hj7fjholuzkoj4wqpa67vkpd4jiv6xu
