created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:51:58.677Z,2026-05-01T18:51:59.676Z,okay heres the latest xenosaga episode iii lets play vid this week bskysocial and i are very tired but we do the voices we do the voices for so many npcs shion almost causes a paradox kevin is an evpsych monster and we turn to blackalbedo for guidance youtubebaqcr3mrvak,dialacina.com,Dia Lacina,did:plc:eqfkkowon5oc23fu33xxgdlh,2,1,0,at://did:plc:eqfkkowon5oc23fu33xxgdlh/app.bsky.feed.post/3mkssdpo32c23,bafyreidpllgo54npezdxh7tetcwweocmfgmorp5dwjdmr6er2srulgtdom
2026-05-01T18:51:38.978907Z,2026-05-01T18:51:39.775Z,un alto generale statunitense ha segnalato questa settimana che la russia sta aiutando liran in guerra secondo quanto riportato da zerohedge in un momento in cui i mercati stanno gi metabolizzando le guidance aziendali del q1 2026 e lincertezza,market-ocean-it.bsky.social,marketocean - IT -BETA VERSION,did:plc:hm5bofvfanj4k6yhaesi7vqw,0,0,1,at://did:plc:hm5bofvfanj4k6yhaesi7vqw/app.bsky.feed.post/3mkssd5e7fx25,bafyreie2inpqojiysl3uq5svs7q3qf7v5463w4pz3zwzpqvsjbhw2mlegy
2026-05-01T18:50:06.292006Z,2026-05-01T18:50:06.972Z,a top us general signaled this week that russia is helping iran in war according to zerohedge reporting that lands as markets already digest q1 2026 corporate guidance and ecb inflation uncertainty headlines like these tend to compress investor attention into the most recent,market-ocean-en.bsky.social,marketocean - EN - BETA VERSION,did:plc:llyib2qojznvswvelaiakjfp,0,0,1,at://did:plc:llyib2qojznvswvelaiakjfp/app.bsky.feed.post/3mkssaey6dv2t,bafyreieypm7wgxkqcvbaqqr5xssrewp3obi2kqjg7oj6svautptkkqlt5a
2026-05-01T18:48:34.3306997Z,2026-05-01T18:48:34.475Z,department of the air force issues new acquisition guidance,govt-contracting.bsky.social,Government Contracting Law News,did:plc:zoadz3eftektadckxylgym65,0,0,0,at://did:plc:zoadz3eftektadckxylgym65/app.bsky.feed.post/3mkss5msnb52f,bafyreih63dllulqorl2uee4wn77j55txqq4fq3ngx646ipibsk2tpqw65e
2026-05-01T18:46:49Z,2026-05-01T18:46:49.876Z,the company declared a 020 per share quarterly dividend launched the 3870 mricompatible iv pump and reaffirmed fy2026 revenue guidance of free alerts markets marketintelligence 8k,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,0,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mkss2j2flk2u,bafyreie3wzefjb5cfowbwyv7hcox47kyduhkkzmub245efzndcj4z23wgy
2026-05-01T18:44:18.136Z,2026-05-01T18:44:19.875Z,band is exploding following a massive q1 earnings beat where revenue jumped 20 to 209m and fullyear guidance was raised an active 4415k sweep hit the august 50 calls with salesforces agentforce driving enterprise demand this bull is betting band cloud ai stockmarket humbletrader,robot2trade.bsky.social,robot2trade,did:plc:utgs5wka7od3gapriet6uhwi,0,0,0,at://did:plc:utgs5wka7od3gapriet6uhwi/app.bsky.feed.post/3mksrvyhhy22x,bafyreiap2oappmkmuwndhqzmbslrtantzjkitnwj7hikerf7b3i7s54qji
2026-05-01T18:43:27Z,2026-05-01T18:43:29.676Z,technology as the modern open sesame between guidance and restriction in child rearing artwork and article by zainab abdulkarim open sesame was more than just a television show it was an educational initiative filled with joy and learning it played,whisperingdialogue.bsky.social,Whispering Dialogue,did:plc:op6el2mhocbn73lu7pidnbw7,0,0,0,at://did:plc:op6el2mhocbn73lu7pidnbw7/app.bsky.feed.post/3mksruj3ihk2w,bafyreigou3fqe3kig4hscdrz37dytvv337ixi4vrzp57y36mih3tnsd3yi
2026-05-01T18:41:43.278Z,2026-05-01T18:41:46.277Z,cers is surging today on a strong q1 earnings beat and raised guidance product revenue jumped 24 yoy to 537m driven by strong platelet franchise sales and us ifc adoption management s continued operating discipline also drove adjusted ebitda to 4m marking the 8th straight quarter,robot2trade.bsky.social,robot2trade,did:plc:utgs5wka7od3gapriet6uhwi,0,0,0,at://did:plc:utgs5wka7od3gapriet6uhwi/app.bsky.feed.post/3mksrrermgs2x,bafyreifdd7ltjl2owqvjkb7imdjp7yd6n6p346z55i65rtvwngopbvi5wa
2026-05-01T18:41:32.508Z,2026-05-01T18:41:33.272Z,chrome is also going to update its models over time and filling the users disk with old models to avoid breaking existing sites is not an option we have to give developers the tools and guidance to avoid overfitting to a specific model,reilly.io,Reilly Grant,did:plc:tdu4kgif3az6pplyk4qwi7rg,0,0,0,at://did:plc:tdu4kgif3az6pplyk4qwi7rg/app.bsky.feed.post/3mksrr2iuvs24,bafyreibvgqsygjl4te7hq2wjvaotsimfovtzgst7ilwn4d7howqrl7vg2a
2026-05-01T18:37:12.317Z,2026-05-01T18:37:55.078Z,force the government to rip up the ehrc s transphobic guidance we have less than a month join us goodlawsocialde78a7,k-tolstoy.bsky.social,K.Tolstoy || 好吃鸟,did:plc:sp3nlrb6llmx6ejrlp4o374f,0,0,0,at://did:plc:sp3nlrb6llmx6ejrlp4o374f/app.bsky.feed.post/3mksrjcei522e,bafyreigvu5livt5amq7s7wcnmgq5ormau2mng56jet5tbfiox63s6eme3e
