created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T05:15:19+00:00,2026-05-01T05:15:19.675Z,btc momentum indicator crypton forecast btc crypto hodl tradingsimulator marketbriefing 71100 bullish btc 7714026 001 57 indicators bullish indicator breakdown 4h rsi 14 544 macd bullish ema 921 bearish bollinger b 0,cryptonforecast.bsky.social,CryptOn Forecast,did:plc:tkz4bawqiwt2h34zlslcshds,1,0,1,at://did:plc:tkz4bawqiwt2h34zlslcshds/app.bsky.feed.post/3mkrepgiise2a,bafyreiagntyr2z7wfuwjhkjczlos5io7ehevua7lber5zcennetmyx27kq
2026-05-01T02:45:45+00:00,2026-05-01T02:45:46.273Z,did you know that 40 of all btc hasnt moved in over 3 years crypton forecast btc crypto bitcoincycle btc2026 hodl longterm holders hodlers control nearly half of all bitcoin supply when this number increases it historically means a bull market is build,cryptonforecast.bsky.social,CryptOn Forecast,did:plc:tkz4bawqiwt2h34zlslcshds,0,0,0,at://did:plc:tkz4bawqiwt2h34zlslcshds/app.bsky.feed.post/3mkr4dyqmuc2q,bafyreiaqm75kub2ycizuuywigxzjiym3exe43wfu7z33ttlneszn3ovsxa
2026-04-30T20:13:12.060150Z,2026-04-30T20:13:13.276Z,yesterday was the biggest earnings day of the quarter today googl is worth more than japan and india two of the worlds largest economies google 45t japan 42t india 41t let that sink in hodl tokenized stocks in mew,myetherwallet.com,MyEtherWallet,did:plc:hi7r4vsz7rrdtpvdj4ybuhpn,0,0,0,at://did:plc:hi7r4vsz7rrdtpvdj4ybuhpn/app.bsky.feed.post/3mkqgg2msco2j,bafyreih4ifp5324vlgetcjvwn7xw3fasxb36v5xnuisznjhl7sfkwmpc3q
2026-04-30T13:36:36.318506+00:00,2026-04-30T13:36:36.677Z,hodl stands for hold on for dear life its a longterm strategy where investors buy crypto and hold through volatility rather than actively trading originated from a misspelling in,buzzerintelligence.com,Buzzer intelligence,did:plc:oep3fan37rbecwrogkdgze5j,1,0,2,at://did:plc:oep3fan37rbecwrogkdgze5j/app.bsky.feed.post/3mkpqauqnma2c,bafyreieoppqahn47jprw33ounzkbc3n2ifsdavyjuu7laovd2uxgpe5jc4
2026-04-30T09:15:20+00:00,2026-04-30T09:15:21.172Z,ai trade closed win crypton forecast btc crypto opensourcebot nocodetrading hodl the ai just closed another trade 0425 in profit no emotion no hesitation trade details pair idusdt short entry 00306 exit 00305 result 0425 tp h,cryptonforecast.bsky.social,CryptOn Forecast,did:plc:tkz4bawqiwt2h34zlslcshds,0,0,0,at://did:plc:tkz4bawqiwt2h34zlslcshds/app.bsky.feed.post/3mkpbnpef3h2j,bafyreidvk6jqiiojwkfu7c75liywjvwwm3ddasztnr427erlrdpbmg7ltu
2026-04-30T07:15:18.140Z,2026-04-30T07:15:18.374Z,hodl on hold on hold on,lavenite.bsky.social,"(,,>﹏<,,)",did:plc:wcvkl7zuzytw5zaffqqamx7y,1,0,1,at://did:plc:wcvkl7zuzytw5zaffqqamx7y/app.bsky.feed.post/3mkp2x2455s2f,bafyreifzmh7wopcp2qa5igmmcqksqs3cxdpfkq6pe5ku6buag4c2kgr2oq
2026-04-30T04:15:09+00:00,2026-04-30T04:15:10.577Z,market replay ai world first crypton forecast btc crypto bitcoinsignals bitcoinetf hodl the ai analyzes your trades and builds your trader dna profile risk tolerance direction bias reaction speed discipline free featured scenario ftx collapse no,cryptonforecast.bsky.social,CryptOn Forecast,did:plc:tkz4bawqiwt2h34zlslcshds,0,0,0,at://did:plc:tkz4bawqiwt2h34zlslcshds/app.bsky.feed.post/3mkoquwymd723,bafyreibq2yyfm62xzrbmspmdp45yw3mv6e3s3girkzjjnptzcgit46qiyy
2026-04-30T02:55:37.783Z,2026-04-30T02:56:09.274Z,update history questions aside im now wondering what the heck an hodl strategy is supposed to beim reading a physical book stop making me go online to look things up,ewephoria.bsky.social,ewephoria,did:plc:54n7ietmsxhxt53zturd3oxz,1,0,1,at://did:plc:54n7ietmsxhxt53zturd3oxz/app.bsky.feed.post/3mkomgpjgq222,bafyreib2l4f3isdylc3cora2ruvhuro5sq3muz6jh5nhw3azz7ewntwary
2026-04-30T02:00:02.228Z,2026-04-30T02:00:02.974Z,btc update price 76250 market cap 153t 24h volume 431b 24h change 038 slight dip but steady as ever keep calm and hodl cryptobluesky crypto,onchainoracle.bsky.social,Onchain Oracle,did:plc:ojtpclrg2p2c64rzvmo3nfmt,0,0,0,at://did:plc:ojtpclrg2p2c64rzvmo3nfmt/app.bsky.feed.post/3mkojdcx3qh2v,bafyreibxmufflfhwcmdl4f4mabd6ur32wvglrftfgvu6nozncg5ioj7yj4
2026-04-30T01:55:41.154358+00:00,2026-04-30T01:55:42.276Z,delphi digital 5 bitcoin 800 13 btc nvidia 14x hodl bitcoin btc,handle.invalid,Cryptovka | Новости Крипторынка и Блокчейна,did:plc:ypqrgvawp72rngdn45eu66zm,2,0,1,at://did:plc:ypqrgvawp72rngdn45eu66zm/app.bsky.feed.post/3mkoj3jlgvt2b,bafyreig4fytuqmqjvl5t3mzg6q6clhzbgtc7sskhuzjr5dsxxfcz4jq6uu
