created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:26:05.409Z,2026-05-01T18:26:18.278Z,i did some arcs a few rereads and one book i was super mad at mmromance mmromancereads,smmut-hut.bsky.social,Stephanie Lee,did:plc:ax3o3nltm47mvz6nk7yd36ck,0,0,0,at://did:plc:ax3o3nltm47mvz6nk7yd36ck/app.bsky.feed.post/3mksqvgefjs2y,bafyreif2rdaaqhct4od2q7umn25klsdpzdxepcikoite4t5kt2rvkyylqe
2026-05-01T17:45:30Z,2026-05-01T17:45:30.876Z,osprey private wealth llc institutional holdings osprey private wealth llc filed its 13fhr report on may 1 2026 disclosing institutional holdings as of march 31 2026 totaling 345347696 across 77 positions the portfolio is diversified in largecap stocks and etfs with top continued,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,1,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mksomuks2w2a,bafyreibn3ytfd4ptsssn6a652hij5wjgxk5cwobmusocb7brouw55scf4u
2026-05-01T17:03:13.632Z,2026-05-01T17:03:20.676Z,waiting it s been a ditsy day missed my stop now i have to wait again my companion doesn t mind streetphotography photography humansofbluesky,thoeni.bsky.social,Thoeni,did:plc:q6vk7qkicxryb4swasx6pes4,4,0,0,at://did:plc:q6vk7qkicxryb4swasx6pes4/app.bsky.feed.post/3mksmbavnoc2b,bafyreifcrsw4blpmzcwtdy5yztauxjhojqknfjdjc7uvi66otks4k32ysu
2026-05-01T16:09:25.107Z,2026-05-01T16:12:01.155Z,mace the dark age n64 1997 55 theres more,lowpolyhighres.bsky.social,📉𝙇𝙤𝙬-𝙋𝙤𝙡𝙮 📈𝙃𝙞𝙜𝙝-𝙍𝙚𝙨,did:plc:2tfijqu4eljrivk36wwtssk2,8,1,1,at://did:plc:2tfijqu4eljrivk36wwtssk2/app.bsky.feed.post/3mksjdnd4zc2q,bafyreifijol3aosuwkvo2vqoaz6txcyrs7vylgx224zipbtvreen4am7cy
2026-05-01T14:58:17.834Z,2026-05-01T14:58:21.876Z,hey artists share something,deepnerd.bsky.social,Deep☆Nerd,did:plc:d5556gdakb4iog5e3ahlanov,3,0,1,at://did:plc:d5556gdakb4iog5e3ahlanov/app.bsky.feed.post/3mksfbuf4mk2q,bafyreihysae5ljr63tmjk7x6viq5re4v4dm36llb3nryvegausgcidbikm
2026-05-01T14:31:36.931Z,2026-05-01T14:31:46.674Z,congratulations to dr francesca modini who has been appointed to a permanent lectureship in greek literature at university college dublin,kingsclassics.bsky.social,King's Classics,did:plc:mof6mbvt2fa6hpk2on7fyub4,1,0,1,at://did:plc:mof6mbvt2fa6hpk2on7fyub4/app.bsky.feed.post/3mksds5mboc2j,bafyreidqnrhwfrqkskdyzsjy363kqjtedcwgkqr2anxoxp4qfdaaobzsxm
2026-05-01T14:28:46.208Z,2026-05-01T14:28:46.574Z,yeah privatization of public services isnt beating the fascism charges if facebook was still a fun funny lil cheeky lil site where you could post your relationship status and what movie you just saw and a picture of your brunch thatd be one thing but like amazon and countless other large cap,rohmersimpson.bsky.social,Jaime N. (punny handle tk) Christley,did:plc:rcpkzi26yhxfnhm5uy4lmcqe,4,0,1,at://did:plc:rcpkzi26yhxfnhm5uy4lmcqe/app.bsky.feed.post/3mksdn2s52s2p,bafyreihtn2qi5rxbhakugtoej5pvy4u4arggagtoevlu5juxzu2mql6owm
2026-05-01T14:09:08.311Z,2026-05-01T14:09:13.973Z,coloraday bwfri streetphotography photography i walked by the cart turned knelt and captured the image then i looked down the alley i saw her looking through the garbage cans i didn t want to disturb her i felt it was a courageous desperate act to look through the garbage for survival,thoeni.bsky.social,Thoeni,did:plc:q6vk7qkicxryb4swasx6pes4,9,0,0,at://did:plc:q6vk7qkicxryb4swasx6pes4/app.bsky.feed.post/3mkscjxhqv22s,bafyreiedo5k2zhkgnas3ehcnhaeicfrhnyhnnttkhzdqc2cdogbgfwls2u
2026-05-01T18:33:39.674+05:30,2026-05-01T13:03:40.373Z,sweep activity dominated may 1 2026 as largecap tech drove the tape googl led with a 279 rise in sweep trades with meta and aapl also jumping triple digits as buyers added exposure for a second day qcom and more pic,tradesviz.bsky.social,TradesViz | Trading Performance Analysis,did:plc:kg6gyxccfkin2v5c4wnelg74,0,0,0,at://did:plc:kg6gyxccfkin2v5c4wnelg74/app.bsky.feed.post/3mks6uuwgev2k,bafyreibb5klms23uflzyena3xiudanrfjhnsbrkmsrum3yuhk2w4fajzue
2026-05-01T12:34:47.999Z,2026-05-01T12:34:51.274Z,do you need a little selkie magic and people righting some wrongs in the world unknown depths is out today celialakecombookunknown somethings wrong in the waters around orkney in 1949 when thom asks for help he gets rowena who brings unexpected skills to solving the problem,celialake.bsky.social,Celia Lake,did:plc:3w343c5d72vbhud4hz2fhmrq,10,7,1,at://did:plc:3w343c5d72vbhud4hz2fhmrq/app.bsky.feed.post/3mks5bbemk22t,bafyreicon7o7d7l642tzb6pjyoixlqfvxnv4jfapxm45g6xqpbgatma2mi
