created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T17:53:55.859Z,2026-05-01T17:53:58.674Z,last four watched breaking in 1989 greenland 2 migration 2026 the long grey line 1955 the signal 2014 i had unreasonably low expectations for the long grey line bio pics but that film as well as breaking in were both very good i recommend both,robinlikecrazy.bsky.social,Robin Connolly (He/Him),did:plc:au4ofp5zrj3ouhcdjeskfaub,0,0,0,at://did:plc:au4ofp5zrj3ouhcdjeskfaub/app.bsky.feed.post/3mksp3w7bcs2y,bafyreihl2y5u5epa57vxecp7qkxuqy4tnr7yg2yzgqtxtzdtr6dfofo3qy
2026-05-01T17:53:53.928Z,2026-05-01T17:53:54.478Z,as a licensed electrologist i ve had multiple ppl ask me about this and as long as you are practicing proper safety and sanitation this shld be safe and effective once you get the hang of it,guypussy.bsky.social,cedar longpenis,did:plc:ej7mahyialaqrg23jjxpraof,0,0,0,at://did:plc:ej7mahyialaqrg23jjxpraof/app.bsky.feed.post/3mksp3udxu22r,bafyreif54guq4g2o4bx5pbgrcp4fhwkxltstwnzhdiuwaj55ysscy33cs4
2026-05-01T17:53:53.602Z,2026-05-01T17:53:53.773Z,finally had the balls to say something i should have done long ago now to be a bundle of anxiety and nerves waiting for a response no matter the outcome i m happy i actually said what i needed to say,fluffylombax.bsky.social,FluffyLombax,did:plc:xxsmtzzgursjxy2kxp3npgh7,0,0,0,at://did:plc:xxsmtzzgursjxy2kxp3npgh7/app.bsky.feed.post/3mksp3tzyjc24,bafyreiclsw46xaxg7tum5pqicimzhd6ekte5u34bw6lgyoncrpjemifwjm
2026-05-01T17:53:50.952Z,2026-05-01T17:53:57.072Z,apt 33 package manager removes the longstanding unstable cli warning and adds support for requesting a specific cli version linuxiaccomapt33land debian linux opensource,linuxiac.bsky.social,Linuxiac,did:plc:jbtrnoj32ljctyqbukolpdwz,0,0,0,at://did:plc:jbtrnoj32ljctyqbukolpdwz/app.bsky.feed.post/3mksp3rj4ms25,bafyreid2rgelbmjmsew2kvb77du6wducz4o6yopezrzma7c4dee74iqsmq
2026-05-01T17:53:50.162Z,2026-05-01T17:53:50.472Z,buddy i know you haven t known me long but i will not be in town tomorrow lol,502eire.lol,Dawn,did:plc:kyssxk455wyqgeahpgqe4vqu,1,0,0,at://did:plc:kyssxk455wyqgeahpgqe4vqu/app.bsky.feed.post/3mksp3qqz5c2c,bafyreihrnyjhy5wfvwccntg75gsfuwnbx645ehsbfxrk3x7w6om6wmz3am
2026-05-01T17:53:43.570Z,2026-05-01T17:53:43.673Z,theyre going to park the bus and then park a second bus in front of it arent they could be a long night lufc,mrpmharrison.bsky.social,Phil Harrison,did:plc:qsuebhhf3pwtdp44gpuczoqc,1,0,0,at://did:plc:qsuebhhf3pwtdp44gpuczoqc/app.bsky.feed.post/3mksp3khumk23,bafyreibs4losvn7kuem3b2tcw64iqdfq3x3pmvyntpisncrih7jxh72ena
2026-05-01T17:53:42.040Z,2026-05-01T17:53:44.779Z,the pink promise is an awardwinning hybrid tea rose 2009 aars winner known for its large pale pink blooms with cream centers strong fruity fragrance and long stems excellent for cutting todays kentucky derby attendees wear pink to honor women fighting breast and ovarian cancer,shellymak.bsky.social,Shellymäk,did:plc:tyyaj45clhn35et36vldkxcy,0,0,0,at://did:plc:tyyaj45clhn35et36vldkxcy/app.bsky.feed.post/3mksp3iziak2s,bafyreibqngdhnp7xqa5qe35ec2bia4shybwkbo6qqgidwkhh7mzdu6nl5y
2026-05-01T17:53:42.027Z,2026-05-01T17:53:42.376Z,reminds me of the hyundai plant in ga where hundreds of south korean workers who were there to teach american workers were picked up by ice and severely mistreated if i were a non american company i would think long and hard about this plan,anandatoday.bsky.social,DiveIntoIt🫘💙💙,did:plc:ggbpe72icv7wa3ax3ekv7nc3,0,0,0,at://did:plc:ggbpe72icv7wa3ax3ekv7nc3/app.bsky.feed.post/3mksp3iyqsk2f,bafyreic4u33g77x6q2qbhhzbbf3fgfrklaawyurlk23ddbyvqblcwomigu
2026-05-01T17:53:40.832Z,2026-05-01T17:53:41.084Z,long hair 0,cloudludragi.bsky.social,CloudLuigi☁️Gust,did:plc:ujdodzuw3dwpbma4vlygqcus,0,0,0,at://did:plc:ujdodzuw3dwpbma4vlygqcus/app.bsky.feed.post/3mksp3hubss2h,bafyreihvyctvgpudogmtsx75pposl6xxzpaviazouoqlvvepewe6m3c6fu
2026-05-01T17:53:40.000Z,2026-05-01T17:53:42.574Z,on this may day we look back at the role unions have played in the long history of passenger rail in the united states check out this library of congress research guide,railpassengers.org,Rail Passengers Association,did:plc:ndey2qop2ht4b4jgth7kejeg,0,0,0,at://did:plc:ndey2qop2ht4b4jgth7kejeg/app.bsky.feed.post/3mksp3ixoac2s,bafyreicoxryaz5dnd5ngchvy4obpfz3vnc23eieuxrvjqi5nrhyomonnay
2026-05-01T17:53:30.921Z,2026-05-01T17:53:44.773Z,wtf is wrong with them you have to be authentically defective mentally to come up with something this sick twisted i don t care if it s your job or not you need to be locked up in a hospital for the criminally insane to go along with this this goes a long way past cruel unusual,invisiblejustme.bsky.social,Invisible Just Me,did:plc:bf6chzjf7d7rhpd2fwopdepo,0,0,0,at://did:plc:bf6chzjf7d7rhpd2fwopdepo/app.bsky.feed.post/3mksp36fvzs23,bafyreiaioogevsxhepp4cua2u7b7znzcu23cg2fbjtwk6mfy3vhpu5ngaq
2026-05-01T17:53:29.350Z,2026-05-01T17:53:29.972Z,line for that was really long too i checked,ithinkthere4iyem.bsky.social,I Think Therefore I YEM,did:plc:7z5z4ni4se22ittg2ooi4hyp,0,0,0,at://did:plc:7z5z4ni4se22ittg2ooi4hyp/app.bsky.feed.post/3mksp34vuwc24,bafyreicb3lo72dgwzkgbebjpiw6dvmhjgvhznzhvsjxjekuqb7drq7yc5m
2026-05-01T17:53:29.285Z,2026-05-01T17:53:30.280Z,the hill whiteness will die on,jacky.wtf,tomodachi relationship,did:plc:e2ctbutx6kya6si4if5ngjmm,1,1,0,at://did:plc:e2ctbutx6kya6si4if5ngjmm/app.bsky.feed.post/3mksp34tyes2v,bafyreigv4astl622nl3w3bd2vafjwy7dlukdrhiqsckex3hde5zh2d5gna
