created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T13:40:42.128359+00:00,2026-05-01T13:40:42.371Z,options alert ndx neutral call strike 60000 exp 1221 size 1 contracts premium 221m type block institutional neutral positioning track more stocknearcomoptionsflow,stocknear.bsky.social,Stocknear,did:plc:r3actoubibsncjf55heasihj,0,0,0,at://did:plc:r3actoubibsncjf55heasihj/app.bsky.feed.post/3mksax4e3pr2i,bafyreib4p3suoo4k5erk5uci35f3s73ulhfptfqzar7g4a3lmv74drrlei
2026-04-30T23:02:10.785Z,2026-04-30T23:02:16.075Z,market wrap thursday april 30 2026 dow 49650 162 spx 7209 102 ndx 27441 094 rty 2798 217 vix 1689 btc 76524 gold gc 4642 silver si 74 brickell realestate housingmarket,v1s1on-3ndl3ss.bsky.social,v1s1on_3ndl3ss_,did:plc:aq3wnzwalvh432yhuwra5esi,0,0,0,at://did:plc:aq3wnzwalvh432yhuwra5esi/app.bsky.feed.post/3mkqpu6uhs22v,bafyreifdrdp6h7nao42iz5mfjg2q3lkvuaoynwqqrhz3zfntrz6qjmqw4m
2026-04-30T16:42:02.589Z,2026-04-30T16:42:05.373Z,ai education app stock game investment iphone stockmarket spx ndx dopamine ai gme crypto master your skills with virtual trading investment strategies iphone appsapplecomusapppatte,coolxyzmedia.bsky.social,AFB Group ,did:plc:2pw2hjrpyntqqijtnbh77stm,0,0,0,at://did:plc:2pw2hjrpyntqqijtnbh77stm/app.bsky.feed.post/3mkq2mhbnss2f,bafyreicjcbl5mg6lhi3lhoom5q77k5hcieychc4t6e6xcrioabtuhwsebe
2026-04-30T16:02:58.440Z,2026-04-30T16:03:00.575Z,wells the ai cycle is maturing from capexled to monetizationled a healthier phase of the bull market own ndx,carlquintanilla.bsky.social,Carl Quintanilla,did:plc:z6rujpf4u56jfie7aqic2nfg,83,17,7,at://did:plc:z6rujpf4u56jfie7aqic2nfg/app.bsky.feed.post/3mkpyglpvsk2k,bafyreicqenafnwaj3utah4qoaytxeiwngsdozbm3bzwyzzm2d5qm3vuvjm
2026-04-30T12:56:12.553Z,2026-04-30T12:56:18.375Z,nasdaq h1 apple earnings is the big one today will that give us an sdf or a c down as we saw a new ath this morning im inclined to keep looking up especially with the ks gap acting as support but lets see what aapl gives us after the close elliottwave daytrading ndx,snormtrader.bsky.social,Steve Norman,did:plc:u52iq4rsdk4h7da35cicy67j,1,0,0,at://did:plc:u52iq4rsdk4h7da35cicy67j/app.bsky.feed.post/3mkpnymxbu22f,bafyreieejzxmakjg6jpato7gpqjdxok3bmq6ni6ei642rexrxei7hgfwxq
2026-04-30T04:09:37.260Z,2026-04-30T04:09:39.574Z,asian market hour degens pumped up ndx futures by 280 points now it s back to nearly flat hate this stupid semi bubble,hoon.bsky.social,Hoon,did:plc:keibepgn3i4tqyjbdbwy43ue,0,0,0,at://did:plc:keibepgn3i4tqyjbdbwy43ue/app.bsky.feed.post/3mkoqkzdkhk2i,bafyreia5olfrzqdjl7ctsjxbdixe3mh2lqeqyp6thlzmzd53y676uxucqi
2026-04-30T01:16:35.627Z,2026-04-30T01:16:43.275Z,swung by a certain nyc spot to watch 37 of the nasdaq report earnings earnings stocks trading ai finance technology wallstreetgamenotes amzn meta goog googl msft qqq spy ndx youtubecomshortsxtv1j,wallstgamenotes.bsky.social,Wall Street Game Notes,did:plc:ueryzz7oia6qf5idf2g6r4aq,1,0,0,at://did:plc:ueryzz7oia6qf5idf2g6r4aq/app.bsky.feed.post/3mkogvmn6zs22,bafyreibvxialav3cr7weni4n3p3ul6kt7nnlt3zz62gp6lt6v5qfes36su
2026-04-30T00:19:08.240Z,2026-04-30T00:19:08.872Z,5 berita populer ndx aka disomasi polisi tunggu bukti forensik inara rusli,kumparan-poster.bsky.social,kumparan,did:plc:4xhmehz5zokyl44jfjgevqzt,0,0,0,at://did:plc:4xhmehz5zokyl44jfjgevqzt/app.bsky.feed.post/3mkodouzf4m2j,bafyreietpy5pksdhjca3ynfsqohwaui5iolmzjg3f4usmnbhnn2mu5lx4e
2026-04-30T00:04:01.399Z,2026-04-30T00:04:02.272Z,5 berita populer ndx aka disomasi polisi tunggu bukti forensik inara rusli,kumparan-poster.bsky.social,kumparan,did:plc:4xhmehz5zokyl44jfjgevqzt,0,0,0,at://did:plc:4xhmehz5zokyl44jfjgevqzt/app.bsky.feed.post/3mkoctu6wva2k,bafyreidmzirn5d5hsffntbus3cczbdcg3qdowvt4zwnepsgwj3b3rbvn44
2026-04-29T20:32:03.995Z,2026-04-29T20:32:05.793Z,ndx is still ai drunk mostly losses magically reversed,hoon.bsky.social,Hoon,did:plc:keibepgn3i4tqyjbdbwy43ue,2,0,0,at://did:plc:keibepgn3i4tqyjbdbwy43ue/app.bsky.feed.post/3mknwytw3oc22,bafyreicjpfqnrsoh25kpnihuk4he6grqdrrfvufjtn2rw4bvfcbgzan4y4
