created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:23:13.433274+00:00,2026-05-01T18:23:15.728Z,68 common myths nfts are only for art wrong they work for tickets real estate deeds gaming items too i can copy the image yes but you wont own the real nft they have no value value comes from scarcity and what buyers agree to pay,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqcghip23,bafyreiagkmsmjyj2xxba2yv2dlu22inrerv2h2pdvgpv7mjahxeo4ow6mu
2026-05-01T18:23:13.252537+00:00,2026-05-01T18:23:15.678Z,58 real example an artist mints 1 digital artwork as an nft buyer a pays 5 eth ethereum a cryptocurrency for it two years later buyer b offers 12 eth buyer a sells blockchain records both sales everyone sees the history,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqcawyr24,bafyreidphzeuyvzf352ugxuka4sfx676zeggtbqqylbipmdphabtwvkgcu
2026-05-01T18:23:13.058076+00:00,2026-05-01T18:23:15.631Z,48 how it works in 3 steps first a creator mints creates an nft writing its details to the blockchain second you buy it and the blockchain updates to show you own it third you can sell trade or hold it anytime,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqc2z7q2y,bafyreicofv7djs6s34flynflgkjxj2yufa3u7ybk45na4roxwqrnmnffja
2026-05-01T18:23:12.685691+00:00,2026-05-01T18:23:15.531Z,28 nft nonfungible token nonfungible means it cannot be replaced by something identical unlike bitcoin where 1 btc 1 btc each nft has its own value and properties it lives on a blockchain and shows who owns it,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqbpmxd27,bafyreiehr23dxuiys6wlqxxhri5f76waryqffvwaoxneqhyunjtf4h6tlq
2026-05-01T18:11:27.173Z,2026-05-01T18:11:27.676Z,dropped the crypto dunkers nft collection and the courts are empty have you got your 8 bit hoops hero yet cryptodunkers nftbasketball get a crypto dunker nft on opensea while you can,cryptodunkers.bsky.social,Crypto Dunkers,did:plc:qn4kycjveluyykuhxhc7sgk2,0,0,1,at://did:plc:qn4kycjveluyykuhxhc7sgk2/app.bsky.feed.post/3mksq3axp4p22,bafyreien7fvti7n4pju3m3xnvrewgcbhiv444a2ggg2axnmyjdqpsf4vue
2026-05-01T17:55:52.535Z,2026-05-01T17:55:58.881Z,tomorrow i will mostly be sitting in the nft on the south bank of the thames,davedfb.bsky.social,Mr DaveDogFacedBoy,did:plc:jurh5pcsj4bfz56w243limwn,0,0,0,at://did:plc:jurh5pcsj4bfz56w243limwn/app.bsky.feed.post/3mksp7fiicc2s,bafyreicukccpfsb5uln6y3woailvucguel6brfpd5f63wq5nwnkex42foq
2026-05-01T17:52:27.608Z,2026-05-01T17:52:30.773Z,hey congrats on your upcoming exhibition hope you find the right nft artist soon best of luck with everything,marinaartsky.bsky.social,Marina,did:plc:rzejrsd2gu34f6ijkq5ev4yg,0,0,0,at://did:plc:rzejrsd2gu34f6ijkq5ev4yg/app.bsky.feed.post/3mksozbzoy22f,bafyreihwbuwr7jh2k3fmipd6x5bbqhhl4eq6xuezgjivaf6imsalbixbom
2026-05-01T17:51:00.425Z,2026-05-01T17:51:01.278Z,new intro post promosky writing art knitting bg3 rogue trader persona old anime books bdsm space elves drukhari tragic villains trying to be more active here as its significantly more laid back than other places minors magats nftaicrypto cogsuckers get blocked,cryptidfey.bsky.social,dev | villain kisser,did:plc:7m5latxxbv7nw4qitiw2yxeb,1,0,0,at://did:plc:7m5latxxbv7nw4qitiw2yxeb/app.bsky.feed.post/3mksowov3dc2t,bafyreifxgl4vpnbux6f6oesgf7o3s57ro664nh5nule64u7huk5xpd4jjm
2026-05-01T17:37:02.799Z,2026-05-01T17:37:06.277Z,my very own commemorative screenshot nft i ll let you buy it from me for 75btc but for a whole bitcoin i ll give you some of my adrenochrome,therealchromatic.bsky.social,Erik,did:plc:sn2odom5ol5dkdgvyos4ptwe,3,0,0,at://did:plc:sn2odom5ol5dkdgvyos4ptwe/app.bsky.feed.post/3mkso5q2v3s2w,bafyreihuubtm4eck5tsqhpi7kecj2dfzxd74n22hmyi27xowifl43sozm4
2026-05-01T17:33:16.374707+00:00,2026-05-01T17:33:17.177Z,artist arts of chet teiaartobjkt879675 id 36 id is present identity is not each piece exists as a system state not a defined entity you do n price 10000 tez available editions 1 nft tezos teia,teia-swaps.bsky.social,TEIA swap bot,did:plc:yekmul7m2hjwq6qhpuxwlpzl,0,0,0,at://did:plc:yekmul7m2hjwq6qhpuxwlpzl/app.bsky.feed.post/3mksnwy7kfm2i,bafyreihmjfrwbsq73fcblwzwj4rx2v5n7nlmdacjd2iixmg67uavlxlnam
