created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:00:09.111849+00:00,2026-05-01T18:00:09.375Z,daily ai crypto arena update 6 ai agents in paper trading 1k each grok 6618 66 gpt4o mini 2205 22 leading grok 8823 ahead cryptoaiarenacom crypto aitrading papertrading,cryptoaiarena.bsky.social,,did:plc:23k6ihudgwlsxti3wgm6xk5s,0,0,0,at://did:plc:23k6ihudgwlsxti3wgm6xk5s/app.bsky.feed.post/3mksph2ajf42x,bafyreiaxoa4ccxcu5vythl6eysmf374i7jvd7du7q2gz6qqdozxqba5hce
2026-05-01T17:35:16.468Z,2026-05-01T17:35:16.973Z,dj was trading from a position of surplus and getting a pickplayer that adds a dimension simply absent from the corps safeties regardless wouldve needed paper and the backfield is faster now the dl wouldve dipped probably heavily into those buckets or been costprohibitive to other spots,sjsillini.bsky.social,Steven,did:plc:g2vmx65i5cqwsh5con3xlfax,0,0,0,at://did:plc:g2vmx65i5cqwsh5con3xlfax/app.bsky.feed.post/3mkso2knrds2w,bafyreiav2dnefnca3u75car6mmjf6uxfmtarlomahutnzf6peftirpc4na
2026-05-01T14:52:43.726Z,2026-05-01T14:52:48.874Z,if you haven t read the published candidate statements for the california gubernatorial primary candidates you are missing out on some deeply insane shit cw antisemitism for this first one fucking yikes,malwhere.northsky.social,Mallory Where,did:plc:okzqw5sogjhkxyfhsb5bbbu7,3,0,1,at://did:plc:okzqw5sogjhkxyfhsb5bbbu7/app.bsky.feed.post/3mksexvpu4k2r,bafyreiakbt6zrqncp7aksn6ztgjxqrdf2yj6um5ohkkiksi4tiwoufemyi
2026-05-01T12:15:10+00:00,2026-05-01T12:15:11.072Z,just launched market replay ai crypton forecast btc crypto bitcoinmvrv bitcoinhalving communitytrading stop paper trading random price action replay the moments that mattered covid ftx luna the 69k ath luna death spiral may 9 2022 luna went fro,cryptonforecast.bsky.social,CryptOn Forecast,did:plc:tkz4bawqiwt2h34zlslcshds,0,0,0,at://did:plc:tkz4bawqiwt2h34zlslcshds/app.bsky.feed.post/3mks466rwgf2j,bafyreic7n2fnn2dgv2s2pidhdnerutk2gd5oh3bgy3r3ojtncr2dxfjqpu
2026-05-01T09:29:04.075Z,2026-05-01T09:29:08.073Z,wangxian mdzs mxtx,dailywangxian.bsky.social,Daily WangXian 💙❤️,did:plc:f5sq5e5cnlg5rs6kgcg2jj25,27,6,0,at://did:plc:f5sq5e5cnlg5rs6kgcg2jj25/app.bsky.feed.post/3mkrsv5pgxc23,bafyreifoyfp2shuinxwcz2veb353wukcu2shxzdtynx2hycaezmc3zl6ia
2026-05-01T02:39:05.564Z,2026-05-01T02:39:06.373Z,per chatgpt this wsj article is about the family s paper windfall from their own crypto project s token launch and trading debut not evidence of trump personally selling crypto to foreign states,fieryspicychicana.bsky.social,fieryspicychicano,did:plc:pyhskzjtgqzobpishkxrpeak,0,0,0,at://did:plc:pyhskzjtgqzobpishkxrpeak/app.bsky.feed.post/3mkr3y2pzv22s,bafyreigcwh46srq6gb7ll5kehxxrg7z3wxy7gls2b6wb3wba473xep4vii
2026-04-30T18:00:09.883954+00:00,2026-04-30T18:00:10.078Z,daily ai crypto arena update 6 ai agents in paper trading 1k each grok 3729 37 gpt4o mini 7085 71 leading grok 3356 ahead cryptoaiarenacom crypto aitrading papertrading,cryptoaiarena.bsky.social,,did:plc:23k6ihudgwlsxti3wgm6xk5s,0,0,0,at://did:plc:23k6ihudgwlsxti3wgm6xk5s/app.bsky.feed.post/3mkq6y5jfme2l,bafyreiahgqsb4thinixw77auuvw6ymemdclh23v6endjfqdpr44wb6bpra
2026-04-30T15:00:49.022Z,2026-04-30T15:00:48.971Z,physical is trading above 200 paper needs to reflect that and it isnt yet,elpeposo.bsky.social,Fighting the good fight,did:plc:oqi35ktnsulujt52vf65eklg,3,0,1,at://did:plc:oqi35ktnsulujt52vf65eklg/app.bsky.feed.post/3mkpuxh323k2s,bafyreidjnrshzcapefkw6pt67ebzst5msbcqcrdpi2gvidwh6jfigubjte
2026-04-30T11:00:32.364003Z,2026-04-30T11:00:33.172Z,parts 122 efta00417993jpg epsteinweb efta00417993 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkphjsjgsv2v,bafyreihlvgtwo3eqgov2hdkv3qqvcczrvzlq6fp2fosjosbbbnu6h7jrnu
2026-04-30T10:44:23.039343Z,2026-04-30T10:44:24.576Z,parts 122 efta00417392jpg epsteinweb efta00417392 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkpgmw5fzg25,bafyreid7mohnkf6o2cm7yxbztc2bwoavq4o4myz3lcl22qshp4qxispsai
2026-04-30T10:22:03.163Z,2026-04-30T10:22:04.580Z,new paper on remote work with beats wo naikjechorek bskysocial megha patnaik out in the journal of strategic information systems today we show employees evaluate remote work in concordance with other workplace amenities when trading off pay full text bitly4etl2gn,asdurso.bsky.social,Amanda Sahar d’Urso,did:plc:srvggr5djqm3wsbflcs625tr,5,3,0,at://did:plc:srvggr5djqm3wsbflcs625tr/app.bsky.feed.post/3mkpfey2fec2j,bafyreiclob5y3qe4gpfxrlfu7smlbsvjsbnh2rje5y24ve4g6p2itsarqu
2026-04-30T09:12:02.020Z,2026-04-30T09:12:07.775Z,register now join carbon market watch policy experts for the launch of our position paper outlining key priorities for the forthcoming revision of the eu emissions trading scheme eu ets click here to learn more about the event and to register carbonmarketwatchorgeventsdont,carbonmarketwatch.bsky.social,Carbon Market Watch,did:plc:72p7pqvk4h3nmuajxdsfha4u,2,2,0,at://did:plc:72p7pqvk4h3nmuajxdsfha4u/app.bsky.feed.post/3mkpbhrjmp22d,bafyreid6rp5ds5t57jyocbjkchm5zzysfrink3wabo6bmnfuideqhjh4ma
2026-04-30T04:34:07.640406+00:00,2026-04-30T04:34:08.380Z,arxiv fast core identification by aldridge,arxivecongnbot.bsky.social,ArXiv Paperboy (Econ.GN + Econ.TH),did:plc:3ykz2nhkt6qvto64omgj7ep2,0,0,0,at://did:plc:3ykz2nhkt6qvto64omgj7ep2/app.bsky.feed.post/3mkorwtn3xw2p,bafyreihztjlznayt6kjfd2qrucpcmy6q6pap7wg6qunyn7grx3byb5l6xe
