created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:47:22.514Z,2026-05-01T18:47:22.675Z,crab apples should only be able to fall sideways,spacefunmars.bsky.social,Space! Fun! Mars!,did:plc:7iakqoe3enbsucumyyn2o7id,0,0,0,at://did:plc:7iakqoe3enbsucumyyn2o7id/app.bsky.feed.post/3mkss3ic7nc2f,bafyreiev65whtitpgahwlk2xsfrk7jjg7ff3oenfnswras46v52iy4s6ai
2026-05-01T18:44:57.857Z,2026-05-01T18:44:58.377Z,so that one dip shit is streaming again and so i was like well i kinda wanna see how sideways they are after getting shut downbut it was just talking about emp events graphene extraction and semen stuff so just business as usual,cubedweller.bsky.social,"cubedweller, MBA",did:plc:p4c3j224cqahq2piesmrioya,0,0,0,at://did:plc:p4c3j224cqahq2piesmrioya/app.bsky.feed.post/3mksrx6dnzc2j,bafyreifsr7rmx42brzhuakvojrfr3zho6o5noy7mxwjy7n7f4a2tprvnl4
2026-05-01T18:37:44.094Z,2026-05-01T18:37:42.877Z,we should have known things were going to go sideways online when the ackshually meme was invented to demonstrate that youre a jerk for pointing out that someone was posting bad information,scroungin4catsup.bsky.social,Scroungin' 4 Catsup,did:plc:wmq22cxdyq4ljos5yo2fe3cz,0,0,0,at://did:plc:wmq22cxdyq4ljos5yo2fe3cz/app.bsky.feed.post/3mksrkaobdk2b,bafyreidel5vkiex3qgqlmrhsc5l4tix6yhv5sxqgszb4mek5whpubrjas4
2026-05-01T18:35:48.634Z,2026-05-01T18:35:51.079Z,feat me travelling sideways,rincew1nd.bsky.social,Paul Knapton ,did:plc:xvumqgh5duz2r6roonp7s4mz,0,0,1,at://did:plc:xvumqgh5duz2r6roonp7s4mz/app.bsky.feed.post/3mksrgskpgk2r,bafyreie5sor74deip4ebpqgxtale2rgipyuyxklhtdvyh52cpjuzo3sywy
2026-05-01T18:33:07.320Z,2026-05-01T18:33:09.882Z,clearly a sideways and a v,flannelmaniac.bsky.social,Faris D. Flannel / フランネル 🏴‍☠️🏳️‍🌈,did:plc:f2i4dehxetmfmi5valxdlb7c,1,0,0,at://did:plc:f2i4dehxetmfmi5valxdlb7c/app.bsky.feed.post/3mksrbypras2m,bafyreifn6flkoidczfflb7jpvf4jeb577pcp3rcx7xtuef732m3nxcize4
2026-05-01T18:31:30.907Z,2026-05-01T18:31:31.272Z,sideways infinity sign when you write yo fours do you angle and then line down or swooped angle down line across,beastboywonder.blacksky.app,"Sweet Tea, No ICE 🧊",did:plc:h6uj57aeqxty5n4jtjq74y2t,0,0,0,at://did:plc:h6uj57aeqxty5n4jtjq74y2t/app.bsky.feed.post/3mksr74rivs2z,bafyreihbpu4jl55523byjcco7efciksbvactkqxllnl2xxvaojastcizy4
2026-05-01T18:26:11.528Z,2026-05-01T18:26:12.892Z,esp considering his best play style didnt really support it he had some extended flashes between 1720 where he looked like he had gotten there as a complete passer but it never really stuck after that 2020 season went sideways and had him shook,rw530710.bsky.social,Wasabi,did:plc:657lb3667l3gzworvtjptuuk,0,0,0,at://did:plc:657lb3667l3gzworvtjptuuk/app.bsky.feed.post/3mksqvm6te22s,bafyreihw4ce2clb5k4ws7srjy2c3fqrxsqscztx5hx7fdwrlu5o7g3qnpm
2026-05-01T18:25:42.718Z,2026-05-01T18:25:41.280Z,i do the sideways infinity sign im scared of anyone who does the snowman,fluorescentblu.bsky.social,connor.,did:plc:7mkencnf36q425tbqa7ggvwx,0,0,0,at://did:plc:7mkencnf36q425tbqa7ggvwx/app.bsky.feed.post/3mksquqpmlk2m,bafyreifhpas4i5pyzc4aqu7mzw7dm3vcmcczva4stwobxuspkuqojeopra
2026-05-01T18:24:18.565Z,2026-05-01T18:24:18.874Z,sideways infinity,tayloreric.dev,Taylor Eric,did:plc:ajg5c7huhiibhwandhdscpdq,1,0,0,at://did:plc:ajg5c7huhiibhwandhdscpdq/app.bsky.feed.post/3mksqsahgx22f,bafyreigznpm4cl6woi53osqbs77m3jeo6tozoa52n4bfjd3m2hxxiuu6qi
2026-05-01T18:23:15.664Z,2026-05-01T18:23:17.672Z,i smile sideways and whisper now go to the recording set baby,valentinohell666.bsky.social,🚬Valentino🚬,did:plc:b5eodyv2b6z3zsvpe52x2wym,0,0,2,at://did:plc:b5eodyv2b6z3zsvpe52x2wym/app.bsky.feed.post/3mksqqehu6s2x,bafyreics3g2crdtuqrrmphnwnmh5krmhleccmfwxxalffeqlknmmmonbai
2026-05-01T18:22:28.756Z,2026-05-01T18:22:32.813Z,oh its back upright now for the first time in years used to be sideways all the time to fit behind the monitors,liminalitycarb.live,Liminality Carb,did:plc:sszzoomrz3d4xqtcgufvalqn,0,0,0,at://did:plc:sszzoomrz3d4xqtcgufvalqn/app.bsky.feed.post/3mksqoxqdls24,bafyreicyvt33opkwh4ku2xxymkoofzsktihxa2frz7qqgbe5gygnnfozem
2026-05-01T18:17:59.028Z,2026-05-01T18:18:12.775Z,the computer vision in my app is best with physical pieces and monitors printed books can be more challenging but its still fairly robust it doesnt care if a diagram is upside down sideways or glossy chess,chesswave.io,Mathew,did:plc:opuv7rwjrfnazfoj7hg22vnb,0,1,0,at://did:plc:opuv7rwjrfnazfoj7hg22vnb/app.bsky.feed.post/3mksqgwjgwc2z,bafyreiewxrsbpp6xvdeogtxo5eieiz3psgf5wstguw757c6cs36xqgolra
2026-05-01T18:17:11.992Z,2026-05-01T18:17:14.872Z,in honour of the first showing of letty lynton 1932 in 90 years at tcmff today this is the austrian three sheet poster illustrated by austrian artist hans neumann who based it on a photograph by george hurrell the german title translates to the last step,celluloidsoul.bsky.social,🎞️🎥✨celluloidsoul,did:plc:v4befde37v5vyrbydc7jxhyj,6,2,1,at://did:plc:v4befde37v5vyrbydc7jxhyj/app.bsky.feed.post/3mksqfjnlns2z,bafyreicf2yfga6jtpwejpf65icrhywgh73hrhd5e34oct3cbwkwxfwkmf4
2026-05-01T18:12:24+00:00,2026-05-01T18:17:03.972Z,serving major sideeye energy with this purrfectly comfy tee love this memeorable vibe grab yours for only 2099,inktasticmerch.bsky.social,InktasticMerch - Premium Quality Graphic Apparel & Gifts,did:plc:o44edvmrqpo5ta54rqmqvkkg,0,0,0,at://did:plc:o44edvmrqpo5ta54rqmqvkkg/app.bsky.feed.post/3mksqfbbhw72m,bafyreidowoaj2v7tcqqvmmeeahigpnwnpgblf3cxatqftr4szahufkeu6u
2026-05-01T18:09:54.636Z,2026-05-01T18:09:58.078Z,emotionally i relate to the sideways speaker but yay new desk,juraffxiv.bsky.social,✨️ Jura ✨️,did:plc:ctnzdyqxnmpiznvsvihevuqo,0,0,1,at://did:plc:ctnzdyqxnmpiznvsvihevuqo/app.bsky.feed.post/3mkspyikhb225,bafyreicxhemgyrjo7kcqdecyhqxgbmssbeoctowikiohwuy4hkzedzr6fu
2026-05-01T17:59:13.930Z,2026-05-01T17:59:18.481Z,gw35 fpl 409k rolling the transfer palmer from wanting to kick out my team to putting the on him to try and chase down minileague rivals what a uturn expect this to go sideways good luck all,magnumfpl.bsky.social,MagnumFPL,did:plc:6y6splabfzqqcftec5tfetax,10,0,0,at://did:plc:6y6splabfzqqcftec5tfetax/app.bsky.feed.post/3mkspffjrpk26,bafyreihmyzfil574bgwv45srlboqxcy3moovzq3preubauyiaddfz6tiou
2026-05-01T17:58:24.051Z,2026-05-01T17:58:24.473Z,exactly the whitewashing of occupied america begins en force no thanks fuck those people sideways i have zero interest in catering to that audience whatever sales impact be damned,selenearkadia.bsky.social,Selene Arkadia,did:plc:6w66ukeaoqsdd7da3qmkgtyd,1,0,1,at://did:plc:6w66ukeaoqsdd7da3qmkgtyd/app.bsky.feed.post/3mkspdvxguk2d,bafyreig5qzzqfjdjkn2stoocnyojnhbqo7wlrqejrsj42llnhaebxl3yca
2026-05-01T17:57:43.647Z,2026-05-01T17:57:43.872Z,sideways infinity sign,macewindows.bsky.social,Mace Windows,did:plc:qauuhsbjdp3ie2vasl7opdwc,4,0,0,at://did:plc:qauuhsbjdp3ie2vasl7opdwc/app.bsky.feed.post/3mkspcpgftk2m,bafyreighjmbodlhvtp6tolo4swyl24qbafu5sovvgh2ozvbk3ax5a3cnui
2026-05-01T17:50:56.481Z,2026-05-01T17:51:05.908Z,whatever he was doing here richard speight jr at jib16 in rome april 2026 richardspeightjrl jusinbello jib16 supernatural spn,ailesdusoleil.bsky.social,Ailes du Soleil,did:plc:oy6oecqglxirdgdefyyxm66v,4,0,0,at://did:plc:oy6oecqglxirdgdefyyxm66v/app.bsky.feed.post/3mksowl4prc2d,bafyreifila4lf3pyjtc4z5kjjeoodxtvajbit25igr3nh6lu5a2wedde7i
2026-05-01T17:49:52.517Z,2026-05-01T17:49:52.874Z,the sideways infinity sign,bchilln.bsky.social,👑5/27🎂,did:plc:ss5k5ryvmq5yvldwgb3yw3x7,1,0,0,at://did:plc:ss5k5ryvmq5yvldwgb3yw3x7/app.bsky.feed.post/3mksouo4nx22y,bafyreicyefelp7hj7oeuv7s6yzwylqtpibz7v4tnqvpwflsfr6xaprsmqm
2026-05-01T17:47:20.887741+00:00,2026-05-01T17:47:21.173Z,uranus beautiful gallery of the sideways ice giant did this one get you best telescopes for beginners mind blown yet sciencefacts astronomy cosmos physics,spacefeed.bsky.social,Space Feed,did:plc:vuzs7jxarg2rqw6lgu6yrgqj,0,0,0,at://did:plc:vuzs7jxarg2rqw6lgu6yrgqj/app.bsky.feed.post/3mksoq5lvqx2e,bafyreigo7vrmqe3hcdgnua7uqz55a6mlra5chqx5cgqodj3vlvjxlsmsle
2026-05-01T17:43:52.195Z,2026-05-01T17:43:51.374Z,theorists of the postcolonial bildungsroman describe how its subjects denied the adulthood of full citizenship endure unseasonable youth jed esty being always too old too young aging backwards and sideways eternal children but also prematurely available for labor sex trial as adults,jraber.bsky.social,Jesse Raber,did:plc:x2ahzq3dcaw3g72savdkaow4,4,3,2,at://did:plc:x2ahzq3dcaw3g72savdkaow4/app.bsky.feed.post/3mksojwimvk2h,bafyreibw56m7i2bt3cvfuruoognv5mi2op5ru6jagt25xoc7gcqtszjooe
2026-05-01T17:42:51.487Z,2026-05-01T17:42:51.175Z,i had a very slow dismount a couple of years ago sort of ground to a halt riding uphill on a path that was very slippy with wet leaves started to fall sideways towards the downhill side and found myself on the ground with a hole in the knee of my trousers it was weird how i couldnt stop it,ppushbike.bsky.social,Pharmacist on a Pushbike,did:plc:opamas4zuw22jahufksdp2gx,2,0,0,at://did:plc:opamas4zuw22jahufksdp2gx/app.bsky.feed.post/3mksoi4luss2g,bafyreifrytmqhzahwuij2vttnum4ap6p62ctlyeyiteynyxwrb642uicfa
2026-05-01T17:38:04.738Z,2026-05-01T17:38:06.085Z,howling and howling and keeling over sideways on the sofa and alarming the dog at some bunch of eejits metroidvania selfdescribing as orthodoxpunk listen im pure linguistic descriptivist on the side of as a genre suffix it pretty much means vibe and always did get over it but oh wow wow,caffeinatedotter.bsky.social,Caffeinated Otter,did:plc:zjalrqolq46y2e64au5fz6eb,5,0,2,at://did:plc:zjalrqolq46y2e64au5fz6eb/app.bsky.feed.post/3mkso7l4xjc22,bafyreifllta4xswibjopa6xu65j6elvxig7ssfy4yoztlu6snkclwmy6uu
2026-05-01T17:37:19.480Z,2026-05-01T17:37:26.577Z,seagang mixed filipinochinese here i love the veesalastor but i do miscellaneous stuff too,onesidedrdsttc.bsky.social,Pink/Pinkles 🪷,did:plc:zkwaxkay7umlfiddth23fk2y,1,1,0,at://did:plc:zkwaxkay7umlfiddth23fk2y/app.bsky.feed.post/3mkso67z4ak2g,bafyreid4phsqhwxkpyuzy3y2cvu3c3pkrgcdnumkqipxqc4xnucp37obja
2026-05-01T17:35:46.496Z,2026-05-01T17:35:48.273Z,i was feeling very smug when i first set off on my tour de commute some many years ago came to some lights which changed to red stopped realised i was clipped in and proceeded to slowly and gracefully fall sideways onto a metal railing which really really really hurt in front of about 20 cars,mrrichards.eurosky.social,Mr Richards,did:plc:j2xognx2ailk2zjkdbpbiywe,1,0,1,at://did:plc:j2xognx2ailk2zjkdbpbiywe/app.bsky.feed.post/3mkso3hc6k22d,bafyreihc6bpoxbhmnf4bgramt2v3tafcdacdmz6iezu24vrumuvsnkyz24
2026-05-01T17:35:30.200Z,2026-05-01T17:35:33.575Z,breathe,heatherbussing.bsky.social,heather bussing,did:plc:cndleq4fzlxtl3j5mllayqdy,6,0,1,at://did:plc:cndleq4fzlxtl3j5mllayqdy/app.bsky.feed.post/3mkso2xrkws2r,bafyreieoy7e6ykym7aclz64jlwuzn34cwubfm2owpo2v7k54csxuwc2ewe
2026-05-01T17:32:20.782Z,2026-05-01T17:32:19.776Z,similar practiced and practiced first proper ride out along the cinder track from scarborough to whitby all good beautiful day until i got to a crossroads with a pub and a packed beer garden stopped at the line gracefully fell sideways into a ditch to much applause,mikecookson.bsky.social,Mike Cookson 🔶 🇪🇺🏳️‍🌈🏳️‍⚧️,did:plc:dlbmeejvnksdammuktbaesqc,4,0,0,at://did:plc:dlbmeejvnksdammuktbaesqc/app.bsky.feed.post/3mksnvd4bxk2y,bafyreicqtgikhcatg7z5as3gdl6lkyk4nq353o6zi5cixfdvmrzbro634u
2026-05-01T17:28:48.275Z,2026-05-01T17:28:51.781Z,some luxury moves this week lacroix in ahead of the double and semenyo sideways to cherki fpl,jamco24.bsky.social,,did:plc:krzzxnpdzla7aa4ba6dqn7a6,2,0,0,at://did:plc:krzzxnpdzla7aa4ba6dqn7a6/app.bsky.feed.post/3mksnoyhs2k2v,bafyreifn4bde7i5pu4vb6nqrkegdsejlfl7otspvr2xfxyu2kvme4flcd4
2026-05-01T17:28:05.591Z,2026-05-01T17:28:06.099Z,lucky you first proper ride clipped in near whitby end of the ride up a 25 incline struggling but could see corner where its bound to level off made corner turned corner it did not level off checked grass verge for nettles then gently toppled sideways into the grass,deadmanrunning1.bsky.social,,did:plc:qdqn7mwjtpxzxhjq2gq5zw3a,4,0,3,at://did:plc:qdqn7mwjtpxzxhjq2gq5zw3a/app.bsky.feed.post/3mksnnpqgzk2e,bafyreic37hxfks2s4heux65amjxa4qxjio4575arzglaht7qmz5gminaue
2026-05-01T17:24:25.338Z,2026-05-01T17:24:25.575Z,take that ticket shine that summbitch up real nice turn it sideways and shove it straight up,ccvo.bsky.social,,did:plc:kx2jzxzvb4375disuadlp5sz,0,0,0,at://did:plc:kx2jzxzvb4375disuadlp5sz/app.bsky.feed.post/3mksnh5ou7c2p,bafyreigsvzf5dntoehi4qi56czxtmplasnnzskfvqilopu72ezbmblyllu
