created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T16:13:27.614Z,2026-05-01T16:13:28.176Z,intc making the slv move from earlier this year look childish,nycecl76.bsky.social,Dry fly,did:plc:7cal7euseuzoq4gasf4dnnao,1,0,1,at://did:plc:7cal7euseuzoq4gasf4dnnao/app.bsky.feed.post/3mksjib7hlk2w,bafyreigbfp25rh4fnuhyibuu4rqsnlus66gwwzgctaz7bcafjhc5oetzmy
2026-05-01T15:21:46.453Z,2026-05-01T15:21:47.471Z,april stock picking contest update 1st bskysocial mainly on threads long intc short oklo top long cpwhf 192 top short oklo 33 monthly mover bwajk threads 9 positions long goog short slv,utahstock12.bsky.social,,did:plc:icfdggu2ki5g4sdhkdyvmhpd,0,0,0,at://did:plc:icfdggu2ki5g4sdhkdyvmhpd/app.bsky.feed.post/3mksgltpk2c2c,bafyreihcv2efrmoicl2vx3a3v2hj4rzko2i56i2z2hv4h72abgcdkytciq
2026-05-01T13:22:10.379733+00:00,2026-05-01T13:22:10.774Z,slv sol,buzzerintelligence.com,Buzzer intelligence,did:plc:oep3fan37rbecwrogkdgze5j,0,0,0,at://did:plc:oep3fan37rbecwrogkdgze5j/app.bsky.feed.post/3mks7vyfa4h2h,bafyreie3b7l3i5rz7ultosalonam5bo2rw6fxedakj3r5356npwcffukpa
2026-05-01T12:49:50.761Z,2026-05-01T12:49:50.574Z,early 5126 spu20 naz6 dji187 10yr 438 jp40y 396 crude21 gold4 slv18 btc21 movers aapl35 mrk28 sndk42 amgn2 up amrz apd cat cers hsy ppc psky rblx tko txt wtw dn alk bbt car elf fitk kalv meoh rblx ryan sunb tfc,techguy.bsky.social,Andrew Bekoff,did:plc:owxlola3h7eyunlk7kum3rp2,0,0,0,at://did:plc:owxlola3h7eyunlk7kum3rp2/app.bsky.feed.post/3mks646co422j,bafyreifvvbpghzp37peje5cmhtuqfay37vdhajvoowlo46fmj7nwctxtnq
2026-05-01T21:19:32+09:00,2026-05-01T12:19:36.475Z,solana slv ai slv solana slv solana ai,new3rd.bsky.social,サードニュース@相互フォロー100%,did:plc:6vwzq6ohuaspqpg3sa6ebsgw,1,0,1,at://did:plc:6vwzq6ohuaspqpg3sa6ebsgw/app.bsky.feed.post/3mks4g2qdjs25,bafyreiayudlpxfygib2iuscohtpyocvnzp57oigjmzfgqmpo2vulk2os6e
2026-04-30T18:52:28.735Z,2026-04-30T18:51:58.674Z,full post in my telegram channelenru tmewvmkevvslv makklaudfamily furry fursuit anthro fatfurry chubby chubbyfurry fat art furryarts yiff belly fox inflation 18,akihikomakklaud.bsky.social,VinogradnikAki,did:plc:3klkhq3mh6e37ygon5dk6maz,4,0,0,at://did:plc:3klkhq3mh6e37ygon5dk6maz/app.bsky.feed.post/3mkqbvouojc2e,bafyreib7tly2om5nz4wixe2pge2wub5b3pw3jfygu3euumadvwuokzajta
2026-04-30T18:22:43.435Z,2026-04-30T18:22:44.472Z,haha thank you sir great stuff slvagq,coacheric.bsky.social,Coach Eric,did:plc:5puvralndvrltesay5bg7xbw,2,0,0,at://did:plc:5puvralndvrltesay5bg7xbw/app.bsky.feed.post/3mkqaaibkkk24,bafyreie77xxsgp7nsh6nam67alwohh4bsfo5g46m62xkmmc5gbzxh2qfla
2026-04-30T18:33:13.285+05:30,2026-04-30T13:03:14.072Z,apr 30 2026 flow screen showed broad positive divergence on the 30minute chart aapl led as volume and price held into late trade cat ms lly mstr now oklo rklb and slv signaled active dip buying,tradesviz.bsky.social,TradesViz | Trading Performance Analysis,did:plc:kg6gyxccfkin2v5c4wnelg74,0,0,0,at://did:plc:kg6gyxccfkin2v5c4wnelg74/app.bsky.feed.post/3mkpof6cj3p2h,bafyreib72djgr7qfsdkvievscbkplyhmvwdwjtjw7aukbee4yodtec5kay
2026-04-30T12:27:40.320Z,2026-04-30T12:27:40.074Z,early 43026 spu36 naz174 dji332 10yr 439 jp40y 398 crude19 gold18 slv29 btc11 goog8 lly6 meta94 up abbv akr blkb ecg eqix htz lii lyg ntr qcom site ter xmtr dn appn btu ctsh etsy exe form gib kalu meta mvbf oke rs stld wing xoma,techguy.bsky.social,Andrew Bekoff,did:plc:owxlola3h7eyunlk7kum3rp2,0,0,0,at://did:plc:owxlola3h7eyunlk7kum3rp2/app.bsky.feed.post/3mkpmfm24c227,bafyreiffqlyrpigfoecheryy5bg6anosfqc7lbkq3n3gwdca52qal53cwm
2026-04-29T19:20:17.698Z,2026-04-29T19:20:18.474Z,if it doesn t hit the slv at least our peaks are getting some for the watershed,amyathene.bsky.social,Amy Myszko💙🦋,did:plc:cgzgf5f4i6lab553nug6phr2,2,0,0,at://did:plc:cgzgf5f4i6lab553nug6phr2/app.bsky.feed.post/3mknsyj2kbc2h,bafyreia34dsoshjeoxdzxjnrpkws6cs7zjccvcq3tetowsra5cq7dqeuvu
