created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T17:36:42.106Z,2026-05-01T17:36:44.979Z,beyond the verse april review 1055k podcast plays 15m youtube impressions 2101k impressions on x 22k tiktok views 1k raised ytd for extralife sol provision 306 discord members this is community starcitizen,beyondtheverse.bsky.social,Beyond the Verse | Star Citizen,did:plc:3j2rme72x2peqim27by55eg4,0,0,0,at://did:plc:3j2rme72x2peqim27by55eg4/app.bsky.feed.post/3mkso54de4c27,bafyreicsdmupxiv27aqdj3mboiwjctwkaa24wczohh7mackagwehg5hdua
2026-05-01T17:33:01.741307+00:00,2026-05-01T17:33:04.274Z,bortoleto e o p r do sol de miami arte e identidade sobre quatro rodas f1 f rmula1 automobilismo bortoleto,sportnavo.bsky.social,SportNavo,did:plc:xfxobbocq2kw4k72shbxre6f,0,0,0,at://did:plc:xfxobbocq2kw4k72shbxre6f/app.bsky.feed.post/3mksnwkcoze2s,bafyreihxgmjqyzf3242dwxdfrvi7qahggqs4qgvk5ocwvclndt22xo7m74
2026-05-01T17:32:19.090Z,2026-05-01T17:32:19.472Z,crypto market update btc 7820199 201501 265 eth 230245 4485 199 bnb 61911 272 044 sol 8393 1 121 xrp 139 002 179 ada 025 0 142 crypto bitcoin ethereum,fincoins.bsky.social,,did:plc:jbzqupcvxdnzvriubguuvafc,0,0,0,at://did:plc:jbzqupcvxdnzvriubguuvafc/app.bsky.feed.post/3mksnvbmbzx2c,bafyreibjyo3eplqj5ocp7vgzbavh3ui3wcwk2db2pbm7asv5cxmi2f26xq
2026-05-01T17:32:05.876Z,2026-05-01T17:32:06.773Z,amg nem sei saiu um monte de entrevista dela essa semana e eu ainda n li nenhuma mas eles t o sempre descendo o pau nela pq juram de p junto que ela odeia o shane ent o nada de novo sob o sol,pinkinho.bsky.social,mari.,did:plc:qjm7jwpwlqchvz2l46j2v5ct,0,0,1,at://did:plc:qjm7jwpwlqchvz2l46j2v5ct/app.bsky.feed.post/3mksnuuvfd22o,bafyreifpnd5ip4oqyuljydctn4wg5vh6olm6d7uz74hrsttogljufjjqta
2026-05-01T17:30:35.614Z,2026-05-01T17:30:35.873Z,bom dia o sol j est nascendo,tefajal.bsky.social,Synyster Gates,did:plc:nog54xyif3uwarldhmoymrqi,1,0,0,at://did:plc:nog54xyif3uwarldhmoymrqi/app.bsky.feed.post/3mksns6sruc2s,bafyreia4pnmdxaubsqw7blrtgc426td2say3dva56b27clpaerunuz7eym
2026-05-01T17:30:28.867Z,2026-05-01T17:30:30.781Z,queria estar numa casa de praia alugada ou numa pousada deitada numa rede descansando depois de ter passado a manh tomando caldo no mar sabendo que mais tarde vou pra praia de novo pra ver o p r do sol e torrar no sol do fim de tarde ouvindo essa aqui,mialehoi.bsky.social,mia 🌹 limpa há 25 dias 🍒♥️,did:plc:gfnsbbfnxdfyvwyzdnknm6ht,0,0,0,at://did:plc:gfnsbbfnxdfyvwyzdnknm6ht/app.bsky.feed.post/3mksnryeuyk2h,bafyreibnob4g3i3j7ijswta6wsvvtovchtvlm3l6bwrphyjlbymoezdreq
2026-05-01T14:30:09-03:00,2026-05-01T17:30:10.180Z,feriado de sol e movimento marca festa do trabalhador em dois irm os,jornalnh.bsky.social,Jornal NH,did:plc:ki7uk3dvp3btbbke6dxp7gkf,0,0,0,at://did:plc:ki7uk3dvp3btbbke6dxp7gkf/app.bsky.feed.post/3mksnrg35j22v,bafyreibeczcyu4aezqqvdrg4prupggbaasmjxzragapojs4yv53cbs3lcu
2026-05-01T17:29:07.749Z,2026-05-01T17:29:08.486Z,bug n sol bemol maj r t nl yorum,oguzhancinlar.bsky.social,Oğuzhan Çınlar,did:plc:nkzhti3dt7huxcqg2q44ulfg,2,0,0,at://did:plc:nkzhti3dt7huxcqg2q44ulfg/app.bsky.feed.post/3mksnpkzf6c2c,bafyreicnwo2ae2h6dekte5xfz4cx5n56igp3x3ry7z7dywkope6ij6ge4e
2026-05-01T17:28:59.564Z,2026-05-01T17:28:58.475Z,o destino do sol e da lua mencionado,pitty3200.bsky.social,Pitty 🏳️‍🌈 ODSL NA AMAZON,did:plc:qrqsrxrjdcxs73drxn5v5zht,1,0,0,at://did:plc:qrqsrxrjdcxs73drxn5v5zht/app.bsky.feed.post/3mksnpd7kzs26,bafyreidazahptvqxlx5pzox5wj7quowwmj46jcptuqc572kii36eftiwt4
2026-05-01T17:27:22Z,2026-05-01T17:27:24.878Z,nexo expands its 0 balance into sol and xrp becoming a first mover in the cryptocurrency space nexo adds sol and xrp to its cryptocurrencybacked credit product at 0 apr zic allows users to borrow at 0 interest without the risk of liquidation over 30 of nexo loans now use collateral other,a-lismath.bsky.social,,did:plc:yaqmdr5dptgmi6efjwc5ufjk,0,0,0,at://did:plc:yaqmdr5dptgmi6efjwc5ufjk/app.bsky.feed.post/3mksnmibhgh2s,bafyreiex65aenyci2lg4y5cbapv6lwls2hvk34cjxchjs3mptqb5fl4ms4
2026-05-01T17:27:14Z,2026-05-01T17:27:15.374Z,nexo expands its 0 balance into sol and xrp becoming a first mover in the cryptocurrency space nexo adds sol and xrp to its cryptocurrencybacked credit product at 0 apr zic allows users to borrow at 0 interest without the risk of liquidation over 30 of nexo loans now use collateral other,tyo0.bsky.social,,did:plc:ffmkmgnvmvo22ucbrn4yfqr2,0,0,0,at://did:plc:ffmkmgnvmvo22ucbrn4yfqr2/app.bsky.feed.post/3mksnm7glcv2s,bafyreibaghkqo6qaymhjlp4yqtzrzzabo2xlhmp3gqr3ixymclmyq4ffye
2026-05-01T17:26:06.000000Z,2026-05-01T17:29:42.372Z,alerte sur la s curit des piscines horssol trois marques dans le viseur de la r pression des fraudes,news-flows-fr.bsky.social,Actualités françaises 🇫🇷,did:plc:kzmukwaf72iwepygposicgt3,0,0,0,at://did:plc:kzmukwaf72iwepygposicgt3/app.bsky.feed.post/3mksnqliz3q2u,bafyreigyrun6aypqnerxjln5yzup3c3xkbc2a35eqkniucws3r7u4f5wwu
2026-05-01T17:22:36.122Z,2026-05-01T17:22:48.074Z,tack till dalaborgsparken som fyllde 100 r och v nsterpartiet v nersborg f r en fin 1a maj sol v fflor gamla v nner och ett par hundra i publiken tack alla som kom,jonassjostedt.bsky.social,Jonas Sjöstedt,did:plc:xmck2aazkczsvc5fxsvzlirv,7,0,0,at://did:plc:xmck2aazkczsvc5fxsvzlirv/app.bsky.feed.post/3mksndvjytk2v,bafyreia6xnwdbyi4xrfx3rt53r27bx2zehgdc5y6a6jj23vmqpcghxulli
2026-05-01T17:22:12.295Z,2026-05-01T17:22:12.474Z,eski ehirde eskiden chp 1 may s sendikalardan ve sol partilerden ayr yerde mhp ve vatan partisiyle beraber kutlard bu 1 may sta chpli belediye ba kan ay e nl ce ortak kutlamada konu ma yapm o g nleri hat rlay nca ho uma gitti,daghanirak.com,Dağhan Irak,did:plc:wici5y724zewesemwumfgbzo,0,0,0,at://did:plc:wici5y724zewesemwumfgbzo/app.bsky.feed.post/3mksnd6spfk2g,bafyreicoyx6754eqe36idtbz77lt7cgixkpndx2j5w2tkzyumetj4diyu4
2026-05-01T17:21:53.653Z,2026-05-01T17:21:54.172Z,happy mayternity its now your responsibility to impregnate milfsol into a milkgushing broodblimp swollen huger than entire buildings as a reward you can drink her heavy cream straight from the tap until youre so enormously fat that chugging it is all you can do,lunarsolmoth.bsky.social,Sol,did:plc:ovti6vkdjs5fy7xmq5rupkai,8,0,1,at://did:plc:ovti6vkdjs5fy7xmq5rupkai/app.bsky.feed.post/3mksncmztcc2a,bafyreiebrjrq3q74gtam37ynchvoj4tkfxxjxvh3dyd56qyb4d7rc7jgni
2026-05-01T17:21:20.072Z,2026-05-01T17:21:25.475Z,georges barbier,charliemp.bsky.social,♦︎ Les Cordes Vibratoires ♦︎,did:plc:ltd5o5j3llrtijvcdus4foh5,1,0,1,at://did:plc:ltd5o5j3llrtijvcdus4foh5/app.bsky.feed.post/3mksnbmzb622r,bafyreiahzgiaxqmhq7qzohnourejsw7p3ceusc7ugo7vp6bnkdqvfpzpw4
2026-05-01T17:20:09+00:00,2026-05-01T17:20:13.971Z,details ahead of sol summit inaugural festival weekend in el paso el paso texas kfox14cbs4 with the inaugural sol summit music cultura festival set to take over,us-tx-nb.bsky.social,,did:plc:h6ju2yaiha3kohbqjyd2udjs,0,0,0,at://did:plc:h6ju2yaiha3kohbqjyd2udjs/app.bsky.feed.post/3mksn7nlots2s,bafyreicwzlpaijz5kipc732y2u3sjtfxowtwomxk52js7tsctorqkos7l4
2026-05-01T17:15:04.742996+00:00,2026-05-01T17:15:05.575Z,camiseta pra treinar que n o fede e ainda protege do sol sandrini t com 37 off saindo por menos de 50 conto a unidade pra quem treina todo dia essencial,descontassso.bsky.social,,did:plc:3lmhtdse7xghqubcirpkpxdc,0,0,0,at://did:plc:3lmhtdse7xghqubcirpkpxdc/app.bsky.feed.post/3mksmwhkkr22z,bafyreievmsvhvlodrzjqcxs3ourtwpayjhmbsoa4qyq5l2xs3lodtsf35u
2026-05-01T17:14:05.314Z,2026-05-01T17:14:06.172Z,apple ipad pro de 13 pulgadas m4 ultra retina xdr 512 gb c mara frontal de 12 mpx en horizontal y trasera de 12 mpx esc ner lidar wi fi 6e autonom a de sol a sol vidrio est ndar plata baja de 158900 a 144937 ahorro 13963 9,lobocompras.bsky.social,LoboCompras & Coñas Inc.,did:plc:zxbclrdegu36ivu6o2rjx52c,0,0,0,at://did:plc:zxbclrdegu36ivu6o2rjx52c/app.bsky.feed.post/3mksmuorcxx2z,bafyreie3tolvindxnjcw27juzp4rnbmky4nowhjlibpfkqad4hgmsqo6qy
2026-05-01T17:13:59.049Z,2026-05-01T17:14:10.972Z,fa a sol ou fa a chuva o entregador da 99food se foodendo vi um entregador mais cedo no meio da chuva,vanessa-cm.bsky.social,Vanessa,did:plc:asgdwcprq7rkdfeskpecgsks,3,1,0,at://did:plc:asgdwcprq7rkdfeskpecgsks/app.bsky.feed.post/3mksmuig2tc2c,bafyreicpfcq2h2mdyw52vbrddy4f2htrlt4h7gq3qak5uztcxbun2kgydm
2026-05-01T17:10:23.542Z,2026-05-01T17:10:24.473Z,atriz de guerreiros do sol estreia como diretora e vence festival internacional em hollywood,radiotupi.bsky.social,Super Rádio Tupi,did:plc:t3wrluowryruvv7xb5ue2e2t,0,0,0,at://did:plc:t3wrluowryruvv7xb5ue2e2t/app.bsky.feed.post/3mksmo3blal2c,bafyreifkezfxt43lhulj2xfdzaltgx43wllodbcgu5ay5jle3rova6f47q
2026-05-01T17:09:49.882Z,2026-05-01T17:09:50.775Z,estos ltimos d as le he visto las tetas a olivia rodrigo m s veces de las que he visto el sol y no para me salen en bucle,chustilla.bsky.social,¡Alex! ☆,did:plc:can7iptwcxgvbiznkrbpugu6,3,0,1,at://did:plc:can7iptwcxgvbiznkrbpugu6/app.bsky.feed.post/3mksmn2s3ok22,bafyreibmgqwxkc274jwyapxyzmgscipsvfywubov2jqyjrxw25nrxtg5ne
2026-05-01T17:08:55.840Z,2026-05-01T17:08:59.575Z,just added sol and santi to my island what the heck so cute,cloudsdumpster.bsky.social,Cloud 🌥 VGen open!,did:plc:6zpduzoha3y2notwk33cc7ox,2,0,0,at://did:plc:6zpduzoha3y2notwk33cc7ox/app.bsky.feed.post/3mksmlhatcs2e,bafyreigllyap3giizhup7yijakftd4tj7we5ozac3bsp3d6rgr4jxnkkr4
2026-05-01T17:03:48.534Z,2026-05-01T17:03:50.075Z,nah llevar n unas cuantas cervezas encima t no te quites las gafas de sol y todo ir bien,conemedeborgas.bsky.social,Miguel A.,did:plc:xuamrkxcgcq3mdunokg7oerg,1,0,1,at://did:plc:xuamrkxcgcq3mdunokg7oerg/app.bsky.feed.post/3mksmcc6lsc2y,bafyreifflpxu2bp5rckajxdmyylulb3ipwqlinvrkblxxfz4mtc4panf4u
2026-05-01T17:02:47.028561Z,2026-05-01T17:02:47.875Z,o retrouver pierre sol en ligne retrouvez nous sur ainsi que sur manomano leroy merlin amazon castorama jardiland et bricoman des solutions simples pour vos projets ext rieurs pierrenaturelle marketplace travauxmaison amazon,pierreetol.bsky.social,,did:plc:i56oamygu73mfe5csxl2kowh,0,0,0,at://did:plc:i56oamygu73mfe5csxl2kowh/app.bsky.feed.post/3mksmahqwag2g,bafyreiek5bi2vuvxfqpyz6ritao3woe533sdvpukuptye3k4ttysntqjiu
2026-05-01T17:01:52.345Z,2026-05-01T17:01:53.673Z,sur une autre video prise dun autre angle le monsieur qui est au sol sest pris un coup de poing par un crs violences polici res exemple num ro xxxxx,itenarasa.eurosky.social,Itenarasa,did:plc:nyzxwz2ndqhypniaynbz6x66,0,0,0,at://did:plc:nyzxwz2ndqhypniaynbz6x66/app.bsky.feed.post/3mksm6tetwk2i,bafyreiagdjhit5zvyt7fb5whftdhizd7gj5ysqule2z4ihl4zfpvnde3mm
2026-05-01T17:01:50.152487+00:00,2026-05-01T17:01:50.680Z,ub 100xd no 1081 but still significant ub 1081 0139171 vol 113039927 sol risk 20100 high risk whale pumping buzzerintelligencecomscanner crypto ub sol trading,buzzerintelligence.com,Buzzer intelligence,did:plc:oep3fan37rbecwrogkdgze5j,0,0,0,at://did:plc:oep3fan37rbecwrogkdgze5j/app.bsky.feed.post/3mksm6rey272s,bafyreichah6shvr4zl6yi4t2dhmizwquirppdjyqzscvolcey4ll7zz5oq
2026-05-01T17:01:07.386Z,2026-05-01T17:01:07.779Z,nosaltres no ja importam el 85 del que menjam de fet a mallorca almanco no hi ha un sol estudi decent que pugui afirmar que hi ha una millora ambiental despr s dinstal lar una planta fotovoltaica s necess ria s per siguem seriosos t costos importants,terraferida.cat,Terraferida,did:plc:f5aauo3xohe7bysujllsldlm,0,0,0,at://did:plc:f5aauo3xohe7bysujllsldlm/app.bsky.feed.post/3mksm5iirok2x,bafyreigf44o5ovogw3oqxiomtmesjgetruacnxiqc6gqtn53uid4rn2vum
2026-05-01T17:01:05.429Z,2026-05-01T17:01:26.482Z,a nina est aproveitando bem o feriado,lenon.me,Telecurso 2000,did:plc:6knswtfkcuai4w37om3jdaij,3,0,0,at://did:plc:6knswtfkcuai4w37om3jdaij/app.bsky.feed.post/3mksm5gn6hc2r,bafyreififp7y23otcjcunyocckhtwymnq5cer4lxsgjaxsvbjbsmf5urwq
