created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T18:02:39.339Z,2026-05-01T18:02:40.775Z,fnv dreigt met grote ovstaking half juni,kort.news,Kort news,did:plc:kzfzcmo6n3eozy6jycenlre4,0,0,0,at://did:plc:kzfzcmo6n3eozy6jycenlre4/app.bsky.feed.post/3mkspljszxx2k,bafyreic4grc4tfqvcvl3fjqdtpd5h6ysbgburzhmyyajp7hqxivdmcedqe
2026-05-01T18:02:03.418Z,2026-05-01T18:02:06.372Z,fnv dreigt met ovstaking in juni zonder met details te komen nosnll2612682,freddybraaksma.bsky.social,Freddy Braaksma,did:plc:5x4e2dki6brunsgxxok4sihx,0,0,1,at://did:plc:5x4e2dki6brunsgxxok4sihx/app.bsky.feed.post/3mkspkh62fs2z,bafyreieyjow5odacp5ex5mzirlgnkudawzjy2kvz7xbrrazsskw36ndqo4
2026-05-01T18:01:16.720604Z,2026-05-01T18:01:18.173Z,het nieuws van 2000 in het kort nieuws update,kortnieuws.smitsky.nl, Nieuws in het kort,did:plc:tjxreszzw2xsoizu5m2fh5ku,0,0,0,at://did:plc:tjxreszzw2xsoizu5m2fh5ku/app.bsky.feed.post/3mkspj325a52i,bafyreidl2nzibi5vdp4bhehv3aes2ug4ufoicmmnkvnzsikybko4nri3r4
2026-05-01T14:00:29.248-04:00,2026-05-01T18:00:30.172Z,fnv dreigt met landelijke staking in het openbaar vervoer half juni de vakbond fnv overweegt half juni te staken in het openbaar vervoer wat kan leiden tot een landelijke uitval van trein bus tram en metroverkeer de exacte datum en duur van deze potenti le staking zijn n,newsfacts.bsky.social,,did:plc:4q66howsxik5tcvauhell3t7,0,0,0,at://did:plc:4q66howsxik5tcvauhell3t7/app.bsky.feed.post/3mksphnmxdq23,bafyreibprbc5ugeoactho7rzsryarwrxp2onl2w4yi2ocr2kv5my6um2ga
2026-05-01T17:57:19.304Z,2026-05-01T17:57:22.273Z,the stage is set or rather the street with restaurants staking their claim with chairs yellow tape and more marking where customers will soon be able to kick back and enjoy outdoor dining in boston,wbznewsradio.bsky.social,WBZ NewsRadio,did:plc:7z62a7w5wvu4i4zj5hiv2f2n,0,0,0,at://did:plc:7z62a7w5wvu4i4zj5hiv2f2n/app.bsky.feed.post/3mkspby7ke22l,bafyreig7apopewz6cp6rxit6wvfin4vc6pbcvzgfpzp4r5tmrpdlyfrnuy
2026-05-01T17:44:20.571Z,2026-05-01T17:52:59.878Z,alerta en ethereum cientos de wallets reportan anomal as es un ataque masivo o una actualizaci n de red el mercado observa con cautela mientras la liquidez se retira de los exchanges,whisprnews.bsky.social,,did:plc:2zcj2h26r5egcq2qhfhbxncn,0,0,0,at://did:plc:2zcj2h26r5egcq2qhfhbxncn/app.bsky.feed.post/3mksp2aotwi2s,bafyreib6d6yh7ez4vrrlu6imr3jp23w62psfrx4ui6ifuswcn5mff7eyvi
2026-05-01T17:40:33.000Z,2026-05-01T17:42:18.778Z,fnv dreigt met ovstaking in juni zonder met details te komen via nos nieuws nos,nieuws.mastodon.nl.ap.brid.gy,Nieuws,did:plc:ywy2lxtfdki4yg6fqmfev7vl,0,0,0,at://did:plc:ywy2lxtfdki4yg6fqmfev7vl/app.bsky.feed.post/3mksofd7h6ds2,bafyreif2ilyvvtirfwlgyurrdhkeokqdbtn3irfslugm5reoswiakkaqya
2026-05-01T17:38:41.000000Z,2026-05-01T17:49:59.382Z,fnv dreigt met ovstaking in juni zonder met details te komen vakbond fnv dreigt half juni te gaan staken in het openbaar vervoer wanneer die staking precies is en hoelang die zou duren is nog onduidelijk de grootste vakbond van nederland is ontevreden over de kabinetsplannen rond sociale,news-flows-nl.bsky.social,Dutch News,did:plc:toz4no26o2x4vsbum7cp4bxp,0,0,0,at://did:plc:toz4no26o2x4vsbum7cp4bxp/app.bsky.feed.post/3mksouu4uzq2s,bafyreibq4ijmvmb7pz6etywvququ43uzopbrjsotlfrafrhb3hoqfm25gm
2026-05-01T19:38:41+02:00,2026-05-01T17:38:49.972Z,fnv dreigt met ovstaking in juni zonder met details te komen,nieuws.nos.nl,NOS,did:plc:lyblenqvfetjzcdy76w6ohyy,3,2,0,at://did:plc:lyblenqvfetjzcdy76w6ohyy/app.bsky.feed.post/3mksoanpmm2ie,bafyreig2kih2nctaicddke5ie6reobloqoyyxckwgaa4pgxonhouqubzgi
2026-05-01T16:59:05.262Z,2026-05-01T16:59:05.979Z,sediment cores i think they have uninterrupted seasonal sediment layers going back 400k or so but i need to look that up again i think tahoe might be staking a claim too,phaneritic.bsky.social,Ryan J Hollister,did:plc:lrqynwyuoqvc2kqddqsga47q,2,0,1,at://did:plc:lrqynwyuoqvc2kqddqsga47q/app.bsky.feed.post/3mkslztztxk2v,bafyreida5kcygif3xbp5a7tmramj26qbd4436gi4xlxqscu2vt57ux3ome
