created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-05-01T17:29:09.281Z,2026-05-01T17:29:09.776Z,hvordan blei jeg kjent med henne via en bbs som var sosiale medier da jeg var ung uten aldersgrenser uten radikaliserte eldre folk som hater muslimer og transfolk fordi de finner sitt verdensbilde i en russisk p virkningsoperasjon,thorsepus.eurosky.social,hellige pater thorsefar,did:plc:bpq6ej7s2xedax6f65itwdp2,2,0,1,at://did:plc:bpq6ej7s2xedax6f65itwdp2/app.bsky.feed.post/3mksnpmi4c22f,bafyreif7veinnodq6oxqckx5p5vgmvqfmnih3s45bmwhxm2fi66jtetnf4
2026-05-01T17:20:18.552Z,2026-05-01T17:20:18.979Z,for en pallealeneusikker ung pige der flytter hjemmefra for f rste gang forst r jeg det godt,quitte.dk,Torben Quitzau,did:plc:gcn4nipgfa33tc3etpeucotr,1,0,0,at://did:plc:gcn4nipgfa33tc3etpeucotr/app.bsky.feed.post/3mksn7sdkas2q,bafyreianxkboyktp7tn6ntysmdeqievvj3bd4uxi4ht6f43bayofb7wiva
2026-05-01T16:49:45.205828Z,2026-05-01T16:49:46.074Z,th tr ng i n to n l ng t chuy n d ch h ng t i kh n ng sinh l i v i nh ng c t m c th ng m i n i l n ionq dwave v rigetti cho th y ti n b r r t ionq nh m t i c c h th ng 256qubit dwave th hi n c c ng d ng ng n h n rigetti m r ng quy m c c b x l si u d n,informaq-vi.bsky.social,Informaq Tóm Tắt Lượng Tử,did:plc:xrnzjhxtyq4ru42azhqftqvf,0,0,0,at://did:plc:xrnzjhxtyq4ru42azhqftqvf/app.bsky.feed.post/3mkslj6jllo2j,bafyreihaoocgrddubwnep3j5c2fsin2nhccnv44tt66r3lqeuf6radfnpi
2026-05-01T16:30:56.440Z,2026-05-01T16:30:57.479Z,min kvinnelige lege like gammel som meg et par r s tidlig 40 n r jeg foreslo at alle mensforstyrrelsene mine de siste ra kunne v re perimenopause du er for ung for overgangsalderen meg ja men perimenopause f r den hun du er for ung for overgangsalderen meg okei,ingridaminda.bsky.social,Ingrdi,did:plc:uytfc37f5cq4tigyzmuinywc,4,0,3,at://did:plc:uytfc37f5cq4tigyzmuinywc/app.bsky.feed.post/3mkskhjh3q22u,bafyreibwod6dtge6ap22nuvap7iikzrgfn37wm5s7mx2rnhfrl7nnnj4oa
2026-05-01T16:01:50.484Z,2026-05-01T16:01:51.471Z,n r jag var ung fanns det tv falanger inom m de starkaste s var de liberala och bolln s muf gick emot partiet och var f r partnerskap f r homosexuella jag var s l ngt till v nster s s jag begrep inte att uppskatta det,feedersanders76.bsky.social,Anders Johansson,did:plc:elov7v3lgm3xgvhcxrztbo6a,2,0,0,at://did:plc:elov7v3lgm3xgvhcxrztbo6a/app.bsky.feed.post/3mksitiepls2t,bafyreiabwzm7qpburlbhshqtk7ov22uunlm4rkhi5l4l54yrfdvicx6xfa
2026-05-01T15:54:05.446Z,2026-05-01T15:54:08.673Z,norman faber 62 samenbankdirektor,cdniedlich.bsky.social,Caspar David Niedlich,did:plc:lebadevaojb5qe24n6o4bgoh,16,2,1,at://did:plc:lebadevaojb5qe24n6o4bgoh/app.bsky.feed.post/3mksifmv5pk2q,bafyreih4xl4nt73ba3tyxqgrlc3ylxwintvyg2ify67dr7mwusfkrcdmti
2026-05-01T15:32:58+00:00,2026-05-01T15:33:00.177Z,forts ttelse del 45 at hun havde modtaget en mail med et link hvor hun skulle oplyse koden senere p dagen kom der en ung mand og afhentede kortet kvinden tog efterf lgende kontakt til banken og havde f et kortet sp rret hvor banken kunne oplyse,politibot.dk,Politi Bot DK,did:plc:alddemk6x6drnvsouer7bthm,0,0,1,at://did:plc:alddemk6x6drnvsouer7bthm/app.bsky.feed.post/3mksh7vyguc2b,bafyreihrvaebrgaale6lbkwdiwwoacqnxhvcoz5acpp5zypni6e2o66n5a
2026-05-01T15:19:38.020Z,2026-05-01T15:19:41.878Z,i remember ung latolato trend potangina malaro nga ulet un,admiralgatasenkan.bsky.social,アドミ | Adomi 🔞,did:plc:25bhka7cek7uxvshdcdtbish,0,0,0,at://did:plc:25bhka7cek7uxvshdcdtbish/app.bsky.feed.post/3mksghza3722v,bafyreiag35izbnfi5bfpphpoj452wqdclslvwfmzp7ydgql2lxuiorxgju
2026-05-01T15:01:38.401Z,2026-05-01T15:01:38.799Z,men selv da var jo utvalget minimalt sammenlignet med i danmark den rlige danmarksferien var jo som komme til himmelen for en ung tegneserieentusiast hvor selv bokhandlere i sm byer hadde stativ p stativ med album man knapt hadde h rt om hjemme,frodon.eurosky.social,Frode Nygaard,did:plc:nmlrj526pg6hn4z4nhcqndde,1,0,1,at://did:plc:nmlrj526pg6hn4z4nhcqndde/app.bsky.feed.post/3mksfhttwac2w,bafyreieyharxunuugeuqvbembvv6odrohuijqhggvblzwrxd3ogqmpogdm
2026-05-01T14:49:44.606Z,2026-05-01T14:50:04.274Z,vi gick i mitten av t get f rst men tog en avstickare f r att k pa glass vid vasaplatsen v ntade tio minuter till f r att g l ngst bak med ung v nster resten av v gen fastligare talk rer d r och ett plus f r sex ringen att f vara med i rusningen p slutet,amandaduregard.bsky.social,Amanda D,did:plc:vhaw2ygw6e2wncv534qmwlme,3,0,2,at://did:plc:vhaw2ygw6e2wncv534qmwlme/app.bsky.feed.post/3mkseskwz4k24,bafyreic5et3uovnoomnx65gtqvwta4uptsyv3l3pkl7spsytaky36gdp2a
