created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:31:18.829Z,2026-05-01T17:31:20.678Z,leaked benchmarks look impressive for panther lake in handheld form outperforming the amd z2 extreme,digitalfoundry.bsky.social,Digital Foundry,did:plc:sdkjeb6sj3aqwwtwnbuusybk,3,0,0,at://did:plc:sdkjeb6sj3aqwwtwnbuusybk/app.bsky.feed.post/3mksnthzlz22c,bafyreih3txggvk5j6nzlp57ss6tfqmqzisyqpusnxydfq4mgjazv657fkm,0.6421759128570557,"['portfolio', 'equities']","[0.6421759128570557, 0.6380503177642822]",positive,0.949883222579956
2026-05-01T17:30:48.291211Z,2026-05-01T17:30:48.980Z,riot platforms stock soars after its data center launch yet bitcoin mining revenue drops 22 is this a setback for the crypto sector bitcoin,bitcoinlatest.bsky.social,Bitcoin Latest News,did:plc:tm7ee4ozhhxwne575nkp4tsm,0,0,0,at://did:plc:tm7ee4ozhhxwne575nkp4tsm/app.bsky.feed.post/3mksnsl523w2q,bafyreicqyeha27gjimmrlvpkvy3ecvlyudlc5m4wgseesmtmbgxzjgblzm,0.7159936428070068,"['crypto', 'equities']","[0.7159936428070068, 0.6191086769104004]",negative,0.9724970459938049
2026-05-01T17:29:02.896Z,2026-05-01T17:29:05.993Z,monitor dell gaming 27 full hd 240hz ips 05ms amd freesync premium t v 3 estrelas se2726hg por apenas r 103410 em 10x sem juros ative o cupom eletronic10 amznto3ogesjg,caramelopromo.bsky.social,Caramelo das promoções,did:plc:eoprkmorvbv6bw4p3hzj3jns,0,0,0,at://did:plc:eoprkmorvbv6bw4p3hzj3jns/app.bsky.feed.post/3mksnpgfbw22z,bafyreig4yo2xuxr63rd4wl5kxjujxhjfa2zbou5ncsgypz3tyz5ll55unq,0.5636857151985168,"['portfolio', 'equities']","[0.5636857151985168, 0.5568110346794128]",neutral,0.8153925538063049
2026-05-01T17:27:17.000Z,2026-05-01T17:27:29.372Z,last 10 years nvidia nvda 22875 bitcoin btc 17205 amd 10030 tesla tsla 2362 apple aapl 1233 google googl 999 netflix nflx 932 microsoft msft 844 amazon amzn 717 meta meta 425 sp 500 spy 312 gold gld 245 us inflation 39,charliebilello.zpravobot.news.ap.brid.gy,Charlie Bilello :bot:,did:plc:h2gw2tiximbwqpeatsz6rqim,0,0,0,at://did:plc:h2gw2tiximbwqpeatsz6rqim/app.bsky.feed.post/3mksnmimjm5s2,bafyreievfuzaucatrc2px6vebdvtgcjxkiwlqdmkki4o5mzplyilw54jgi,0.7161105871200562,"['crypto', 'macro']","[0.7161105871200562, 0.6682892441749573]",neutral,0.9173952341079712
2026-05-01T17:24:54.971416Z,2026-05-01T17:24:57.672Z,asus amd dual radeon rx 9060 xt 16gb gddr6 dualrx9060xt16g amazon,papalog11.bsky.social,Papalog,did:plc:5bwhugbygkastihtd6wn6wwx,0,0,0,at://did:plc:5bwhugbygkastihtd6wn6wwx/app.bsky.feed.post/3mksni4bnbb2y,bafyreiaiwkg5kccffxbi5lmoip7z6wx56gyvkopew3ald6k3gjm74vy4ti,0.5768388509750366,"['forex', 'equities']","[0.5768388509750366, 0.5646467208862305]",neutral,0.9252641797065735
2026-05-01T17:24:22.328413Z,2026-05-01T17:24:25.076Z,asus amd radeon rx 9060 xt 16gb gddr6 oc primerx9060xto16g amazon,papalog11.bsky.social,Papalog,did:plc:5bwhugbygkastihtd6wn6wwx,0,0,0,at://did:plc:5bwhugbygkastihtd6wn6wwx/app.bsky.feed.post/3mksnh56jfa2z,bafyreidztwhb42ddjeyn43347iaf6mmdmu2wrcfnqooaiinpnhrefi7e3i,0.5703621506690979,"['crypto', 'equities']","[0.5703621506690979, 0.5627704858779907]",neutral,0.9259207844734192
2026-05-01T17:23:41.243731Z,2026-05-01T17:23:44.771Z,asus amd dual radeon rx 9060 xt 16gb gddr6 dualrx9060xt16g amazon,papalog11.bsky.social,Papalog,did:plc:5bwhugbygkastihtd6wn6wwx,0,0,0,at://did:plc:5bwhugbygkastihtd6wn6wwx/app.bsky.feed.post/3mksnfvyzis2p,bafyreibo6ugjnxbyhiphj2z4mt7fbhd2yktk4shdaihvciimjdm3evdkge,0.5768388509750366,"['forex', 'equities']","[0.5768388509750366, 0.5646467208862305]",neutral,0.9252641797065735
2026-05-01T17:17:14.943Z,2026-05-01T17:17:18.172Z,ecr ssd hp ryzen 7 7730u 16gb ddr4 512gb 156 fhd 1920 pc x 1080 pc amd radeon graphics inclui windows 11 instalado laptop gamer 14em0033 con regalo de r 607468 r 297655 51 off link oferta promo o desconto,poupax.bsky.social,poupax,did:plc:xg3d64pr5svduwjieph2hz2s,0,0,0,at://did:plc:xg3d64pr5svduwjieph2hz2s/app.bsky.feed.post/3mksn2fqpr32e,bafyreib4g2jgbuprtmm52dvvko2vfo7pkcdfigmg372x37zvytnb5etoe4,0.5665218234062195,"['portfolio', 'crypto']","[0.5665218234062195, 0.5535799264907837]",neutral,0.8507550358772278
2026-05-01T17:17:01.597Z,2026-05-01T17:17:06.086Z,tambi n te digo que si amd se pone las pilas tienen un nicho de mercado curiosete,fonstarchild.bsky.social,Fon,did:plc:qeprgk2df6ibrgby34zgs4z5,0,0,0,at://did:plc:qeprgk2df6ibrgby34zgs4z5/app.bsky.feed.post/3mksmzwixf222,bafyreigwvvikxnw2ribbnmwuiocppovylswr4clte5gqlh42pduphzrknu,0.5300138592720032,"['crypto', 'derivatives']","[0.5300138592720032, 0.5098361372947693]",positive,0.5294700264930725
2026-05-01T17:11:42.055Z,2026-05-01T17:11:42.280Z,cmon fellas i think 90 of us had a pooping our pants phase amd no ones talkin about it,mummyfriend.bsky.social,Margaret Wartime Esq.,did:plc:lgccdnivnp5uafj7favogagb,1,0,1,at://did:plc:lgccdnivnp5uafj7favogagb/app.bsky.feed.post/3mksmqfrcnk2j,bafyreieotlfmg72i5c3y4j7pnkxa6q3tiziqumejigrta7tcuxmwlhsgf4,0.519227147102356,"['macro', 'derivatives']","[0.519227147102356, 0.5076149106025696]",neutral,0.7321531772613525
