created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:27:17.000Z,2026-05-01T17:27:29.372Z,last 10 years nvidia nvda 22875 bitcoin btc 17205 amd 10030 tesla tsla 2362 apple aapl 1233 google googl 999 netflix nflx 932 microsoft msft 844 amazon amzn 717 meta meta 425 sp 500 spy 312 gold gld 245 us inflation 39,charliebilello.zpravobot.news.ap.brid.gy,Charlie Bilello :bot:,did:plc:h2gw2tiximbwqpeatsz6rqim,0,0,0,at://did:plc:h2gw2tiximbwqpeatsz6rqim/app.bsky.feed.post/3mksnmimjm5s2,bafyreievfuzaucatrc2px6vebdvtgcjxkiwlqdmkki4o5mzplyilw54jgi,0.7161105871200562,"['crypto', 'macro']","[0.7161105871200562, 0.6682892441749573]",neutral,0.9173952341079712
2026-05-01T17:16:04.183028Z,2026-05-01T17:16:04.373Z,memory is missioncritical to the ai infrastructure buildout and the major builders of all that infrastructure googl msft meta amzn all just said that theyre going to keep building big in 2026 and build even more in 2027 with no talk of a slowdown thereafter,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksmy7t5el2h,bafyreidaky4iqeaa43ig236sdvyqezkyl6sbtvfux3duvpmqburwx53fry,0.6101343035697937,"['macro', 'crypto']","[0.6101343035697937, 0.6011621356010437]",neutral,0.8013808727264404
2026-05-01T17:13:29.077Z,2026-05-01T17:13:29.379Z,disneyinterdigital patent fight could have big financial consequences for video streamers and beyond librarythecapitolforumcomdocs9fmgbvd ht bskysocial amzn dis dlb idcc nflx nok psky roku wbd,capitolforum.bsky.social,The Capitol Forum,did:plc:7ilccpe4jsqmwptw6pz6v5uj,0,0,0,at://did:plc:7ilccpe4jsqmwptw6pz6v5uj/app.bsky.feed.post/3mksmtlted22b,bafyreigtdas7vc4iusoqwaxbfvf2jcre6kmhstko2x2wtkpywntzdnumze,0.6145687103271484,"['crypto', 'derivatives']","[0.6145687103271484, 0.5809031128883362]",negative,0.806366503238678
2026-05-01T17:04:55.270Z,2026-05-01T17:04:56.575Z,the most bonkers thing about this chart is not how high it goes but how it stabilizes when it peaks see alt text for notes,peark.es,George Pearkes,did:plc:pnx2fjuannbdpy3337ggthpp,35,0,7,at://did:plc:pnx2fjuannbdpy3337ggthpp/app.bsky.feed.post/3mksmebt7oc2f,bafyreia53aguua52635ug7wdfryqft6ujs27lkldyd32zzo5ww2zl2s6la,0.6415748596191406,"['portfolio', 'equities']","[0.6415748596191406, 0.5862504839897156]",neutral,0.928327202796936
2026-05-01T17:01:07.091Z,2026-05-01T17:01:07.500Z,may 1 2026 bullish momentum persists as fundamentals surge aapl 77100 googl 77100 nvda 62100 v 78100 amzn 68100 stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksm5ieyqh27,bafyreicfb2kqrap4u26toayy2uxghvbkarr6wuseg5dene5rsqmqfrdwqi,0.6839938163757324,"['crypto', 'portfolio']","[0.6839938163757324, 0.653144359588623]",positive,0.5568362474441528
2026-05-01T17:00:45.036Z,2026-05-01T17:00:45.672Z,mercado altista persiste an lise de ia da haruspex 1 mai 2026 aapl 77100 googl 77100 nvda 62100 v 78100 amzn stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksm4tfy3h27,bafyreiemi2zh2gnsa6hdpqzd5bbjpsp4ti5gqhfcaww3t6njiotu2j65qu,0.6969664096832275,"['crypto', 'equities']","[0.6969664096832275, 0.6036945581436157]",neutral,0.837501049041748
2026-05-01T17:00:31.321Z,2026-05-01T17:00:31.977Z,amazon bets on the apprentice reboot as streaming content strategy shifts amzn 413 on the news reality tv facing headwinds amzn streaming contentstrategy medianews amazon,tickrwave.bsky.social,,did:plc:3awrshqc5fstvv2pz57dauud,0,0,0,at://did:plc:3awrshqc5fstvv2pz57dauud/app.bsky.feed.post/3mksm4g6yoi2a,bafyreidazo3qgdwkrv365k4fg7gxe7hkvkkwuf3ryptkb3l2bts6orluoi,0.5948936939239502,"['equities', 'crypto']","[0.5948936939239502, 0.55168616771698]",neutral,0.7927294969558716
2026-05-01T16:44:20.900Z,2026-05-01T16:44:30.377Z,is this the end of the hyperscaler bull run reading between the lines of this weeks quarterly earnings at alphabet meta and amazon opensubstackcompubrockandt amzn meta goog msft spy qqq nvda,rockandturner.substack.com,,did:plc:fs2t6whoughqu2w3kdo2ropx,0,0,0,at://did:plc:fs2t6whoughqu2w3kdo2ropx/app.bsky.feed.post/3mksl7ina7s24,bafyreib4tr54lg6n5xnzy7kltnurafapcadpvm5efikthdevflfp5hk2pq,0.6290863156318665,"['portfolio', 'equities']","[0.6290863156318665, 0.6240684986114502]",neutral,0.5112955570220947
2026-05-01T16:17:15.903Z,2026-05-01T16:17:18.276Z,now live spiderman brand new day funko pops swing into a fresh era of webslinging action no charge until ship and free ship 79 at ee ee fnkppcomeespid amzn fnkppcomamspid fs fnkppcomfsspid ad funkopopnews spiderman marvel brandnewday,funkonews.bsky.social,Funko POP! News,did:plc:gwwqdgboproayuf7aebto5ai,4,1,0,at://did:plc:gwwqdgboproayuf7aebto5ai/app.bsky.feed.post/3mksjp2wdzc2z,bafyreibkkn2emhtxpsi7inisccss2c4gvosw3igvsstmoe3f3kr7gfbn74,0.5831177830696106,"['crypto', 'macro']","[0.5831177830696106, 0.5368081331253052]",neutral,0.910659670829773
2026-05-01T16:07:02.800351+00:00,2026-05-01T16:07:03.873Z,amzn now secondlargest us grocer com,polaronfinance.bsky.social,Polaron Finance,did:plc:v6ktaqawvwl54hpnyyoua7rd,0,0,0,at://did:plc:v6ktaqawvwl54hpnyyoua7rd/app.bsky.feed.post/3mksj4sa5cx23,bafyreih4kxlwqufni3s33356yc7lhb7u664zr5wxunawfdl3udkqri3are,0.5563974976539612,"['forex', 'macro']","[0.5563974976539612, 0.5488854646682739]",neutral,0.9375867247581482
