created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:53:03.847Z,2026-05-01T18:53:05.676Z,yeah i said this before but similarly its not an indictment of liberal democracy as a system that democratic regimes were conquered by the germans for that matter it pattern matches the dumb tankie argument of stalin beat the nazis therefore stalinism is a good system,meatraffle.bsky.social,Mr. Miso Paste,did:plc:mtxxdvikghbwblsx2wf5crat,0,0,0,at://did:plc:mtxxdvikghbwblsx2wf5crat/app.bsky.feed.post/3mkssfnsykk2w,bafyreifbxywi2tgtgqbfv3d25zixohtx563x7c6qp7o63fnx4wh4zx3vfa,0.548518717288971,"['equities', 'portfolio']","[0.548518717288971, 0.5323278307914734]",neutral,0.877547562122345
2026-05-01T18:53:02.791Z,2026-05-01T18:53:04.275Z,obviously theyre not mutually exclusive my point is that it would be great to beat teams because were better than them rather than run ourselves into the ground and still lose,reggietheveggie.bsky.social,Reg the Veg,did:plc:nmsh74f7ol3cuygvfxanxzf4,0,0,0,at://did:plc:nmsh74f7ol3cuygvfxanxzf4/app.bsky.feed.post/3mkssfmsoes2u,bafyreiaamwaqmv7onl6vaqua2msxk6ji7fypueowmxattnecta6mw43c7i,0.5816494226455688,"['forex', 'equities']","[0.5816494226455688, 0.5340269804000854]",neutral,0.6249083876609802
2026-05-01T18:51:57.579Z,2026-05-01T18:51:57.973Z,northeast division beat 248 37 street blockage at 99xx block e northwest hwy reported on 512026 149 pm cdt incident 260821454 dpdidivne dpdibeat248,dallas-alerts.bsky.social,Dallas Alerts Bot,did:plc:rus7u5pcqdscpzjjrkutlr7l,0,0,0,at://did:plc:rus7u5pcqdscpzjjrkutlr7l/app.bsky.feed.post/3mkssdotk7e2w,bafyreic37ljdh2mlkwx4fzi2qa726j56kglzcfwxif2xjlyklgit6632ni,0.5379800796508789,"['portfolio', 'crypto']","[0.5379800796508789, 0.5287483930587769]",neutral,0.8069591522216797
2026-05-01T18:51:51.407Z,2026-05-01T18:51:52.677Z,hullo travelers whimsy is back on tonight as we do some more kh1 proud mode we got into the cave of wonders so let s go beat up a wizard together round 7 pm est see you then vtuber envtuber pngtuber kingdomhearts,mushroomgob.bsky.social,Méadú 🍄- EN Goblin Vtuber 🔞,did:plc:3t6poboyc7duxafovbol5bpl,0,0,0,at://did:plc:3t6poboyc7duxafovbol5bpl/app.bsky.feed.post/3mkssdiq7gs2g,bafyreieizysugmw4pctrnnsdlxa7otq3dh2cmdii2r3b3izohc5bt6t6ea,0.5298978686332703,"['portfolio', 'crypto']","[0.5298978686332703, 0.5274014472961426]",neutral,0.8841071724891663
2026-05-01T18:51:49.638Z,2026-05-01T18:51:48.973Z,the guy that wants to beat your best guys love that for the spurs and the league,pgmhd1.bsky.social,Alex tournament,did:plc:lqfh4tidyxaq2p6euncd3nm7,0,0,0,at://did:plc:lqfh4tidyxaq2p6euncd3nm7/app.bsky.feed.post/3mkssdh26wc2b,bafyreihxphz4fjdxyv7cuc4z3qugi4tmlp3hlf7txtopqps3vmux4zi454,0.5527658462524414,"['derivatives', 'macro']","[0.5527658462524414, 0.5254830718040466]",neutral,0.9063835740089417
2026-05-01T18:51:48.199Z,2026-05-01T18:51:51.677Z,its finally here part one of our xenogears skydive in which we go beat by beat and beyond through one of the most absurdly dense rpgs ever made is ready for our subscribers check out the preflight check from bskysocial to get started,skyboxcritics.com,Skybox,did:plc:ufqdx2azouhi55jts2fhwrjp,1,0,0,at://did:plc:ufqdx2azouhi55jts2fhwrjp/app.bsky.feed.post/3mkssdfocms2j,bafyreib5n5jcys6l2liuwz2p4mszjecx4xthmflo7eb5v3umqdv6n7uv7y,0.5534131526947021,"['crypto', 'equities']","[0.5534131526947021, 0.5489904880523682]",neutral,0.9329204559326172
2026-05-01T18:51:35.934Z,2026-05-01T18:51:36.377Z,nowplaying on kexps middayshow holy fuck event beat holyfuck automagic show playlist on spotify,kexpmusicbot.bsky.social,The 🫠 ᴘʀᴇᴛᴛʏ KEXP 🎶 #NowPlaying Bot,did:plc:vsy6p34jbnnnlv4zymvcgdwl,0,0,0,at://did:plc:vsy6p34jbnnnlv4zymvcgdwl/app.bsky.feed.post/3mkssd2d7cl2d,bafyreig2c4vfy5wqw7ocv7rd6ka7a5zsn3cflqya7batzxybmvuphs3meu,0.5605893135070801,"['crypto', 'equities']","[0.5605893135070801, 0.5339577794075012]",neutral,0.7347267270088196
2026-05-01T18:51:27.750Z,2026-05-01T18:51:39.575Z,a link to the past decades in the making to finally fully beat and 100 this game glad to not say ive never finished alttp cause its boring anymore lol once i got past the opening bits i had decent fun with it for the most part last few dungeons were just extremely annoying tho but not too bad,brizgee.bsky.social,burrito :),did:plc:onhpsuzxf3lopi6mnlw7uaez,0,0,0,at://did:plc:onhpsuzxf3lopi6mnlw7uaez/app.bsky.feed.post/3mksscs6mmk2e,bafyreicivtygygvmy3cdw2iqky6m3bk3sqziful7lpuscoxbayvm6vnc5a,0.5904369354248047,"['crypto', 'equities']","[0.5904369354248047, 0.5477665662765503]",neutral,0.7405862808227539
2026-05-01T18:51:00.470Z,2026-05-01T18:51:00.973Z,event beat holy fuck event beat 2026,kexp-feed.nvm2u.com,KEXP Now Playing,did:plc:br5ljqijmfbqzssqnihdbbmq,0,0,0,at://did:plc:br5ljqijmfbqzssqnihdbbmq/app.bsky.feed.post/3mkssby73ho2w,bafyreihqzxo6al5taxh33uvrowzlqrifkqlsx6fb2wk3iwidlyt5pa3vj4,0.5335850715637207,"['derivatives', 'forex']","[0.5335850715637207, 0.531999945640564]",neutral,0.9174184203147888
2026-05-01T18:50:56.066752Z,2026-05-01T18:51:01.873Z,electronic danny rampling pete lorimer feel every beat 12 remix 1990 album feel every beat ep manchester supergroup from the early 90s featuring members of new order and the smiths who captured the essence of factory records dancerock crossover listen on spotify,balearica.bsky.social,Balearica,did:plc:wepqo3gzell67jf7chhwqdel,0,0,0,at://did:plc:wepqo3gzell67jf7chhwqdel/app.bsky.feed.post/3mkssbyxamp2m,bafyreigxohcuqncynhu33xqwx42mg3a7bdmzosuirsetgzxq5c2kolw7yq,0.523260772228241,"['crypto', 'portfolio']","[0.523260772228241, 0.5093753337860107]",neutral,0.7974783182144165
