created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:01:30+00:00,2026-05-01T18:01:33.775Z,bluechip florida qb wonderful champ monds commits notre dame football quarterbackchamp mondsnoah grubbs teddy jarrardblake hebertcj carrrunning backlathan whisenton isaiah rogersjavian osborne jonaz waltonnolan jamesaneyas williams kedren,rawnfl.bsky.social,Raw NFL,did:plc:vjr7alppw4htiuieppbc5ow3,0,0,0,at://did:plc:vjr7alppw4htiuieppbc5ow3/app.bsky.feed.post/3mkspjkdif52r,bafyreiaev7pix7ao67ovcuswklh4nc67sqtpwtiuyyy4lnbcjsipyzn7oi,0.5473830699920654,"['portfolio', 'equities']","[0.5473830699920654, 0.5371249914169312]",neutral,0.8573774099349976
2026-05-01T17:46:28.787Z,2026-05-01T17:46:34.878Z,friday smile cookies,inmyspeaknowera.swifties.social,Sarah (eldest daughter)❤️‍🔥,did:plc:gtnepfunzgrv3l7kqshlzcla,3,0,0,at://did:plc:gtnepfunzgrv3l7kqshlzcla/app.bsky.feed.post/3mksooltfsc26,bafyreifq7tu4se45bv3muaebkje36oqpltqpr4qtqfrqjzqhoqye2hvbhm,0.5483931303024292,"['derivatives', 'crypto']","[0.5483931303024292, 0.5469982028007507]",neutral,0.8468601703643799
2026-05-01T17:38:20.117Z,2026-05-01T17:38:21.676Z,notre dame football recruiting bluechip florida qb wonderful champ monds commits to the irish,onefootdownsbn.bsky.social,One Foot Down,did:plc:6tyrxcfo3ndewjqfa77d66n7,0,0,0,at://did:plc:6tyrxcfo3ndewjqfa77d66n7/app.bsky.feed.post/3mkso7zsd2c2n,bafyreicjdmzihyuilgcrjsw4kbfearnqfwgjdqeryydgnvpauib5bjh5m4,0.5484691858291626,"['portfolio', 'derivatives']","[0.5484691858291626, 0.542413055896759]",neutral,0.852384626865387
2026-05-01T17:18:45.681Z,2026-05-01T17:19:03.974Z,may shows heres every live music event i could find happening in pittsburgh allegheny county for the month of may 2026 part 1,pghmusictracker.bsky.social,Pittsburgh Local Music Tracker,did:plc:suxan5ecbjdtncxeon2gwv7e,1,0,2,at://did:plc:suxan5ecbjdtncxeon2gwv7e/app.bsky.feed.post/3mksn4zrfuk2y,bafyreifyg7p3uvax6fugcwc66yyulguqwjm7viigbwoyfnzbeberxxkd4q,0.5184145569801331,"['derivatives', 'crypto']","[0.5184145569801331, 0.5171421766281128]",neutral,0.9339630007743835
2026-05-01T16:06:22.887Z,2026-05-01T16:06:21.677Z,low info voters assume that trump is acting to benefit blue chip companies rather than the correct answer of a combination of 1950s nostalgia personal vendettas and brain worms,johnb78.bsky.social,The Pub-Liking Universal Friend,did:plc:t5xfy4acqlmdlooiicnitasm,11,3,0,at://did:plc:t5xfy4acqlmdlooiicnitasm/app.bsky.feed.post/3mksj3m5t4s2h,bafyreibn4v6ixexzvg5zklvs6l6wxjum2iyitflc4smy6mlrgi42qo7oq4,0.5650309324264526,"['equities', 'macro']","[0.5650309324264526, 0.5630813837051392]",neutral,0.8761447072029114
2026-05-01T15:37:30.563Z,2026-05-01T15:37:31.374Z,it s rather ironic that the usa republican elected officials were screaming blue murder at the debt and government spending look at them now spending like drunken sailors on everything except the peoples needs right chip roy just an observation,cdnhelp.bsky.social,,did:plc:v5ua4vbzqsjaqh7sb7hcjf4d,4,1,1,at://did:plc:v5ua4vbzqsjaqh7sb7hcjf4d/app.bsky.feed.post/3mkshhy3hik2u,bafyreihu2t2spotno5rsww3gpwc5v4mdjqlfbx4ids4liv3hlhui6azqiu,0.5903464555740356,"['macro', 'portfolio']","[0.5903464555740356, 0.5315977334976196]",neutral,0.5583907961845398
2026-05-01T15:31:30.149577+00:00,2026-05-01T15:31:30.872Z,new jersey bluechip edge aidan oneil picked notre dame over kentucky and penn state on friday morning uk had hosted this top150 recruit for unofficial visits during the spring semester more here via on x,ksr-on3-bot.bsky.social,KSR Bot,did:plc:cd57gyhuk36tbepneg5o46yk,0,0,0,at://did:plc:cd57gyhuk36tbepneg5o46yk/app.bsky.feed.post/3mksh5agtol2a,bafyreiaqk2bad54zjm5ftnlvqxmrjsjx7wpzzokz3f5vo6sqfivad7mihe,0.5392745137214661,"['portfolio', 'derivatives']","[0.5392745137214661, 0.5365692377090454]",neutral,0.9007243514060974
2026-05-01T14:15:14.939810+00:00,2026-05-01T14:15:15.473Z,pudgy penguins just ripped 46 while you slept coingecko shows massive volume hitting pengu right now the floor price is breaking key resistance levels fast smart money is rotating into blue chip nfts today this momentum shift signals the start of a major run grab the exact en crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mkscuvh6vz24,bafyreifyi7o2knqnvshvbs3aajvno6flelfaxd5s47gsuxbd7ykn3yavle,0.7321212887763977,"['crypto', 'forex']","[0.7321212887763977, 0.6119921803474426]",positive,0.8158235549926758
2026-05-01T14:08:29.980Z,2026-05-01T14:08:31.873Z,the triplescreening teenager is an accurate caricature of modern youth it brings me no pleasure to no wait it gives me great pleasure to report this suck it haters 310 qdus i guess lois is being a bit squelchy,mattweiner19.bsky.social,Matt Weiner,did:plc:gpzumzyrdogumlixcztwtaxq,1,0,1,at://did:plc:gpzumzyrdogumlixcztwtaxq/app.bsky.feed.post/3mkscisw46c2f,bafyreieszrlwglp45e67v5umzwjeospiym4f6rfmt2duea6pxs5j3rinqm,0.5163242816925049,"['forex', 'portfolio']","[0.5163242816925049, 0.5149085521697998]",neutral,0.5201144218444824
2026-05-01T13:17:22.255Z,2026-05-01T13:17:26.577Z,top blue chip stocks india 2026 india s best blue chip stocks for 2026 include reliance tcs hdfc bank more known for stability strong fundamentals longterm returns investing stocks india bluechip finance stockmarket wealth longterm trading money,madhurirathr.bsky.social,madhuri.bsky.social,did:plc:e6nmi2szneq5epikovqnehtl,3,0,0,at://did:plc:e6nmi2szneq5epikovqnehtl/app.bsky.feed.post/3mks7nfcc6s2k,bafyreievtattggcnolg4x4duyyyy5nzzxriulhij7r6g4tjqv3ttymy6fu,0.6782387495040894,"['crypto', 'portfolio']","[0.6782387495040894, 0.6420649290084839]",neutral,0.8366718888282776
