created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:54:50.059Z,2026-05-01T18:54:51.174Z,correction enemy of democracy,jim77508357.bsky.social,,did:plc:o7we6bt54wlnlgjkqhkyp7tj,0,0,0,at://did:plc:o7we6bt54wlnlgjkqhkyp7tj/app.bsky.feed.post/3mkssit47ck2l,bafyreidonlo6tizwjot5332gttdc7rdu6yxzbpplzrz3jz74ugbhyivzqm,0.5327094197273254,"['macro', 'equities']","[0.5327094197273254, 0.5188109278678894]",neutral,0.6144511103630066
2026-05-01T18:54:26.147Z,2026-05-01T18:54:26.779Z,don bacon represents my district but his home state is illinois they should correct the correction,hamuelsanwich.bsky.social,,did:plc:rbekuple4fzu66dldp33gdf2,0,0,0,at://did:plc:rbekuple4fzu66dldp33gdf2/app.bsky.feed.post/3mkssi4chqk2w,bafyreidanap55mdx6lnbedswx4dtmsxwq6trkp25u5rwmsw3foploosohi,0.5332401990890503,"['forex', 'portfolio']","[0.5332401990890503, 0.527734637260437]",neutral,0.8223132491111755
2026-05-01T18:54:17Z,2026-05-01T18:54:18.373Z,les genevoises ont inflig une correction aux argoviennes vendredi en quarts de finale de retour des playoff magdalena sobal a inscrit un tripl,blickmedia.bsky.social,Blick Actualité & Sport,did:plc:a5eagqq4ohdarhmrceyhkj7f,0,0,0,at://did:plc:a5eagqq4ohdarhmrceyhkj7f/app.bsky.feed.post/3mksshubyob2y,bafyreie6fichlv4pmtfwjajuuc3k76qcxkerburydjybaqxtnri6jfhjqi,0.5714231729507446,"['portfolio', 'forex']","[0.5714231729507446, 0.5475513339042664]",positive,0.5925953388214111
2026-05-01T18:49:21.721Z,2026-05-01T18:49:24.179Z,with alt text,tyleraking.com,Tyler King,did:plc:5mzcdrx7k6kh5yzqf4344auz,0,0,0,at://did:plc:5mzcdrx7k6kh5yzqf4344auz/app.bsky.feed.post/3mkss6zy5pc2m,bafyreih2wij64mihens3mcocou5qbyff4g6dqbttlipeylvem47soyumbm,0.5761653184890747,"['crypto', 'equities']","[0.5761653184890747, 0.5740758180618286]",neutral,0.9202702045440674
2026-05-01T18:41:31.897Z,2026-05-01T18:41:33.878Z,correction he just fucked up,hfmatters.bsky.social,Christopher Kelly,did:plc:fc5nqrs6db7t6lhz63aizfzc,0,0,0,at://did:plc:fc5nqrs6db7t6lhz63aizfzc/app.bsky.feed.post/3mksrqzwb7c2o,bafyreibmy2h25fk46yvgg3hn3acmopdud7yzunmybyollmfy6mdughhnti,0.5600669980049133,"['macro', 'derivatives']","[0.5600669980049133, 0.5376627445220947]",neutral,0.6595466732978821
2026-05-01T18:41:25.442Z,2026-05-01T18:41:26.177Z,correction not big loser biggest loser,icebjorn.bsky.social,Icebjorn,did:plc:5knqyfzkhlv5kbtqmt3c6xkh,0,0,0,at://did:plc:5knqyfzkhlv5kbtqmt3c6xkh/app.bsky.feed.post/3mksrqtrajc2l,bafyreihv3ahs763pxb2zcxmk4kho4wcgmxn2ngsboiur662neehc7ohcmq,0.6158236265182495,"['equities', 'portfolio']","[0.6158236265182495, 0.5620723962783813]",neutral,0.8618871569633484
2026-05-01T18:39:31.378Z,2026-05-01T18:39:32.882Z,correction 5 times bskyappprofileimpl,zazalogik.bsky.social,Zazalogik ,did:plc:kp2ewr6h5ijujpt343lbbrxs,2,1,0,at://did:plc:kp2ewr6h5ijujpt343lbbrxs/app.bsky.feed.post/3mksrngybvc2w,bafyreici7p57pt6eny2sx6hr7pw6opvif3ip6bf3ssbngbxsrzhn2uxbhi,0.590471625328064,"['portfolio', 'equities']","[0.590471625328064, 0.5719315409660339]",neutral,0.8896864652633667
2026-05-01T18:37:38.095Z,2026-05-01T18:37:37.917Z,she really is training you so well huh good correction,hexhound.bsky.social,"hexxy, starling shadow",did:plc:wcovbfhcw5dm7oa4fujzyt53,3,0,0,at://did:plc:wcovbfhcw5dm7oa4fujzyt53/app.bsky.feed.post/3mksrk2x6ws2x,bafyreic5y3sz7ua3ruwmm3jbgjkb55n3rws2ldveckc2kge2x6ncz5ghqq,0.5329705476760864,"['forex', 'portfolio']","[0.5329705476760864, 0.523955225944519]",neutral,0.6152338981628418
2026-05-01T18:35:40.708Z,2026-05-01T18:35:41.877Z,nearly five months after an incarcerated man died following a fight with correctional officers at the suffolk county house of correction in boston state medical authorities have yet to issue a cause of death frustrating loved ones and advocates alike massachusetts,andrewqmr.bsky.social,Andrew Quemere,did:plc:e2lstqtgvpff2nvcwujl6lap,0,0,1,at://did:plc:e2lstqtgvpff2nvcwujl6lap/app.bsky.feed.post/3mksrgkys7s2k,bafyreibbkmp2kewcmobwfnqxqszqdlqb5gt62tt63q4j3ivcp32evc5uyq,0.5167121887207031,"['macro', 'derivatives']","[0.5167121887207031, 0.5147727727890015]",negative,0.7858998775482178
2026-05-01T18:31:43.953Z,2026-05-01T18:31:50.075Z,jimmy margulies boils down to one brutal office supply the roberts court did not merely revise the voting rights act it took white out to black voting power votingrightsact louisianavcallais scotus votingrights,ajsdecepida.bsky.social,𝐚𝐧𝐝𝐲 𝐉.𝐒. 𝐃𝐞𝐜𝐞𝐩𝐢𝐝𝐚 🇨🇦 🇺🇦  ¬1𝜄 = 𝗇𝗈𝗍 𝗈𝗇𝖾 𝗂𝗈𝗍𝖺,did:plc:wnhlwfb44kfyi4gb6yc2tvbz,0,0,0,at://did:plc:wnhlwfb44kfyi4gb6yc2tvbz/app.bsky.feed.post/3mksr7j7p3s2h,bafyreiexvlzttrntmcnczfv4jdywdo65h5xoourcxrpzgy2jm4ebu5pco4,0.5714282989501953,"['derivatives', 'macro']","[0.5714282989501953, 0.5185315012931824]",neutral,0.9099624156951904
