created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:47:32.000Z,2026-05-01T18:47:34.672Z,incredible we are looking at consistent 20 spx eps growth rates,mikezaccardi.bsky.social,"Mike Zaccardi, CFA, CMT",did:plc:gftip5r3dmyojn5lat333pp5,3,1,0,at://did:plc:gftip5r3dmyojn5lat333pp5/app.bsky.feed.post/3mkss3tfnck25,bafyreifqvy5frbh2hr6u4zymzl6w76yoeqqhqylwlxenolhqpbxgynvkgu,0.6394944190979004,"['portfolio', 'macro']","[0.6394944190979004, 0.6127327680587769]",positive,0.6717936396598816
2026-05-01T18:46:36.000Z,2026-05-01T18:46:38.771Z,market punishing negative eps surprises more than average,mikezaccardi.bsky.social,"Mike Zaccardi, CFA, CMT",did:plc:gftip5r3dmyojn5lat333pp5,1,0,0,at://did:plc:gftip5r3dmyojn5lat333pp5/app.bsky.feed.post/3mkss25vppy2q,bafyreiaas2rdh22pe5azt4opgipkzbdhuctkpwhqnlhdazsdc4ye4323xq,0.6484792232513428,"['equities', 'portfolio']","[0.6484792232513428, 0.6341841220855713]",negative,0.5922750234603882
2026-05-01T18:46:06.000Z,2026-05-01T18:46:08.571Z,analysts making largest increases in quarterly eps estimates for sp 500 in 5 years,mikezaccardi.bsky.social,"Mike Zaccardi, CFA, CMT",did:plc:gftip5r3dmyojn5lat333pp5,1,1,0,at://did:plc:gftip5r3dmyojn5lat333pp5/app.bsky.feed.post/3mksrzbb4rp2g,bafyreib2prfuseybyqsecfhwfxfdz55kozvunvt5hn7txzeuggnz2y2zhi,0.6398965120315552,"['portfolio', 'equities']","[0.6398965120315552, 0.6218225955963135]",positive,0.8069065809249878
2026-05-01T18:45:07.000Z,2026-05-01T18:45:09.173Z,huge cy 2026 eps bump this past week ty mag 7,mikezaccardi.bsky.social,"Mike Zaccardi, CFA, CMT",did:plc:gftip5r3dmyojn5lat333pp5,1,0,0,at://did:plc:gftip5r3dmyojn5lat333pp5/app.bsky.feed.post/3mksrximgua2m,bafyreieym7zbgl2ozsgqbi436x54aqwyp6rnw6njhi4k4llshvbysj5cfi,0.5921148657798767,"['portfolio', 'macro']","[0.5921148657798767, 0.5666046738624573]",neutral,0.4225497543811798
2026-05-01T18:44:31.704Z,2026-05-01T18:44:32.678Z,we know gobirdsonline has a leg up on us as far as unique games played but were up to 112 across main feed eps patreon bonus eps and livestreams weve done kinda cool to think about especially as our eighth birthday looms in the distance,ftlcast.bsky.social,Follow the Leader (but breezy!),did:plc:347yfek42yrvyuzveerbcwu3,0,0,1,at://did:plc:347yfek42yrvyuzveerbcwu3/app.bsky.feed.post/3mksrwffnv22z,bafyreihofzs5jeefljj5x3srh3dc7o4rpfpn7jdogvumlhp4widck7nnr4,0.5536829829216003,"['equities', 'portfolio']","[0.5536829829216003, 0.5380581617355347]",positive,0.6511784195899963
2026-05-01T18:44:04.000Z,2026-05-01T18:44:06.774Z,84 of sp 500 companies have reported a positive eps surprise and 81 of sp 500 companies has reported a positive revenue surprise for q1 2026 the blended yearoveryear earnings growth rate for the sp 500 is 271 highest since q4 2021,mikezaccardi.bsky.social,"Mike Zaccardi, CFA, CMT",did:plc:gftip5r3dmyojn5lat333pp5,0,0,0,at://did:plc:gftip5r3dmyojn5lat333pp5/app.bsky.feed.post/3mksrvmgfci2s,bafyreifl6ndd5uwea4mqvsqdrqbf45lxzaaks677lvdtmu7oazvs5h6ezu,0.6611737012863159,"['equities', 'portfolio']","[0.6611737012863159, 0.64786696434021]",positive,0.9386147856712341
2026-05-01T18:41:54.292Z,2026-05-01T18:41:53.874Z,yo no me he revisto como 5 veces los eps 5 y 6 de la t2 de born again por dex nooooo nononono nooooo bueno s,goblininthecave.bsky.social,May G 🐍 Comms Open,did:plc:vylhnwytcf2dfxjmsgql4pcw,0,0,0,at://did:plc:vylhnwytcf2dfxjmsgql4pcw/app.bsky.feed.post/3mksrrpbods2g,bafyreif5mzouw6nef5fnybdlr2gadit6oxpsyhexrkmhpu7ysydcemsp74,0.5695746541023254,"['derivatives', 'macro']","[0.5695746541023254, 0.527803361415863]",neutral,0.4857524037361145
2026-05-01T18:33:17.947Z,2026-05-01T18:33:18.178Z,me explaining eps kid not at all interested me just like my dad and me,cubedweller.bsky.social,"cubedweller, MBA",did:plc:p4c3j224cqahq2piesmrioya,0,0,0,at://did:plc:p4c3j224cqahq2piesmrioya/app.bsky.feed.post/3mksrccu45s2u,bafyreibjxonyjr5dzrq7g5efiuq2m7y2qkfc5svqtzlkj5pzb52ometb5i,0.5363447070121765,"['forex', 'macro']","[0.5363447070121765, 0.532884955406189]",neutral,0.9148316979408264
2026-05-01T18:23:55.793Z,2026-05-01T18:23:56.175Z,the halo system is so nice its nice to have artists actually curate their shit properly so i dont have to go digging through random forums to find eps that are lost to time,soymuntmachine.bsky.social,😎Mike😎,did:plc:imuafabnoya5a6y4mc3fog7r,0,0,1,at://did:plc:imuafabnoya5a6y4mc3fog7r/app.bsky.feed.post/3mksqrkqjnc2m,bafyreigjvbvgji7bsrpwvoq7jxq2xokivvta7g7bzzorctxtl4hk4c3xuq,0.56319659948349,"['portfolio', 'equities']","[0.56319659948349, 0.5606604814529419]",neutral,0.910728394985199
2026-05-01T18:11:13.846Z,2026-05-01T18:11:17.178Z,i read the first one years ago and am reading the manga version of cherry magic now quite different from the drama but been enjoying it thus far hob has been on my list for yearsss but i never watched it properly only a few eps iirc but was told the translation was off ill watch that,remiremix.bsky.social,remi ❀,did:plc:6nucw6nebxynqjdvddbtmjtx,1,0,0,at://did:plc:6nucw6nebxynqjdvddbtmjtx/app.bsky.feed.post/3mksq2u3qrk2u,bafyreianwaxxwgpz2zcrmzhlbkcgthogmg7ds7rdho4luygev7zbreowwe,0.5453947186470032,"['portfolio', 'derivatives']","[0.5453947186470032, 0.5338090062141418]",neutral,0.8817319273948669
