created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:26:05.409Z,2026-05-01T18:26:18.278Z,i did some arcs a few rereads and one book i was super mad at mmromance mmromancereads,smmut-hut.bsky.social,Stephanie Lee,did:plc:ax3o3nltm47mvz6nk7yd36ck,0,0,0,at://did:plc:ax3o3nltm47mvz6nk7yd36ck/app.bsky.feed.post/3mksqvgefjs2y,bafyreif2rdaaqhct4od2q7umn25klsdpzdxepcikoite4t5kt2rvkyylqe,0.5765827894210815,"['portfolio', 'equities']","[0.5765827894210815, 0.5639403462409973]",negative,0.5585783123970032
2026-05-01T17:45:30Z,2026-05-01T17:45:30.876Z,osprey private wealth llc institutional holdings osprey private wealth llc filed its 13fhr report on may 1 2026 disclosing institutional holdings as of march 31 2026 totaling 345347696 across 77 positions the portfolio is diversified in largecap stocks and etfs with top continued,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,1,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mksomuks2w2a,bafyreibn3ytfd4ptsssn6a652hij5wjgxk5cwobmusocb7brouw55scf4u,0.626880407333374,"['crypto', 'portfolio']","[0.626880407333374, 0.609045147895813]",neutral,0.9446226358413696
2026-05-01T17:03:13.632Z,2026-05-01T17:03:20.676Z,waiting it s been a ditsy day missed my stop now i have to wait again my companion doesn t mind streetphotography photography humansofbluesky,thoeni.bsky.social,Thoeni,did:plc:q6vk7qkicxryb4swasx6pes4,4,0,0,at://did:plc:q6vk7qkicxryb4swasx6pes4/app.bsky.feed.post/3mksmbavnoc2b,bafyreifcrsw4blpmzcwtdy5yztauxjhojqknfjdjc7uvi66otks4k32ysu,0.5266515016555786,"['crypto', 'equities']","[0.5266515016555786, 0.507185161113739]",neutral,0.887376070022583
2026-05-01T16:09:25.107Z,2026-05-01T16:12:01.155Z,mace the dark age n64 1997 55 theres more,lowpolyhighres.bsky.social,📉𝙇𝙤𝙬-𝙋𝙤𝙡𝙮 📈𝙃𝙞𝙜𝙝-𝙍𝙚𝙨,did:plc:2tfijqu4eljrivk36wwtssk2,8,1,1,at://did:plc:2tfijqu4eljrivk36wwtssk2/app.bsky.feed.post/3mksjdnd4zc2q,bafyreifijol3aosuwkvo2vqoaz6txcyrs7vylgx224zipbtvreen4am7cy,0.5542853474617004,"['derivatives', 'forex']","[0.5542853474617004, 0.5490281581878662]",neutral,0.8864238262176514
2026-05-01T14:58:17.834Z,2026-05-01T14:58:21.876Z,hey artists share something,deepnerd.bsky.social,Deep☆Nerd,did:plc:d5556gdakb4iog5e3ahlanov,3,0,1,at://did:plc:d5556gdakb4iog5e3ahlanov/app.bsky.feed.post/3mksfbuf4mk2q,bafyreihysae5ljr63tmjk7x6viq5re4v4dm36llb3nryvegausgcidbikm,0.5532531142234802,"['crypto', 'portfolio']","[0.5532531142234802, 0.5290184020996094]",neutral,0.9109632968902588
2026-05-01T14:31:36.931Z,2026-05-01T14:31:46.674Z,congratulations to dr francesca modini who has been appointed to a permanent lectureship in greek literature at university college dublin,kingsclassics.bsky.social,King's Classics,did:plc:mof6mbvt2fa6hpk2on7fyub4,1,0,1,at://did:plc:mof6mbvt2fa6hpk2on7fyub4/app.bsky.feed.post/3mksds5mboc2j,bafyreidqnrhwfrqkskdyzsjy363kqjtedcwgkqr2anxoxp4qfdaaobzsxm,0.5316317081451416,"['equities', 'portfolio']","[0.5316317081451416, 0.5264108180999756]",neutral,0.8857496380805969
2026-05-01T14:28:46.208Z,2026-05-01T14:28:46.574Z,yeah privatization of public services isnt beating the fascism charges if facebook was still a fun funny lil cheeky lil site where you could post your relationship status and what movie you just saw and a picture of your brunch thatd be one thing but like amazon and countless other large cap,rohmersimpson.bsky.social,Jaime N. (punny handle tk) Christley,did:plc:rcpkzi26yhxfnhm5uy4lmcqe,4,0,1,at://did:plc:rcpkzi26yhxfnhm5uy4lmcqe/app.bsky.feed.post/3mksdn2s52s2p,bafyreihtn2qi5rxbhakugtoej5pvy4u4arggagtoevlu5juxzu2mql6owm,0.5473745465278625,"['crypto', 'macro']","[0.5473745465278625, 0.5440028309822083]",neutral,0.9200987815856934
2026-05-01T14:09:08.311Z,2026-05-01T14:09:13.973Z,coloraday bwfri streetphotography photography i walked by the cart turned knelt and captured the image then i looked down the alley i saw her looking through the garbage cans i didn t want to disturb her i felt it was a courageous desperate act to look through the garbage for survival,thoeni.bsky.social,Thoeni,did:plc:q6vk7qkicxryb4swasx6pes4,9,0,0,at://did:plc:q6vk7qkicxryb4swasx6pes4/app.bsky.feed.post/3mkscjxhqv22s,bafyreiedo5k2zhkgnas3ehcnhaeicfrhnyhnnttkhzdqc2cdogbgfwls2u,0.522952675819397,"['crypto', 'equities']","[0.522952675819397, 0.5100499391555786]",neutral,0.9120423197746277
2026-05-01T18:33:39.674+05:30,2026-05-01T13:03:40.373Z,sweep activity dominated may 1 2026 as largecap tech drove the tape googl led with a 279 rise in sweep trades with meta and aapl also jumping triple digits as buyers added exposure for a second day qcom and more pic,tradesviz.bsky.social,TradesViz | Trading Performance Analysis,did:plc:kg6gyxccfkin2v5c4wnelg74,0,0,0,at://did:plc:kg6gyxccfkin2v5c4wnelg74/app.bsky.feed.post/3mks6uuwgev2k,bafyreibb5klms23uflzyena3xiudanrfjhnsbrkmsrum3yuhk2w4fajzue,0.6245899796485901,"['portfolio', 'derivatives']","[0.6245899796485901, 0.6200676560401917]",positive,0.9283781051635742
2026-05-01T12:34:47.999Z,2026-05-01T12:34:51.274Z,do you need a little selkie magic and people righting some wrongs in the world unknown depths is out today celialakecombookunknown somethings wrong in the waters around orkney in 1949 when thom asks for help he gets rowena who brings unexpected skills to solving the problem,celialake.bsky.social,Celia Lake,did:plc:3w343c5d72vbhud4hz2fhmrq,10,7,1,at://did:plc:3w343c5d72vbhud4hz2fhmrq/app.bsky.feed.post/3mks5bbemk22t,bafyreicon7o7d7l642tzb6pjyoixlqfvxnv4jfapxm45g6xqpbgatma2mi,0.5302382707595825,"['derivatives', 'crypto']","[0.5302382707595825, 0.5298500657081604]",neutral,0.8396564722061157
2026-05-01T11:59:07.766Z,2026-05-01T11:59:08.677Z,bluechip stocks are stable largecap companies known for reliable performance and dividends appealing to longterm investors,businessbriefly.bsky.social,Business Briefly,did:plc:k5nhe2cypeis5o2nzwvsdefw,0,0,0,at://did:plc:k5nhe2cypeis5o2nzwvsdefw/app.bsky.feed.post/3mks3bijcex2q,bafyreiat57dgjueoizjohte7apluv3yusn55jee7da2jjsk7long22kkxu,0.6732380986213684,"['equities', 'portfolio']","[0.6732380986213684, 0.6638625860214233]",positive,0.7723591923713684
2026-05-01T10:08:35.273Z,2026-05-01T10:08:38.372Z,daily wonho,wayneinau.bsky.social,Wayne | Currently Daily #wonho,did:plc:dd7wikzuv7gailrijc3jiux3,3,0,0,at://did:plc:dd7wikzuv7gailrijc3jiux3/app.bsky.feed.post/3mkrv3t2adc2v,bafyreicfj4etwavn7k63gxo5bjuohtd7i7csyu54gdhywpbukd2skbrr4i,0.5687642097473145,"['crypto', 'derivatives']","[0.5687642097473145, 0.5557817816734314]",neutral,0.8766294121742249
2026-05-01T08:10:58.383394+00:00,2026-05-01T08:10:59.071Z,12 20260501 160154 most largecap technology stocks in the us rose before the market opened with apple rising 2 most largecap technology stocks in the united states rose before the market opened with apple,babygoldie.bsky.social,News by babygoldie,did:plc:xhrtfphu4gzqrztkpb3a63qf,0,0,1,at://did:plc:xhrtfphu4gzqrztkpb3a63qf/app.bsky.feed.post/3mkrojj6lhc2j,bafyreidrwgyddweemks2wtr7qsv3hkehpyacxx2hpheuryumsz6ovtnufq,0.6097471714019775,"['crypto', 'equities']","[0.6097471714019775, 0.5878626704216003]",positive,0.8456924557685852
2026-05-01T05:43:43.141Z,2026-05-01T05:43:48.373Z,time for some weird shit sometimes you just need to put random objects in ur holes its definitely normal furrynsfw kemono transnsfw ftmnsfw tdick hypercock,arqcielnsfw.bsky.social,arc after dark 🔞,did:plc:fbpzxa7u7zhwgrqwxfpasewp,4,1,2,at://did:plc:fbpzxa7u7zhwgrqwxfpasewp/app.bsky.feed.post/3mkrgc75nks2b,bafyreiapkfcdb5rihksd2hule5z52wy5vdrz4t2i2rko3hyfih3ht2iz2i,0.5522339344024658,"['crypto', 'derivatives']","[0.5522339344024658, 0.5036278963088989]",neutral,0.8985104560852051
