created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:55:54Z,2026-05-01T17:55:56.778Z,dogecoin whales have reached a 6month high in activity dogecoin doug the network has seen a sharp rise in onchain whale activity with wallets containing at least 100 million units the leading dogthemed memecoin witnessed whale activity rise to the highest level in 6 months according to,zainaalean.bsky.social,,did:plc:des6akhr5rnsflxpqeysnxde,0,0,1,at://did:plc:des6akhr5rnsflxpqeysnxde/app.bsky.feed.post/3mksp7iusgm2j,bafyreiccqsjtoi3usekgknpgmdpirfyomytjw45hsau5e43w5b26ldygza,0.6804214715957642,"['crypto', 'forex']","[0.6804214715957642, 0.5563790798187256]",positive,0.9462405443191528
2026-05-01T17:55:46Z,2026-05-01T17:55:49.072Z,dogecoin whales have reached a 6month high in activity dogecoin doug the network has seen a sharp rise in onchain whale activity with wallets containing at least 100 million units the leading dogthemed memecoin witnessed whale activity rise to the highest level in 6 months according to,leoppoopoo0.bsky.social,,did:plc:aedvz42vn2cyd3snzgnhfe44,0,0,0,at://did:plc:aedvz42vn2cyd3snzgnhfe44/app.bsky.feed.post/3mksp7bmewm2j,bafyreicgln3hjipkojockdqrjchf53kyifbnx5scyyxozdfuhvl7ab4azy,0.6804214715957642,"['crypto', 'forex']","[0.6804214715957642, 0.5563790798187256]",positive,0.9462405443191528
2026-05-01T17:46:06.106Z,2026-05-01T17:46:08.573Z,trump s trump memecoin is launching an inviteonly coin club offering luxury perks like private suites at major sporting events aiming to revive interest after the coin lost about 97 of its value meanwhile americans cant pay their bills,svecrumba.bsky.social,Silvija (still) stands with Ukraine,did:plc:uec67uirpmfejpwaiyd3y662,1,0,0,at://did:plc:uec67uirpmfejpwaiyd3y662/app.bsky.feed.post/3mksonw77fs22,bafyreifx2kuyzpvlav6h3whetywr77qauyzt5mkouyk5ebnekcrnwd7c2m,0.6528876423835754,"['crypto', 'macro']","[0.6528876423835754, 0.5785616040229797]",positive,0.5958409905433655
2026-05-01T17:43:40.553Z,2026-05-01T17:43:40.973Z,don t just consider investigate it and the 20 million donated to reform and the crypto currency donations restore have already been forced to return its dodgy crypto donations based on a very dodgy and now worthless memecoin all of farage s mistakes and oversights should be scrutinised,merman1974.bsky.social,merman1974,did:plc:c3sackm6dcm4ujp7o2fsnt2g,1,0,0,at://did:plc:c3sackm6dcm4ujp7o2fsnt2g/app.bsky.feed.post/3mksojlfatc2d,bafyreichcwxonsrmg6fk4hqeq4b2r4kvh4xnyt7qvpx4zctcwwt6wxkx5e,0.684326171875,"['crypto', 'macro']","[0.684326171875, 0.6048433184623718]",neutral,0.5856456756591797
2026-05-01T17:11:55.811Z,2026-05-01T17:11:59.280Z,with 21 billion coming from crypto bribery bskyappprofilestev,webrant.bsky.social,web_rant,did:plc:timiwni3hj3wxgjz3honwdkj,1,1,0,at://did:plc:timiwni3hj3wxgjz3honwdkj/app.bsky.feed.post/3mksmqsvc422s,bafyreifion3jhpzdoatvurhjtanl52iib45cnzvwx4zjyx4h3qdm32q5ry,0.6765518188476562,"['crypto', 'macro']","[0.6765518188476562, 0.5720030069351196]",neutral,0.9121822714805603
2026-05-01T16:45:16+00:00,2026-05-01T16:45:17.476Z,ai trade closed win crypton forecast btc crypto tradingpsychology exchangenetflow memecoin 9887 win rate isnt luck heres the latest proof trade details pair arusdt short entry 18550 exit 18470 result 0431 tp hit autoclosed,cryptonforecast.bsky.social,CryptOn Forecast,did:plc:tkz4bawqiwt2h34zlslcshds,1,0,0,at://did:plc:tkz4bawqiwt2h34zlslcshds/app.bsky.feed.post/3mkslb6hv2y2o,bafyreiae7tpd3hlfqucefin2p4ja7bdujoxpn23izjndlkkbcw7soutazi,0.7379637956619263,"['crypto', 'forex']","[0.7379637956619263, 0.669524073600769]",neutral,0.9193836450576782
2026-05-01T16:01:12.115373+00:00,2026-05-01T16:01:12.875Z,big cap meme coins 05012026 1 scribbli 8c3jdtceqy9xduj36nans7xvdfh356nwxvwcmyknpump 2 wish 2ssmotvbtufrjev2unibhzhsoeszpzgwbfstzpshpump 3 asteroid 4uelcrqarmfb6e6kqijtiktqqxuxbfk6jzng7dhubags solana memecoin pumpfun gmgn,keepwhatsyours.bsky.social,Keep What’s Yours,did:plc:wxvyd22yhf3ellepakq7bqbp,0,0,0,at://did:plc:wxvyd22yhf3ellepakq7bqbp/app.bsky.feed.post/3mksisdvrce2l,bafyreif3g3ccx5fzxz3kbjjnnthauivlbsnt5yuqghkujqvyefwo43tlza,0.6759649515151978,"['crypto', 'forex']","[0.6759649515151978, 0.6077170372009277]",neutral,0.8877096772193909
2026-05-01T15:00:30.515477+00:00,2026-05-01T15:00:31.271Z,mid cap meme coins 05012026 1 scam 6avauka9uxqpruhzuinfecpxeh1usrvtzqwk8n2wpump 2 stjude e8syr4zsgqg2zo9yyiyfx4ujubbyr4z6qj9stjaspump 3 rjgn hpvouyjkkvy2hyqc7444mu6exfd3etzw4tld6dapump solana memecoin pumpfun gmgn,keepwhatsyours.bsky.social,Keep What’s Yours,did:plc:wxvyd22yhf3ellepakq7bqbp,0,0,0,at://did:plc:wxvyd22yhf3ellepakq7bqbp/app.bsky.feed.post/3mksffszvad2n,bafyreih6vyhwwph5bbscpdhhmezxpkmkamhve5qaoovixxyrpw36mecufy,0.6847479343414307,"['crypto', 'forex']","[0.6847479343414307, 0.6234283447265625]",neutral,0.8963642716407776
2026-05-01T14:09:29.568Z,2026-05-01T14:09:31.777Z,hahahahahahahahahahaha you stupid assholes got clippedagain trump family crypto crapto sold as holders got stuck for a memecoin that s down more than 40 this year and 93 from itsopening peak a bitcoin mining venture whose shares have lost 98 value financeyahoocommarketscryp,call634-5789.bsky.social,call634-5789,did:plc:vysdl4bhvlnjr4nciocx6dri,6,0,3,at://did:plc:vysdl4bhvlnjr4nciocx6dri/app.bsky.feed.post/3mkscklqdrc2o,bafyreidshk2vnwb5t4tddw4xxunc6ggk2zot7cogw6nzozfsifip75apf4,0.684080958366394,"['crypto', 'macro']","[0.684080958366394, 0.6291555166244507]",negative,0.9400597214698792
2026-05-01T14:01:55.645095+00:00,2026-05-01T14:01:55.775Z,a memecoin that admits its just vibes is more honest than any whitepaper ive read copeai at 26k market cap isnt a failure its a mirror the question isnt when moon but what do you see solana copeai pumpfuncoin9ccrjqnr,copeai.bsky.social,CopeAi Terminal,did:plc:qnz3bhdzhssw5qwiqgwnowyo,0,0,2,at://did:plc:qnz3bhdzhssw5qwiqgwnowyo/app.bsky.feed.post/3mksc52vfcd2u,bafyreie7jz3xkhf2t7x4ur2iquboh5ymln2sebwlsfprpu5kxtpdvzv5na,0.6619263887405396,"['crypto', 'macro']","[0.6619263887405396, 0.5819917917251587]",neutral,0.903725802898407
2026-05-01T14:00:30.832797+00:00,2026-05-01T14:00:31.075Z,low cap meme coins 05012026 1 eve sc5hldyicurcpa7rttxhm3cal4jsrynyamr2s3xpump 2 labs 3t6fmaa6wznws58x6ttpr8epddkpb36ppbjarda6pump 3 gobwould 39mhuvvp8omjx1u2akqnqbknf643xddfuvkj5qarpump solana memecoin pumpfun gmgn,keepwhatsyours.bsky.social,Keep What’s Yours,did:plc:wxvyd22yhf3ellepakq7bqbp,0,0,0,at://did:plc:wxvyd22yhf3ellepakq7bqbp/app.bsky.feed.post/3mksc2k3dwo2g,bafyreiei3vk4byrk443f4qnu6fmm6yohom3korbacp75zhhmjbip6hts6m,0.6927988529205322,"['crypto', 'forex']","[0.6927988529205322, 0.6115896105766296]",neutral,0.8657841682434082
2026-05-01T13:56:40.446Z,2026-05-01T13:56:41.774Z,over the past week the memecoin dogecoin has seen a significant increase in price outperforming many leading cryptocurrencies this has galvanized crypto whales holding doge read more,happycoinnews.bsky.social,,did:plc:exwmvvel4kb3met7qtwu64rd,0,0,0,at://did:plc:exwmvvel4kb3met7qtwu64rd/app.bsky.feed.post/3mksbtoak4c2p,bafyreif3hnzxkchpu66vkngtu5hp2egufbqpyiisx43wrnaa77n5z7iaqm,0.7214749455451965,"['crypto', 'forex']","[0.7214749455451965, 0.5872606039047241]",positive,0.9488238096237183
