created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:36:44.042Z,2026-05-01T17:36:44.675Z,if i may say so i think this works very well on a meta level,mxdshipwreck.bsky.social,caffeine anxiety ego death,did:plc:pwm4rmtcs4su7ybv5rxtmrsg,3,0,0,at://did:plc:pwm4rmtcs4su7ybv5rxtmrsg/app.bsky.feed.post/3mkso566ctc2i,bafyreidlocphyx5koewskwgrrs4if2j3oquaxjyzmfkcbce5z5nvkspv4q,0.5393572449684143,"['macro', 'forex']","[0.5393572449684143, 0.5335777401924133]",neutral,0.6066260933876038
2026-05-01T17:35:41.816419+00:00,2026-05-01T17:35:41.974Z,the thing that makes every guest at my house lose track of time entirely iniu link cable with charging 16ft for meta qu 22 on amazon amazon link limited time price stem science engineering tech ad,jameswebbdiscovery.com,James Webb Space Telescope Discoveries Tracker,did:plc:vdb6gif7jcjcycc3ctcq4d4s,0,0,0,at://did:plc:vdb6gif7jcjcycc3ctcq4d4s/app.bsky.feed.post/3mkso3cvhwj2q,bafyreic5apjjrfbbyva4pspxuds43ah5lqafxqbxetttu36m4skivjktie,0.5285463929176331,"['macro', 'forex']","[0.5285463929176331, 0.5283792018890381]",neutral,0.9385993480682373
2026-05-01T17:35:28+00:00,2026-05-01T17:35:29.975Z,meta acquires robotics ai company to help build humanoid technology,beyondlink.bsky.social,BeyondLink.live,did:plc:joxpffdd3w44tpol34fkx3rk,0,0,0,at://did:plc:joxpffdd3w44tpol34fkx3rk/app.bsky.feed.post/3mkso2wmjsz26,bafyreidzolm5waykz5xkqjtmh3baohnzpczmhccdisisxafsmroimsautm,0.596728503704071,"['crypto', 'forex']","[0.596728503704071, 0.5736979246139526]",neutral,0.6366132497787476
2026-05-01T17:34:18.987Z,2026-05-01T17:34:19.679Z,the other people in my head you dont think that was too metal me fuck it,pricethecreator.bsky.social,Domain Expansion: Unlimited Hands,did:plc:isi7fgpmk6hgsev7nd6ltank,0,0,0,at://did:plc:isi7fgpmk6hgsev7nd6ltank/app.bsky.feed.post/3mksnyttmjs2l,bafyreihh6rgzpvgglyqvsu4jqolfswo5xix6r24ngtgkultuhedmfpj4h4,0.5704631805419922,"['crypto', 'derivatives']","[0.5704631805419922, 0.536656379699707]",neutral,0.7541421055793762
2026-05-01T17:34:00.730Z,2026-05-01T17:34:02.471Z,prevalence and antibiotic resistance profile of staphylococcus pseudintermedius in pyodermic dogs in asia a systematic review and metaanalysis,staph-papers.bsky.social,Staph papers,did:plc:y6msz54alx5qerlvrtff22us,0,0,0,at://did:plc:y6msz54alx5qerlvrtff22us/app.bsky.feed.post/3mksnydhzfq23,bafyreidwvtmhdpazi2ywitw3jm2q6kcegyiq2prguazcl7znov3zvtghnq,0.5282065868377686,"['forex', 'derivatives']","[0.5282065868377686, 0.4871295392513275]",neutral,0.8959020972251892
2026-05-01T17:32:27.586Z,2026-05-01T17:32:33.876Z,there is no antimemetics division by qntm i enjoyed the first 23rds when chapters are structured like an scp monster of the week it s simple prose becomes its own downfall in the last 13 when things spiral it could ve leaned more with its absurdist meta narrative text like house of leaves,jupiterdoomsday.bsky.social,Jupiter Doomsday,did:plc:zsvhmybfm7oieisk6apxa2cx,2,0,0,at://did:plc:zsvhmybfm7oieisk6apxa2cx/app.bsky.feed.post/3mksnvjlxhs2d,bafyreicuitje6zyoooaw236od3kcgccwmxrm3f5chpoudxuymloxpb233a,0.5387779474258423,"['equities', 'crypto']","[0.5387779474258423, 0.5306277275085449]",neutral,0.8741384148597717
2026-05-01T17:31:30.781Z,2026-05-01T17:36:37.175Z,siga nosso novo instagram que a meta derrubou sem motivos com mais de 80k conto com sua for a,dilmaresiste.bsky.social,Dilma Resistente,did:plc:7xvo5igdq4wyk3mhu4fsubcx,0,0,0,at://did:plc:7xvo5igdq4wyk3mhu4fsubcx/app.bsky.feed.post/3mksnttgpm225,bafyreidiyzv37vzrvgpijpyotmqg2yuenzt763is6m7ema5b3kmqkqymn4,0.5683028101921082,"['crypto', 'macro']","[0.5683028101921082, 0.5393421053886414]",positive,0.7424490451812744
2026-05-01T17:31:18.868Z,2026-05-01T17:31:26.073Z,le miracle conomique nazi que j avais appris au coll ge les autoroutes la r duction du ch mage c est de la blague quand on fait des m ta tudes sur les donn es dont on dispose on se rend compte que la contribution de la politique nazie au retournement conomique est tr s faible chapoutot,rosalouette.eurosky.social,Rosa🌸Louette🔻,did:plc:ty2fcnqw5rgtp236nw4z65bn,5,4,1,at://did:plc:ty2fcnqw5rgtp236nw4z65bn/app.bsky.feed.post/3mksnti2s3s2c,bafyreib2o3etzttb75whxi3fpbs7yqiiqfby5na33peyixrmjk3nycwpgu,0.5359768271446228,"['portfolio', 'crypto']","[0.5359768271446228, 0.5255329608917236]",neutral,0.5452688336372375
2026-05-01T17:31:06.605Z,2026-05-01T17:31:09.177Z,effect size distributions esds can help determine smallmediumlarge effects but publication bias may lead to imprecision iceberg plots visualize a raw esd against a pub biasadjusted esd build this using data typically reported in published metaanalyses via our new esdist r package,dsquintana.bsky.social,Dan Quintana,did:plc:ho22o3jwfn4k7diklsrfnazt,0,0,0,at://did:plc:ho22o3jwfn4k7diklsrfnazt/app.bsky.feed.post/3mksnt4emhk2m,bafyreifi6ltnw2p374qmnc35okvgnx6mzmvvc5ovajjiwud4tadztuzw7m,0.5975467562675476,"['portfolio', 'equities']","[0.5975467562675476, 0.5458334684371948]",neutral,0.9245566725730896
2026-05-01T17:30:30.573Z,2026-05-01T17:30:30.977Z,remember when self reskeeting every 2 hours was the posting meta you had to read someones unfunny joke in three timezones while telling them dont worry itll do numbers once honolulu wakes up,lammatic.hellthread.vet,Bsky Kreuger,did:plc:sf7ww2deamlqatkpcgwspucw,2,0,0,at://did:plc:sf7ww2deamlqatkpcgwspucw/app.bsky.feed.post/3mksnrzywz22m,bafyreigpdlul34e4srbhiupk4vbig6jhbknrptu5nomaqmsrhqrleota2y,0.5278574824333191,"['macro', 'derivatives']","[0.5278574824333191, 0.5112712383270264]",neutral,0.7997638583183289
