created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:55:45.426Z,2026-05-01T17:55:46.379Z,mr moon where are you,deb-o-rah.bsky.social,Zebra 🦓,did:plc:u45ehe37sgxwnax5hyg7abam,0,0,0,at://did:plc:u45ehe37sgxwnax5hyg7abam/app.bsky.feed.post/3mksp76olnc2e,bafyreibwrbhmzv3sxn5rrladq6sgq6aepmwraxy5iknle3yaq66rczgwj4,0.5122436285018921,"['equities', 'crypto']","[0.5122436285018921, 0.5102132558822632]",neutral,0.7763187289237976
2026-05-01T17:55:32.498Z,2026-05-01T17:55:35.676Z,property of blockbuster video is throwing me back found this at a retro game store the other day what was your fav game to rent from blockbuster i was always playing harvest moon a wonderful life,aridotrawr.bsky.social,aridotrawr,did:plc:emzfoow6aiiwdx2tfd4yehl3,0,0,0,at://did:plc:emzfoow6aiiwdx2tfd4yehl3/app.bsky.feed.post/3mksp6seff22j,bafyreiaszh4mqoov664xuquawxiitcml4snn5wpxnnhahiixgps4k4hp7q,0.5808504819869995,"['equities', 'portfolio']","[0.5808504819869995, 0.5422735810279846]",neutral,0.8937546014785767
2026-05-01T17:55:28.878Z,2026-05-01T17:55:33.874Z,god i love these pixel backgrounds,forseti.bsky.social,Edu (⚠Forbidden Invalid CHAOS),did:plc:hzynmbe3fjlfzni45l3i7nvb,0,0,0,at://did:plc:hzynmbe3fjlfzni45l3i7nvb/app.bsky.feed.post/3mksp6ovngs2g,bafyreibcf3ccm4mni5ab66hem4bujko5ohcgi6ggblqzfb2lb2b6sixh2q,0.5378010869026184,"['derivatives', 'macro']","[0.5378010869026184, 0.5276180505752563]",neutral,0.7636855244636536
2026-05-01T17:54:57.480Z,2026-05-01T17:55:01.575Z,the furys hallow the final moon of our spring series has arrived kicking off with the season s penultimate duel night join us for drinks dishes and duels as we watch the matches unfold friday may 1st 8 pm 12 am est primal ultros emp w6 p32 ffxivrp primal ultros,furys-hallow.bsky.social,The Fury's Hallow,did:plc:eggypahdd7vqaeb4o7zb5723,0,0,0,at://did:plc:eggypahdd7vqaeb4o7zb5723/app.bsky.feed.post/3mksp5qxjbs2q,bafyreifwihejrdzvwo3vw77sjtqepxpruw4wuupqqgzldcx3szg3k63ijm,0.5799693465232849,"['equities', 'portfolio']","[0.5799693465232849, 0.5619639158248901]",neutral,0.8818102478981018
2026-05-01T17:54:53.060Z,2026-05-01T17:54:53.779Z,and the world is flat and the moon is made of cheese,caroline259.bsky.social,Michael Wickham,did:plc:fptdwzswmp6cbkhlw3ov5i4m,0,0,0,at://did:plc:fptdwzswmp6cbkhlw3ov5i4m/app.bsky.feed.post/3mksp5mqixs25,bafyreiclme3omelucxzlkbgndqtkfw34ix5xgc7siyemqybotskjjsdjom,0.5466353893280029,"['crypto', 'macro']","[0.5466353893280029, 0.5277906060218811]",neutral,0.8803328275680542
2026-05-01T17:54:47.939Z,2026-05-01T17:54:49.676Z,moon looks amazing tonight it also looks way too close nice to see you back btw,thesizedogthing.bsky.social,Sizey Dog,did:plc:7i6yx26ybr5ohwvgc45tk22x,0,0,0,at://did:plc:7i6yx26ybr5ohwvgc45tk22x/app.bsky.feed.post/3mksp5hu7yk2j,bafyreid4knox46nljsztoked5k27hxse5pmxs2naj467h4aybqwmocpfiu,0.6094982624053955,"['portfolio', 'equities']","[0.6094982624053955, 0.5938864946365356]",neutral,0.8682385087013245
2026-05-01T17:54:36.181Z,2026-05-01T17:54:36.672Z,and i loves gus to the moon and back and always will i miss him every day but i know that we meet gus in our dreams kelsey and don t we have the bestest shenanigans please gives your mummy the tightest hugs and most kisses from me loves you besties and aunty m,riverandmummy.bsky.social,River,did:plc:qtr2yyftx5qewxzpn5oaqabi,0,0,0,at://did:plc:qtr2yyftx5qewxzpn5oaqabi/app.bsky.feed.post/3mksp54nfl22y,bafyreihj642vhq5egfojkvbhxhv75akcxckkcnrkdworae52g3tqhw6xke,0.5362440347671509,"['derivatives', 'forex']","[0.5362440347671509, 0.535774290561676]",neutral,0.9114104509353638
2026-05-01T17:54:31.386Z,2026-05-01T17:54:06.001Z,happy full moon flower moon fullmoon fullmoonritual spiritualawakening fullmoonenergy flowerfullmoon happyfullmoon healing energy reiki reikihealing 1mai mai spirituality affirmation namaste 66,good-news-stories.bsky.social,"🌈Good News: Inspirational, Hopeful & Uplifting News Stories 🌿",did:plc:zqsvawcuz7aqnqtsnv2sbgoz,1,1,0,at://did:plc:zqsvawcuz7aqnqtsnv2sbgoz/app.bsky.feed.post/3mksp4y33wk2l,bafyreicgecnmwoaeshqeaiocuvbrzwgg6mq25ywmhz4q2qxubxawbeclfi,0.5909115672111511,"['crypto', 'derivatives']","[0.5909115672111511, 0.5120528340339661]",neutral,0.8763463497161865
2026-05-01T17:54:20.771Z,2026-05-01T17:54:22.272Z,may 2026 transits aspects may 1 full moon in scorpio may 3 mercury enters taurus may 6 pluto goes retrograde may 16 new moon in taurus may 17 mercury enters gemini may 18 mars enters taurus may 19 venus enters cancer may 21 sun enters gemini may 31 full moon in sagittarius,rockywritershop.bsky.social,Rocky Writer Shop,did:plc:xjzk6dqahvzzvlnnfichok5f,0,0,0,at://did:plc:xjzk6dqahvzzvlnnfichok5f/app.bsky.feed.post/3mksp4nx5ps2y,bafyreigoxil4j2yu4dzi5j4saqrrx46wzgawh2csxxpqmwnttdyogf3w3y,0.5758915543556213,"['derivatives', 'forex']","[0.5758915543556213, 0.567402184009552]",neutral,0.7944439053535461
2026-05-01T17:54:19.989Z,2026-05-01T17:54:26.274Z,fuck off grey gul and gays motherfucker fuck off rashida and mother figure fuck off mother figure criminal masonry sick jealous woman go back to your russia take your whole family with you and nans and moon family,dsards92.bsky.social,Dsards,did:plc:xqwhmerd4grgnkmndwyyv3kv,0,0,0,at://did:plc:xqwhmerd4grgnkmndwyyv3kv/app.bsky.feed.post/3mksp4naxr22l,bafyreiceqncvfziazuf4x3n3zyn3lwat5hlh4sztxoaqbdftuzzc6hhjhy,0.5419617295265198,"['crypto', 'macro']","[0.5419617295265198, 0.5363783836364746]",neutral,0.5034113526344299
