created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:27:17.000Z,2026-05-01T17:27:29.372Z,last 10 years nvidia nvda 22875 bitcoin btc 17205 amd 10030 tesla tsla 2362 apple aapl 1233 google googl 999 netflix nflx 932 microsoft msft 844 amazon amzn 717 meta meta 425 sp 500 spy 312 gold gld 245 us inflation 39,charliebilello.zpravobot.news.ap.brid.gy,Charlie Bilello :bot:,did:plc:h2gw2tiximbwqpeatsz6rqim,0,0,0,at://did:plc:h2gw2tiximbwqpeatsz6rqim/app.bsky.feed.post/3mksnmimjm5s2,bafyreievfuzaucatrc2px6vebdvtgcjxkiwlqdmkki4o5mzplyilw54jgi,0.7161105871200562,"['crypto', 'macro']","[0.7161105871200562, 0.6682892441749573]",neutral,0.9173952341079712
2026-05-01T17:16:04.183028Z,2026-05-01T17:16:04.373Z,memory is missioncritical to the ai infrastructure buildout and the major builders of all that infrastructure googl msft meta amzn all just said that theyre going to keep building big in 2026 and build even more in 2027 with no talk of a slowdown thereafter,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksmy7t5el2h,bafyreidaky4iqeaa43ig236sdvyqezkyl6sbtvfux3duvpmqburwx53fry,0.6101343035697937,"['macro', 'crypto']","[0.6101343035697937, 0.6011621356010437]",neutral,0.8013808727264404
2026-05-01T17:04:55.270Z,2026-05-01T17:04:56.575Z,the most bonkers thing about this chart is not how high it goes but how it stabilizes when it peaks see alt text for notes,peark.es,George Pearkes,did:plc:pnx2fjuannbdpy3337ggthpp,35,0,6,at://did:plc:pnx2fjuannbdpy3337ggthpp/app.bsky.feed.post/3mksmebt7oc2f,bafyreia53aguua52635ug7wdfryqft6ujs27lkldyd32zzo5ww2zl2s6la,0.6415748596191406,"['portfolio', 'equities']","[0.6415748596191406, 0.5862504839897156]",neutral,0.928327202796936
2026-05-01T16:58:04.435287Z,2026-05-01T16:58:10.280Z,new being exponential podcast ai economy booms while consumers struggle massive ai capex drives infra windfall bullish msft as gpt55 dominates data centers lift cat wcc fix memory boom aids mu wdc glw downturn risks meta googl ads qcom joins hyperscaler rally link below,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksly27pm22f,bafyreih64pgdmh4o6tveuby53lej2jfwkdxq64uwzm2mwn3w5zmbdwt4ii,0.6605610251426697,"['crypto', 'macro']","[0.6605610251426697, 0.6304376125335693]",neutral,0.6040124893188477
2026-05-01T16:44:20.900Z,2026-05-01T16:44:30.377Z,is this the end of the hyperscaler bull run reading between the lines of this weeks quarterly earnings at alphabet meta and amazon opensubstackcompubrockandt amzn meta goog msft spy qqq nvda,rockandturner.substack.com,,did:plc:fs2t6whoughqu2w3kdo2ropx,0,0,0,at://did:plc:fs2t6whoughqu2w3kdo2ropx/app.bsky.feed.post/3mksl7ina7s24,bafyreib4tr54lg6n5xnzy7kltnurafapcadpvm5efikthdevflfp5hk2pq,0.6290863156318665,"['portfolio', 'equities']","[0.6290863156318665, 0.6240684986114502]",neutral,0.5112955570220947
2026-05-01T15:47:05.391Z,2026-05-01T15:47:06.275Z,msft reported earnings today this is their revenue breakdown compared to competitors see more at,insiderdashboard.bsky.social,,did:plc:ap56m7pvnz4lnrtaguxiuawm,0,0,0,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mkshz4hk7w2z,bafyreib7sj5ca4vywroi66hfssz645itriq6ppyekcj4acajzquaurufye,0.6412936449050903,"['crypto', 'equities']","[0.6412936449050903, 0.6261690855026245]",negative,0.94387286901474
2026-05-01T15:47:05.075029Z,2026-05-01T15:47:05.380Z,there were a lot of worries that after multiple false starts with an aipowered siri makeover an unimpressive rollout of apple intelligence and other unnoteworthy ai efforts apple was falling behind msft amzn googl meta in the ai race,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mkshz46go42h,bafyreicb5es2yyruwkpw4kzzg4q36kyb7tnrzqi7lkqdm52qzms72ns3vm,0.5512209534645081,"['crypto', 'macro']","[0.5512209534645081, 0.5458555817604065]",negative,0.9547027945518494
2026-05-01T15:46:36.472Z,2026-05-01T15:46:36.579Z,first 2k profit week trading options going to let the jpm call exercise and open a new position on monday i m thinking msft or googl happy you re all sticking around in another few years this will be my job and it just makes me so happy,idogcapital.bsky.social,I-Dog Capital,did:plc:6hg35ebaq2cgm4wsmmgxfdtg,2,0,1,at://did:plc:6hg35ebaq2cgm4wsmmgxfdtg/app.bsky.feed.post/3mkshyapcq22w,bafyreibrkp3wuadwcz7tujhajv4khs6njp2wsmpvwly3cxbbchf7me27ni,0.6511766910552979,"['derivatives', 'crypto']","[0.6511766910552979, 0.6264320015907288]",neutral,0.8550688624382019
2026-05-01T15:41:55.542Z,2026-05-01T15:41:54.477Z,this is a weird way for me to discover that msft bought nuance dragon naturally speaking,eternal-expanse.bsky.social,Trying,did:plc:esrmpuzcshfw6qlctxbsxap7,0,0,0,at://did:plc:esrmpuzcshfw6qlctxbsxap7/app.bsky.feed.post/3mkshpurzys27,bafyreiemo5favslrhxrssdhpr4giiqjmfoqd4td2rz6j2m7e6jrqpp47ry,0.5881019830703735,"['crypto', 'derivatives']","[0.5881019830703735, 0.5186769366264343]",neutral,0.9019128084182739
2026-05-01T15:24:52.366Z,2026-05-01T15:24:52.574Z,do we know if msft has started vibe coding outlook it was already the 2nd worst piece of software i use on a regular basis after workday but stability and reliability have fallen off a cliff,kellanem.com,Kellan,did:plc:2juqm2lqg7kg32wcshv3y2t6,2,0,2,at://did:plc:2juqm2lqg7kg32wcshv3y2t6/app.bsky.feed.post/3mksgrez4qc2n,bafyreicl26nyfvbpbrtmpvalqjnnqhq4szve2ysujb4ilov5kito2kdupy,0.5840616226196289,"['macro', 'crypto']","[0.5840616226196289, 0.5759953260421753]",negative,0.9525312185287476
