created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:23:13.433274+00:00,2026-05-01T18:23:15.728Z,68 common myths nfts are only for art wrong they work for tickets real estate deeds gaming items too i can copy the image yes but you wont own the real nft they have no value value comes from scarcity and what buyers agree to pay,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqcghip23,bafyreiagkmsmjyj2xxba2yv2dlu22inrerv2h2pdvgpv7mjahxeo4ow6mu,0.6944078803062439,"['crypto', 'derivatives']","[0.6944078803062439, 0.5442183613777161]",neutral,0.9178364276885986
2026-05-01T18:23:13.252537+00:00,2026-05-01T18:23:15.678Z,58 real example an artist mints 1 digital artwork as an nft buyer a pays 5 eth ethereum a cryptocurrency for it two years later buyer b offers 12 eth buyer a sells blockchain records both sales everyone sees the history,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqcawyr24,bafyreidphzeuyvzf352ugxuka4sfx676zeggtbqqylbipmdphabtwvkgcu,0.7538219690322876,"['crypto', 'forex']","[0.7538219690322876, 0.6327946782112122]",neutral,0.922744870185852
2026-05-01T18:23:13.058076+00:00,2026-05-01T18:23:15.631Z,48 how it works in 3 steps first a creator mints creates an nft writing its details to the blockchain second you buy it and the blockchain updates to show you own it third you can sell trade or hold it anytime,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqc2z7q2y,bafyreicofv7djs6s34flynflgkjxj2yufa3u7ybk45na4roxwqrnmnffja,0.7017508745193481,"['crypto', 'forex']","[0.7017508745193481, 0.5866732597351074]",neutral,0.9502184987068176
2026-05-01T18:23:12.685691+00:00,2026-05-01T18:23:15.531Z,28 nft nonfungible token nonfungible means it cannot be replaced by something identical unlike bitcoin where 1 btc 1 btc each nft has its own value and properties it lives on a blockchain and shows who owns it,btcwhalealerts.com,Swiss Whale Intelligence 🇨🇭,did:plc:hlod3gl5ewwglnr4yarddcrk,0,0,1,at://did:plc:hlod3gl5ewwglnr4yarddcrk/app.bsky.feed.post/3mksqqbpmxd27,bafyreiehr23dxuiys6wlqxxhri5f76waryqffvwaoxneqhyunjtf4h6tlq,0.6953925490379333,"['crypto', 'forex']","[0.6953925490379333, 0.5294327735900879]",neutral,0.9366104006767273
2026-05-01T18:11:27.173Z,2026-05-01T18:11:27.676Z,dropped the crypto dunkers nft collection and the courts are empty have you got your 8 bit hoops hero yet cryptodunkers nftbasketball get a crypto dunker nft on opensea while you can,cryptodunkers.bsky.social,Crypto Dunkers,did:plc:qn4kycjveluyykuhxhc7sgk2,0,0,1,at://did:plc:qn4kycjveluyykuhxhc7sgk2/app.bsky.feed.post/3mksq3axp4p22,bafyreien7fvti7n4pju3m3xnvrewgcbhiv444a2ggg2axnmyjdqpsf4vue,0.6995764970779419,"['crypto', 'macro']","[0.6995764970779419, 0.5591802000999451]",neutral,0.8370797634124756
2026-05-01T17:55:52.535Z,2026-05-01T17:55:58.881Z,tomorrow i will mostly be sitting in the nft on the south bank of the thames,davedfb.bsky.social,Mr DaveDogFacedBoy,did:plc:jurh5pcsj4bfz56w243limwn,0,0,0,at://did:plc:jurh5pcsj4bfz56w243limwn/app.bsky.feed.post/3mksp7fiicc2s,bafyreicukccpfsb5uln6y3woailvucguel6brfpd5f63wq5nwnkex42foq,0.6332725286483765,"['crypto', 'derivatives']","[0.6332725286483765, 0.5428101420402527]",neutral,0.9178223609924316
2026-05-01T17:52:27.608Z,2026-05-01T17:52:30.773Z,hey congrats on your upcoming exhibition hope you find the right nft artist soon best of luck with everything,marinaartsky.bsky.social,Marina,did:plc:rzejrsd2gu34f6ijkq5ev4yg,0,0,0,at://did:plc:rzejrsd2gu34f6ijkq5ev4yg/app.bsky.feed.post/3mksozbzoy22f,bafyreihwbuwr7jh2k3fmipd6x5bbqhhl4eq6xuezgjivaf6imsalbixbom,0.6158304810523987,"['crypto', 'portfolio']","[0.6158304810523987, 0.5364562273025513]",positive,0.6067476868629456
2026-05-01T17:51:00.425Z,2026-05-01T17:51:01.278Z,new intro post promosky writing art knitting bg3 rogue trader persona old anime books bdsm space elves drukhari tragic villains trying to be more active here as its significantly more laid back than other places minors magats nftaicrypto cogsuckers get blocked,cryptidfey.bsky.social,dev | villain kisser,did:plc:7m5latxxbv7nw4qitiw2yxeb,1,0,0,at://did:plc:7m5latxxbv7nw4qitiw2yxeb/app.bsky.feed.post/3mksowov3dc2t,bafyreifxgl4vpnbux6f6oesgf7o3s57ro664nh5nule64u7huk5xpd4jjm,0.6196889281272888,"['crypto', 'equities']","[0.6196889281272888, 0.537274181842804]",neutral,0.868583083152771
2026-05-01T17:37:02.799Z,2026-05-01T17:37:06.277Z,my very own commemorative screenshot nft i ll let you buy it from me for 75btc but for a whole bitcoin i ll give you some of my adrenochrome,therealchromatic.bsky.social,Erik,did:plc:sn2odom5ol5dkdgvyos4ptwe,3,0,0,at://did:plc:sn2odom5ol5dkdgvyos4ptwe/app.bsky.feed.post/3mkso5q2v3s2w,bafyreihuubtm4eck5tsqhpi7kecj2dfzxd74n22hmyi27xowifl43sozm4,0.6412705779075623,"['crypto', 'macro']","[0.6412705779075623, 0.5962884426116943]",neutral,0.9203507900238037
2026-05-01T17:33:16.374707+00:00,2026-05-01T17:33:17.177Z,artist arts of chet teiaartobjkt879675 id 36 id is present identity is not each piece exists as a system state not a defined entity you do n price 10000 tez available editions 1 nft tezos teia,teia-swaps.bsky.social,TEIA swap bot,did:plc:yekmul7m2hjwq6qhpuxwlpzl,0,0,0,at://did:plc:yekmul7m2hjwq6qhpuxwlpzl/app.bsky.feed.post/3mksnwy7kfm2i,bafyreihmjfrwbsq73fcblwzwj4rx2v5n7nlmdacjd2iixmg67uavlxlnam,0.5833196043968201,"['crypto', 'forex']","[0.5833196043968201, 0.5370380878448486]",neutral,0.9453098773956299
