created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:31:55Z,2026-05-01T18:31:56.079Z,axspe additional proxy axis capital holdings limited issued additional proxy materials for its 2026 annual meeting highlighting strong financial performance with 99 billion in ltm gross premiums written insurance up 198 yoy to 75 billion a group combined ratio of 89 continued,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,1,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mksr7uq6g52q,bafyreibntrg3kkqmkkkxsjoxlksgjzvyfclk44ivo4mmt76t5qdc3etg2u,0.6538053750991821,"['crypto', 'portfolio']","[0.6538053750991821, 0.6271509528160095]",positive,0.9532944560050964
2026-04-27T18:42:28Z,2026-04-27T22:42:29.057Z,amd wins the chart bubble race but with a pe ratio of 133 and the next 16 years of sales already priced inamd wins the chart bubble race but with a pe ratio of 133 and the nect 16 years of sales priced in look out below puts byusaltyak3866 insmallstreetbets directionally you can be right,citizenwatchreport.bsky.social,Citizen Watch Report,did:plc:q6kyz5gohsaqrjriflgaiggx,0,0,1,at://did:plc:q6kyz5gohsaqrjriflgaiggx/app.bsky.feed.post/3mkj5e7efrz2v,bafyreiejlfe2xokwd5g4syhpwlah72eek57da2fd3437lr5ajgttkjsx44,0.6433143019676208,"['portfolio', 'equities']","[0.6433143019676208, 0.6375908851623535]",neutral,0.7792515158653259
2026-04-27T01:20:21.854610Z,2026-04-27T01:20:22.863Z,efta00308997jpg epsteinweb efta00308997 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkgvpmbpqx27,bafyreihm5r3zfa5a7owvkbfh556cwxndy7556zpm3g54hv2wuczvkl5sfy,0.5928755402565002,"['crypto', 'macro']","[0.5928755402565002, 0.5654426217079163]",neutral,0.9475708603858948
2026-04-26T20:02:44.145Z,2026-04-26T20:02:44.257Z,nike nke stock analysis pe ratio 3058 with current value at 4648 as of april 20 2026 nike inc nke shares were trading at 4648 with a trailing pe of 3058 and a forward finance markets,newsstocks.bsky.social,,did:plc:bdxufr7cirpo7bp5zdbke5jo,1,0,0,at://did:plc:bdxufr7cirpo7bp5zdbke5jo/app.bsky.feed.post/3mkgdxn6rao2s,bafyreibdmyoqkxp75v3kueqebvcrxgth4e7pny5leczdg6r753xb2xjr3m,0.6439968943595886,"['crypto', 'forex']","[0.6439968943595886, 0.6217451691627502]",neutral,0.943191647529602
2026-04-26T19:03:00.878190Z,2026-04-26T19:03:02.757Z,parts 122 efta00301092jpg epsteinweb efta00301092 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkgamuc3c52o,bafyreighgzqhr25t756zefqzc2mauru4f4pwgzuehigy2wkftdxe25eb2i,0.5502356290817261,"['crypto', 'macro']","[0.5502356290817261, 0.5456137657165527]",neutral,0.9486699104309082
2026-04-26T08:11:02.487687Z,2026-04-26T08:11:03.260Z,parts 122 efta00287155jpg epsteinweb efta00287155 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkf46zwhgp2w,bafyreidglwdsbgimwjgrumriqpgw3nlv5cvwk72gw2s55k7smhk4yjb5de,0.5530747771263123,"['crypto', 'macro']","[0.5530747771263123, 0.5431334376335144]",neutral,0.9483277797698975
2026-04-26T04:00:37.854261Z,2026-04-26T04:00:39.056Z,parts 122 efta00281569jpg epsteinweb efta00281569 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkeo7bm72n2v,bafyreiggldd7azkf575bujbadwvoqzn3g4amjickt2i63o53ezlo2blnk4,0.5539336204528809,"['crypto', 'macro']","[0.5539336204528809, 0.5448794364929199]",neutral,0.9479427337646484
2026-04-24T17:11:18.255Z,2026-04-24T17:11:18.561Z,nvidia jumping today i would not ride that bull but thats just me its not the pe that impresses the most at 40 probably higher after today its the sales ratio at 20 that mean that if nvidia gave back all sales money to the investors every year it would take 20 years to recover the money,marketthoughts.bsky.social,Market Thoughts,did:plc:dhj5jwff4ozm2gnc227ov6oz,0,0,0,at://did:plc:dhj5jwff4ozm2gnc227ov6oz/app.bsky.feed.post/3mkazhatrgs25,bafyreieconuchmdykwkemhwoqoy3xnnj744gn75w3ygucdojs7c6uqbbj4,0.65426105260849,"['crypto', 'portfolio']","[0.65426105260849, 0.6380527019500732]",neutral,0.8680364489555359
2026-04-24T16:26:04.792Z,2026-04-24T16:26:05.691Z,tsla is up 44 yoy with something like a 320 pe ratio short at your peril,chossboard.bsky.social,chossboard,did:plc:kxewdi75fbqyjnrqbkfsswvi,0,0,0,at://did:plc:kxewdi75fbqyjnrqbkfsswvi/app.bsky.feed.post/3mkawwf3gas23,bafyreihpe7tux5o6ehhn5fvakrn4dmsx7jhcvum522jpspu44my4ctvali,0.5847452878952026,"['portfolio', 'forex']","[0.5847452878952026, 0.5738369226455688]",positive,0.8751476407051086
2026-04-23T05:31:50.578Z,2026-04-23T05:31:51.258Z,no it s doesn t it s down 100 from it peak the risk reward relationship is poor it has the highest pe ratio on the planet which is too much does tesla tsla still justify its price after a 54 one year surge simply wall st,diogenes-original.bsky.social,Diogenes,did:plc:p5pzprjqmstcymthzc3t6dlt,0,0,0,at://did:plc:p5pzprjqmstcymthzc3t6dlt/app.bsky.feed.post/3mk5bvlv5uk2d,bafyreihzeovkgttubts2vrfde6jl46ponobc6zn2nmuhobgws7f6efqpie,0.6306729912757874,"['equities', 'crypto']","[0.6306729912757874, 0.627257227897644]",negative,0.9574339985847473
2026-04-22T18:31:07+00:00,2026-04-22T18:31:11.162Z,europe s pe machine becomes addon engine as headline dealmaking lags dealspeak emea boltons account for 61 of sponsor deals in 2026 ytd addonplatform buyout ratio shoots to 24x in 2026,europesays.bsky.social,EUROPE SAYS,did:plc:msian4dqa2rqalf3biilnf3m,0,0,0,at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mk44ya37c62v,bafyreigthfm6yeh5mj6bwxqo7mntfv6thsxhigunq2wf5grxzz3w4evcni,0.6132940053939819,"['forex', 'crypto']","[0.6132940053939819, 0.6116465926170349]",positive,0.9171466827392578
2026-04-22T18:30:19+00:00,2026-04-22T18:30:22.258Z,europe s pe machine becomes addon engine as headline dealmaking lags dealspeak emea boltons account for 61 of sponsor deals in 2026 ytd addonplatform buyout ratio shoots to 24x in 2026,eupolitics.bsky.social,Europe Politics non-official,did:plc:dmpirdk6dcab4uobpav2ffz7,0,0,0,at://did:plc:dmpirdk6dcab4uobpav2ffz7/app.bsky.feed.post/3mk44wqzqtv2c,bafyreihykfmqzfvctqbqit7lt5eqjsugmwmfd2ph35shajhzeeimxpwyce,0.6132940649986267,"['forex', 'crypto']","[0.6132940649986267, 0.6116466522216797]",positive,0.9171466827392578
2026-04-20T10:29:30.929Z,2026-04-20T10:29:36.557Z,shiller pe ratio hits 2nd highest level of alltime only slightly behind the dot com bubble,barchart.com,Barchart,did:plc:uf6xe5actjzjqqglrr5fvu7j,34,7,2,at://did:plc:uf6xe5actjzjqqglrr5fvu7j/app.bsky.feed.post/3mjwb54hvn22w,bafyreigbot6hviw2k6zp6ff36wvydvh3pmhodqxnvqetyuo7hcuyfghjsi,0.652321457862854,"['portfolio', 'macro']","[0.652321457862854, 0.6115437150001526]",positive,0.9283687472343445
2026-04-19T21:08:39.416539Z,2026-04-19T21:08:40.166Z,parts 122 efta00055242jpg epsteinweb efta00055242 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mjuuf3auj52e,bafyreieszhcf67quqletyn4fxz6eya3c7bzndmg75zgdhttnl3bt35x57q,0.5504316687583923,"['crypto', 'macro']","[0.5504316687583923, 0.5414063334465027]",neutral,0.9485840797424316
2026-04-19T21:07:00.344927Z,2026-04-19T21:07:01.357Z,parts 122 efta00055205jpg epsteinweb efta00055205 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mjuuc4qvro2w,bafyreib6ljtry35ml56u7vc5vtzqvi3hkekxv3blbhta5jzt625myhmpfu,0.5546362996101379,"['crypto', 'macro']","[0.5546362996101379, 0.5381519794464111]",neutral,0.9480120539665222
2026-04-19T21:05:29.323386Z,2026-04-19T21:05:30.758Z,parts 122 efta00055171jpg epsteinweb efta00055171 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mjuu7g2imy2w,bafyreic6igwdbxkdv6tr6kjh4czoaj4t7t7jxjpapjerp7t2zwoctuh554,0.5549106597900391,"['crypto', 'macro']","[0.5549106597900391, 0.542479395866394]",neutral,0.9484063982963562
