created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:00:03.166Z,2026-05-01T17:00:03.372Z,2 margin calls during volatility spikes liquidate positions you wouldve otherwise survived position sizing for the worst case beats sizing for the average case,cryptohopper.bsky.social,Cryptohopper,did:plc:2l2qc3ly3fasfvuxdfhv73px,0,0,1,at://did:plc:2l2qc3ly3fasfvuxdfhv73px/app.bsky.feed.post/3mksm3ldjpv2b,bafyreiebrmlguyzfw7skmkssqkv7kzsfyxi3vgfrq4bin2ftl52i6ryboe,0.65104079246521,"['derivatives', 'equities']","[0.65104079246521, 0.6255516409873962]",neutral,0.8481066226959229
2026-05-01T13:27:26.031922+00:00,2026-05-01T13:27:26.476Z,the real secret to longterm investing isnt finding 100x multibaggers but minimizing drawdowns avoiding account wipeouts letting compounding work for decades patience is power spy compounding longtermwealth avoidlosses,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mksa7f6uyo2z,bafyreidx4wexjskmnocwbab3yhqgioiuastzykfwty6rvr4six6tlbuf64,0.6448154449462891,"['equities', 'crypto']","[0.6448154449462891, 0.639012336730957]",neutral,0.8989462852478027
2026-05-01T13:21:15.167342+00:00,2026-05-01T13:21:15.678Z,the real secret to longterm investing isnt finding 100x multibaggers but minimizing drawdowns avoiding account wipeouts letting compounding work for decades patience is power spy compounding longtermwealth avoidlosses,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mks7udixgt2f,bafyreie53ulle2d3jcxql5zuxy3veyq3jcqzyvnun7coiru7z5uipjybjm,0.6448154449462891,"['equities', 'crypto']","[0.6448154449462891, 0.639012336730957]",neutral,0.8989462852478027
2026-05-01T10:00:37.567Z,2026-05-01T10:00:38.101Z,functionally when position sizing a trade you care as much or more about size to maximum stress loss than size to vol typically,ironeconomist.bsky.social,,did:plc:7r7oxqovttrrcgzsy24ogise,2,0,1,at://did:plc:7r7oxqovttrrcgzsy24ogise/app.bsky.feed.post/3mkrunlpojc2q,bafyreieci3o33snu6ghxvnlqbmrivjtp2hdb43natmf4wvd2dut7dea2yy,0.623452365398407,"['derivatives', 'equities']","[0.623452365398407, 0.5880263447761536]",neutral,0.9278324246406555
2026-05-01T06:03:06.183531+00:00,2026-05-01T06:03:06.371Z,totally agree that conviction should matter more than price levels but how are you thinking about position sizing and risk so people do not just average down without a clear plan or time horizon btw lets connect and support each other,jamescheung.bsky.social,James,did:plc:tcciygi6qlgdnud6u742ysaq,1,0,0,at://did:plc:tcciygi6qlgdnud6u742ysaq/app.bsky.feed.post/3mkrheudv3i2e,bafyreih2z6o75meqpvdgbfapo3djytzvtq5fenniom2gna2fo6rpwvu5sm,0.6143519878387451,"['portfolio', 'equities']","[0.6143519878387451, 0.5677703619003296]",neutral,0.8986778855323792
2026-05-01T04:15:45.124167Z,2026-05-01T04:15:45.277Z,ensure your trading system has clear unambiguous rules that remove emotional decisionmaking predefined entryexit criteria position sizing and risk limits use this time to review your journal refine your watchlist for monday and define your risk parameters in advance,sivals.bsky.social,Sachin Sival,did:plc:ial2maoesbn3rugoj4rzfca6,0,0,1,at://did:plc:ial2maoesbn3rugoj4rzfca6/app.bsky.feed.post/3mkrbevohta2k,bafyreig7giooblahofmeza2gwmaw2xl422eubrggpdgt7othwu2d46nxmm,0.6521976590156555,"['portfolio', 'crypto']","[0.6521976590156555, 0.6403295397758484]",neutral,0.9387827515602112
2026-04-30T17:00:59.869219+00:00,2026-04-30T17:01:00.271Z,dont get distracted by daily headlines while news like ceo changes aapl or earnings results cls grab attention they rarely impact a sound longterm investment strategy keep your eyes on the horizon aapl longterminvesting inve,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mkq3odyg5n2f,bafyreihqq6cuhcx22jlfz3hr3nlx4t4dxhpwfwvyb4fzk4qpatua4zrcv4,0.6797254085540771,"['equities', 'portfolio']","[0.6797254085540771, 0.6546720266342163]",neutral,0.9246678352355957
2026-04-30T14:25:29.886658+00:00,2026-04-30T14:25:30.976Z,this week were diving deep into the arithmetic of position sizing its one of the most underrated keys to managing risk and ensuring longterm portfolio survival how do you size your positions spy positionsizing riskmanagement in,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mkpsycae222m,bafyreifkh2hs4j2jioskdqdanx32kuqgityqblcyvsn4tcplmh3kf7jpme,0.6521628499031067,"['portfolio', 'equities']","[0.6521628499031067, 0.6325394511222839]",neutral,0.9044082164764404
2026-04-30T14:20:03.466089+00:00,2026-04-30T14:20:03.979Z,this week were diving deep into the arithmetic of position sizing its one of the most underrated keys to managing risk and ensuring longterm portfolio survival how do you size your positions spy positionsizing riskmanagement in,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mkpsokxvkb2p,bafyreiazwdvhci3iae4kjjzjt3elhi4q3ibmkbffcrdwmwur5vhyshz2um,0.6521628499031067,"['portfolio', 'equities']","[0.6521628499031067, 0.6325394511222839]",neutral,0.9044082164764404
2026-04-30T12:30:56.471000Z,2026-04-30T12:30:57.573Z,dca smoothes volatility but needs active risk management pairing it with a volatilitybased position sizing model can improve riskadjusted returns significantly,cryptohopper.bsky.social,Cryptohopper,did:plc:2l2qc3ly3fasfvuxdfhv73px,0,0,0,at://did:plc:2l2qc3ly3fasfvuxdfhv73px/app.bsky.feed.post/3mkpmlhq3tn2k,bafyreifelo3seyde6tkkf6nlm6u2yjpvxeezc54mqzuzysakqu33wjaidq,0.6591660976409912,"['portfolio', 'derivatives']","[0.6591660976409912, 0.6402255296707153]",positive,0.8503580093383789
2026-04-30T04:26:42.027338+00:00,2026-04-30T04:26:42.474Z,position sizing is key to risk management what strategy do you use to determine your ideal position size any insights from your own trading experiences,jamescheung.bsky.social,James,did:plc:tcciygi6qlgdnud6u742ysaq,2,0,2,at://did:plc:tcciygi6qlgdnud6u742ysaq/app.bsky.feed.post/3mkorjkuhqw2s,bafyreigscjbohzbrta2pnhgg6df6glmodsc5gvdso6pisygutyxbznxwae,0.6350595951080322,"['equities', 'portfolio']","[0.6350595951080322, 0.6268640756607056]",neutral,0.9418298602104187
2026-04-29T04:08:39.661371Z,2026-04-29T04:08:41.475Z,parts 122 efta00374716jpg epsteinweb efta00374716 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkma2fah6j2k,bafyreiapcs4dw7wrom46zuxyi5j5i5mavmgncrvmg6qvzm4p7jwzaiixgu,0.5494518876075745,"['crypto', 'macro']","[0.5494518876075745, 0.544134259223938]",neutral,0.9479694366455078
2026-04-29T04:08:34.031205Z,2026-04-29T04:08:35.475Z,parts 122 efta00374714jpg epsteinweb efta00374714 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkma27th2b2k,bafyreievrgikgfndahftmsgvznarj76ngrtdzvmtrhxmosfqpoekf3yn4a,0.5485137104988098,"['crypto', 'macro']","[0.5485137104988098, 0.5438022017478943]",neutral,0.9476394653320312
2026-04-29T03:16:55.901236Z,2026-04-29T03:16:56.874Z,parts 122 efta00373456jpg epsteinweb efta00373456 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkm55varyj2w,bafyreifh2ttwnha3royhx5bufnhaig7gpbek63fom7p7sp4cgfnqwcbiye,0.5500849485397339,"['crypto', 'macro']","[0.5500849485397339, 0.5414838194847107]",neutral,0.9473631381988525
2026-04-29T03:16:52.832903Z,2026-04-29T03:16:54.275Z,parts 122 efta00373455jpg epsteinweb efta00373455 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkm55sc5og2e,bafyreidbfrc2di5llc76xzuunf7zhxrynn3jlwfbcbremrbqm7txuaetya,0.5523854494094849,"['crypto', 'macro']","[0.5523854494094849, 0.5407912731170654]",neutral,0.9464783072471619
2026-04-29T01:59:30.289633Z,2026-04-29T01:59:31.673Z,efta00371898jpg epsteinweb efta00371898 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mklytgwwcz2y,bafyreibefhyyuhxx6hmid7ycdnmo3bwfd7ybzwug7ddyvagg3mat65imoe,0.5973259210586548,"['crypto', 'macro']","[0.5973259210586548, 0.5645838379859924]",neutral,0.9479287266731262
2026-04-29T01:59:26.500594Z,2026-04-29T01:59:27.875Z,efta00371896jpg epsteinweb efta00371896 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mklytdegzz2k,bafyreic2wd4255wzz4oqszfjcvmrtxsb4tyhpphos2ubrledpjkbonawwu,0.5963501930236816,"['crypto', 'macro']","[0.5963501930236816, 0.5628969073295593]",neutral,0.9475448727607727
2026-04-29T01:59:16.569632Z,2026-04-29T01:59:17.875Z,parts 122 efta00371893jpg epsteinweb efta00371893 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mklyszqhkz2k,bafyreiahptywkjtsjdw6ogwgjhjwjsin3a245gw3c4gboewlyjvhwiyuii,0.556254506111145,"['crypto', 'macro']","[0.556254506111145, 0.5442607402801514]",neutral,0.9492577910423279
2026-04-29T01:31:45.562049Z,2026-04-29T01:31:47.075Z,parts 122 efta00371398jpg epsteinweb efta00371398 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mklxbtdxrx2k,bafyreie4gksxws745zugbu3pkkmdtqq6b2lnzwkgk6j5mfehzo35zzxzzm,0.553539514541626,"['crypto', 'macro']","[0.553539514541626, 0.5463011264801025]",neutral,0.9476786851882935
2026-04-29T00:58:50.969145Z,2026-04-29T00:58:51.975Z,parts 122 efta00370561jpg epsteinweb efta00370561 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mklvgy3ymx2w,bafyreiamxnuu56f5rq6yxmtvqmou4ru4atusxmhsfox7tfk7ewohs3xm3a,0.5473361015319824,"['crypto', 'macro']","[0.5473361015319824, 0.5428779125213623]",neutral,0.9485870003700256
2026-04-28T22:43:14Z,2026-04-28T22:43:14.976Z,effective money management for traders a practical guide master money management trading to enhance your edge with strategic position sizing risk management and capital allocation read full analysis moneymanagement traders investing riskmanagement financetips,fazencapital.bsky.social,Fazen Capital,did:plc:xka4juannwsptr5z3eekxidr,0,0,0,at://did:plc:xka4juannwsptr5z3eekxidr/app.bsky.feed.post/3mklnui5nrv2c,bafyreiah4uhnjlh2p5ua6vnniq6ppmxi6diapqraucweqenima7bfsxwta,0.6977266073226929,"['crypto', 'portfolio']","[0.6977266073226929, 0.6615113019943237]",neutral,0.9172776937484741
2026-04-28T21:00:48.490Z,2026-04-28T21:00:48.681Z,just realized with a 31 riskreward ratio you only need to be right 25 of the time to break even thats why position sizing and defining your exit before entry actually matters,sellsignal.bsky.social,,did:plc:e4vbgx77gzih6dngmjtsauei,0,0,0,at://did:plc:e4vbgx77gzih6dngmjtsauei/app.bsky.feed.post/3mkli5d2hx32q,bafyreibqmjrk4jecr6y4cuujqv3azlaxczy3d2qxsr4fm7o5rbxpqowaby,0.6366198062896729,"['portfolio', 'equities']","[0.6366198062896729, 0.6340611577033997]",neutral,0.8981308937072754
2026-04-28T21:00:47.564Z,2026-04-28T21:00:47.877Z,just realized with a 31 riskreward ratio you only need to be right 25 of the time to break even thats why position sizing and defining your exit before entry actually matters,dner79.bsky.social,crestsignals.bsky.social,did:plc:jyaohgpmlyvu2jm4pu7srxvs,0,0,0,at://did:plc:jyaohgpmlyvu2jm4pu7srxvs/app.bsky.feed.post/3mkli5c6ixi2h,bafyreie6vc2tqspjql6gveie7mxxkoy67w26gpdk3hib2ixvd25jgbt3am,0.6366198062896729,"['portfolio', 'equities']","[0.6366198062896729, 0.6340611577033997]",neutral,0.8981308937072754
2026-04-28T19:34:15Z,2026-04-28T19:34:16.774Z,effective money management for trading success master money management trading strategies for better position sizing and capital management to enhance your trading performance read full analysis moneymanagement tradingsuccess capitalmanagement positionsizing forextrading,fazencapital.bsky.social,Fazen Capital,did:plc:xka4juannwsptr5z3eekxidr,0,0,0,at://did:plc:xka4juannwsptr5z3eekxidr/app.bsky.feed.post/3mkldcl7jep2s,bafyreia2i3ijpgzyf26x536zuryqinurbnhum2srddhgcmvbehhboapbzi,0.6710583567619324,"['crypto', 'forex']","[0.6710583567619324, 0.6642283201217651]",neutral,0.882779061794281
2026-04-28T09:52:47.141687+00:00,2026-04-28T09:52:47.674Z,thats one metric to track but position imbalance alone doesnt confirm direction funding rates position sizing and orderbook depth matter equally,buzzerintelligence.com,Buzzer intelligence,did:plc:oep3fan37rbecwrogkdgze5j,1,0,0,at://did:plc:oep3fan37rbecwrogkdgze5j/app.bsky.feed.post/3mkkcssqto72q,bafyreidee6frczqimbz3xnjhi6jnhm4ecbwczrmriq5withbcqtdvn7vl4,0.6515196561813354,"['portfolio', 'equities']","[0.6515196561813354, 0.591766893863678]",neutral,0.8749520182609558
2026-04-27T20:18:47.951523+00:00,2026-04-27T20:18:48.363Z,another strong week for the portfolio we not only kept pace with the market but widened the gap its not just about being up but outperforming whats driving your portfolios gains spy investingwisdom marketupdate portfoliogrowth,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mkivdbupuw2e,bafyreibs7giqb44fqgqhmi7puu6ao3d7gpfa55fnxhgmogobpi5w2nwmme,0.7102351188659668,"['portfolio', 'equities']","[0.7102351188659668, 0.7022305130958557]",positive,0.7737694382667542
2026-04-27T20:10:48.560810+00:00,2026-04-27T20:10:49.560Z,another strong week for the portfolio we not only kept pace with the market but widened the gap its not just about being up but outperforming whats driving your portfolios gains spy investingwisdom marketupdate portfoliogrowth,beatingthetide.com,george,did:plc:rojaoamxm2lzshth3yqq4ok4,0,0,0,at://did:plc:rojaoamxm2lzshth3yqq4ok4/app.bsky.feed.post/3mkiuuyos4n2g,bafyreigxyzskht3m2c2oz2z3q4mpwmwog2sg7av33iuylwsmhqxlt7ylue,0.7102351188659668,"['portfolio', 'equities']","[0.7102351188659668, 0.7022305130958557]",positive,0.7737694382667542
2026-04-27T12:32:41Z,2026-04-27T12:32:42.456Z,ir 507 arb ir arb 507 spread buy bitget 00296 sell binancef 00311 risk execution latency and sudden liquidity gaps can erase the spread position sizing limi ir crypto cryptocurrency finbsky profit arb,voiceofchain.bsky.social,VoiceOfChain,did:plc:ja5wzhrxackfsauusf43wdm3,0,0,0,at://did:plc:ja5wzhrxackfsauusf43wdm3/app.bsky.feed.post/3mki3btbykt2s,bafyreiefjja6iojh6orgmbpicxqpsvpgzsm3gxgm4wq5pk7lfqtvuhsys4,0.7378035187721252,"['crypto', 'portfolio']","[0.7378035187721252, 0.6207897067070007]",negative,0.8950244784355164
