created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T17:13:09.811Z,2026-05-01T17:13:10.077Z,what markets doing 3 2 1 new attacks new crash new pump and dump,farmermarvbot.bsky.social,Farmer Marv Bot 🇺🇸 🇺🇦🚜🌾,did:plc:24fygc4bzcnqfqep33zsu4qr,3,0,0,at://did:plc:24fygc4bzcnqfqep33zsu4qr/app.bsky.feed.post/3mksmszhht222,bafyreib66ww6zetkpmur4yysto2455vammja3nm762lqfhpquy4lq5nfm4,0.6761373281478882,"['crypto', 'equities']","[0.6761373281478882, 0.6445066332817078]",neutral,0.9270861148834229
2026-05-01T16:47:16.103Z,2026-05-01T16:47:17.128Z,or you can buy this car for a few thousand dollars less but you have to dump explosive liquid in it from a pump down the street its loud slower and it dumps out noxious fumes so bad you have to get a carbon monoxide sensor and put it by your garage,jasoncross.org,Jason Cross,did:plc:tmll4unrb32stkzexz4dpftb,1,0,0,at://did:plc:tmll4unrb32stkzexz4dpftb/app.bsky.feed.post/3mksleqasyd2j,bafyreib2jmkhyutru4r4rhkj56jivncfcrk5gd3jcibnvbldbragebimvy,0.5255098342895508,"['equities', 'macro']","[0.5255098342895508, 0.5246740579605103]",neutral,0.7913371920585632
2026-05-01T16:45:33.846Z,2026-05-01T16:45:34.474Z,what will the contestants be doing for don jr pump and dump schemes building killer drones from chinese parts mining minerals in kazakhstan find new places to stash kimberly guilfoyle,bamaboyonbluesky.bsky.social,,did:plc:na4bt6qtc4xouy2rskrgsg6v,0,0,0,at://did:plc:na4bt6qtc4xouy2rskrgsg6v/app.bsky.feed.post/3mkslbo7ekc2w,bafyreieukbpnldfnes57exq5ixoe34d2itcsjvxojq3prsh33y2a4227fi,0.5727370381355286,"['crypto', 'equities']","[0.5727370381355286, 0.5479390025138855]",neutral,0.9213045835494995
2026-05-01T16:04:54.543Z,2026-05-01T16:04:54.076Z,no matter what you do as a man you always get hate get used to it if you are nice and kind beta if you pump and dump asshole the benefit as an alpha is that you can fuck em and arent in the need to keep them they are disposable treat them like condoms use and throw away,nyx-los.bsky.social,⛧ N ⚧️ X ⛧,did:plc:yfkn7z5ueu46p6k3nkygmset,0,0,0,at://did:plc:yfkn7z5ueu46p6k3nkygmset/app.bsky.feed.post/3mksiyxvqpk2l,bafyreiabkqr4bsjwpzzko5tbiguzgv5qkiosdu3tiexywlwwdbyfvzjf5q,0.6179965734481812,"['equities', 'portfolio']","[0.6179965734481812, 0.5788528919219971]",neutral,0.9028785228729248
2026-05-01T16:03:07.583Z,2026-05-01T16:03:07.875Z,is this a pump and dump,twotired.bsky.social,Jason Wells,did:plc:xkdrhza64aclx2yjoshcryl2,6,0,0,at://did:plc:xkdrhza64aclx2yjoshcryl2/app.bsky.feed.post/3mksivrvmks27,bafyreidplx4wtbros3kv7jfcr3zcby3zltbaossxyojpr6lpaeqws6o5gy,0.5482211112976074,"['crypto', 'equities']","[0.5482211112976074, 0.5466312170028687]",neutral,0.9188375473022461
2026-05-01T15:27:06.218Z,2026-05-01T15:27:07.778Z,we also seem to be seeing a lot less hype of the silly idea of a startup doing asteroid mining lately but the hype of the completely impractical idea of data centers in space seems to still be there perhaps trying to pumpanddump the spacex ipo,glinden.bsky.social,Greg Linden,did:plc:ihsokponqmlvjmmdh4fqfev4,1,0,0,at://did:plc:ihsokponqmlvjmmdh4fqfev4/app.bsky.feed.post/3mksgvenxlc2z,bafyreig5dby2vwr2iiphmdfgomlvbvyvzxhpo25pcnsqnmh6dpawmcjw6u,0.632207453250885,"['crypto', 'macro']","[0.632207453250885, 0.5447562336921692]",neutral,0.8385791778564453
2026-05-01T13:35:14.433Z,2026-05-01T13:35:15.171Z,were people tricked into buying this i dont think thats how id frame it they willingly purposefully bought into this pump and dump scam and bribery vehicle because they love trump everyone knew they were gambling to lose,jameskinsale.bsky.social,James Kinsale,did:plc:5epyyxkeumf45pueoujoxvih,0,0,0,at://did:plc:5epyyxkeumf45pueoujoxvih/app.bsky.feed.post/3mksandskzc27,bafyreig2s2aek2frld7zgmqintgxajdobtvriknhlffuas7l2zjtoif6ja,0.5977624654769897,"['crypto', 'equities']","[0.5977624654769897, 0.5622658729553223]",neutral,0.873451292514801
2026-05-01T12:29:09.409Z,2026-05-01T12:29:09.680Z,time to pump and dump,doyle.boston,Kevin 🍅🥫,did:plc:h3u2dfz7bv4o5kjvpnz7467u,54,2,0,at://did:plc:h3u2dfz7bv4o5kjvpnz7467u/app.bsky.feed.post/3mks4x6hnbc2g,bafyreicrtnywowoxyzpporocs2jlgkucpt5plcagxrcqutcfk6q5tpmq2q,0.5562294125556946,"['equities', 'macro']","[0.5562294125556946, 0.5538504123687744]",neutral,0.9113655686378479
2026-05-01T12:09:25.699Z,2026-05-01T12:09:25.274Z,the best way is to treat women like crypto currency pump and dump,nyx-los.bsky.social,⛧ N ⚧️ X ⛧,did:plc:yfkn7z5ueu46p6k3nkygmset,0,0,0,at://did:plc:yfkn7z5ueu46p6k3nkygmset/app.bsky.feed.post/3mks3tvlohs27,bafyreicno2smfnu2lb3cbabwruwuqklk4tl6ufs5ds24z563322cne5kvi,0.6746414303779602,"['crypto', 'forex']","[0.6746414303779602, 0.6285628080368042]",neutral,0.932293176651001
2026-05-01T11:28:37.621Z,2026-05-01T11:28:37.874Z,i dunno a corruption reality series where the object is to scam as much cash as possible using insider trading and pump dump crypto should have a certain appeal,ayowhose.bsky.social,,did:plc:fdae3t4f47d3jh6lmlio5xxs,1,0,0,at://did:plc:fdae3t4f47d3jh6lmlio5xxs/app.bsky.feed.post/3mkrzkwwad22x,bafyreif7phwpbpgubbiejpkezu7hlsh7igsictlubr3muufbswzqxaromy,0.7135071754455566,"['crypto', 'macro']","[0.7135071754455566, 0.5895264148712158]",neutral,0.8709082007408142
