created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:50:20.869Z,2026-05-01T18:50:20.980Z,spy back to 721 i was trying to scalp 722724 calls this morning,p1z4t.blacksky.app,A-Wax,did:plc:6v2w5cva4wktapomlvn25der,0,0,0,at://did:plc:6v2w5cva4wktapomlvn25der/app.bsky.feed.post/3mkssasf6h32u,bafyreibd7rm7ecgw474eedjjafbzht762v24czzn7pmcrnlsqoxv42pbqu,0.5362623333930969,"['portfolio', 'derivatives']","[0.5362623333930969, 0.5266983509063721]",neutral,0.8610930442810059
2026-05-01T18:45:35.933Z,2026-05-01T18:45:35.980Z,im currently having a lot of scalp pain too probs a lowpain migraine so hopefully its gone tomorrow and that will help push me to actually do it,ilonkadraws.shop,ilonka 🌱💜,did:plc:7ylrycdwrqnitkd5yqp7vlzi,0,0,0,at://did:plc:7ylrycdwrqnitkd5yqp7vlzi/app.bsky.feed.post/3mksrycnmn226,bafyreietxit7xybqer4fudv7hluwn6q5plltl6fanlkpvzn3ls37dlutim,0.551092267036438,"['forex', 'derivatives']","[0.551092267036438, 0.5383527874946594]",neutral,0.6370779275894165
2026-05-01T18:24:44.950Z,2026-05-01T18:24:45.078Z,starting to use red for scalp and blue light therapy hair and scalp to prevent any ageperimenopause related thinning does anyone have a product they really like for this blackgurlchat,bastylefilegirl.bsky.social,bastylefilegirl,did:plc:ypp4ilvfslbhnvxff74pu5sp,0,0,0,at://did:plc:ypp4ilvfslbhnvxff74pu5sp/app.bsky.feed.post/3mksqszmojk2q,bafyreifwqxnfmty7b2t4bov3soymufe4oenkhba2nbs6hbprcmex25s5oq,0.5453749299049377,"['equities', 'forex']","[0.5453749299049377, 0.5439053773880005]",neutral,0.9075236916542053
2026-05-01T17:58:47.198Z,2026-05-01T17:58:47.976Z,for me head bandanas that have poorly drawnunrealistic wrinkles and ones that cover the scalp but dont have the top point tucked under the knot so it sticks up like a stupid fucking gnome hat the exception being if the character has long hair and the bandana drapes down behind their head,ebonyatlas.bsky.social,"Shad, Rubber Gimp Nun",did:plc:e6cir3udtmqp6tyxq7guhz3u,0,0,0,at://did:plc:e6cir3udtmqp6tyxq7guhz3u/app.bsky.feed.post/3mkspelzudk2f,bafyreibiade6zhqsl6kjte4nchf53mlzmpz7vcaa6tukinvtc66yf6h63y,0.5419609546661377,"['portfolio', 'equities']","[0.5419609546661377, 0.536096453666687]",neutral,0.6751753687858582
2026-05-01T17:08:56.176Z,2026-05-01T17:08:57.376Z,quinn laughs softly but still has her eyes closed because quinn is just enjoying being in joyce s arms but is also enjoying being subtly teased by joyce you know that i can never say no to that babe and yes i would love for us to do more than just scalp massages during our shower time,joycesbumblebee.bsky.social,Quinn Bauman (Parody),did:plc:22kzxxobe25nohwwxelg7ivu,0,0,0,at://did:plc:22kzxxobe25nohwwxelg7ivu/app.bsky.feed.post/3mksmlhl5fc2a,bafyreidl4qvzxducagfl5w2avzbadgnx3i6j32z2kndr434awe2rjkak4y,0.5519925355911255,"['forex', 'macro']","[0.5519925355911255, 0.5387566089630127]",neutral,0.8582111597061157
2026-05-01T17:01:41.496Z,2026-05-01T17:01:42.171Z,he better hold on to those 18 hairs or theyre going to fly away i see a lot of scalp lately so the few he has left are hanging on by a thread,calidemocrat.bsky.social,CALI GIRL,did:plc:z2v2k45yp6cxfxzot6igv2ph,3,0,0,at://did:plc:z2v2k45yp6cxfxzot6igv2ph/app.bsky.feed.post/3mksm6izr7c26,bafyreid6hqd6pgyjhkqej7re4xtktdkvdoeryl7fe3fxbrce4kjcdwqnui,0.5597097873687744,"['derivatives', 'portfolio']","[0.5597097873687744, 0.5376334190368652]",neutral,0.5323740243911743
2026-05-01T16:19:45.828Z,2026-05-01T16:19:46.374Z,instead of the sensation staying down there the aether travels up the spinal column like a lightning strike in slow motion it saturates every nerve ending from the scalp to the soles of the feet,fires-of-meracydia.bsky.social,I BLESS THE RAINS DOWN IN RAT'TIKA,did:plc:boo4g45kzdlp3hqigpiqi7gs,0,0,1,at://did:plc:boo4g45kzdlp3hqigpiqi7gs/app.bsky.feed.post/3mksjtjvn722j,bafyreia2brcrunghntrfxscg4tlrdvmqukog5h5c5vj3fauiljm2wpaa5e,0.5451488494873047,"['crypto', 'macro']","[0.5451488494873047, 0.5308479070663452]",neutral,0.9181259274482727
2026-05-01T15:38:43.018Z,2026-05-01T15:38:48.071Z,todays ms is featuring itchy and scratchys new show live at the back of my thighs while rerunning a good old fashioned scalp episode sponsored by merck serono,quasequase.bsky.social,canary in a coal mine,did:plc:d4wc32dfzr4p5ljav3rtg62a,0,0,0,at://did:plc:d4wc32dfzr4p5ljav3rtg62a/app.bsky.feed.post/3mkshk56qac2q,bafyreighjpflknuzxe6dqmlxhhpqjc3vcpbty4lmbl5exve7qa3f2iu7pa,0.5264937281608582,"['forex', 'derivatives']","[0.5264937281608582, 0.5232164859771729]",neutral,0.9271805882453918
2026-05-01T15:02:16.789Z,2026-05-01T15:02:17.774Z,ahhh of course i bet that hurt your scalp at bit,jim1993.bsky.social,YoungJay76,did:plc:ia2lvy4nmxjl4jmh7cd3dscm,1,0,1,at://did:plc:ia2lvy4nmxjl4jmh7cd3dscm/app.bsky.feed.post/3mksfiyaazk22,bafyreibriuictibl6vvnsvca57afrvm6mxggadd5qyqsfomna4isxdbuiq,0.5503265261650085,"['forex', 'macro']","[0.5503265261650085, 0.5422751903533936]",negative,0.6605263948440552
2026-05-01T14:58:49.952Z,2026-05-01T14:59:26.773Z,congrats on your 900 followers i mostly draw creature designs but many of them art intelligent creatures that double as characters i also make some human characters too may i ask to be added,sarahdraws8.bsky.social,Sarah McKenzie,did:plc:v6bhrxo2v4uhv55okivpt2q7,4,0,1,at://did:plc:v6bhrxo2v4uhv55okivpt2q7/app.bsky.feed.post/3mksfcsysa22l,bafyreie5klixnpwb5xsmja7fyijoqsa565pk5h457elnqhvh547cdqnpri,0.5471944808959961,"['crypto', 'portfolio']","[0.5471944808959961, 0.5159655809402466]",neutral,0.9332302808761597
