created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:02:06.154Z,2026-05-01T18:02:07.177Z,ehh sports bets were 167 billion last year btc has an ostensible market cap of 15 trillion ofc the sports bets end up being fairly small when considering that nearly half of american men have an account and btc is really just sitting there but theyre still sizable numbers,saxxie.dev,Saxxie.dev,did:plc:eme6hyoeo7w7xe6ohdutuvgu,0,0,0,at://did:plc:eme6hyoeo7w7xe6ohdutuvgu/app.bsky.feed.post/3mkspkjrjck2k,bafyreibufs6xx5njycp2pacjvgqixmyc2jrvncym3erojm3c2d6yvddl6q,0.6562183499336243,"['crypto', 'macro']","[0.6562183499336243, 0.5913083553314209]",neutral,0.9138857126235962
2026-05-01T17:30:05.000Z,2026-05-01T17:30:12.579Z,todays small friend is a welcome returning species but a new individual a male redbellied woodpecker photographed here in two styles contemplative and mlem pittsbirds backyardbirding birds birdsofmastodon,jwisser.wandering.shop.ap.brid.gy,Jonas Wisser,did:plc:p7l64xtprvepibueucbx4x2q,1,0,1,at://did:plc:p7l64xtprvepibueucbx4x2q/app.bsky.feed.post/3mksnrg5aeju2,bafyreibcsxfd24g5ojlrmvfvsexsmv4oxf2hwfjum76akejl243au2bism,0.5523849725723267,"['equities', 'portfolio']","[0.5523849725723267, 0.5379882454872131]",neutral,0.899802565574646
2026-05-01T17:23:36.007Z,2026-05-01T17:23:36.772Z,apache 20 licence is a genuine win for commercial edge deployment however limited reasoning and a small context window cap its utility for complex workflows hard to see this beating a 7b local model in production until context window constraints become a critical bottleneck,aichina.news,,did:plc:daexpe52ebb4bwh3ybzyvmkz,0,0,0,at://did:plc:daexpe52ebb4bwh3ybzyvmkz/app.bsky.feed.post/3mksnforr4z2j,bafyreicbjtlwjzwjc7opedy5zqk5yuuh2s2mxzrgxjhf4me2ryecwk5ifa,0.5529208779335022,"['derivatives', 'crypto']","[0.5529208779335022, 0.5287430882453918]",positive,0.6563115119934082
2026-05-01T17:02:59.970Z,2026-05-01T17:03:03.875Z,what if your business is a cafe pub or restaurant the only business you own no offshoring i agree with the policy in general but you have to support small businesses to cope with these types of costs it will also spur big corporations to replace jobs with ai so need to cap ai at the same time,belfastcitizen.bsky.social,BelfastCitizen,did:plc:bc6aiklold4f5eg5ahjhn4ru,2,0,2,at://did:plc:bc6aiklold4f5eg5ahjhn4ru/app.bsky.feed.post/3mksmatukyk2f,bafyreiejuaznbwweg6zftliileenteft3enssgt4gkwidn66uajhcmtiuq,0.5882679224014282,"['crypto', 'equities']","[0.5882679224014282, 0.5781145691871643]",negative,0.6274349689483643
2026-05-01T16:00:03.364Z,2026-05-01T16:00:03.880Z,unibase ub surging 102 to 014 now at 335m market cap acn and ape also up 14 small caps heating up btc steady at 78k eth 2306 sol holding 84 mega down 3 ai sliding 17 momentum shifting to lowcap plays cryptobluesky crypto,onchainoracle.bsky.social,Onchain Oracle,did:plc:ojtpclrg2p2c64rzvmo3nfmt,0,0,0,at://did:plc:ojtpclrg2p2c64rzvmo3nfmt/app.bsky.feed.post/3mksiqcncbr2j,bafyreideuqnd5kezqucd72yhy7wtp4nhtbabmo4kbqlgqlkzs72ejq4vk4,0.753253698348999,"['crypto', 'portfolio']","[0.753253698348999, 0.6481097340583801]",positive,0.5937955379486084
2026-05-01T15:51:47.257Z,2026-05-01T15:51:50.479Z,session 21 of vagabonds is today at 6pm edt last weeks session was played offstream but a recap is in the replies the forces of palisade are ready to assault the hidden fortress but if the vagabonds can kill the emperor first it may defuse an all out war twitchtvcybjester,lonestarnorth.bsky.social,LoneStarNorth,did:plc:6rvh2rq2shgxlo2a2rugia4y,4,1,1,at://did:plc:6rvh2rq2shgxlo2a2rugia4y/app.bsky.feed.post/3mksibj3rns22,bafyreiebn7pd6rqs72tmnjxw2hsh6x55nfjo5xdu6l7jdajtfaufv73cgu,0.5888952016830444,"['derivatives', 'equities']","[0.5888952016830444, 0.5610435009002686]",neutral,0.8298712968826294
2026-05-01T15:18:04.846Z,2026-05-01T15:18:12.676Z,happy fungifriday it s the 4th time this year this mushroom this spot has produced fruiting bodies,kevinhamel.bsky.social,Kevin is not doing any more work,did:plc:5333phapz5k3xjrhiv77lenl,2,0,1,at://did:plc:5333phapz5k3xjrhiv77lenl/app.bsky.feed.post/3mksgfaerts2x,bafyreicgk6na366qcpexxtxzaj2e5vnqiisjeesuiztu4krafa2emhhsgm,0.5060788989067078,"['macro', 'equities']","[0.5060788989067078, 0.4880898892879486]",neutral,0.851628839969635
2026-05-01T14:48:56.498Z,2026-05-01T14:48:58.374Z,april 653 solid gains led by arty 33 but lagged broader rally due to energy weakness ytd 1483 strong outperformance vs sp 500 54 nasdaq 87 and russell 2000 129 key energyai tilts drove returns international smallcap and private credit added stability,fenderguy69.bsky.social,Mark Fulton,did:plc:lozarojea643rb6khfxzgdz5,0,0,1,at://did:plc:lozarojea643rb6khfxzgdz5/app.bsky.feed.post/3mkser4zmmc2l,bafyreidlvvnnmfzxxvk2gk4vc6pqyjw3nhodemjcdszuzwor5k6nwrck4m,0.6776573657989502,"['portfolio', 'equities']","[0.6776573657989502, 0.6540981531143188]",positive,0.9456968307495117
2026-05-01T14:48:55.448Z,2026-05-01T14:49:05.777Z,aprils newsletter is here and ready to teach you what a crot is,rezingrave.bsky.social,Rez 💞,did:plc:rtabddqaczu37sxxydl62ved,0,1,0,at://did:plc:rtabddqaczu37sxxydl62ved/app.bsky.feed.post/3mkser3zvxk2x,bafyreihaj7w27abrs6y7ammas2si7dih5vrcljv53rkvjyh7trzam26lzi,0.5846990942955017,"['crypto', 'portfolio']","[0.5846990942955017, 0.5423712730407715]",neutral,0.9235562682151794
2026-05-01T14:32:59.886Z,2026-05-01T14:33:01.781Z,without political donations the funding of political parties becomes a conundrum another alternative would be to cap them at something pretty small per person and ban companies from donating,molynj.bsky.social,Charles Julian,did:plc:45g5xx4rurut6z32vcssp5r3,0,0,0,at://did:plc:45g5xx4rurut6z32vcssp5r3/app.bsky.feed.post/3mksdumpric2c,bafyreibmf5bpkzre7d73phgkgqt6bcei5pk2ennlr4yuwbnejiou4ovg7q,0.5615403652191162,"['crypto', 'equities']","[0.5615403652191162, 0.5247443318367004]",negative,0.5867735743522644
