created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T19:11:03.381Z,2026-05-01T19:11:03.574Z,t na m o aperta aqui pra baixar,down.blue,Video Downloader for Bluesky,did:plc:cshkhphcdgv4z6w2pwgcgzlm,0,0,0,at://did:plc:cshkhphcdgv4z6w2pwgcgzlm/app.bsky.feed.post/3mkstftfait25,bafyreib7wgla5mskqxyq4oghrghlrku6seixnod4ky6oxnl7oip5g5s53y,0.5312298536300659,"['crypto', 'forex']","[0.5312298536300659, 0.5104789137840271]",neutral,0.7929394841194153
2026-05-01T19:10:57.538Z,2026-05-01T19:10:58.877Z,toda a area a ougue vegano me da muita afli o a pessoa se ilude que ta comendo coisas saud veis e se entope de conservantes,silviapimenta.bsky.social,silviapimenta,did:plc:npfy7dnztir5uxz2vuxyvpew,0,0,0,at://did:plc:npfy7dnztir5uxz2vuxyvpew/app.bsky.feed.post/3mkstfnrexs26,bafyreibcqoyl7q5olcdvfcns3hoiosgcpgqzmnmhirqcta7qmwl7su47ni,0.540027379989624,"['crypto', 'portfolio']","[0.540027379989624, 0.5091054439544678]",positive,0.7713402509689331
2026-05-01T19:10:54.968Z,2026-05-01T19:10:55.873Z,t lindo demais boa glam,azureskyes22.bsky.social,Bergentruckung 22,did:plc:nj6pnml2lleoxr5ftsndpyw6,0,0,0,at://did:plc:nj6pnml2lleoxr5ftsndpyw6/app.bsky.feed.post/3mkstflcwa22e,bafyreihxlvza2ewjauevxp7p3wntunffficrxscldyegktqunh6aabb5sm,0.5531617999076843,"['crypto', 'macro']","[0.5531617999076843, 0.5510649085044861]",neutral,0.891882598400116
2026-05-01T19:10:51.178Z,2026-05-01T19:10:53.474Z,bskysocial t faltando vc assistindo half man,maidenofmyth.bsky.social,glory hole do vaticano,did:plc:hhhrt7d4o7rb6aboeddbwxlc,0,0,0,at://did:plc:hhhrt7d4o7rb6aboeddbwxlc/app.bsky.feed.post/3mkstfhpcz22b,bafyreic6khbguud6zjpay4wqq74c7qu7uz2uqlwqg2pz7t5qy3k63uyevm,0.5606208443641663,"['portfolio', 'equities']","[0.5606208443641663, 0.5569186210632324]",neutral,0.9024577140808105
2026-05-01T19:10:32.609Z,2026-05-01T19:10:34.576Z,nao to nem brincando que tem varios epis dios onde ta rolando uma guerra entre 2 planetas e chega os humanos e falam ol meus amigos vamos na minha nave la bater um papo e ai eles servem boa comida e bom vinho e todo mundo sai de l 12 horas depois amigo,outlawlas.bsky.social,Schrodinger's Shota,did:plc:sligofzlftvhiw5ylcbhq6fu,1,0,1,at://did:plc:sligofzlftvhiw5ylcbhq6fu/app.bsky.feed.post/3mkstevykc22m,bafyreifzfiwxj3kkhmglybpck4vzru32ungnt3uhcxszcgnlzmschhshsa,0.5458477139472961,"['forex', 'crypto']","[0.5458477139472961, 0.5444016456604004]",positive,0.676357626914978
2026-05-01T19:10:00.045Z,2026-05-01T19:10:00.580Z,dispensei minha amiga hoje pra passar um tempo com a minha m e e ela est a meia hora no telefone com o pseudonamorado enquanto a gente t no shopping,mxmoffwitch.bsky.social,nana 🍒,did:plc:zqvhm24feqaax54jtf7a5ylb,0,0,0,at://did:plc:zqvhm24feqaax54jtf7a5ylb/app.bsky.feed.post/3mkstdwwrj22p,bafyreid6npq4h4p776wbp2l6kx3odoghb5h22mu5nby72oh2uv3gjlxsiy,0.5419020056724548,"['crypto', 'forex']","[0.5419020056724548, 0.5417522192001343]",positive,0.7871658802032471
2026-05-01T19:09:58.015Z,2026-05-01T19:09:58.171Z,t ci nas de dh th orm,waterford.bsky.social,Paul 'Flex' Browne,did:plc:smg32fae6n4yvhg6ungbjtkm,0,0,0,at://did:plc:smg32fae6n4yvhg6ungbjtkm/app.bsky.feed.post/3mkstduyu2s2s,bafyreiedynq7i2i6ak5u5wqgksmcmkzxwasjbai63dykehzqbv4fl5sx3i,0.5603172779083252,"['crypto', 'derivatives']","[0.5603172779083252, 0.5149084329605103]",neutral,0.91057950258255
2026-05-01T19:09:44.844988Z,2026-05-01T19:09:46.076Z,efta00467786jpg epsteinweb efta00467786 available in the ios app store now,epsteinweb.bsky.social,Epstein Web,did:plc:ndjyym3ihrqu3g25gdztefrv,0,0,0,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mkstdiu3c22a,bafyreic3usysnj7pcxfy47jn54ofza56shmxjwfwgvsjdsffgwfmpcu25q,0.5914395451545715,"['crypto', 'macro']","[0.5914395451545715, 0.5666221976280212]",neutral,0.9483670592308044
2026-05-01T19:09:39.202Z,2026-05-01T19:09:41.471Z,saninplay ta diferente,luisemtpikah.bsky.social,luise cabezinha🏳️‍⚧️,did:plc:vjzzoi6bxld3gyj7clwhcamo,0,0,0,at://did:plc:vjzzoi6bxld3gyj7clwhcamo/app.bsky.feed.post/3mkstdd2ozc2m,bafyreiffh3a65wbm53drgezo3mrkyd4ww3lwcchmsujtpw5dgdigsk4qbe,0.539675235748291,"['crypto', 'derivatives']","[0.539675235748291, 0.5217291712760925]",neutral,0.8979991674423218
2026-05-01T19:09:37.844Z,2026-05-01T19:09:38.594Z,quando o trump foi eleito o cara praticamente um nazista assumido e t tudo bem tipo fodase t ligado kkkk e novamente o hasan s um streamer,costelinhadougref.bsky.social,Costélinha - Comissões Abertas (He/Him),did:plc:c7m4pus322ka4fhcememfbdn,0,0,0,at://did:plc:c7m4pus322ka4fhcememfbdn/app.bsky.feed.post/3mkstdbrmks27,bafyreigvwsffafonv7i6b5ylxape3frw4spcuwpzn3gadqmchsighz2np4,0.5679841041564941,"['crypto', 'macro']","[0.5679841041564941, 0.5065771341323853]",positive,0.7552792429924011
