created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores,finbert_sentiment,finbert_score
2026-05-01T18:17:03.818Z,2026-05-01T18:17:04.272Z,this is nearby to me cache creek is a short drive from davis where i lived as a kid this makes me think about the long history of native activism in yolo county surrounding including dq university the mckays etc i have many thoughts right now,alainaboys.bsky.social,Alaina,did:plc:yhtf7nsgsl5fa2hghkflnpzr,0,0,0,at://did:plc:yhtf7nsgsl5fa2hghkflnpzr/app.bsky.feed.post/3mksqfbu2ck2q,bafyreihglaph74p6kwjsql3reykzhqeb5ypzsr4rycicnxshalys6rvlee,0.5230452418327332,"['derivatives', 'crypto']","[0.5230452418327332, 0.508639931678772]",neutral,0.9153701066970825
2026-05-01T18:13:33.035Z,2026-05-01T18:13:35.277Z,pps remarkably perhaps the best fictional depiction of this actually comes from chinese cinema it has flaws ie the director is so used to filming fight scenes the camera struggles to stay still even in boardrooms but it really captures men yoloing into stocks as others manipulate them,yardcg.bsky.social,YARDCG,did:plc:o2psjjwfsd2zox25jnu3hsc4,0,0,0,at://did:plc:o2psjjwfsd2zox25jnu3hsc4/app.bsky.feed.post/3mksq6ytgkk2w,bafyreih2ru24trdhyooimi72mwicwyd2n5gkc4cdaaeo5i3ljm6p7x7oqa,0.5798739194869995,"['crypto', 'equities']","[0.5798739194869995, 0.5638237595558167]",neutral,0.8423060178756714
2026-05-01T18:09:48.201Z,2026-05-01T18:09:49.972Z,i feel like if your infrastructure software has a yolo mode and you are running it that way this update breaking things is is the least of your problems,kthorazine.bsky.social,Kthorazine,did:plc:65ak2csswmwlnqvczpowtkhl,1,0,0,at://did:plc:65ak2csswmwlnqvczpowtkhl/app.bsky.feed.post/3mkspycg24222,bafyreif5nlw5mv3oxlp4cj2v5b7aljayitcnjxveqyryohovprfwa34gve,0.5567783713340759,"['macro', 'forex']","[0.5567783713340759, 0.5449289679527283]",neutral,0.6823804378509521
2026-05-01T17:45:16.611Z,2026-05-01T17:45:17.477Z,woo crellin did the same yolo as me i feel better about it now,allorin.bsky.social,Stephen Will,did:plc:u7exh23kar23kidzui37bitm,4,0,0,at://did:plc:u7exh23kar23kidzui37bitm/app.bsky.feed.post/3mksomgyoik25,bafyreia6trteq5e244mga7g326wgiqvl6jfihrgsrlk4dzz7sbs6qziaiu,0.5672670602798462,"['portfolio', 'equities']","[0.5672670602798462, 0.565092146396637]",neutral,0.6877739429473877
2026-05-01T17:41:31.528Z,2026-05-01T17:41:32.574Z,i decided yolo and just ate like i knew what i was doing,eisforenkidu.bsky.social,Gootsberry (ready for Fall 🍁),did:plc:hr2gfafufvl5ugyvagij55v2,1,0,0,at://did:plc:hr2gfafufvl5ugyvagij55v2/app.bsky.feed.post/3mksofqdous2a,bafyreicahoysocrj4hfbaoij6c4amsxg2zmxivq5asdbghieszr2tlyjei,0.5674712061882019,"['forex', 'crypto']","[0.5674712061882019, 0.5485137701034546]",neutral,0.8897220492362976
2026-05-01T17:37:28.331Z,2026-05-01T17:37:27.179Z,this feels like the same yolo argument that the article saying people should take up smoking again made,oplopanax.ca,Michael Coyle,did:plc:kbhhbrzjvaru3h6iwt4f6eje,1,0,0,at://did:plc:kbhhbrzjvaru3h6iwt4f6eje/app.bsky.feed.post/3mkso6ifvsk2r,bafyreihjc3tbxjdbphwfivspa2yx2pq33a5mt7uawikax53rm3mylwphre,0.5481305718421936,"['crypto', 'macro']","[0.5481305718421936, 0.5478907823562622]",neutral,0.8559961915016174
2026-05-01T17:32:26.525Z,2026-05-01T17:32:27.571Z,yolo for fomo today bb,happyenduser.bsky.social,Justin Groom,did:plc:xuinzaapxhkksxldckgbtbxh,0,0,0,at://did:plc:xuinzaapxhkksxldckgbtbxh/app.bsky.feed.post/3mksnvilkec2c,bafyreid5fpodqsvy2sh63zyin4ak6y67ljybhcumtxi5nfnysla5paum4a,0.6001600623130798,"['crypto', 'macro']","[0.6001600623130798, 0.5668913722038269]",neutral,0.9088386297225952
2026-05-01T17:25:16.893Z,2026-05-01T17:25:22.179Z,yolo,fokkovdleest.eurosky.social,Fokko,did:plc:w5wuhp4fvhkdkk4iymb73ymo,1,0,1,at://did:plc:w5wuhp4fvhkdkk4iymb73ymo/app.bsky.feed.post/3mksniou7uc2n,bafyreibvhzcynohoqyjytbzsq54w2inqio3lvoomiu7nqtutsmw7ztodwi,0.6080837249755859,"['crypto', 'forex']","[0.6080837249755859, 0.5625222325325012]",neutral,0.8881041407585144
2026-05-01T17:23:10.920Z,2026-05-01T17:23:11.472Z,i am one of those folks who ve lapsed into fuck it yolo mode wrt platner the worst case scenario actually isn t that he loses to collins if he does welp we learned our lesson i guess it s that he wins and then joins fetterman in preserving the filibuster or some shit,dickiddaveson.bsky.social,David Dickson,did:plc:66zrkvy42lc75f4cx7h6tb3s,0,0,1,at://did:plc:66zrkvy42lc75f4cx7h6tb3s/app.bsky.feed.post/3mksnewpudc2c,bafyreibyfjcb7l74umbueknybehdzex47t4qrz3cnpptk5zleurc2wk7ly,0.5932239890098572,"['equities', 'portfolio']","[0.5932239890098572, 0.5667759776115417]",neutral,0.8456549644470215
2026-05-01T15:41:58.875Z,2026-05-01T15:41:59.572Z,good morning and happy friday sweet yolo have a fantastic day my dear friend,tboneator64.bsky.social,Tboneator8XVaxxed&Masked 🍁 NEVER 51!!!! F*** ICE!!!!,did:plc:l7dzefwee2wxxgurv7e2plif,0,0,0,at://did:plc:l7dzefwee2wxxgurv7e2plif/app.bsky.feed.post/3mkshpxxpvs24,bafyreihc4p35sesbuud4bfsxv7vzilmtarqu7gdgahc7mf3emyn5ux2u5i,0.5588594675064087,"['crypto', 'equities']","[0.5588594675064087, 0.5545090436935425]",neutral,0.5191256403923035
2026-05-01T15:40:02.927Z,2026-05-01T15:40:03.575Z,so i m at pt all of them do sports gambling online my guy tells me his friend has done 300k in sports gambling in draft kings in past 5 years we live in a degen yolo culture,emperorsclothes.bsky.social,Emperors Without Clothes,did:plc:cn7eqmvtxijf2fvudkwxoyrm,4,0,1,at://did:plc:cn7eqmvtxijf2fvudkwxoyrm/app.bsky.feed.post/3mkshmjfahk2q,bafyreifr7caixop3kuesb4ery5cakpd4etpyevbvgz24fwvobp5ncwf3de,0.5816020965576172,"['forex', 'crypto']","[0.5816020965576172, 0.5696395039558411]",neutral,0.9312434792518616
2026-05-01T15:10:44.567Z,2026-05-01T15:10:48.673Z,so geht s mir auch und ich merke auch wie ich dann zu verschw rungstheorien neige also das gef hl habe die wissen was was sie den leuten nicht sagen mir kommt es vor als w re alles unumkehrbar an die wand gefahren und jetzt ist auch egal yolo und vollgas anders kann ich mir nicht erkl ren,datentante.bsky.social,Datentante 🤌🏻 (Segler era - ornithology approved),did:plc:nd7esufhhjnvsveicliasqjc,1,0,1,at://did:plc:nd7esufhhjnvsveicliasqjc/app.bsky.feed.post/3mksfy4ieys2d,bafyreiadtqqq7qx2edndk7mel6jkvqamxquzqb5kkrugn3b5a4i6ddychq,0.5463966131210327,"['derivatives', 'forex']","[0.5463966131210327, 0.5400665998458862]",neutral,0.8430269360542297
2026-05-01T14:47:11.089Z,2026-05-01T14:47:11.687Z,ohhh mermay i dont have many mermaid characters and for at least 34 of them being a mermaid is a spoiler so i cant show them jdhfvjfdxg though tbh sometimes i consider just drawing them like yolo who even caaaaares jhfdjgx,dweeborea.bsky.social,dweeb (7.5 Spoiler Embargo until 12/May),did:plc:jd3fgkc7ll63tjll4tjviqtr,2,0,0,at://did:plc:jd3fgkc7ll63tjll4tjviqtr/app.bsky.feed.post/3mksenyigg22o,bafyreieidm4hnd2tbzfjbx5wgvntjflb7z4adnizjrntivom4lk3s2af4i,0.5532030463218689,"['forex', 'crypto']","[0.5532030463218689, 0.5382861495018005]",neutral,0.5404541492462158
2026-05-01T14:31:47.948Z,2026-05-01T14:31:48.372Z,yolo,vintagewingnut.bsky.social,♥️WingNut (Monica),did:plc:tri2tjwnhayxgginwuca2tgr,1,0,1,at://did:plc:tri2tjwnhayxgginwuca2tgr/app.bsky.feed.post/3mksdsi4fjs2o,bafyreibihz54hynum6c6yffm7earbx6nehcxgqpew7kxewqqheubrmjwoq,0.6080837249755859,"['crypto', 'forex']","[0.6080837249755859, 0.5625222325325012]",neutral,0.8881041407585144
2026-05-01T14:31:04.575Z,2026-05-01T14:31:12.376Z,siento q me estoy metiendo en un berenjenal pero yolo supongo,badtzmartu.bsky.social,mayonesa cigarro 💬‼️,did:plc:7rqhm7hzic6eurj47kvvkyc2,5,0,0,at://did:plc:7rqhm7hzic6eurj47kvvkyc2/app.bsky.feed.post/3mksdr6quyk2k,bafyreidgauew6fhcd2o5ivhltjd5oht3k5nvvgevtrkqt7ayznbzkd7lcm,0.5214859843254089,"['equities', 'macro']","[0.5214859843254089, 0.5187312960624695]",neutral,0.5523287653923035
2026-05-01T13:41:06.000Z,2026-05-01T13:42:53.377Z,250 you only live sonic 250 yolo 1 user,kiq.fedibird.com.ap.brid.gy,kiq / キク,did:plc:g7k5kuycsrunmg7aq4lgoydi,0,0,0,at://did:plc:g7k5kuycsrunmg7aq4lgoydi/app.bsky.feed.post/3mksayghog5w2,bafyreifuzpdsenvefqzarvdv6gck5pzramueyydhx5x4dgcvem2fbw57pm,0.5488593578338623,"['crypto', 'derivatives']","[0.5488593578338623, 0.5485415458679199]",neutral,0.9319674372673035
2026-05-01T13:40:28.000Z,2026-05-01T13:41:29.873Z,au fait hier soir j ai t signer la clio hybride yolo,timekeeper.piaille.fr.ap.brid.gy,Timekeeper :antifa:,did:plc:m2rnvodgb4pepk7uhmbrfajc,0,0,0,at://did:plc:m2rnvodgb4pepk7uhmbrfajc/app.bsky.feed.post/3mksawrj2pon2,bafyreidsu33ezd6qwcth34zuydlum4cppdqsvrqv55osijlb5mk6jskuli,0.590404748916626,"['crypto', 'forex']","[0.590404748916626, 0.5791968107223511]",neutral,0.8418127298355103
2026-05-01T13:29:06.606Z,2026-05-01T13:29:06.876Z,gibbswhite and bogle yolo,briannemo.bsky.social,Brian Nemo,did:plc:6kbgubjbzpadkv7jzma2goa2,0,0,0,at://did:plc:6kbgubjbzpadkv7jzma2goa2/app.bsky.feed.post/3mksacezdyc2i,bafyreidspibafskprgmdxysujnp5mpqwcqrrssbendnkvyf6wpit6es6d4,0.5810490846633911,"['macro', 'forex']","[0.5810490846633911, 0.5697612762451172]",neutral,0.9130730032920837
2026-05-01T13:13:38.824Z,2026-05-01T13:13:39.393Z,enerzijds zit je met een vrij complexe wetgeving rond arbeidstijd die tot doel heeft de werknemer te beschermen maar waardoor veel flexibiliteit verdwijnt en werkgevers serieuze kosten moeten maken om processen te aligneren en hardware ensoftware aan te kopen en anderzijds flexijob yolo 2,stefketels.vrk.social,Stef Ketels,did:plc:apu37462e44g5lhr5rgbubg6,9,0,2,at://did:plc:apu37462e44g5lhr5rgbubg6/app.bsky.feed.post/3mks7gqahc22u,bafyreiaq64lvbfjuz76lcgfiocnl4dwhhykgudfvtamaztx3v6sojpgz24,0.580217719078064,"['forex', 'crypto']","[0.580217719078064, 0.5774569511413574]",neutral,0.8659927248954773
2026-05-01T13:11:05.789Z,2026-05-01T13:11:13.674Z,size comparison of some of my mdgremix ocs i had made oc doodle mignya art,yoregesacraft.bsky.social,Yorege🌸🌈,did:plc:e3exwxys3dklm4qdod46igcg,22,4,1,at://did:plc:e3exwxys3dklm4qdod46igcg/app.bsky.feed.post/3mks7c6e3ls2o,bafyreib6tc6ga5hqvgjomrmapr5qwpou7chghlvctofhoqkdeodnerhfhy,0.5393597483634949,"['portfolio', 'forex']","[0.5393597483634949, 0.5268693566322327]",neutral,0.9096482396125793
2026-05-01T12:21:22.204Z,2026-05-01T12:21:22.375Z,so im gonna go out on the town today i was thinking i wouldnt but yknow what yolo lets go to epic universe today see what its all about keep your eyes out here for pics,herrwozzeck.bsky.social,Herr Wozzeck,did:plc:kuzl5xbhok45ihcxljnqj3hp,10,0,1,at://did:plc:kuzl5xbhok45ihcxljnqj3hp/app.bsky.feed.post/3mks4javnfs2v,bafyreiclzu5hrtgvjzblgsoazfbrxw2rj3yomnqpbmthwqvi75iz5rkxaa,0.5773075819015503,"['crypto', 'derivatives']","[0.5773075819015503, 0.5681858658790588]",neutral,0.922855019569397
2026-05-01T11:55:15.073Z,2026-05-01T11:55:16.196Z,210526 siegen germany vortex 220526 augsburg germany yolo toast 230526 cottbus germany galerie fango 240526 n rnberg germany zentralcaf kaya 250526 bratislava slovakia koncerty na gar zach 270526 radebeul germany barnyard club,fcommanders.bsky.social,Friendship Commanders,did:plc:wie63j4e75fxxfgrcf6czlkm,2,0,1,at://did:plc:wie63j4e75fxxfgrcf6czlkm/app.bsky.feed.post/3mks32kezpk2k,bafyreid4rsgqfc437bcdsyy27ucsqi2s2l6zt6l2je7r5uapootxc4sgxq,0.5569170117378235,"['derivatives', 'forex']","[0.5569170117378235, 0.5301750302314758]",neutral,0.8858025670051575
2026-05-01T11:52:13.922Z,2026-05-01T11:52:26.972Z,h lsningar fr n min beach yolo skibidimaxxing,bassesbasta.bsky.social,Basse,did:plc:tbqznixxqj2rne2ftw4uj577,4,0,0,at://did:plc:tbqznixxqj2rne2ftw4uj577/app.bsky.feed.post/3mks2v5mgoc2f,bafyreihluvyqu2qbeudln437v3i6dyczileozdgg4npywgfbsqnkc3bo2q,0.5764392614364624,"['crypto', 'forex']","[0.5764392614364624, 0.553945004940033]",neutral,0.9052262902259827
2026-05-01T11:33:40.000Z,2026-05-01T11:33:49.670Z,oh and it gets even worse with this tidbit of history from ps adding to the tech debtspecification backlog preferredusername was never in activitystreams it was yolodretconned and one does not simply yolo new terms into the ontology without the whole w3c,thisismissem.hachyderm.io.ap.brid.gy,Emelia 👸🏻,did:plc:fqtd3rk646ndv3l3ub4bk4ml,0,0,1,at://did:plc:fqtd3rk646ndv3l3ub4bk4ml/app.bsky.feed.post/3mkrzu4b2x6p2,bafyreih7esspbmtdqezjpaskl7b4yopfg5yb4e3afset4zsbrmcctbf3ai,0.5264763832092285,"['derivatives', 'crypto']","[0.5264763832092285, 0.5147126317024231]",negative,0.5344172716140747
2026-05-01T11:11:15.164Z,2026-05-01T11:11:16.871Z,yolo in ai,hboon.com,Boon aka Hwee-Boon Yar,did:plc:bryys25pc2fnagnyxqgsglhd,0,0,1,at://did:plc:bryys25pc2fnagnyxqgsglhd/app.bsky.feed.post/3mkryluqxvs2u,bafyreihrpuwkrh2hubgp6k5bxi2qbagtt35hkusttebz22ckwbmetl4rm4,0.629970908164978,"['crypto', 'forex']","[0.629970908164978, 0.5751472115516663]",neutral,0.9079486131668091
2026-05-01T09:48:27.154Z,2026-05-01T09:48:30.174Z,lake county calif the cal fire sonomalakenapa unit has announced that residential burn permits will be required effective friday may 1 in the counties of sonoma napa lake solano yolo and colusa bitly4cjawxj,lakeconews.bsky.social,Lake County News,did:plc:uhx66zioeogbeykwi5avirgo,0,0,0,at://did:plc:uhx66zioeogbeykwi5avirgo/app.bsky.feed.post/3mkrtxsvdnc2v,bafyreifjke6tsuy2gomqf6gbqhj5gzk7bgcjcmblohea5lbi6xbtjpba2q,0.5296952724456787,"['portfolio', 'derivatives']","[0.5296952724456787, 0.5257656574249268]",neutral,0.9311010837554932
2026-05-01T09:27:26.381Z,2026-05-01T09:27:27.708Z,admin v podobe clauda tak e u s n m som cutpastovo vyrobil a deployol mcp server v bitch mode n sledne ho pripojil do clauda a u s jeho pomocou zauditoval zhardenoval a za al sa hra ako prv som mu dal doslova na yolo vybuildi a nakonfigurova node s wazuhom o mus m uzna e mi padla,amatotorrentini.bsky.social,Amato Torrentini,did:plc:dhzaosd4qfykupacm7fiikku,2,0,1,at://did:plc:dhzaosd4qfykupacm7fiikku/app.bsky.feed.post/3mkrssbedi22y,bafyreih3xt4a77icufnwzhlrn3vdxdzd6vbljl74rwuv63jdp4kyltizya,0.5513507127761841,"['crypto', 'equities']","[0.5513507127761841, 0.5186774730682373]",neutral,0.6956779956817627
2026-05-01T08:49:18.583Z,2026-05-01T08:49:19.276Z,actually i think it s tuesdays yolo party time,lukesteuber.com,Luke Steuber,did:plc:muhesxre7yfcuqi5ss2fskjc,7,0,2,at://did:plc:muhesxre7yfcuqi5ss2fskjc/app.bsky.feed.post/3mkrqo2plas24,bafyreignxw5nxwafdj4lspm7wq6qkoo3jlowutqtauf3nwm3sqh7uibdge,0.5243480205535889,"['forex', 'crypto']","[0.5243480205535889, 0.5224415063858032]",neutral,0.9268717169761658
2026-05-01T08:20:03.629Z,2026-05-01T08:20:08.274Z,4 the aim of this cohort study was to clarify the association between ere and thyroid cancer detection in children and adolescents okay got it ereexternal radiation exposure fyi omg fwiw tia yolo swak ere msv dr dstc,amylangekawamura.bsky.social,Amy Lange Kawamura,did:plc:qy4mpqswzpva4jc3ik43k2ex,0,0,1,at://did:plc:qy4mpqswzpva4jc3ik43k2ex/app.bsky.feed.post/3mkrozr2pw22y,bafyreiaqidkmmkfiup3fl4g5ibmmxkmlz5vthzuchcyxmznxtqhxnq6244,0.5405757427215576,"['crypto', 'forex']","[0.5405757427215576, 0.5246065258979797]",neutral,0.9106380939483643
2026-05-01T07:20:06Z,2026-05-01T07:20:06.274Z,three candidates vie for yolo county s 3rd district seat as budget concerns housing and farmland shape the race,sacbee.com,The Sacramento Bee,did:plc:ljuh3omrnp3oep7ibvgdrvli,0,0,0,at://did:plc:ljuh3omrnp3oep7ibvgdrvli/app.bsky.feed.post/3mkrlokb3l222,bafyreicshdngoyt5gysnn2kzvocbakg34ww6lp742ucv7gmeu7r2bbhd6y,0.5365314483642578,"['portfolio', 'forex']","[0.5365314483642578, 0.5230798721313477]",negative,0.4730423092842102
2026-05-01T07:10:53.054Z,2026-05-01T07:10:58.873Z,for the month of may yolo din22 by tetsu inoue will be free to download name your price dinrecordsbandcampcomalbumyolod this is a strikingly crafted album that will appeal to fans of his previous work and draw in new converts with a music that is both substantial and timeless,ianboddy.bsky.social,Ian Boddy,did:plc:umtliqttyeqgodc2kcrcxmgs,5,0,0,at://did:plc:umtliqttyeqgodc2kcrcxmgs/app.bsky.feed.post/3mkrl62r62s22,bafyreiesg5eu3slubmlfcrgk7x4l5lpwdmdxpas2sqkaevwdsexjlsp2gy,0.5776973962783813,"['crypto', 'forex']","[0.5776973962783813, 0.5285081267356873]",positive,0.4983151853084564
2026-05-01T07:10:28.011Z,2026-05-01T07:10:30.177Z,oef deze komt wel ff binnen yolo maar dan mooier geformuleerd,arthurp.bsky.social,Arthur Pieterman,did:plc:f43mqwykq2bno2u7pdiq3w4p,2,0,1,at://did:plc:f43mqwykq2bno2u7pdiq3w4p/app.bsky.feed.post/3mkrl5cv3uk2m,bafyreigsp7mm4sep5lnri7znyxxld6wdqsnkummsocwh6origu32co2x4e,0.5829373598098755,"['forex', 'crypto']","[0.5829373598098755, 0.5688541531562805]",neutral,0.8998859524726868
