created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T19:05:36.140384+00:00,2026-05-01T19:05:36.873Z,workers built this world hope will save it join us tomorrow to stand alongside trade unions communities across belfast to demand better pay better rights a better future for everyone st anne s cathedral belfast 1130am saturday 2 may 2026 see you on the steps,greenpartyni.org,Green Party Northern Ireland,did:plc:6k22xrntjxcrwrqbjdv45dfu,0,0,0,at://did:plc:6k22xrntjxcrwrqbjdv45dfu/app.bsky.feed.post/3mkst43co7w2c,bafyreiemvbyzgfunu6u6v43ri6o5agx74jpnxl2xvub2lgncplnoix253a,0.5548301339149475,"['crypto', 'macro']","[0.5548301339149475, 0.5392518639564514]"
2026-05-01T18:38:28Z,2026-05-01T18:38:29.878Z,it was opened at least 10 times now bjp has alleged illicit activities in the strong room a day after tmc standoff in kolkata scenes of chaos continued to grip west bengal on friday as the bharatiya janata party bjp and trinamool congress tmc continued to trade barbs ahead of the counting,gibnnetwork.bsky.social,,did:plc:ci2qws4rp6446ijdpjzndhf6,0,0,0,at://did:plc:ci2qws4rp6446ijdpjzndhf6/app.bsky.feed.post/3mksrlm6azc22,bafyreibkepbhkbzxul5226422re4mzuony2hcmgpqexkmnahu7v5b5gciu,0.5849771499633789,"['crypto', 'equities']","[0.5849771499633789, 0.542374312877655]"
2026-05-01T18:35:13.915Z,2026-05-01T18:35:19.877Z,1 mai 1933 tagderarbeit maifeiertag feiertagdernationalenarbeit gewerkschaften arbeiterinnenrechte gleichschaltung propaganda,klempererjournal.bsky.social,Victor Klemperer Journal,did:plc:ufnjx64i4xylrakp6232l4eu,10,5,1,at://did:plc:ufnjx64i4xylrakp6232l4eu/app.bsky.feed.post/3mksrfrha4c2u,bafyreif6hp7ihxkq3b7ckxxtgvbtqfoqhjdcktmogvahg6iic6mjlbcrqm,0.5581104159355164,"['macro', 'crypto']","[0.5581104159355164, 0.5438051819801331]"
2026-05-01T18:26:42+00:00,2026-05-01T18:26:45.675Z,workers hold annual may day march to ledra palace workers and members of the trade union movement on friday held their annual may day march to the ledra palace hotel in nicosia s buffer zone with marches beginning from either side of cyprus divided capital,byteseu.bsky.social,BYTESEU,did:plc:5zww7zorx2ajw7hqrhuix3ba,0,0,0,at://did:plc:5zww7zorx2ajw7hqrhuix3ba/app.bsky.feed.post/3mksqwlwezn2w,bafyreifv627dxusqmrsfdu5tktnd4h6ytra37bjbhv7ovrq7xtghl5inwu,0.569230318069458,"['crypto', 'derivatives']","[0.569230318069458, 0.5303751230239868]"
2026-05-01T18:20:03.585799Z,2026-05-01T18:20:04.176Z,our ai day trading model just locked in a 095 win for a bearish trade on aapl entry 28338 at 0102 pm edt exit 28068 at 0207 pm edt build your own ai day trading models at download the fundspec app on the apple appstore or google playstore ai trading stockmarket,fundspec.bsky.social,FundSpec,did:plc:5i7m7wpf7lstzfau43thfeff,0,0,0,at://did:plc:5i7m7wpf7lstzfau43thfeff/app.bsky.feed.post/3mksqkniu2f2x,bafyreicxzgzwqcarhgcg6uztkxumc7mc4h2tvqof7hnxds77znw3n75xdm,0.663253903388977,"['crypto', 'equities']","[0.663253903388977, 0.615847110748291]"
2026-05-01T18:15:57Z,2026-05-01T18:15:59.673Z,thousands take part in may day demonstrations by trade unions in hamburg more hamburg news at,hamburgnews.bsky.social,Hamburg News Observer,did:plc:m7xhurhrkqkr74d3g44albfm,0,0,0,at://did:plc:m7xhurhrkqkr74d3g44albfm/app.bsky.feed.post/3mksqdeehoq27,bafyreibt35eqx33lzifoptarc7awpdmwvmg7oe5inup3vufdnlnn7m6o74,0.5591545104980469,"['crypto', 'derivatives']","[0.5591545104980469, 0.5373599529266357]"
2026-05-01T18:14:56.995Z,2026-05-01T18:15:07.975Z,words are apparently hard today so we don t have anything jazzy to say outside of simply stating that we posted chapter 5 of our stolitz camboyau and we hope you guys like it iseeyou stolitzfics helluvabossfics archiveofourownorgworks827154,bifelicia319.bsky.social,Stolas’ Bi Lesbian Wifey,did:plc:cawjhoud2nbd6tf2fxqvp7qr,3,2,1,at://did:plc:cawjhoud2nbd6tf2fxqvp7qr/app.bsky.feed.post/3mksqbiwmzc2c,bafyreibv56c6whztuuqo3f5z7ktx2h3pd6apyhvltzhrlr2swqtbti6cqm,0.5716291069984436,"['derivatives', 'equities']","[0.5716291069984436, 0.5511035919189453]"
2026-05-01T18:06:59.278Z,2026-05-01T18:07:00.271Z,lived a whole adventure had my son late began my redemption arc and were doing great all without some bottomshelf fella sniping at me poking my boat full of holes wouldnt trade a day,anguilline.bsky.social,the irreducible,did:plc:mvbkec4uc5i5qynj63ii6iy7,0,0,0,at://did:plc:mvbkec4uc5i5qynj63ii6iy7/app.bsky.feed.post/3mksptbcwac2i,bafyreibresvlqh75cobfdxl2ml6uoct542ec36n74hzq3do5gepzifnzhq,0.5602346658706665,"['derivatives', 'equities']","[0.5602346658706665, 0.5331474542617798]"
2026-05-01T18:01:15.618Z,2026-05-01T18:01:18.972Z,ruto faces tough call on pay rise amid worker employer clash president william ruto faces a critical decision regarding a proposed 23 percent minimum wage increase ahead of labour day trade unions led by cotuk are advocating for this significant raise to combat,rankednews.bsky.social,Ranked News,did:plc:42han5exrxyrgdsbwosrp7sy,0,0,0,at://did:plc:42han5exrxyrgdsbwosrp7sy/app.bsky.feed.post/3mkspj2y6yl2x,bafyreidu7vmpepqfpyikefy2brpcfh3gvqzuigoayv52leac7mlq4cmy2i,0.5679880976676941,"['crypto', 'macro']","[0.5679880976676941, 0.551828920841217]"
2026-05-01T17:45:11+00:00,2026-05-01T17:45:16.076Z,workers hold annual may day march to ledra palace workers and members of the trade union movement on friday held their annual may day march to the,europesays.bsky.social,EUROPE SAYS,did:plc:msian4dqa2rqalf3biilnf3m,0,0,0,at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mksomfsqu524,bafyreihrhhdfvauvn47j4zqx35yyidnlnpzhuwvipsysunlbypmx3oxb7a,0.5756377577781677,"['crypto', 'forex']","[0.5756377577781677, 0.526189923286438]"
2026-05-01T17:37:10.998Z,2026-05-01T17:37:20.080Z,day one of magiccon vegas is kicking off whether you are looking to buy stuff sell stuff or trade stuff you can find what you need at the coolstuffinc booth mcvegas,coolstuffinc.com,CoolStuffInc,did:plc:5qxlmgjtrahhezps4pzztbtg,4,0,0,at://did:plc:5qxlmgjtrahhezps4pzztbtg/app.bsky.feed.post/3mkso5xv5v22c,bafyreignadb5jzbfiehujtsbqky25dvnqin3kn2hyxzljuvdqe4bmksoc4,0.6228542327880859,"['crypto', 'forex']","[0.6228542327880859, 0.5661336779594421]"
2026-05-01T17:35:18.546Z,2026-05-01T17:35:21.079Z,are you going to put tariffs on all the parts from other countries us manufacturers use every day in their vehicles 47bskysocial trump says hell place 25 tariff on autos from the eu accusing it of not complying with trade deal apnewscomarticletrum,tokesaladannie.bsky.social,Toke Salad Annie,did:plc:qpbtjzpps3dpoeyja2pt3f3z,0,0,0,at://did:plc:qpbtjzpps3dpoeyja2pt3f3z/app.bsky.feed.post/3mkso2mnbl22z,bafyreicg4iypbkec5d4nngc3wj3wv4hzqxy7haoyzghxpn2mnsqwptig6u,0.5687075257301331,"['derivatives', 'forex']","[0.5687075257301331, 0.5658354163169861]"
2026-05-01T23:01:56.318+05:30,2026-05-01T17:31:56.879Z,are your premarket rituals actually paying off the tradeday plan analytics dashboard links your daily plans and discipline checklists to real win rates and pnl stop guessing see which habits make money and prove your plan,tradesviz.bsky.social,TradesViz | Trading Performance Analysis,did:plc:kg6gyxccfkin2v5c4wnelg74,0,0,0,at://did:plc:kg6gyxccfkin2v5c4wnelg74/app.bsky.feed.post/3mksnulvafg2t,bafyreifgh4v5n3b22qnt3mdn5g6mmtjkidwarqetf7nwl6hdbbzbczhldm,0.6450400352478027,"['portfolio', 'equities']","[0.6450400352478027, 0.6431982517242432]"
2026-05-01T17:30:01.106Z,2026-05-01T17:30:05.973Z,you should probably wait until the series is over anyway it was always going to be such the day they traded for jrue set the date that they would trade him back out and it worked,dangercart.bsky.social,Ryan Bernardoni,did:plc:ggibrwvfmu7ehddn62m2lppu,1,0,1,at://did:plc:ggibrwvfmu7ehddn62m2lppu/app.bsky.feed.post/3mksnr5vpmk2e,bafyreibzykbycyebd62ek247vi24aczttch55uv5i7vf46uy7msavfzn7u,0.5880114436149597,"['forex', 'derivatives']","[0.5880114436149597, 0.582872211933136]"
2026-05-01T17:24:09Z,2026-05-01T17:24:11.882Z,together we rise embracing tripartism for a stronger st maarten by the employers council of st maarten as we mark labour day 2026 the employers council of st maarten representing the st maarten hospitality and trade association the st maarten timeshare association the indian merchants,721news.bsky.social,721news,did:plc:iojncimg7bvd2ivguxtzfsnh,0,0,0,at://did:plc:iojncimg7bvd2ivguxtzfsnh/app.bsky.feed.post/3mksngpzb6c2w,bafyreielyjtqhtj4mg6kahlwoy2dwhrjedjnyepuxdg34k3cfeja5fbo6u,0.5833907127380371,"['crypto', 'macro']","[0.5833907127380371, 0.5426561832427979]"
2026-05-01T17:20:02.694793Z,2026-05-01T17:20:03.073Z,our ai day trading model just locked in a 084 win for a bullish trade on pltr entry 14318 at 1250 pm edt exit 14438 at 0101 pm edt build your own ai day trading models at download the fundspec app on the apple appstore or google playstore ai trading stockmarket,fundspec.bsky.social,FundSpec,did:plc:5i7m7wpf7lstzfau43thfeff,0,0,0,at://did:plc:5i7m7wpf7lstzfau43thfeff/app.bsky.feed.post/3mksn7dgkrv2p,bafyreicusan6476zmsmdhe2fxn3anb3lptpu3nvhdioefvii34b34654je,0.6692480444908142,"['crypto', 'equities']","[0.6692480444908142, 0.621288537979126]"
2026-05-01T17:13:21.525Z,2026-05-01T17:13:21.976Z,this happening the same day eu leaders celebrate the provisional application of the trade deal with mercosur what a mess,jorgeliboreiro.bsky.social,Jorge Liboreiro,did:plc:bmbbjtlwyexpwtyxzzns7izv,9,5,1,at://did:plc:bmbbjtlwyexpwtyxzzns7izv/app.bsky.feed.post/3mksmtemwcc2w,bafyreifmoxwrshzkuyeat4greecc6hrqqra4ixray5epupns3sdzp4xihi,0.6061009168624878,"['forex', 'crypto']","[0.6061009168624878, 0.5768678784370422]"
2026-05-01T17:05:37.375Z,2026-05-01T17:05:40.280Z,a lot of people dont realize that comic shops have to pay for the free comics on free comic day theyre not as expensive as a regular book but it still costs them to put on the event go get some free books tomorrow and maybe pickup that trade youve been eyeballing,kevinnewburn.bsky.social,KevFun Newburn,did:plc:ha4vvsbmp2zgigtfevauwwro,6,1,0,at://did:plc:ha4vvsbmp2zgigtfevauwwro/app.bsky.feed.post/3mksmfjy7s224,bafyreigcbvupo7q6uvja3cpesbswgvl5hsjlzppkl2eqvlnjwykid77xdi,0.5585504174232483,"['derivatives', 'forex']","[0.5585504174232483, 0.5354510545730591]"
2026-05-01T17:00:30.756394+00:00,2026-05-01T17:00:30.975Z,46 advantage of the market opportunities brought by this agreement he said that this agreement and other trade agreements that the eu has recently reached or is advancing will have a real impact on the eus economy and competitiveness on the same day von der leyen will also hold,babygoldie.bsky.social,News by babygoldie,did:plc:xhrtfphu4gzqrztkpb3a63qf,0,0,1,at://did:plc:xhrtfphu4gzqrztkpb3a63qf/app.bsky.feed.post/3mksm4fojtl27,bafyreih4ktiz2w5nqa33yhwbfykh5lwennuyixkghcf66um5ebivlyzcsu,0.6437820792198181,"['crypto', 'forex']","[0.6437820792198181, 0.6400749683380127]"
