created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:41:09.660Z,2026-05-01T17:41:10.872Z,i wonder how much of our personal information has been sold by the kids of doge so tired of this,cactus297.bsky.social,,did:plc:55iqizwjzannek5i7tlvxz5i,0,0,0,at://did:plc:55iqizwjzannek5i7tlvxz5i/app.bsky.feed.post/3mksof3ief222,bafyreicviyw3udiocafkot5fadxyhyexk5lihptb3q5tbtltqatstgynsm,0.5543348789215088,"['crypto', 'derivatives']","[0.5543348789215088, 0.5242232084274292]"
2026-05-01T17:40:39.990830+00:00,2026-05-01T17:40:38.875Z,blueskys top 10 trending words past 10min x1 iran x1 ukraine x1 democracy x26 snooker x1 epstein x23 veste x21 beltane x18 leclerc x16 grogu x14 mayday unlocked emergency words see img something not right reply,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b,0,0,0,at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mksoe5hvft2n,bafyreiaiumeqalj62swi6pnmmiccdwgtfddvyhxfpk4qhaonfm2jivjfxm,0.5656672716140747,"['crypto', 'portfolio']","[0.5656672716140747, 0.557746946811676]"
2026-05-01T17:39:01.571898+00:00,2026-05-01T17:39:02.573Z,btc etfleri ve tether rezervleri b y yor eth xrp doge hype zec shib bnb morpho stable wlfi daha fazla oku,blockzhub-tr.bsky.social,BlockzHub Haberleri,did:plc:6rtgi3r6jgiynnj3r2mp6ubn,0,0,0,at://did:plc:6rtgi3r6jgiynnj3r2mp6ubn/app.bsky.feed.post/3mksobb7v4z26,bafyreic4tzcecjkph66s6gb7yt73tg3te3hnlgin7gv3mhhbewrzfhiy2m,0.6855711340904236,"['crypto', 'forex']","[0.6855711340904236, 0.6148678064346313]"
2026-05-01T17:38:48.064550+00:00,2026-05-01T17:38:48.873Z,gli etf su bitcoin e le riserve di tether crescono eth xrp doge hype zec shib bnb morpho stable wlfi leggi di pi,blockzhub-it.bsky.social,BlockzHub Notizie,did:plc:glt5xghixcdl3zgdymjl5tmd,0,0,0,at://did:plc:glt5xghixcdl3zgdymjl5tmd/app.bsky.feed.post/3mksoaud5ze2f,bafyreibs5sqvjh23wjoyvpeetiqft7w4nsq7ods5jruwqlk52ercgrvzsm,0.7043615579605103,"['crypto', 'forex']","[0.7043615579605103, 0.593490719795227]"
2026-05-01T17:38:33.105025+00:00,2026-05-01T17:38:34.575Z,btc etfs tetherreserven wachsen eth xrp doge hype zec shib bnb morpho stable wlfi weiterlesen,blockzhub-de.bsky.social,BlockzHub Nachrichten,did:plc:zfta7oasl3fwwluyjhyijd5a,0,0,0,at://did:plc:zfta7oasl3fwwluyjhyijd5a/app.bsky.feed.post/3mksoafwutn2z,bafyreiddy526dsr4bx2qezktx472pgojgumsrw3vi3p5vffnxbzjhejc2e,0.6906422972679138,"['crypto', 'portfolio']","[0.6906422972679138, 0.6142722368240356]"
2026-05-01T17:38:31.545Z,2026-05-01T17:38:33.475Z,that and all the deaths the doge boys caused all over the globe,cathypaddock.bsky.social,Cathy 👩🏼‍🔬,did:plc:hgfia75e6o3632xqfxulbx74,1,0,1,at://did:plc:hgfia75e6o3632xqfxulbx74/app.bsky.feed.post/3mksoaep2a22f,bafyreiermvonsovb3zvhgmdl37vnsvmhbdbb3a47osptnqqgavxxlrik4u,0.5147744417190552,"['crypto', 'macro']","[0.5147744417190552, 0.5117135047912598]"
2026-05-01T17:38:22.195775+00:00,2026-05-01T17:38:22.575Z,btc etf tether eth xrp doge hype zec shib bnb morpho stable wlfi,blockzhub-ru.bsky.social,BlockzHub Новости,did:plc:nrnbwzmrb577teyr5bxja2xa,0,0,0,at://did:plc:nrnbwzmrb577teyr5bxja2xa/app.bsky.feed.post/3mksoa3npfr2l,bafyreia2fcy2zaja22hmvrykpmqe25klysdktkyaownuygl46xfqz7pale,0.6947735548019409,"['crypto', 'portfolio']","[0.6947735548019409, 0.6275798082351685]"
2026-05-01T17:38:08.045759+00:00,2026-05-01T17:38:08.976Z,les etf bitcoin et les r serves de tether augmentent eth xrp doge hype zec shib bnb morpho stable wlfi lire la suite,blockzhub-fr.bsky.social,BlockzHub Actualités,did:plc:blquv2b3nsxr2wilgl2hxwuz,0,0,0,at://did:plc:blquv2b3nsxr2wilgl2hxwuz/app.bsky.feed.post/3mkso7nzv7y27,bafyreicizx6hkxsyobmiv4qcdn55nia2lncen4j2fxkfeagzwodgrtqaka,0.691628634929657,"['crypto', 'forex']","[0.691628634929657, 0.6169970631599426]"
2026-05-01T17:37:54.195182+00:00,2026-05-01T17:37:54.972Z,los etf de btc y las reservas de tether crecen eth xrp doge hype zec shib bnb morpho stable wlfi leer m s,blockzhub-es.bsky.social,BlockzHub Noticias,did:plc:6kwwz3c4smhbbpcogm4r6fvt,0,0,0,at://did:plc:6kwwz3c4smhbbpcogm4r6fvt/app.bsky.feed.post/3mkso7axafv2p,bafyreifcf42rcb7h5epfpms5tqzd3vdjqj53cbfiqiwwhvee3plsxlfoze,0.7051824927330017,"['crypto', 'forex']","[0.7051824927330017, 0.6142429113388062]"
2026-05-01T17:37:43.099960+00:00,2026-05-01T17:37:43.672Z,btc etf eth xrp doge hype zec shib bnb morpho stable wlfi,blockzhub-kr.bsky.social,BlockzHub 암호화폐 뉴스,did:plc:nnulzynoinc5rqh6xqdyqymk,0,0,0,at://did:plc:nnulzynoinc5rqh6xqdyqymk/app.bsky.feed.post/3mkso6wekta2p,bafyreif5rcielsy4we7wzi4fhrub4hlwfkcwb6oikozld565jkeb5nt6la,0.6971925497055054,"['crypto', 'portfolio']","[0.6971925497055054, 0.6386892795562744]"
