created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T18:41:43.278Z,2026-05-01T18:41:46.277Z,cers is surging today on a strong q1 earnings beat and raised guidance product revenue jumped 24 yoy to 537m driven by strong platelet franchise sales and us ifc adoption management s continued operating discipline also drove adjusted ebitda to 4m marking the 8th straight quarter,robot2trade.bsky.social,robot2trade,did:plc:utgs5wka7od3gapriet6uhwi,0,0,0,at://did:plc:utgs5wka7od3gapriet6uhwi/app.bsky.feed.post/3mksrrermgs2x,bafyreifdd7ltjl2owqvjkb7imdjp7yd6n6p346z55i65rtvwngopbvi5wa,0.6694494485855103,"['portfolio', 'forex']","[0.6694494485855103, 0.6246540546417236]"
2026-05-01T18:29:59.847Z,2026-05-01T18:30:03.172Z,youtubecomwatchvpxdm finansal zg rl k yat r m temett emeklili i nakitak borsaanaliz nakitak mtablosu gelirtablosu finansalanaliz yat r mstratejileri ebitda bilan oanalizi bilan ookuma paray netimi,teonur.bsky.social,Teoman ESENER,did:plc:gvpxmswnzyt3l2a3ctcp77e3,0,0,0,at://did:plc:gvpxmswnzyt3l2a3ctcp77e3/app.bsky.feed.post/3mksr4fwm422g,bafyreiaardndsurlauyr5o2xdvxzazfg42cp74aueyf4c4xej7y5zyt66q,0.6188777685165405,"['crypto', 'equities']","[0.6188777685165405, 0.5597162246704102]"
2026-05-01T17:36:59.660Z,2026-05-01T17:37:00.197Z,net income 226b loss worsened by 28560 net profit margin 28020 huge loss relative to revenue ebitda 17942m down 2589 effective tax rate 025 negligible due to losses,kingheylel.bsky.social,@kingheylel.bsky.social,did:plc:c5cf44b2oh2aplwy4kqndtkb,0,0,1,at://did:plc:c5cf44b2oh2aplwy4kqndtkb/app.bsky.feed.post/3mkso5ncb5s2p,bafyreigi6qm7o7iggtc4rxirtw3eco6fm6d46hvtm5qmpi47uogqmh3roq,0.7060086727142334,"['equities', 'portfolio']","[0.7060086727142334, 0.6497229337692261]"
2026-05-01T17:16:04.621998Z,2026-05-01T17:16:04.972Z,so long as the big dogs keep spending sandisk will keep selling in droves the growth rates will stay super high and the stock will keep soaring bc it is still remarkably cheap 68x forward ebitda due to clearlyoverblown cyclicity fears,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,0,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksmyaeduf27,bafyreiaaydrwvc6ovfgiyyom73aktdh5jgxrqp3iyraxzziaz3z3gmdlpy,0.6701982021331787,"['crypto', 'portfolio']","[0.6701982021331787, 0.6070493459701538]"
2026-05-01T17:15:29Z,2026-05-01T17:15:30.172Z,tex terex corp q1 sales 41 yoy to 17b adj ebitda 173m 99 margin backlog 71b 109 booktobill fy guidance reaffirmed 7581b sales bullish,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,1,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mksmx7chn32s,bafyreiafyygb55t5e3g5bjbb74wglmuzn5xzogaxedhfpebr3gprqcppty,0.6489918231964111,"['crypto', 'forex']","[0.6489918231964111, 0.631396472454071]"
2026-05-01T15:47:42Z,2026-05-01T15:47:43.373Z,gefb financial results greif reported fiscal q2 2026 net income from continuing operations down 323 to 126 million amid a special charitable contribution while adjusted net income rose 575 to 627 million and adjusted ebitda increased 75 to 1568 million segment pe continued,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,1,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mksi2abr7o2h,bafyreihuooquc5pqmfxwjb22z7qzog3r6htp2epnlcq4x43p5xtohrg7ei,0.6452013254165649,"['portfolio', 'equities']","[0.6452013254165649, 0.633728563785553]"
2026-05-01T15:41:30Z,2026-05-01T15:41:30.675Z,nsesis sis limitedmargins ebitda margins dipped yoy in security india 51 vs 56 international 38 vs 40 facility mgmt flat qoq rev 02 medium risk,gunpowderindia.bsky.social,Gunpowder India,did:plc:y7akbffdmjwyw4e7jjbktw7q,0,0,1,at://did:plc:y7akbffdmjwyw4e7jjbktw7q/app.bsky.feed.post/3mkshp4zaam2c,bafyreiawyxjvffijdteqwsvbvbfgammt57vo3x7p2toc5w5z2twz6m3mwe,0.630501389503479,"['portfolio', 'crypto']","[0.630501389503479, 0.6198114156723022]"
2026-05-01T15:41:29Z,2026-05-01T15:41:29.471Z,nsecoforge coforge limited merger with cigniti sanctioned 11 ratio postsplit coforge held 54 pre synergies drove ebitda margins 800 bps 11 to 19 in 6q top clients rev 25m to 75m 86m new deals 25 bn ai entity bullish,gunpowderindia.bsky.social,Gunpowder India,did:plc:y7akbffdmjwyw4e7jjbktw7q,0,0,1,at://did:plc:y7akbffdmjwyw4e7jjbktw7q/app.bsky.feed.post/3mkshp3ughn2s,bafyreidcomk47krd6s6nsweajud7e5f6ekxwk6rdoascin7agzrdt777ay,0.6149991154670715,"['forex', 'crypto']","[0.6149991154670715, 0.6103392243385315]"
2026-05-01T15:00:52.405Z,2026-05-01T15:00:53.073Z,a vale reiterou um progresso significativo em suas operacoes com um ebitda ajustado de us 383 bilhoes refletindo um crescimento de 23 no ano,acionista.com.br,Acionista.com.br,did:plc:b3baqxht2i546wgpruuyr6vh,0,0,1,at://did:plc:b3baqxht2i546wgpruuyr6vh/app.bsky.feed.post/3mksfgi56gc2o,bafyreidxwmyuwkj7vlk2c2omwxtmj673a45sijjikxyjdw2iw6jb5p7uve,0.5741361379623413,"['forex', 'crypto']","[0.5741361379623413, 0.5735614895820618]"
2026-05-01T14:30:27Z,2026-05-01T14:30:27.980Z,upld upland software q1 rev 23 yoy to 487m sub 23 net loss 12m imp from 258m fy rev guide 9 mid op cash 33 to 56m high risk gefb greif q2 ni cont ops 32 to 126m charitable contrib sfs sales 82 fy ebitda guide cut lowend to 610m medium risk,gunpowderusa.bsky.social,Gunpowder USA,did:plc:4jxwbiximxdtavgw33mgwfhx,0,0,1,at://did:plc:4jxwbiximxdtavgw33mgwfhx/app.bsky.feed.post/3mksdq3t74x2s,bafyreidyylei27wbjjuudm4bvribczyudpoqylgpitloampaehqbgwxhsa,0.634955644607544,"['equities', 'portfolio']","[0.634955644607544, 0.6270315051078796]"
