created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:27:17.000Z,2026-05-01T17:27:29.372Z,last 10 years nvidia nvda 22875 bitcoin btc 17205 amd 10030 tesla tsla 2362 apple aapl 1233 google googl 999 netflix nflx 932 microsoft msft 844 amazon amzn 717 meta meta 425 sp 500 spy 312 gold gld 245 us inflation 39,charliebilello.zpravobot.news.ap.brid.gy,Charlie Bilello :bot:,did:plc:h2gw2tiximbwqpeatsz6rqim,0,0,0,at://did:plc:h2gw2tiximbwqpeatsz6rqim/app.bsky.feed.post/3mksnmimjm5s2,bafyreievfuzaucatrc2px6vebdvtgcjxkiwlqdmkki4o5mzplyilw54jgi,0.7161105871200562,"['crypto', 'macro']","[0.7161105871200562, 0.6682892441749573]"
2026-05-01T17:16:04.183028Z,2026-05-01T17:16:04.373Z,memory is missioncritical to the ai infrastructure buildout and the major builders of all that infrastructure googl msft meta amzn all just said that theyre going to keep building big in 2026 and build even more in 2027 with no talk of a slowdown thereafter,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksmy7t5el2h,bafyreidaky4iqeaa43ig236sdvyqezkyl6sbtvfux3duvpmqburwx53fry,0.6101343035697937,"['macro', 'crypto']","[0.6101343035697937, 0.6011621356010437]"
2026-05-01T17:04:55.270Z,2026-05-01T17:04:56.575Z,the most bonkers thing about this chart is not how high it goes but how it stabilizes when it peaks see alt text for notes,peark.es,George Pearkes,did:plc:pnx2fjuannbdpy3337ggthpp,36,0,7,at://did:plc:pnx2fjuannbdpy3337ggthpp/app.bsky.feed.post/3mksmebt7oc2f,bafyreia53aguua52635ug7wdfryqft6ujs27lkldyd32zzo5ww2zl2s6la,0.6415748596191406,"['portfolio', 'equities']","[0.6415748596191406, 0.5862504839897156]"
2026-05-01T17:01:07.091Z,2026-05-01T17:01:07.500Z,may 1 2026 bullish momentum persists as fundamentals surge aapl 77100 googl 77100 nvda 62100 v 78100 amzn 68100 stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksm5ieyqh27,bafyreicfb2kqrap4u26toayy2uxghvbkarr6wuseg5dene5rsqmqfrdwqi,0.6839938163757324,"['crypto', 'portfolio']","[0.6839938163757324, 0.653144359588623]"
2026-05-01T17:00:45.036Z,2026-05-01T17:00:45.672Z,mercado altista persiste an lise de ia da haruspex 1 mai 2026 aapl 77100 googl 77100 nvda 62100 v 78100 amzn stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksm4tfy3h27,bafyreiemi2zh2gnsa6hdpqzd5bbjpsp4ti5gqhfcaww3t6njiotu2j65qu,0.6969664096832275,"['crypto', 'equities']","[0.6969664096832275, 0.6036945581436157]"
2026-05-01T17:00:11.374Z,2026-05-01T17:00:12.075Z,googl alphabet price target raised to 450 from 400 at needham stockoscopecomstockgooglnewspricetargets,stockoscope.bsky.social,Stockoscope,did:plc:lb5wvniv4geet6rrnhm5pz7o,0,0,0,at://did:plc:lb5wvniv4geet6rrnhm5pz7o/app.bsky.feed.post/3mksm3ti3tq22,bafyreid6afxkotzsrftd4fbkjqzfgvjq4cpakyolil7d2uurwoqjkn6c5u,0.6073649525642395,"['equities', 'derivatives']","[0.6073649525642395, 0.5995519161224365]"
2026-05-01T16:58:04.435287Z,2026-05-01T16:58:10.280Z,new being exponential podcast ai economy booms while consumers struggle massive ai capex drives infra windfall bullish msft as gpt55 dominates data centers lift cat wcc fix memory boom aids mu wdc glw downturn risks meta googl ads qcom joins hyperscaler rally link below,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksly27pm22f,bafyreih64pgdmh4o6tveuby53lej2jfwkdxq64uwzm2mwn3w5zmbdwt4ii,0.6605610251426697,"['crypto', 'macro']","[0.6605610251426697, 0.6304376125335693]"
2026-05-01T16:21:07.000Z,2026-05-01T16:22:43.773Z,aeo prompt tracking for marketing teams you already track and analyze your seo strategy keyword rankings organic traffic serp positions but when a prospect asks chatgpt perplexity or googl aeo product launch origin interest match,llms.activitypub.awakari.com.ap.brid.gy,LLMs,did:plc:s33lmvk7rwmlypc2qm6wn2lr,0,0,0,at://did:plc:s33lmvk7rwmlypc2qm6wn2lr/app.bsky.feed.post/3mksjyso2aje2,bafyreihcnag6w3k27dxlzombjhugpl7u77f2fzfkylmsfybegewv7yt6bm,0.6214779019355774,"['crypto', 'portfolio']","[0.6214779019355774, 0.6110596656799316]"
2026-05-01T16:00:15.895749Z,2026-05-01T16:00:17.277Z,googl alphabet inc nasdaq ath alert googl hit new high 38670 prev 37823,trendalertstox.bsky.social,Trend Alert | Stocks,did:plc:2etirfyqqgrsbe7nibl4eyx3,0,0,0,at://did:plc:2etirfyqqgrsbe7nibl4eyx3/app.bsky.feed.post/3mksiqoo2hu2c,bafyreig4j6n46qmvkjmxuvuqywwdruku5u7lybqthbep7zrz5awfimprly,0.592618465423584,"['derivatives', 'crypto']","[0.592618465423584, 0.5638183951377869]"
2026-05-01T15:47:05.075029Z,2026-05-01T15:47:05.380Z,there were a lot of worries that after multiple false starts with an aipowered siri makeover an unimpressive rollout of apple intelligence and other unnoteworthy ai efforts apple was falling behind msft amzn googl meta in the ai race,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mkshz46go42h,bafyreicb5es2yyruwkpw4kzzg4q36kyb7tnrzqi7lkqdm52qzms72ns3vm,0.5512209534645081,"['crypto', 'macro']","[0.5512209534645081, 0.5458555817604065]"
2026-05-01T15:46:36.472Z,2026-05-01T15:46:36.579Z,first 2k profit week trading options going to let the jpm call exercise and open a new position on monday i m thinking msft or googl happy you re all sticking around in another few years this will be my job and it just makes me so happy,idogcapital.bsky.social,I-Dog Capital,did:plc:6hg35ebaq2cgm4wsmmgxfdtg,2,0,1,at://did:plc:6hg35ebaq2cgm4wsmmgxfdtg/app.bsky.feed.post/3mkshyapcq22w,bafyreibrkp3wuadwcz7tujhajv4khs6njp2wsmpvwly3cxbbchf7me27ni,0.6511766910552979,"['derivatives', 'crypto']","[0.6511766910552979, 0.6264320015907288]"
2026-05-01T15:44:46.806Z,2026-05-01T15:44:47.676Z,googl reported earnings today this is their revenue breakdown compared to competitors see more at,insiderdashboard.bsky.social,,did:plc:ap56m7pvnz4lnrtaguxiuawm,0,0,0,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mkshuycazn2q,bafyreiakjvv62lsp2wkyoksatxgdzmqlmrs6lluj7kff6bhvx3g4ei3jje,0.6133177280426025,"['equities', 'portfolio']","[0.6133177280426025, 0.5972127318382263]"
2026-05-01T15:30:02.913957Z,2026-05-01T15:30:03.378Z,alphabet googl wells fargo raises price target from 36100 to 42700 maintains overweight get the most comprehensive financial analysis on the fundspec app available on the appstore or playstore,fundspec.bsky.social,FundSpec,did:plc:5i7m7wpf7lstzfau43thfeff,0,0,0,at://did:plc:5i7m7wpf7lstzfau43thfeff/app.bsky.feed.post/3mksh2nf44r2y,bafyreial5d2rc2t26yc2gmatwayn363uu3mglpj6rhcmveuij4awm3dqj4,0.6703160405158997,"['portfolio', 'equities']","[0.6703160405158997, 0.6221903562545776]"
2026-05-01T15:07:26.952Z,2026-05-01T15:07:30.176Z,googl smashed q1 revenue grew 22 yoy to 1099b and eps of 511 beat estimates search is up 19 while cloud revenue accelerated 63 to 200b the fullstack ai approach is clearly working as the cloud backlog approaches 460b shares are hitting googl alphabet earnings ai stocks,robot2trade.bsky.social,robot2trade,did:plc:utgs5wka7od3gapriet6uhwi,0,0,0,at://did:plc:utgs5wka7od3gapriet6uhwi/app.bsky.feed.post/3mksfs7zrj22x,bafyreiezd7gkyt3sqoh2coqxfjwbluoghxbrbzqzdw7faj6oidyj7uodci,0.6324296593666077,"['equities', 'portfolio']","[0.6324296593666077, 0.6293596029281616]"
2026-05-01T14:43:23+00:00,2026-05-01T14:43:24.378Z,alphabet inc googl price target raised by raymond james to 425 following q1 financial results,beyondlink.bsky.social,BeyondLink.live,did:plc:joxpffdd3w44tpol34fkx3rk,0,0,0,at://did:plc:joxpffdd3w44tpol34fkx3rk/app.bsky.feed.post/3mkseha2qsa2s,bafyreibzhqcay77shfe4rnhfya6z3mrcg4uusjym5pwpel2mtm4fgdpk64,0.6144959926605225,"['portfolio', 'equities']","[0.6144959926605225, 0.6006881594657898]"
2026-05-01T14:04:05.202Z,2026-05-01T14:04:05.682Z,market roundup may 1 2026 sp 500 surges amid widespread bullish pressure aapl 77100 googl 77100 nvda 62100 v 781 stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mkscawkhnn2k,bafyreibu6lprvg5rddkjdmsteq5phjcqwl6u4jy4i2cu67bk7zszwof45i,0.6855827569961548,"['crypto', 'portfolio']","[0.6855827569961548, 0.6792769432067871]"
2026-05-01T14:03:44.376Z,2026-05-01T14:03:44.875Z,rali bullish persiste mercado fecha em alta com sp 500 subindo 102 aapl 77100 googl 77100 nvda 62100 v 78100 stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mkscacp2nh2j,bafyreieo67tptgyibqzz2zforwk4ifmismzaeypdrcflela7yjjrb2fxbm,0.7032742500305176,"['crypto', 'equities']","[0.7032742500305176, 0.6617323160171509]"
