created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:00:04.555316+00:00,2026-05-01T17:00:04.775Z,market update 100 pm et spy 72190 045 qqq 67395 093 dia 49594 014 iwm 27867 025,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksm3mmasy2c,bafyreiawnklg4fzqlssrpdlyz5dhz2r6r7mlrqyiaekymnxazhe5dwq7ki,0.6602069735527039,"['crypto', 'forex']","[0.6602069735527039, 0.6116633415222168]"
2026-05-01T16:51:15.248Z,2026-05-01T16:51:15.675Z,sp is so concentrated in a few tech stocks that it s not really representative of broader market or economic trends anymore btw an index that is representative iwm would prob show the same thing but still,walkerwest.bsky.social,The 5th Dentist,did:plc:j4akwoxt34uwiwjzfgtv5jlx,2,0,0,at://did:plc:j4akwoxt34uwiwjzfgtv5jlx/app.bsky.feed.post/3mksllts5w22q,bafyreiczjxsgqvapbbr63rdd6mvivr36tegucmpdiul5rusdpvyhxeq2ea,0.6104000210762024,"['portfolio', 'crypto']","[0.6104000210762024, 0.6045330762863159]"
2026-05-01T16:30:03.599779+00:00,2026-05-01T16:30:03.874Z,market update 1230 pm et spy 72208 048 qqq 67390 092 dia 49588 016 iwm 27856 021,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mkskfx3hzh2g,bafyreic5dkozx4bl74g2fbtsfo3xyhdkdckb7vzpvwbzmyk6bzzlkgyxey,0.6596782207489014,"['crypto', 'forex']","[0.6596782207489014, 0.6122304797172546]"
2026-05-01T16:00:04.713180+00:00,2026-05-01T16:00:05.075Z,market update 1200 pm et spy 72341 066 qqq 67537 114 dia 49671 001 iwm 27887 032,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksiqdkpnm2l,bafyreiarygf7faeghgbtj5dfy4lp3vkmsdgajcgywslvygb4nu53343j7u,0.6540816426277161,"['crypto', 'forex']","[0.6540816426277161, 0.624221682548523]"
2026-05-01T15:30:05.658490+00:00,2026-05-01T15:30:05.870Z,market update 1130 am et spy 72333 065 qqq 67473 105 dia 49727 012 iwm 27865 024,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksh2psxsl2g,bafyreidperrlqqtbv5uksl4s57fqterlkwcszwcv7mduepvfx2pglqe7ky,0.6555391550064087,"['crypto', 'forex']","[0.6555391550064087, 0.6100492477416992]"
2026-05-01T15:00:04.590542+00:00,2026-05-01T15:00:04.971Z,market update 1100 am et spy 72263 055 qqq 67344 085 dia 49769 021 iwm 27806 003,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksff26sbx2g,bafyreigcp3eo5nixxtligslikfwp52ac4p445xyz6tgxoiypmlkpiqxdpu,0.6613909602165222,"['crypto', 'forex']","[0.6613909602165222, 0.6276508569717407]"
2026-05-01T14:30:03.303526+00:00,2026-05-01T14:30:03.474Z,market update 1030 am et spy 72423 078 qqq 67485 106 dia 49892 046 iwm 27896 036,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksdpedssh2f,bafyreidik5xhblvfqrwirarjxpjf26fc3r2aog734qry4peo255ewwj4em,0.6595027446746826,"['crypto', 'forex']","[0.6595027446746826, 0.6076487898826599]"
2026-05-01T14:00:02.841974+00:00,2026-05-01T14:00:03.071Z,market update 1000 am et spy 72417 077 qqq 67499 109 dia 49911 052 iwm 27828 011,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksbzpc54e2k,bafyreigxnibf7fy4qr7qxfaf6cc2sjcgum6om4lelh766vbt7mqz4mbcbu,0.66026771068573,"['crypto', 'forex']","[0.66026771068573, 0.6213718056678772]"
2026-05-01T13:30:04.094796+00:00,2026-05-01T13:30:04.278Z,market update 930 am et spy 72135 037 qqq 66913 021 dia 49872 044 iwm 27867 025,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mksae3uryh2e,bafyreidg3ji23kjnntmeisxmnwqqe5fs6jccs3yid2ndj7wcwy4fxkge3u,0.6597847938537598,"['crypto', 'forex']","[0.6597847938537598, 0.6122915744781494]"
2026-05-01T11:45:06.072Z,2026-05-01T11:45:06.576Z,a pathfinder by john berry 1943 iwm artiwm art ld 2939,normandy661944.bsky.social,Slightly out of focus,did:plc:7vcp3ellxyx53qm7isyg7jtp,7,2,1,at://did:plc:7vcp3ellxyx53qm7isyg7jtp/app.bsky.feed.post/3mks2ifmfcb2v,bafyreibr2k4onzowk2m2zk5yd2mfax7hwf36oibqglu72txlvqvvw2bhnq,0.6100497841835022,"['portfolio', 'equities']","[0.6100497841835022, 0.5687202215194702]"
2026-05-01T06:01:54.670Z,2026-05-01T06:01:55.171Z,image iwm q 5572,bafnews.bsky.social,British Armed Forces News,did:plc:vbrk37adnmj5w6gsvvj467zo,0,0,0,at://did:plc:vbrk37adnmj5w6gsvvj467zo/app.bsky.feed.post/3mkrhcqat5k2z,bafyreidrduccbtjj223svdkucuyhi7xu743clh62n7zpq3cfltfyk2qrzm,0.5259770154953003,"['derivatives', 'crypto']","[0.5259770154953003, 0.5186766386032104]"
2026-04-30T19:35:43.620Z,2026-04-30T19:35:49.677Z,german panzer iii tanks advance along a railway line in pursuit of retreating british australian and new zealand troops during the final stages of the allied evacuation from mainland greece operation demon in late april 1941 heinrich hoffmann iwm hu 39517,themilitaryjournal.com,The Military Journal,did:plc:rp63jryzwrvlmaosoh4bw2qk,1,0,0,at://did:plc:rp63jryzwrvlmaosoh4bw2qk/app.bsky.feed.post/3mkqeczk6xs22,bafyreide2jxlgdw3btt6d2ki26c2fcyd6tyxgbcx7lpq7iaczzzatzootm,0.5787953734397888,"['portfolio', 'equities']","[0.5787953734397888, 0.5690197348594666]"
2026-04-30T19:30:55.535Z,2026-04-30T19:31:01.974Z,royal navy frigate hms loch lomond answering a distress call from the shell tanker volvatella in the strait of hormuz in april 1960 the tanker reported a crew member in severe pain and surgeon lieutenant jb gornall was transferred to provide medical assistance iwm a 34288,themilitaryjournal.com,The Military Journal,did:plc:rp63jryzwrvlmaosoh4bw2qk,0,0,0,at://did:plc:rp63jryzwrvlmaosoh4bw2qk/app.bsky.feed.post/3mkqe2gsjxk22,bafyreiahow62zdmommlhk33dj3a774s3ujct54q5v6wraaixnjghecfyqu,0.5233993530273438,"['derivatives', 'forex']","[0.5233993530273438, 0.5021564960479736]"
2026-04-30T19:30:06.066362+00:00,2026-04-30T19:30:06.775Z,market update 330 pm et spy 71908 105 qqq 66782 094 dia 49747 180 iwm 27770 207,tickrbot.bsky.social,TickrBot 🤖,did:plc:z46r5qbh2axfrkurqrmsy7b2,0,0,0,at://did:plc:z46r5qbh2axfrkurqrmsy7b2/app.bsky.feed.post/3mkqdyxnsy22k,bafyreiffrpx7mkytyjoatjzyqyajxuh5kjeqwai2cagkv7welx5la2zjne,0.6280216574668884,"['crypto', 'forex']","[0.6280216574668884, 0.611391007900238]"
