created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T15:19:57.708Z,2026-05-01T15:20:00.276Z,hauptsache der lambo und die gklasse sind sicher,politikundliebe.bsky.social,Felix Langdòn Marquis de Algêr (prod. Silkersoft),did:plc:aqystvoyxf2yjxdele473aan,26,0,6,at://did:plc:aqystvoyxf2yjxdele473aan/app.bsky.feed.post/3mksgilzbi22d,bafyreiaxjrnxoizow5suykd6hz6nfyw7cyyrv7yrkyyxc4e5642ay6lsmu,0.5199947953224182,"['crypto', 'macro']","[0.5199947953224182, 0.5061101913452148]"
2026-05-01T06:09:16.824Z,2026-05-01T06:09:17.174Z,future generations will look back on us with harsh glares we re failing them now because the remote possibility of buying a lambo with crypto is cooler than doing literally anything sane and considerate,jasonbender.bsky.social,Jason Bender,did:plc:qbyayjoyodsa3c7665mzdovs,1,0,0,at://did:plc:qbyayjoyodsa3c7665mzdovs/app.bsky.feed.post/3mkrhpvr5i223,bafyreifgwubg5k23o5jcynxieyo5ynp5odulyviautrm7uckp437lkdqni,0.6030181646347046,"['crypto', 'portfolio']","[0.6030181646347046, 0.5606055855751038]"
2026-05-01T02:11:12.685Z,2026-05-01T02:11:13.076Z,supercars are so stressful hard to park in car parks too fast for london traffic have as much fun driving my mini especially if i don t pay too much attention nothing efficient about filling a lambo tank gallons per mile very robocop on my fifth mini v zen convert to efficiency,drvickyharris.bsky.social,Dr Vicky Harris,did:plc:cpojuluvi75x2njja52cicnk,0,0,1,at://did:plc:cpojuluvi75x2njja52cicnk/app.bsky.feed.post/3mkr2g7dsyc2c,bafyreibqj4ixnupzwxtxj5nfwhxogeqtykr34fwer7ijjbjlrdutxp64me,0.5592368245124817,"['equities', 'portfolio']","[0.5592368245124817, 0.5493540167808533]"
2026-05-01T01:33:43.428Z,2026-05-01T01:33:43.772Z,so the billionaires and millionaires who don t really pay taxes here anyway are going to leave and not pay taxes oh no what will the few dozen yacht and lambo salesman do,spock7yearitch.bsky.social,Horny Spock,did:plc:qswzxnais65qnktshr3fpohu,2,0,0,at://did:plc:qswzxnais65qnktshr3fpohu/app.bsky.feed.post/3mkqyd6bwx22x,bafyreidoqdnk7q6erslm6r57uplbhtnpxcimisvxhrwh5bopjph2uu7snq,0.5681961178779602,"['crypto', 'macro']","[0.5681961178779602, 0.53357994556427]"
2026-05-01T00:41:11.991Z,2026-05-01T00:41:13.173Z,the recent incident involving a truck driving over a lambo happened in my state,flutterbruttershy.bsky.social,flutterbat,did:plc:q5w3zgnfl47qibtpmnw7j7tv,0,0,0,at://did:plc:q5w3zgnfl47qibtpmnw7j7tv/app.bsky.feed.post/3mkqvfatork26,bafyreibaehs6buggsdn7mw2z5mv3knvmvug7ijzwqbvohorn7gr6altirq,0.519960343837738,"['crypto', 'derivatives']","[0.519960343837738, 0.5036624073982239]"
2026-05-01T00:29:52.971Z,2026-05-01T00:29:54.375Z,lambo back gremlin grime healed hog cranked gear go lets continue need for speed hot pursuit livenow on twitch vtuber stream streaming twitchgaming twitchtvthewarrgames,thewarrgames.bsky.social,The Warr Games🌙🦇,did:plc:tp7ra4zts3j754dy4cwgtjyq,3,0,0,at://did:plc:tp7ra4zts3j754dy4cwgtjyq/app.bsky.feed.post/3mkquqzbnck2x,bafyreibguqkuv2nv62bg6bikpp63wtsvwnj4fiuc46mhiyh3rwyyra4jpu,0.5885104537010193,"['crypto', 'derivatives']","[0.5885104537010193, 0.5725332498550415]"
2026-04-30T23:58:30.692Z,2026-04-30T23:58:31.578Z,lambo seu desenhyo,montlolo.bsky.social,Lolo fofinho fetinho burro do subsky,did:plc:axx2s3f5k3gjqxz6gcgsyq7f,0,0,1,at://did:plc:axx2s3f5k3gjqxz6gcgsyq7f/app.bsky.feed.post/3mkqsyw727s2s,bafyreigdkyg7w4zmru5s5qbv4y2esn2cydhko4nzrp2ydkc2u6iogii534,0.5814055800437927,"['crypto', 'forex']","[0.5814055800437927, 0.5012339353561401]"
2026-04-30T23:38:47.655Z,2026-04-30T23:38:49.972Z,o niel s in spicer has changed their menu for the springsummer i gave the greek street taco s a try tonight and they were wonderful,connieinminne.bsky.social,Connie in Minnesota,did:plc:rox7fxvuxeevbudwcl6zy5si,0,0,0,at://did:plc:rox7fxvuxeevbudwcl6zy5si/app.bsky.feed.post/3mkqrvnxo33qt,bafyreid7fkvtxuyatriva2jzbrfpcz7pdhvz6aeagyotdwe6pxdzs5flgq,0.6029976010322571,"['derivatives', 'crypto']","[0.6029976010322571, 0.5551149845123291]"
2026-04-30T23:08:24.305Z,2026-04-30T23:08:24.972Z,everyone will have a lambo bc supply and money no longer exist,wilkos.bsky.social,like_a_bosstonian,did:plc:zowbao2bwweydu5hcg4m3xvx,0,0,0,at://did:plc:zowbao2bwweydu5hcg4m3xvx/app.bsky.feed.post/3mkqq7d3fg22x,bafyreibgsmfboawivf5b5lgrjuuk3wh22xwmmoudef732yr5i3fkd3f334,0.6211642026901245,"['crypto', 'macro']","[0.6211642026901245, 0.5885732173919678]"
2026-04-30T21:05:49.911Z,2026-04-30T21:05:49.576Z,arent you kind of the glue guy that makes things happen are we going to have lrr members getting lost wandering around the strip are they going to starve forgetting to eat meals trying only to live on coffee are they going to rent a lambo on the company dime for content,ecokady.bsky.social,EcoKady,did:plc:j5yy5pvkzuntybtotr7lnxzu,0,0,0,at://did:plc:j5yy5pvkzuntybtotr7lnxzu/app.bsky.feed.post/3mkqje5f4ys2p,bafyreidn6onlz3bfn5p4cxtd5l3znrfnsjpdpiegu75mazorbrdfzjfwau,0.564054012298584,"['crypto', 'derivatives']","[0.564054012298584, 0.5579184889793396]"
