created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T15:00:30.515477+00:00,2026-05-01T15:00:31.271Z,mid cap meme coins 05012026 1 scam 6avauka9uxqpruhzuinfecpxeh1usrvtzqwk8n2wpump 2 stjude e8syr4zsgqg2zo9yyiyfx4ujubbyr4z6qj9stjaspump 3 rjgn hpvouyjkkvy2hyqc7444mu6exfd3etzw4tld6dapump solana memecoin pumpfun gmgn,keepwhatsyours.bsky.social,Keep What’s Yours,did:plc:wxvyd22yhf3ellepakq7bqbp,0,0,0,at://did:plc:wxvyd22yhf3ellepakq7bqbp/app.bsky.feed.post/3mksffszvad2n,bafyreih6vyhwwph5bbscpdhhmezxpkmkamhve5qaoovixxyrpw36mecufy,0.6847479343414307,"['crypto', 'forex']","[0.6847479343414307, 0.6234283447265625]"
2026-05-01T13:37:47.413Z,2026-05-01T13:37:48.573Z,carbon fee and dividend has been a real possibility approximately forever nys is about to kill its capandinvest regulations which were due in 2024 and have been slowwalked in the state budget which is also late 13 of that revenue would have cut checks to lowmid income new yorkers,lissaharris.bsky.social,Lissa Harris 🌈🗑️🔥⚔️🐀,did:plc:xozp2x42jlscikizmdqub37m,8,1,1,at://did:plc:xozp2x42jlscikizmdqub37m/app.bsky.feed.post/3mksarvp4l22h,bafyreihgiqjwekzjf5bhdcz57conkzu6ifpr3rjsdab4tmfzwy74bi2pje,0.5927037000656128,"['crypto', 'macro']","[0.5927037000656128, 0.5746548175811768]"
2026-05-01T13:31:21.205Z,2026-05-01T13:31:26.777Z,check gentlecure social media every day throughout may for the latest skin cancer awareness month information,gentlecure.bsky.social,GentleCure,did:plc:k23wnddwfi6t7znlogv4r2u6,1,0,0,at://did:plc:k23wnddwfi6t7znlogv4r2u6/app.bsky.feed.post/3mksagffunc2j,bafyreign743jzdrgm32tpdl3zyjp7issy7jhkq4ywwbprd3sbjyrangqry,0.5431349873542786,"['portfolio', 'crypto']","[0.5431349873542786, 0.5256450772285461]"
2026-05-01T03:19:04.415Z,2026-05-01T03:19:05.272Z,tldw global warming is heating the southwest desert which puts a cap on the also heated moist air from the gulf tornadoes form when that cap breaks and the gulf air punches up to form turbulence wind shear now theyre forming further east putting tornado alley in the midsouth,krmtdfrog.bsky.social,Kermit D,did:plc:sxv7dyuxnni75qbjug4efbfe,1,0,0,at://did:plc:sxv7dyuxnni75qbjug4efbfe/app.bsky.feed.post/3mkr67kh5ss2m,bafyreidgzud3q3oksryp3sudgit3fxuslw4feyoqwveynkc64x5scj3qx4,0.543929398059845,"['macro', 'derivatives']","[0.543929398059845, 0.5204705595970154]"
2026-04-30T23:04:31.157Z,2026-04-30T23:05:20.774Z,priest demon child art part of the project with bskysocial pictures aiming first for historical midtolate90s arcade game looks with simple western japanese popculture ties more unique outthere aesthetics are a welcome but sometimes secondary goal for this,carre.neocities.org,carre,did:plc:x3wjwzjoyhqd37m2xbwdnpah,6,1,0,at://did:plc:x3wjwzjoyhqd37m2xbwdnpah/app.bsky.feed.post/3mkqpyerb322c,bafyreihlfg3a2rzcpureogogx2og443npjnxcrub4hzscd5icucaegxot4,0.5753493905067444,"['crypto', 'portfolio']","[0.5753493905067444, 0.542183518409729]"
2026-04-30T19:51:03.088Z,2026-04-30T19:51:04.975Z,a 485 cap rate sounds like a pass this one was a midteens irr what the cap rate didnt show rents 40 below market leases unenforced 1 vacancy deferred maintenance plus a costseg play worth 1m yearone cap rate is a screening tool not a decision tool tell me im wrong,axisrealtyadvisors.bsky.social,,did:plc:snvc5aetghqj4azkhihs7zmr,2,0,0,at://did:plc:snvc5aetghqj4azkhihs7zmr/app.bsky.feed.post/3mkqf6gnhiq2x,bafyreiblaasi23gnmg36uobsy5acnbm5dqv4noviaxn6pb27h2pfqowxqu,0.5834740400314331,"['portfolio', 'derivatives']","[0.5834740400314331, 0.5740732550621033]"
2026-04-30T17:59:21Z,2026-04-30T17:59:23.372Z,palantir workers are finally noticing the skulls on their caps theres a famous mitchell webb sketch where two ss officers midconversation on the eastern front suddenly notice something troubling about their uniforms hans one asks peering at his cap are we the baddies the skulls had,techdirt.com,Techdirt,did:plc:l4edfel22exejp7mewt6f3ky,47,22,1,at://did:plc:l4edfel22exejp7mewt6f3ky/app.bsky.feed.post/3mkq6wqocfn22,bafyreicdn5dqkql24sqopqafs4tijxzhdl767w6h3xj3y2d7zqhnmke6zu,0.5294796824455261,"['portfolio', 'derivatives']","[0.5294796824455261, 0.5280771851539612]"
2026-04-30T16:44:03.742Z,2026-04-30T16:44:22.680Z,i spot them coming out from under the bridge hey what do you shoot they ask a bit of everything want a photo sure they start to pose no no just keep walking click an dinepeople les joyeux clampins black and white human photography krakow poland 50mm,anodine-org.bsky.social,—anødine—,did:plc:7pksyh64fczef7u4kfdot4bx,0,1,0,at://did:plc:7pksyh64fczef7u4kfdot4bx/app.bsky.feed.post/3mkq2q2t55k2a,bafyreiahzr4j4ftrtpzqlpveu2yoq6dmvairuv6yaozs3n22qzmoqi2woe,0.516457736492157,"['crypto', 'derivatives']","[0.516457736492157, 0.49470046162605286]"
2026-04-30T15:00:43.828159+00:00,2026-04-30T15:00:44.279Z,mid cap meme coins 04302026 1 bluebuck mvqdxgxsj7ac9rpmcniwuf7igsmdu4n94uwb5vmpump 2 stjude e8syr4zsgqg2zo9yyiyfx4ujubbyr4z6qj9stjaspump 3 scam 6avauka9uxqpruhzuinfecpxeh1usrvtzqwk8n2wpump solana memecoin pumpfun gmgn,keepwhatsyours.bsky.social,Keep What’s Yours,did:plc:wxvyd22yhf3ellepakq7bqbp,0,0,0,at://did:plc:wxvyd22yhf3ellepakq7bqbp/app.bsky.feed.post/3mkpuxca6bg2t,bafyreihzvsatu4z7qyjh6omrype2vnlvbtqqkx3vtczq3wsrsezikvnlzy,0.6800109148025513,"['crypto', 'forex']","[0.6800109148025513, 0.6123538017272949]"
2026-04-30T14:33:44.517Z,2026-04-30T14:33:53.212Z,34 s9182 maya10852 kelles would cap subsidies for midsize data centers at 500000 per job and ban subsidies outright for large data centers ban the new york power authority from offering discounted electricity to large data centers,ruralnys.bsky.social,Legislative Commission on Rural Resources,did:plc:c6n37z3cugdaz4qpolzvewjl,0,0,1,at://did:plc:c6n37z3cugdaz4qpolzvewjl/app.bsky.feed.post/3mkpth6gbf22v,bafyreigklpy6pz43ofoh3t45guhz6mwajissedghwyj7wobrboip5b5nji,0.6180281043052673,"['macro', 'derivatives']","[0.6180281043052673, 0.5639930367469788]"
