created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T18:54:33.304Z,2026-05-01T18:54:33.676Z,it is extremely frustrating especially with the state of physical media these days gaming is taking a huge hit and it makes me miss the old consoles even more take me back to memory cards and wired controllers with trips to buy a new video game actually felt like something,horizendreamer.bsky.social,HorizenDreamer,did:plc:nklm3vqfka7cfsntwq6gfbrg,0,0,0,at://did:plc:nklm3vqfka7cfsntwq6gfbrg/app.bsky.feed.post/3mkssid4vy22q,bafyreiewcs6ufbosexkesa4t5miiwyu7hzbtw7zsfxrd5utjjlafo5guwi,0.5271133780479431,"['derivatives', 'equities']","[0.5271133780479431, 0.5244826674461365]"
2026-05-01T18:54:26.864Z,2026-05-01T18:53:47.973Z,bskysocial i miss u bb im here if you need stress relief,bestclownintown.bsky.social,THE BEST BRAWLER,did:plc:kkfswkvx47h6b5zag6tzngag,0,0,0,at://did:plc:kkfswkvx47h6b5zag6tzngag/app.bsky.feed.post/3mkssi4yew222,bafyreie5su7a6lisonetiy5vv2kf6ib7z2efbghh5vtcynwp6xppnnnpc4,0.5675401091575623,"['equities', 'macro']","[0.5675401091575623, 0.564753532409668]"
2026-05-01T18:54:23.554Z,2026-05-01T18:54:23.781Z,the world will miss him like a bad case of herpes,rogus69.bsky.social,Rogus,did:plc:gnn76lklqiqaof77hxbprigr,0,0,0,at://did:plc:gnn76lklqiqaof77hxbprigr/app.bsky.feed.post/3mksshztdjc2z,bafyreielpiiwlhh4dhccl2xlcnbhwdjbswhmvofldell5swigmeyjsw4li,0.5598604679107666,"['derivatives', 'macro']","[0.5598604679107666, 0.5325649976730347]"
2026-05-01T18:54:22.053Z,2026-05-01T18:54:22.978Z,i miss gh,ghwubs.bsky.social,GHWubsNet,did:plc:4w4yt6rvutpsg6sd4zxmcvf6,2,0,0,at://did:plc:4w4yt6rvutpsg6sd4zxmcvf6/app.bsky.feed.post/3mksshyfkoc24,bafyreia6icmeyjjq4kvbf3ybf7rbvzivwrkpp2azlcyrjvj6usoawrzofq,0.5594837069511414,"['macro', 'derivatives']","[0.5594837069511414, 0.527812123298645]"
2026-05-01T18:54:00.583Z,2026-05-01T18:54:03.977Z,why wrexham could still miss the playoffs even if they beat middlesbrough wxmafc wrexhamafc,wrexhamreds.com,Wrexham Reds,did:plc:5y3pfjev6sjh2akxtql7vubn,0,0,0,at://did:plc:5y3pfjev6sjh2akxtql7vubn/app.bsky.feed.post/3mksshgk5ug2w,bafyreihjdnjdxsf4vpvsqrtzntekkifcmer7nme62eewy26cydcivgww5m,0.5539824962615967,"['equities', 'forex']","[0.5539824962615967, 0.5330473780632019]"
2026-05-01T18:53:49.013Z,2026-05-01T18:53:50.676Z,nope been off it for 2 years i don t miss wasting money on their crappy products,slpbets.bsky.social,Everybody Hates Trump,did:plc:zoz4vqa5cbduou6i6chtvasj,0,0,0,at://did:plc:zoz4vqa5cbduou6i6chtvasj/app.bsky.feed.post/3mkssgyvb2c2e,bafyreidgxkcyhcxlgpn2t3ibm76644fhzhjxrcjoc44rvk5uv2zftzzhku,0.5762373208999634,"['equities', 'portfolio']","[0.5762373208999634, 0.5600692629814148]"
2026-05-01T18:53:38.447Z,2026-05-01T18:53:38.872Z,i miss that turkey,weedgod69.bsky.social,Weed God ♋️,did:plc:muwsx3qv5lh27mcbbnc66xgl,0,0,0,at://did:plc:muwsx3qv5lh27mcbbnc66xgl/app.bsky.feed.post/3mkssgosrpk2v,bafyreicgesifxdvvcmaj4or5zgwwoxsatdmyviwrvqx54q2b5iv56earde,0.559014618396759,"['macro', 'equities']","[0.559014618396759, 0.5247886180877686]"
2026-05-01T18:53:37.872Z,2026-05-01T18:53:38.074Z,i havent watched a bl in a while ive been on a very strange strange for me i mean british crime drama and true crime kick for the last few months and i feel like im losing my dna whenever i pop over to twt i see my thai bbs promoting their works and i miss them like theyre my family lol,sereko.bsky.social,sereko,did:plc:zpz3vc4o74oglr6jx5mtpuer,0,0,1,at://did:plc:zpz3vc4o74oglr6jx5mtpuer/app.bsky.feed.post/3mkssgobb622k,bafyreigoued75ejutgliqhzxnja46seqc5r5zw6esc36gotj7n2thh4gsy,0.5434859991073608,"['equities', 'crypto']","[0.5434859991073608, 0.534743070602417]"
2026-05-01T18:53:35.069Z,2026-05-01T18:53:38.479Z,i also rly miss my gf n with all my financial issues ive lowkey been going thru it and im rlly tired of all that shit dawg,fiffle.fruitbasket.gay,go team boobies,did:plc:4xzwvw3nnbkqrwtdehzyaff6,1,0,0,at://did:plc:4xzwvw3nnbkqrwtdehzyaff6/app.bsky.feed.post/3mkssgllov227,bafyreiee7qwe6jcyk2plei22fveu2smylu7tckz7zmc7lk3ri6iz3ieyvy,0.5588270425796509,"['derivatives', 'crypto']","[0.5588270425796509, 0.5521661639213562]"
2026-05-01T18:53:32.875Z,2026-05-01T18:53:33.477Z,dont miss this free workshop fueling excellence the science of energy health performance in dancers skaters may 3 11am1230pm 115 pleasant st marblehead ma rsvp msbcom or 781 6316262 dancehealth,luhrsassocpress.bsky.social,Luhrs & Associates,did:plc:ykzo5gj4um474c7qm2crgqdr,0,0,0,at://did:plc:ykzo5gj4um474c7qm2crgqdr/app.bsky.feed.post/3mkssgjirbs2l,bafyreid6lhehs6if3gpibq25rcjag5z6za4dyp2ihzbttgqmkkgwebqduq,0.5580021142959595,"['portfolio', 'forex']","[0.5580021142959595, 0.5574145913124084]"
