created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:31:27.289Z,2026-05-01T17:31:27.882Z,breakoutalert from insiderfinancecom technical analysis system nvda sell signal 20133 4 hour chart 100 tradesignal strength 20 indicators stop loss profit levels stockmarket daytrading swingtrading fintwit technicalanalysis,insiderfinance.com,InsiderFinance,did:plc:vo7tbj7e6pzsvjf2ghihkjun,0,0,0,at://did:plc:vo7tbj7e6pzsvjf2ghihkjun/app.bsky.feed.post/3mksntq4p3v2e,bafyreicvc4loyhh7baqxpy6rwnq2ltgvvb54lllocoyjnf6denectgjr5q,0.6694623231887817,"['crypto', 'equities']","[0.6694623231887817, 0.6547390222549438]"
2026-05-01T17:27:17.000Z,2026-05-01T17:27:29.372Z,last 10 years nvidia nvda 22875 bitcoin btc 17205 amd 10030 tesla tsla 2362 apple aapl 1233 google googl 999 netflix nflx 932 microsoft msft 844 amazon amzn 717 meta meta 425 sp 500 spy 312 gold gld 245 us inflation 39,charliebilello.zpravobot.news.ap.brid.gy,Charlie Bilello :bot:,did:plc:h2gw2tiximbwqpeatsz6rqim,0,0,0,at://did:plc:h2gw2tiximbwqpeatsz6rqim/app.bsky.feed.post/3mksnmimjm5s2,bafyreievfuzaucatrc2px6vebdvtgcjxkiwlqdmkki4o5mzplyilw54jgi,0.7161105871200562,"['crypto', 'macro']","[0.7161105871200562, 0.6682892441749573]"
2026-05-01T17:01:07.091Z,2026-05-01T17:01:07.500Z,may 1 2026 bullish momentum persists as fundamentals surge aapl 77100 googl 77100 nvda 62100 v 78100 amzn 68100 stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksm5ieyqh27,bafyreicfb2kqrap4u26toayy2uxghvbkarr6wuseg5dene5rsqmqfrdwqi,0.6839938163757324,"['crypto', 'portfolio']","[0.6839938163757324, 0.653144359588623]"
2026-05-01T17:00:45.036Z,2026-05-01T17:00:45.672Z,mercado altista persiste an lise de ia da haruspex 1 mai 2026 aapl 77100 googl 77100 nvda 62100 v 78100 amzn stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksm4tfy3h27,bafyreiemi2zh2gnsa6hdpqzd5bbjpsp4ti5gqhfcaww3t6njiotu2j65qu,0.6969664096832275,"['crypto', 'equities']","[0.6969664096832275, 0.6036945581436157]"
2026-05-01T16:44:20.900Z,2026-05-01T16:44:30.377Z,is this the end of the hyperscaler bull run reading between the lines of this weeks quarterly earnings at alphabet meta and amazon opensubstackcompubrockandt amzn meta goog msft spy qqq nvda,rockandturner.substack.com,,did:plc:fs2t6whoughqu2w3kdo2ropx,0,0,0,at://did:plc:fs2t6whoughqu2w3kdo2ropx/app.bsky.feed.post/3mksl7ina7s24,bafyreib4tr54lg6n5xnzy7kltnurafapcadpvm5efikthdevflfp5hk2pq,0.6290863156318665,"['portfolio', 'equities']","[0.6290863156318665, 0.6240684986114502]"
2026-05-01T16:27:54.787Z,2026-05-01T16:27:55.779Z,the crazy thing being that issues is all that holds the market up and the deleveraging of underweights has driven this rally since those forced to buy intc up 140 in a month etc do not sell bad longs like nvda if there was no hormuz market would be 30 lower,davidgarciaspai.bsky.social,,did:plc:3tfyxf2u4ntlphj2bs7m4mpg,1,0,1,at://did:plc:3tfyxf2u4ntlphj2bs7m4mpg/app.bsky.feed.post/3mkskc47hak2y,bafyreigtm5cjfgy227524xvl6ehqie4hhb4emk73g6bzuo76a37e33hxgi,0.6474241614341736,"['crypto', 'portfolio']","[0.6474241614341736, 0.64154052734375]"
2026-05-01T16:12:24Z,2026-05-01T16:12:25.974Z,bank of america maintains buy rating on nvidia corp nvda market analysis and outlook key takeaways this article covers the latest developments around bank of america maintains buy rating on nvidia corp nvda and their market implications industry experts and analysts are closely monitoring,nexareport.bsky.social,Nexareport,did:plc:tiehxdc62btsal5jpszepnh5,0,0,0,at://did:plc:tiehxdc62btsal5jpszepnh5/app.bsky.feed.post/3mksjggemwj2h,bafyreifm6c4cy5zsf3d5l5x74x7er7ceuiio2w3fnwnmq32ixubjumjz2e,0.6571665406227112,"['crypto', 'portfolio']","[0.6571665406227112, 0.650675892829895]"
2026-05-01T15:47:06.251331Z,2026-05-01T15:47:06.672Z,ai is moving on device and as it does apple is finding its lane in the ai race not as a modelmaker but as a physical distributor of ondevice ai that doesnt mean this stock will rattle off nvda like gains,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,1,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mkshz5ccp62e,bafyreicwpmbqfwtldcfthnuva5fbzhkmesdppi275xnambhwnq46uts3ou,0.6187381744384766,"['crypto', 'portfolio']","[0.6187381744384766, 0.5870356559753418]"
2026-05-01T15:07:11.043Z,2026-05-01T15:07:10.273Z,bskysocial article today among other things compares various accelerators nothing touches amd mi450 for this upcoming generation you can see amazon trainium totally sucks amzn is going to underperform because it is pushing this substandard solution amd amzn nvda,enertuition.bsky.social,Enertuition,did:plc:wf5focguwzxelz4yad27faig,1,0,0,at://did:plc:wf5focguwzxelz4yad27faig/app.bsky.feed.post/3mksfrqu5hs2h,bafyreihf7aniestp2mcoww27b5tvhiqt3ltwkdqlr4j4mabwuzyowjetxq,0.590465247631073,"['equities', 'portfolio']","[0.590465247631073, 0.5857257843017578]"
2026-05-01T15:00:05.066Z,2026-05-01T15:00:05.675Z,trader claude may 1 261 10261 booked 193 on iran no prediction market added nvda at 20025 new iran peace deal yes at 27c btc 75 nvda 33 aitrader polymarket,startuphub.bsky.social,StartupHub AI,did:plc:tcbapawcxgmp2idtbyj4xd2g,0,0,0,at://did:plc:tcbapawcxgmp2idtbyj4xd2g/app.bsky.feed.post/3mksff2svl62g,bafyreicyjxjyqulbsikg3atadbli4blifpehp32u2miivfelo6cpt7nnpa,0.6805787682533264,"['crypto', 'forex']","[0.6805787682533264, 0.6559102535247803]"
