created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T18:29:44.821Z,2026-05-01T18:29:45.374Z,what ring of hell is the investor influencer that builds a viewership pointin out how the game is rigged but tells people there s fortunes to be made by timing the rug pull knowing the rug is yanked by a machine designed to with the maximum amount of suckers on it at a fraction of a second,yiiiiiiikes.bsky.social,YiiiiiiiKes,did:plc:eyk6wh6q6iqytimiyzjqt2zw,0,0,1,at://did:plc:eyk6wh6q6iqytimiyzjqt2zw/app.bsky.feed.post/3mksr3xlyd22u,bafyreicpc4fem2a4cton23kolbdhxbvtxcmefon3vd6u4sjaf334cjekqa,0.626844048500061,"['portfolio', 'equities']","[0.626844048500061, 0.6052102446556091]"
2026-05-01T16:13:52.509Z,2026-05-01T16:13:54.873Z,this should be an awesome feelgood story about rehabilitation instead they want to pull the rug out from under him theres no way that their motives are not corrupt,realjohnfkennedy.bsky.social,John Francis Kennedy,did:plc:4uovyx4rqar4owmploaiwd4t,0,0,0,at://did:plc:4uovyx4rqar4owmploaiwd4t/app.bsky.feed.post/3mksjiyx65224,bafyreie52yawszghmwndei42zjafcl7lhesg6lg73hx6k56mcjbjrpn62y,0.5610355138778687,"['macro', 'crypto']","[0.5610355138778687, 0.5115513801574707]"
2026-05-01T15:49:33.407Z,2026-05-01T15:38:48.071Z,another thing that accounts for the lowering grant rate is the increase of abandonment under several new bia decisions that pull the rug on bona fide asylum seekers average since jan 17 is 18 but average since jan 2024 is 33 and since december its 39 here are a few of those decisions,hoppock.bsky.social,Matthew Hoppock,did:plc:unlpimi5wt4l3c5f2b5gar7c,4,1,1,at://did:plc:unlpimi5wt4l3c5f2b5gar7c/app.bsky.feed.post/3mksi5jgvtk2n,bafyreiatgpckchnjge4oa6ivrrzw7ag7eyaz2zk26bd7b2yic3uhxbrcva,0.6014864444732666,"['macro', 'portfolio']","[0.6014864444732666, 0.5792815089225769]"
2026-05-01T15:07:55.258Z,2026-05-01T15:07:55.873Z,rug pull is a good term to use to describe abstract components of trauma,skuncc.bsky.social,🏳️‍⚧️RLX🏳️‍⚧️,did:plc:5npw2n2czqtflckm67ld4ij5,0,0,0,at://did:plc:5npw2n2czqtflckm67ld4ij5/app.bsky.feed.post/3mksft2zh7c2h,bafyreibbiaqg4xhq4n4vbtec42jv6d2yi2autuiz4dxutfp4opwskrujfm,0.5158883333206177,"['equities', 'portfolio']","[0.5158883333206177, 0.5137458443641663]"
2026-05-01T14:22:40.788Z,2026-05-01T14:22:43.271Z,the term you are looking for is rugpull,paulsemenza.bsky.social,Paul Semenza,did:plc:4ottgboge4wawqpeskrslotf,0,0,0,at://did:plc:4ottgboge4wawqpeskrslotf/app.bsky.feed.post/3mksdc6cgl226,bafyreigcjft3fkbd3nmlhsu2dwh5vjkel7ubjzmehqrqpis5kjhjs7erva,0.5400188565254211,"['portfolio', 'equities']","[0.5400188565254211, 0.5227635502815247]"
2026-05-01T14:10:17.354Z,2026-05-01T14:10:17.876Z,bastards like him are aiming to rug pull every govt social program that supports disabledretired workingclass people once youre no longer contributing to the workforce they want you to spend all your money and die as quickly as possible,deohenge.bsky.social,,did:plc:ts56vcfm4bkwslnoiprhci3s,4,0,0,at://did:plc:ts56vcfm4bkwslnoiprhci3s/app.bsky.feed.post/3mksclzcltc26,bafyreiacyxo3qmok7icgh7tlvabvfcjgljd47kkt2fc6du27jx2trypeku,0.55867999792099,"['macro', 'derivatives']","[0.55867999792099, 0.5100635290145874]"
2026-05-01T14:01:50.691Z,2026-05-01T14:01:51.173Z,we cant let csx railroad chicago csx is intending to close chicagos barr yard taking away smart railroaders jobs not only does this pull the rug out from under smarttd members it will lead to major congestion across the rail system youtubesttnvzju4f0,smart-union.bsky.social,SMART Union,did:plc:4fvd435t3ctr2fq3ylnydzq6,1,0,0,at://did:plc:4fvd435t3ctr2fq3ylnydzq6/app.bsky.feed.post/3mksc4w4hqk26,bafyreier4smrtto2gyl4jnes4gsxgjdxyxg7gpjqjhbslfvkrpd5brsgly,0.5642111301422119,"['crypto', 'macro']","[0.5642111301422119, 0.5570816397666931]"
2026-05-01T13:56:29.412Z,2026-05-01T13:56:29.575Z,has anyone bothered to see if it is actually secure end to end encrypted private anonymous anything but a rug pull how does it compare to tor for example could i just buy into it and then snarf up all traffic going across my node,coyoteden.bsky.social,Coyote ^.^ ΘΔ,did:plc:3lyznxzrddyvxmtyidg6ojsk,0,0,1,at://did:plc:3lyznxzrddyvxmtyidg6ojsk/app.bsky.feed.post/3mksbtdpsps2l,bafyreih7rgq4id5au7fm2s2gjq4lkarnq3tbb3w3s2tzeozhkmumthbswu,0.6070554256439209,"['crypto', 'equities']","[0.6070554256439209, 0.5414832234382629]"
2026-05-01T13:48:44.661Z,2026-05-01T13:48:45.574Z,ah yes we refer to that as a rug pull still too many people falling for them,djsubterrain.bsky.social,𝔻𝕁 𝕊𝕦𝕓𝕥𝕖𝕣𝕣𝕒𝕚𝕟,did:plc:p555oebxqzjn2h4p62pex3vk,0,0,1,at://did:plc:p555oebxqzjn2h4p62pex3vk/app.bsky.feed.post/3mksbfiiqd22i,bafyreid2i67kw44glmnmadvap2dz6y5t6m463s2fvrcfjabe757ri35ipe,0.5393756031990051,"['portfolio', 'equities']","[0.5393756031990051, 0.5386504530906677]"
2026-05-01T13:14:27.646Z,2026-05-01T13:14:27.875Z,ohhh shit the rug pull is loading,panamajovi.blacksky.app,Jovi 🇵🇦🇰🇳,did:plc:aaanv5mnnkgskjnneywdvzwp,1,0,0,at://did:plc:aaanv5mnnkgskjnneywdvzwp/app.bsky.feed.post/3mks7i6rnlk2m,bafyreifejwx4covzz3gyxspyrbamwfeb3as2zo4k2asktw5qqmrftnblxu,0.5413104891777039,"['portfolio', 'equities']","[0.5413104891777039, 0.5248192548751831]"
