created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:01:36+00:00,2026-05-01T17:01:39.572Z,warriors get disappointing devin booker trade news the 2026 nba playoffs are in full swing with the oklahoma city thunder and san antonio spurs already,rawnba.bsky.social,Raw NBA,did:plc:xlulqhjwqq6alvjkht57sbm5,0,0,0,at://did:plc:xlulqhjwqq6alvjkht57sbm5/app.bsky.feed.post/3mksm6gkgyi2r,bafyreid6e3nlvpymqewxwar4cz5buigzjet3ppoolsfltuw3f2jixxnk5y,0.6109182238578796,"['derivatives', 'macro']","[0.6109182238578796, 0.5922811031341553]"
2026-05-01T12:42:19.335Z,2026-05-01T12:42:19.878Z,russias tech import reliance on china hits 90 indicating economic vulnerability source the moscow times with eu sanctions in full swing russia finds itself leaning heavily on chinese tech this shift marks a notable change in global trade dynamics 15,milonews.bsky.social,Russia Monitor,did:plc:xm3uzhblg2qqezirek43wded,18,3,1,at://did:plc:xm3uzhblg2qqezirek43wded/app.bsky.feed.post/3mks5oq6u6a2g,bafyreia63ukiofa7lngknwh7wx3kl75zz34g2mytgmy57kesi5n3ggoxlu,0.625617504119873,"['forex', 'macro']","[0.625617504119873, 0.5957860946655273]"
2026-05-01T06:21:17.000Z,2026-05-01T06:25:35.273Z,stress management pressure handling treats each swing as a test of nerves not a reason to quit it works by breaking the trade into small mental checks on a one hour chart you watch price you note the pressure then decide if you stay or step back the method relies on simple signals and a clear,trading.streetwi.se.ap.brid.gy,trading,did:plc:pbb4b6fcusjwllf6ap2wendq,0,0,1,at://did:plc:pbb4b6fcusjwllf6ap2wendq/app.bsky.feed.post/3mkrifq2r62c2,bafyreigohh2iaa6vayzw7o6wlccqvcdez63u7vlopgligdob7jxriylqu4,0.5965119004249573,"['derivatives', 'equities']","[0.5965119004249573, 0.5956083536148071]"
2026-05-01T03:15:40+00:00,2026-05-01T03:15:44.774Z,crude edges up after wild swing stocks track wall st rally asian stock markets tracked wall street higher in holidaythinned trade mohd rasfan mohd rasfanafpafp oil prices edged,europesays.bsky.social,EUROPE SAYS,did:plc:msian4dqa2rqalf3biilnf3m,0,0,0,at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mkr5zlmhrv2m,bafyreifriukv64va537bnqnhexat5izfwdljalsinm7ht2id5glrfzyk5e,0.631872832775116,"['portfolio', 'crypto']","[0.631872832775116, 0.6178122162818909]"
2026-05-01T03:15:04+00:00,2026-05-01T03:15:09.677Z,crude edges up after wild swing stocks track wall st rally asian stock markets tracked wall street higher in holidaythinned trade mohd rasfan mohd rasfanafpafp oil prices edged,eupolitics.bsky.social,Europe Politics non-official,did:plc:dmpirdk6dcab4uobpav2ffz7,0,0,0,at://did:plc:dmpirdk6dcab4uobpav2ffz7/app.bsky.feed.post/3mkr5yjw2a52j,bafyreiayihzopa5u7mfbtbnsb7frbh7x4alcrawzuqyuneao5pqjdekke4,0.631872832775116,"['portfolio', 'crypto']","[0.631872832775116, 0.6178122162818909]"
2026-04-30T23:32:14.459Z,2026-04-30T23:32:13.977Z,i wouldnt have used the jaguars third 7th round pick to trade up so instead of likely special teamers zach durfee and parker hughes id have taken seth mcgowan as another swing at hitting on a rb bishop fitzgerald for safety depth and garrett nussmeier for a cheap backup qb with higher upside,pelseydw.bsky.social,pelseydw.bsky.social,did:plc:mdb7g63xukto6rjwns6sokrb,0,0,0,at://did:plc:mdb7g63xukto6rjwns6sokrb/app.bsky.feed.post/3mkqrjwyc522t,bafyreigvyvomqyrwvxovzqrxjubgekhehgfo6a6neyut4goqfytxlfifsi,0.632225513458252,"['derivatives', 'equities']","[0.632225513458252, 0.5764933228492737]"
2026-04-30T21:00:05.000Z,2026-04-30T21:00:06.471Z,daily results apr 30 0w 0p 3l 0 wr 149 15 ai bots across day trade swing invest sixsigmatraderscom futures trading,sixsigmatraders.bsky.social,Six Sigma Traders,did:plc:gw4n4qew7rhzmz4sbfoeihl6,0,0,0,at://did:plc:gw4n4qew7rhzmz4sbfoeihl6/app.bsky.feed.post/3mkqizvpvez2q,bafyreihs2a5vemdjkacdxtahyrtv5ovdihtkimbyfxlkh76irqjcybbfwy,0.6854835152626038,"['crypto', 'forex']","[0.6854835152626038, 0.6719523072242737]"
2026-04-30T15:07:34.467Z,2026-04-30T15:07:36.477Z,anything involving brady tkachuk is a nobrainer,lw3h.bsky.social,LW3H,did:plc:ulrhjmbusbnhrlqruk5amroc,1,0,1,at://did:plc:ulrhjmbusbnhrlqruk5amroc/app.bsky.feed.post/3mkpvdjqgdc2s,bafyreiar3ddd7cpqqoxrw76xpt5yisw4duyrt6swh3ankw2pqfznd5ghoe,0.5314046144485474,"['portfolio', 'derivatives']","[0.5314046144485474, 0.5150116086006165]"
2026-04-30T13:21:59+00:00,2026-04-30T13:22:02.177Z,will the rangers try to trade for brady tkachuk why a big swing isn t a nobrainer let s start with the truth about a conversation that s being had all over nhl circles and social media,rawnhl.bsky.social,Raw NHL,did:plc:nlu4psqeoqzp2a37vkg4btxw,0,0,0,at://did:plc:nlu4psqeoqzp2a37vkg4btxw/app.bsky.feed.post/3mkppgsbcav2m,bafyreidk7xufihdgky26fyow5btx4qy6nudxovhfdkq7dismxmofdcxscy,0.5580155849456787,"['forex', 'derivatives']","[0.5580155849456787, 0.5580122470855713]"
2026-04-29T23:21:01+00:00,2026-04-29T23:21:04.373Z,one giannis trade suitor could swing the door open for another to steal him if the topseed detroit pistons flame out against the orlando magic in the first round of the playoffs,rawnba.bsky.social,Raw NBA,did:plc:xlulqhjwqq6alvjkht57sbm5,0,0,0,at://did:plc:xlulqhjwqq6alvjkht57sbm5/app.bsky.feed.post/3mkoagzvaeo22,bafyreiftkdvrtc6xpsi7qi3nabmxhkqco4ipojbgie547icxkagtymutqy,0.5983931422233582,"['derivatives', 'macro']","[0.5983931422233582, 0.5933775901794434]"
