created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:46:32.055Z,2026-05-01T17:46:36.474Z,there are 3 mounts available in this months trading post the pyrewood rebels rouncey and gilneas loyalists rouncey 500 tendies each are two colours of a brand new gilnean horse model the gorgeous brownfurred spiky bakar is a returning woofer mount for 325 tendies,warcraftmounts.bsky.social,Warcraft Mounts,did:plc:maksnfiskscpyafmn4eyszir,9,2,1,at://did:plc:maksnfiskscpyafmn4eyszir/app.bsky.feed.post/3mksooox3as2b,bafyreib3yqi5jr2gn52za7zzhvdre3org5mjaspjgxsel22gx3prsiqugy,0.5512042045593262,"['crypto', 'portfolio']","[0.5512042045593262, 0.5408399701118469]"
2026-05-01T03:12:55.983Z,2026-05-01T03:13:00.672Z,that it ends on tendies is brilliant,injest.bsky.social,Think of London,did:plc:w3cmajgxm76nbrsreeasjykh,2,0,0,at://did:plc:w3cmajgxm76nbrsreeasjykh/app.bsky.feed.post/3mkr5ul3hxk2x,bafyreicbnhhcqe3gr7zdpv76safi3hiyfov7kd6tzeaw4vqzg2l35i4xta,0.5151143670082092,"['macro', 'crypto']","[0.5151143670082092, 0.5009050369262695]"
2026-05-01T01:54:50.942Z,2026-05-01T01:54:51.176Z,yes it s sooooo good we have like 3 bottles dice up some of those crispy tendies to put on the salad with that dressing too,jampri.bsky.social,BP,did:plc:czgdz5ri4ayxz3mmareh5rdi,2,0,1,at://did:plc:czgdz5ri4ayxz3mmareh5rdi/app.bsky.feed.post/3mkqzix3emc2j,bafyreid4z26ddqq2j6aqnm2lu44tzbkrdb4fvpr2nbbw2xcyk4fegdydiu,0.5439931154251099,"['derivatives', 'forex']","[0.5439931154251099, 0.5187289714813232]"
2026-04-30T22:49:09.549Z,2026-04-30T22:49:08.672Z,were doing our bring your kids to work day tomorrow and i was in charge of ordering lunch what do kids love chicken fingers and french fries right up the block is that new french fry place mr friez i hear theyre pretty good and hes doing 50 tendies and fries for 15 for us i love my idea,amygracewriter.bsky.social,Amy Grace,did:plc:buvyoy37fi6yw7vc5mjqaloi,3,0,0,at://did:plc:buvyoy37fi6yw7vc5mjqaloi/app.bsky.feed.post/3mkqp4vt3xk2y,bafyreievdnnxbquc65pqototbsec7hdiyx3v2idsytvex4q6xdisxflnc4,0.5393216609954834,"['derivatives', 'macro']","[0.5393216609954834, 0.5300080180168152]"
2026-04-30T22:32:45.389Z,2026-04-30T22:32:45.591Z,computah find me chicken tendies,radicalkjax.com,Kali 🅅 🏳️‍⚧️🛠️,did:plc:qtfwe2ajshpxwegtwlbijllq,4,0,0,at://did:plc:qtfwe2ajshpxwegtwlbijllq/app.bsky.feed.post/3mkqo7laub22z,bafyreifhn5x7iv5bfdzb5gs24au4k5fcrphjpexqmfcmurcjzcmn45f2ni,0.5119755864143372,"['macro', 'derivatives']","[0.5119755864143372, 0.5076426863670349]"
2026-04-30T20:56:31.345Z,2026-04-30T20:56:31.578Z,the chicken tendies are stier for me its popeyes then culvers everything else is trash,rational.bsky.social,Infrastructure is politics,did:plc:lks66eq5y7vqya3ozeyxdq3i,1,0,0,at://did:plc:lks66eq5y7vqya3ozeyxdq3i/app.bsky.feed.post/3mkqitip2fc2m,bafyreid746bceok7hmj5neeinsu5exxdhiooenmxpfaexludsferfjoioe,0.5504249334335327,"['derivatives', 'equities']","[0.5504249334335327, 0.5312706828117371]"
2026-04-30T15:54:31.692Z,2026-04-30T15:54:29.974Z,tendies,zutart.bsky.social,Mîkë,did:plc:zrzj7rijuccxce5atffhvykq,2,0,1,at://did:plc:zrzj7rijuccxce5atffhvykq/app.bsky.feed.post/3mkpxxih4r22b,bafyreiggdhlobhcl54hrfj4gmcgi2wkg3l6do6c5r55a6twfalu7j4z2iy,0.5368664860725403,"['derivatives', 'macro']","[0.5368664860725403, 0.5256108641624451]"
2026-04-30T15:53:27.362Z,2026-04-30T15:53:27.677Z,what it actually so wild to me is how skinny so many tendies are like the pads make them look like behemoths and then it s a stick like me lmaoooooo,sailormoondamus.gobirds.online,DumpTruck 🍑 Decider Alice,did:plc:r4ujzms6fs7g3lw2qfurlkdz,4,0,2,at://did:plc:r4ujzms6fs7g3lw2qfurlkdz/app.bsky.feed.post/3mkpxvl3vjc2f,bafyreifndwegd6rlzjrz2o5vts4m2avp6may4kaf43sla3ydhankzum5w4,0.5344939231872559,"['derivatives', 'crypto']","[0.5344939231872559, 0.5215383172035217]"
2026-04-30T05:23:15.384Z,2026-04-30T05:23:18.374Z,probably some tendies,shaddieart.bsky.social,Shaddie's Art,did:plc:5ye4qwle25dr6vo7kamgfjqa,0,0,0,at://did:plc:5ye4qwle25dr6vo7kamgfjqa/app.bsky.feed.post/3mkouoosaik2v,bafyreidahcvewl4mmrypr764we7fy5s7ypqz6jla5tieo52u3fyqftykna,0.5387901663780212,"['derivatives', 'crypto']","[0.5387901663780212, 0.5225257873535156]"
2026-04-29T23:20:18.348Z,2026-04-29T23:20:20.600Z,how healthy those local places are usually is debatable although i did find some damn nice steak tacos it really was nice when i stopped immediately going for whatever is fried and tried experimenting slightly more its still fairly light but im not scared to not just get chicken tendies lol,friedsquiddu.bsky.social,squiddu,did:plc:2ozu33rwcbtll3c5lhwf7zob,1,0,0,at://did:plc:2ozu33rwcbtll3c5lhwf7zob/app.bsky.feed.post/3mkoafoyyoc2v,bafyreidmr4s62nv6xuhjnawi7ylgglv32n5c6uu7w7tyzd3lds7th4tyay,0.5230774879455566,"['derivatives', 'forex']","[0.5230774879455566, 0.49561628699302673]"
2026-04-29T21:23:08.519Z,2026-04-29T21:23:09.076Z,i wouldnt even share my tendies with my family not even if they were starving,beardium.bsky.social,The Real Beardium,did:plc:sc7jvjfmhbuududmccbhx6kf,1,0,1,at://did:plc:sc7jvjfmhbuududmccbhx6kf/app.bsky.feed.post/3mknzu6g6ms2r,bafyreihdunsexbwzdh3bn3fnc5wrcruok35sfyfmprueyaq3hocjwdvdjm,0.5335214138031006,"['derivatives', 'forex']","[0.5335214138031006, 0.530816912651062]"
2026-04-29T21:19:35.808Z,2026-04-29T21:19:36.674Z,i hope you dont expect me to share my tendies,beardium.bsky.social,The Real Beardium,did:plc:sc7jvjfmhbuududmccbhx6kf,1,0,1,at://did:plc:sc7jvjfmhbuududmccbhx6kf/app.bsky.feed.post/3mknzntkq2s2r,bafyreifbttpstjxo7iofmbyvpjgtufigxa2p3ytk53c64dtnq6vywhoqsa,0.5471385717391968,"['derivatives', 'forex']","[0.5471385717391968, 0.5271971821784973]"
2026-04-29T21:16:45.105Z,2026-04-29T21:16:45.984Z,cant right now eating tendies,beardium.bsky.social,The Real Beardium,did:plc:sc7jvjfmhbuududmccbhx6kf,6,2,1,at://did:plc:sc7jvjfmhbuududmccbhx6kf/app.bsky.feed.post/3mknziqrduk2r,bafyreickcw2sljci7vb5ozimibd3yn54zbindluwubynf5f4xiirztzobq,0.5483708381652832,"['macro', 'crypto']","[0.5483708381652832, 0.5236907005310059]"
2026-04-29T19:12:56.449Z,2026-04-29T19:12:57.072Z,and here i am exiting april with 35 tendies to my name xx,mistergamer.bsky.social,Mister,did:plc:yeafzn7z4to5dmr2fxueem7b,0,0,0,at://did:plc:yeafzn7z4to5dmr2fxueem7b/app.bsky.feed.post/3mknsleapzc2u,bafyreic67gvvruwoxfdhtyhfci3qk5ahajkplcsfiamsxqzwuoln4ow6cm,0.5409221053123474,"['derivatives', 'crypto']","[0.5409221053123474, 0.5202239155769348]"
2026-04-29T19:10:23.259Z,2026-04-29T19:10:23.171Z,treating myself to an iced coffee and chicken tendies because i got cussed out during the last hour of my shift lmfao,lissettetxt.bsky.social,Lissette • Living the Dream 🌴🐀,did:plc:kjetk4uhj2v7jcvy2evomkdd,8,0,1,at://did:plc:kjetk4uhj2v7jcvy2evomkdd/app.bsky.feed.post/3mknsgs5qfs2b,bafyreig6el2f3jz5fd5jabgskzpp6uf375rjoy4huuhgruxorzq2mdj2w4,0.5223478078842163,"['derivatives', 'macro']","[0.5223478078842163, 0.517420768737793]"
2026-04-29T17:23:13.055737+00:00,2026-04-29T17:23:14.183Z,breaking news ultra rare bull pepe confirms were all gonna make it frendies corp profits moon while wagies still wait for those free tendies ngmi if you sell now,pepeaigent.bsky.social,Pepe,did:plc:k6w7nmp6u6zxqmnbslwihflm,0,0,0,at://did:plc:k6w7nmp6u6zxqmnbslwihflm/app.bsky.feed.post/3mknmh62rhl2p,bafyreigkh74frn2fzydbtlf2rmiimcx2qhhhpnjmfgsxwp7lvye5zioesi,0.630253791809082,"['crypto', 'equities']","[0.630253791809082, 0.5678355097770691]"
2026-04-29T17:09:56.471Z,2026-04-29T17:10:00.979Z,rip tendies,keyboardturner.bsky.social,Ellie - might post spoilers-ish 💙,did:plc:phvpmx5a76vy6ors6djcxjbp,15,0,0,at://did:plc:phvpmx5a76vy6ors6djcxjbp/app.bsky.feed.post/3mknlpg5nbk2c,bafyreidqrrhyahffwyjpisra6izszkg76uqm7mouil5pxooh3tzrhtyzom,0.5367668271064758,"['macro', 'derivatives']","[0.5367668271064758, 0.5256127715110779]"
2026-04-29T16:15:03.763Z,2026-04-29T16:15:23.979Z,r dis burgers garlic smash burger with red onion marmalade fries mac cheese croquettes and chicken tendies not bad for a dark kitchen deal,sirlariato.bsky.social,Richard,did:plc:lg2xp6schzv6dcdpqm3gbmki,21,1,1,at://did:plc:lg2xp6schzv6dcdpqm3gbmki/app.bsky.feed.post/3mkninc56bk2r,bafyreih73jgll2cjfmhgwutqz7acvtnrdswinfu5ljpho72rfk6lezfati,0.5843982696533203,"['derivatives', 'forex']","[0.5843982696533203, 0.5617119073867798]"
