created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T18:14:11.134Z,2026-05-01T18:14:10.678Z,fridayfive in space i assume that the best one is just not allowed 1 major tom coming home peter schilling 2 another girl another planet the only ones 3 spaceman the killers 4 a new england billy bragg its wrong to wish on space hardware 5 life on mars david bowie,alihon.bsky.social,Alison Honeybone,did:plc:2rwqjfize44irfb7rt6gblk3,2,1,1,at://did:plc:2rwqjfize44irfb7rt6gblk3/app.bsky.feed.post/3mksqa565lk26,bafyreifcwm4twd46lgs3bklxrc2q6ojg5r5tqg6bsate6azdrn7n76sd2y,0.5532763600349426,"['derivatives', 'equities']","[0.5532763600349426, 0.5409111976623535]"
2026-05-01T18:07:40.507Z,2026-05-01T18:07:41.977Z,when seeing other peoples board game plays for the month i have to remind myself that its not a race i play some games and enjoy them if i had the bandwidth and opportunity to play more i would nothing wrong with just playing some here and there boardgames,justin-steele.bsky.social,Justin Steele,did:plc:nknvxdfqmay7ktbd3sii4vjy,0,0,0,at://did:plc:nknvxdfqmay7ktbd3sii4vjy/app.bsky.feed.post/3mkspuinwd22e,bafyreihqluvwb4fny7na7abw6vbzfnzochxvp3u3ukpees4mr3u5up3c34,0.5530394911766052,"['crypto', 'forex']","[0.5530394911766052, 0.5427863001823425]"
2026-05-01T17:55:00.028Z,2026-05-01T17:55:00.481Z,if gas wasnt so stupidly expensive its fun as hell to drive around lake michigan up across the bridge west across the up down through green bay maybe a detour to mars cheese castle tacos in chicago a beer at bells and back home,nonsequitrd.bsky.social,Stevens-Johnson Syndrome Universe,did:plc:foqdywqos2i65u7rs5fjgfx2,0,0,0,at://did:plc:foqdywqos2i65u7rs5fjgfx2/app.bsky.feed.post/3mksp5tf6n225,bafyreiawphgq6bs57na454647256wcr6russnukutyxhbn5j6bxalkayya,0.5904243588447571,"['derivatives', 'equities']","[0.5904243588447571, 0.529146671295166]"
2026-05-01T17:51:49.240Z,2026-05-01T17:51:49.874Z,there is a part of me that wants to test the waters and find out just how many people today would be suckered by the face on mars and there is another part of me that absolutely does not want to know the answer,icassassin.bsky.social,ice.cream.assassin,did:plc:w75usanffd4sqmj3x34dhrpx,0,0,0,at://did:plc:w75usanffd4sqmj3x34dhrpx/app.bsky.feed.post/3mksoy5gras22,bafyreiazmd3yzyxb6gspsttvnjuyukzcsl34phiwemogyvimuadg4lelke,0.5216056704521179,"['crypto', 'macro']","[0.5216056704521179, 0.5141252875328064]"
2026-05-01T17:41:11.977Z,2026-05-01T17:41:13.575Z,well to be fair he may build a bunker on mars and hide there im no fan but i encourage this bold move as it will bring humanity together in celebration the end,siriushijinks.bsky.social,Sirius,did:plc:tezktv52cuevfkwxxvf6bb4e,0,0,0,at://did:plc:tezktv52cuevfkwxxvf6bb4e/app.bsky.feed.post/3mksof5p2422m,bafyreic6t2dk6w4gvajl5ldpfi2psqeb325bdaaeg556nokmpufrprx6f4,0.5392681360244751,"['equities', 'derivatives']","[0.5392681360244751, 0.5291814804077148]"
2026-05-01T17:39:36.214Z,2026-05-01T17:39:38.472Z,the chances of anyone coming from mars are a million to one they said the chances of anyone coming from mars are a million to one and yet they come might have misquoted a bit forever autumn is quite special as well,munkc.bsky.social,Claire Munk,did:plc:d3fx34vfbck7vmbag5my5gj7,1,0,1,at://did:plc:d3fx34vfbck7vmbag5my5gj7/app.bsky.feed.post/3mksoccelkc2e,bafyreifctuobszke7nftlisxbskorwgws36qe7c5phc2rswqgnecyhn7om,0.5169122815132141,"['derivatives', 'crypto']","[0.5169122815132141, 0.5156069993972778]"
2026-05-01T17:37:46.797293+00:00,2026-05-01T17:37:47.076Z,webb image galleries breathtaking pictures from the james webb space telescope science never fails to amaze best telescopes for beginners did you know this deepspace mars funfact,spacefeed.bsky.social,Space Feed,did:plc:vuzs7jxarg2rqw6lgu6yrgqj,1,0,0,at://did:plc:vuzs7jxarg2rqw6lgu6yrgqj/app.bsky.feed.post/3mkso72436h2p,bafyreifn5bqywkhvatahm2ktn2lpn62jhvs4m5rexrd4rc44atuz6zhyri,0.5684621334075928,"['portfolio', 'equities']","[0.5684621334075928, 0.5561268329620361]"
2026-05-01T17:34:34.982Z,2026-05-01T17:34:46.376Z,we are preparing to transform the moon and mars the public must have a say in this future ben bramble,namor13.bsky.social,,did:plc:vxuoqvqdwuxqb3pwz3evhmak,0,0,0,at://did:plc:vxuoqvqdwuxqb3pwz3evhmak/app.bsky.feed.post/3mksnzd3qnk2p,bafyreiguwsrdvfigqbyrwizj2cj2obqjgqh7n32rstdr733j2jre6v4fse,0.5693974494934082,"['macro', 'crypto']","[0.5693974494934082, 0.5657363533973694]"
2026-05-01T17:29:51.285Z,2026-05-01T17:29:52.473Z,i got to watch hawaii mars last flight ever over victoria escorted by the snowbirds and her last landing in pat bay amazing aircraft,wirelizard.bsky.social,Brian Burger,did:plc:bhs3yeeuy4ahkswfq5btqsmb,1,0,0,at://did:plc:bhs3yeeuy4ahkswfq5btqsmb/app.bsky.feed.post/3mksnqujxt22r,bafyreichijsvr55z6ic7xbwryjuusweopo7unhseefvmg4bnanbteuhanm,0.5235353112220764,"['derivatives', 'equities']","[0.5235353112220764, 0.5141710042953491]"
2026-05-01T17:21:01.502Z,2026-05-01T17:21:04.175Z,it s a lot harder to find things if you re not looking for them marsishauntedsubstackcompelysiumpl,mars-is-haunted.bsky.social,Mars Is Haunted,did:plc:ehkz64bbqnznlvsixibgj34h,3,1,0,at://did:plc:ehkz64bbqnznlvsixibgj34h/app.bsky.feed.post/3mksnb3cek22q,bafyreiauffalgpw5ja4t4lzw3d42maxppzf2ky7233jdydqccsgsrgarcu,0.5384214520454407,"['derivatives', 'crypto']","[0.5384214520454407, 0.5350912809371948]"
