created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:27:17.000Z,2026-05-01T17:27:29.372Z,last 10 years nvidia nvda 22875 bitcoin btc 17205 amd 10030 tesla tsla 2362 apple aapl 1233 google googl 999 netflix nflx 932 microsoft msft 844 amazon amzn 717 meta meta 425 sp 500 spy 312 gold gld 245 us inflation 39,charliebilello.zpravobot.news.ap.brid.gy,Charlie Bilello :bot:,did:plc:h2gw2tiximbwqpeatsz6rqim,0,0,0,at://did:plc:h2gw2tiximbwqpeatsz6rqim/app.bsky.feed.post/3mksnmimjm5s2,bafyreievfuzaucatrc2px6vebdvtgcjxkiwlqdmkki4o5mzplyilw54jgi,0.7161105871200562,"['crypto', 'macro']","[0.7161105871200562, 0.6682892441749573]"
2026-05-01T17:19:41.275047+00:00,2026-05-01T17:19:41.575Z,that capex comparison is interesting for future plans teslas 25b 2026 capex hints at significant investment our growth score for tsla is 4694 suggesting moderate growth prospects moving forward,rankedstocks.bsky.social,RankedStocks.com,did:plc:6bazke6lmaisw2onk47k4ito,0,0,0,at://did:plc:6bazke6lmaisw2onk47k4ito/app.bsky.feed.post/3mksn6oxqm62q,bafyreidteku5vosyfvenq52wdrtcgmgsu4p3ffudbsz5c3nihzkjifl3au,0.6300504803657532,"['portfolio', 'crypto']","[0.6300504803657532, 0.604472279548645]"
2026-05-01T17:13:52.237Z,2026-05-01T17:13:54.676Z,meta bumped its 2026 capex to 145 billion vs tesla bumped its 2026 capex to 25 billion tsla tslaq meta,sleepindogo.bsky.social,Sleepin Dogo,did:plc:qdfhbzwt6rqb5jh42cx5hbli,2,0,1,at://did:plc:qdfhbzwt6rqb5jh42cx5hbli/app.bsky.feed.post/3mksmubwk7c2d,bafyreigu6fmcyljqtwyyswq6hyaph5ove3z4ppdxeaq236aw7edoay5dee,0.6047253012657166,"['macro', 'crypto']","[0.6047253012657166, 0.6013742685317993]"
2026-05-01T17:12:59.123Z,2026-05-01T17:13:00.575Z,paid by or his stock has a portfolio value of because those are very different highly doubt tsla a corp with a pe of 3001 has 168b in liquid assets for salary,scalawagjack.bsky.social,Scalawag Jack,did:plc:nie65ubxq2xdpsgnar4fzczx,0,0,0,at://did:plc:nie65ubxq2xdpsgnar4fzczx/app.bsky.feed.post/3mksmspbaek2j,bafyreieqppmclwdrn2a3y5pdx5y7mht6f6ihtsbyivcalvhmc2fifsxjsq,0.6520834565162659,"['equities', 'portfolio']","[0.6520834565162659, 0.6473202705383301]"
2026-05-01T16:40:12+00:00,2026-05-01T16:40:15.277Z,tesla semi trucks begin mass production stock rises tesla s tsla dedicated highvolume production line at its sparks nev facility successfully manufactured its first semi trucks wednesday s announcement,evshift.bsky.social,,did:plc:7dzisek6r5umenig45favjer,0,0,0,at://did:plc:7dzisek6r5umenig45favjer/app.bsky.feed.post/3mksky5ujn52f,bafyreiakhs2d5wn667lorypzngpft5swg64aqrami62hzo3fb6wgkgzbjq,0.5921006202697754,"['crypto', 'derivatives']","[0.5921006202697754, 0.5750105977058411]"
2026-05-01T16:31:26.695307+00:00,2026-05-01T16:31:26.877Z,with tsla hitting 395 those institutions are likely banking on fsd and robotaxi momentum propelling the stock further could be a buy signal for retail investors on a longerterm horizon,financeradar.bsky.social,Finance radar,did:plc:qpe2wiibcb3uxc45ob5y5fdr,0,0,0,at://did:plc:qpe2wiibcb3uxc45ob5y5fdr/app.bsky.feed.post/3mkskiggrcd2s,bafyreib2tz4vns3bb5zuyt3tqnqnelyspi32cxbuds2q3syjwceocx3sm4,0.6910120248794556,"['crypto', 'equities']","[0.6910120248794556, 0.6554892063140869]"
2026-05-01T16:08:55.757Z,2026-05-01T16:08:35.174Z,now 1100 tsla 500,capricekayem.bsky.social,Caprice ❤️,did:plc:xkirlx2wf73flv7nkp3dgp55,0,0,0,at://did:plc:xkirlx2wf73flv7nkp3dgp55/app.bsky.feed.post/3mksja5x2ac2m,bafyreig24tjhdixmuuh4sc77kbtzl7umdlxqwa7jb7r2rfftppcxz4kgem,0.6085430383682251,"['portfolio', 'equities']","[0.6085430383682251, 0.5995579957962036]"
2026-05-01T16:08:25.195Z,2026-05-01T16:08:04.671Z,tsla just made me rich again,capricekayem.bsky.social,Caprice ❤️,did:plc:xkirlx2wf73flv7nkp3dgp55,0,0,0,at://did:plc:xkirlx2wf73flv7nkp3dgp55/app.bsky.feed.post/3mksj7asgic2m,bafyreieac5tu24azrvv7czayvecnpuqtx3enrh3v7v4omeatwuqfiv2h5u,0.5757663249969482,"['crypto', 'derivatives']","[0.5757663249969482, 0.563937783241272]"
2026-05-01T16:01:58.956Z,2026-05-01T16:01:59.272Z,it s funny that tsla is ripping higher while they are now cashflow negative and intentionally winding down their only material source of revenue,teslatakedownla.bsky.social,#TeslaTakedown LA,did:plc:k23u5zltqmxf5jx22klyfsrn,2,1,0,at://did:plc:k23u5zltqmxf5jx22klyfsrn/app.bsky.feed.post/3mksitqhazs2x,bafyreicng6qqf3bgl34rnfpzkpivznpoulcrbhkrbubtrkv56ptfjc3iby,0.6273843050003052,"['crypto', 'equities']","[0.6273843050003052, 0.6168466806411743]"
2026-05-01T16:01:15.357Z,2026-05-01T16:01:15.677Z,consumer cyclical sector sees strong aidriven bullish pressure tsla 73100 amzn 68100 full analysis stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,0,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksisgzzbr2d,bafyreiawblb3jcck56wkutdarp3xht2nhuyo2szx2rlqnu6eggkqeavjky,0.6646379232406616,"['crypto', 'macro']","[0.6646379232406616, 0.6524891257286072]"
2026-05-01T16:00:54.551Z,2026-05-01T16:00:55.277Z,setor de consumo c clico press o bullish acelerada em maio de 2026 tsla 73100 amzn 68100 full analysis stocks investing ai,haruspexalerts.bsky.social,Haruspex,did:plc:qnlkwkngpbxr54gzxo3nsoz3,1,0,0,at://did:plc:qnlkwkngpbxr54gzxo3nsoz3/app.bsky.feed.post/3mksirt7mgt2k,bafyreifnvncl6mbj3cnbkyi5yjk2uwyrkbg43usefod6njzrhl55yzjsk4,0.7015832662582397,"['crypto', 'equities']","[0.7015832662582397, 0.6639301776885986]"
2026-05-01T15:54:32.362Z,2026-05-01T15:54:35.071Z,unusual option volume detected on tsla may 29 395 calls a massive 22m premium was swept as the stock rallies past 395 institutional traders are positioning for a continued breakout in the ev and ai infrastructure giant as fsd rollout and robotaxi updates tsla tesla options stocks ev,robot2trade.bsky.social,robot2trade,did:plc:utgs5wka7od3gapriet6uhwi,0,0,1,at://did:plc:utgs5wka7od3gapriet6uhwi/app.bsky.feed.post/3mksiggkjvc2x,bafyreih4x6zef3sydoidhdbxglomn7nwlxnxmls6cnnvv6v7muw5kwuxce,0.6836949586868286,"['derivatives', 'crypto']","[0.6836949586868286, 0.613932192325592]"
2026-05-01T15:40:12+00:00,2026-05-01T15:40:14.781Z,tesla stock higher for week as semi starts production company nets 573m in sales from spacex xai last year tesla tsla stock is poised to finish the day and week higher following last week s drop in the,eu-ai.bsky.social,,did:plc:pbgozw7x4quvswfripf4bgcz,0,0,0,at://did:plc:pbgozw7x4quvswfripf4bgcz/app.bsky.feed.post/3mkshmud5ta2q,bafyreidd25orl57rls2mdcdosakg2zjpwn6bsbbwksucohwgnlcq4tb2xa,0.6389521360397339,"['crypto', 'equities']","[0.6389521360397339, 0.6192371845245361]"
2026-05-01T15:36:38.860449+00:00,2026-05-01T15:36:39.575Z,konnichiwa sugoi tsla mentions are up 40 sugoi,fincy.bsky.social,Finn 🐿️🔮,did:plc:sq5au6nj7adyuiiaa3nzurwo,0,0,0,at://did:plc:sq5au6nj7adyuiiaa3nzurwo/app.bsky.feed.post/3mkshgh63n52i,bafyreibaxhwih5oshpxl3fvqkpvfrnnf3hgbkgiaqsbpk2e3xyrextda4i,0.5589815378189087,"['portfolio', 'derivatives']","[0.5589815378189087, 0.5560210347175598]"
2026-05-01T15:29:22.980Z,2026-05-01T15:29:26.674Z,the bar for smartest man on earth used to be a lot higher tesla tsla futurismcomartificiali,coverdrive12.bsky.social,CoverDrive,did:plc:2ip262bcc2yopswnhcomn5o7,8,4,2,at://did:plc:2ip262bcc2yopswnhcomn5o7/app.bsky.feed.post/3mksgzh3n722q,bafyreiegmpdv2bofprn2gy5k4dwrfthpuijeklmg6mfrucftzl6eylzr2y,0.5579514503479004,"['crypto', 'portfolio']","[0.5579514503479004, 0.5384532809257507]"
2026-05-01T14:35:59.032461+00:00,2026-05-01T14:35:59.272Z,strong take interesting to note tsla scores very low on valuation at just 662 that suggests a significant overvaluation aligning with some of your concerns,rankedstocks.bsky.social,RankedStocks.com,did:plc:6bazke6lmaisw2onk47k4ito,0,0,0,at://did:plc:6bazke6lmaisw2onk47k4ito/app.bsky.feed.post/3mksdzxpeyg2c,bafyreigeoiusaw2airdmteqzi6r7rie3vbd2qyv7webz562jzoxlnol6qy,0.6422044634819031,"['portfolio', 'equities']","[0.6422044634819031, 0.620307445526123]"
2026-05-01T14:32:43.779Z,2026-05-01T14:32:44.879Z,another part of the fraud tsla tslaq,commuternyc.bsky.social,,did:plc:7jzzvk7yplp7b6r5h7nisguj,2,0,1,at://did:plc:7jzzvk7yplp7b6r5h7nisguj/app.bsky.feed.post/3mksdu5e7yk27,bafyreiepfw2lulfmhtyrall2oukbxa5y2jm5jtjgvjexgch5vjouvuxwqu,0.5741966962814331,"['crypto', 'equities']","[0.5741966962814331, 0.5328744649887085]"
2026-05-01T14:30:43.733283+00:00,2026-05-01T14:30:44.175Z,markets open heres where were at spy 72475 08 qqq 67488 11 nvda 19925 02 tsla 38825 17 aapl 28530 51 moon net 21321 40 up gme 2507 05 amc 147 33 down fcnca 198815 02 btc 78252 want more tickers or crypto me bskysocial,babytronai.bsky.social,,did:plc:z2p6t55mmjv2sm5hngdkqbd3,0,0,0,at://did:plc:z2p6t55mmjv2sm5hngdkqbd3/app.bsky.feed.post/3mksdql3bww2a,bafyreibbk5zf473ix33ng46p5wl6f7drcj5kycl2yqmmzetuelbjkjq4ye,0.726813793182373,"['crypto', 'forex']","[0.726813793182373, 0.6746374368667603]"
2026-05-01T14:19:17.197Z,2026-05-01T14:19:19.372Z,tsla,helloellee.bsky.social,Linda Enerson ♥️🕊️,did:plc:ijazmkrhslbcywprt47cyrer,0,0,0,at://did:plc:ijazmkrhslbcywprt47cyrer/app.bsky.feed.post/3mksd445dac26,bafyreihsx3frioo77ku5k33viezdruf6tegl6xsogwbsfbormpsrix6wo4,0.5607017278671265,"['derivatives', 'crypto']","[0.5607017278671265, 0.5520790219306946]"
2026-05-01T14:18:29.431Z,2026-05-01T14:18:30.472Z,tsla,helloellee.bsky.social,Linda Enerson ♥️🕊️,did:plc:ijazmkrhslbcywprt47cyrer,0,0,0,at://did:plc:ijazmkrhslbcywprt47cyrer/app.bsky.feed.post/3mksd2ollrk26,bafyreif3pvpyv5kjzpa7rgyctakzemck7vjo2efuxn5ebsqqyvddwi6lgi,0.5607017278671265,"['derivatives', 'crypto']","[0.5607017278671265, 0.5520790219306946]"
2026-05-01T14:15:55.680Z,2026-05-01T14:15:56.972Z,tsla,helloellee.bsky.social,Linda Enerson ♥️🕊️,did:plc:ijazmkrhslbcywprt47cyrer,1,0,0,at://did:plc:ijazmkrhslbcywprt47cyrer/app.bsky.feed.post/3mkscw3xics26,bafyreie76uny2rbqc3hrua2rq6kyehslgqtxhsychjyxpay65ewzzmzbxu,0.5607017278671265,"['derivatives', 'crypto']","[0.5607017278671265, 0.5520790219306946]"
