created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:04:03.118Z,2026-05-01T17:04:03.378Z,its funny how current topics can make me completely obsessed with them the artemis 3 mission im obsessed with space for weeks the stranded whale im watching tons of marine biology videos,fairymelly.bsky.social,melly 🫀,did:plc:5guljcglmv767vzvs5gg543r,3,0,1,at://did:plc:5guljcglmv767vzvs5gg543r/app.bsky.feed.post/3mksmcq3nyc2c,bafyreiexs3mxeoi4f6twrtm3t4s4niu5tzcqn2xlzij2xokg26mxmcupyy,0.5506525635719299,"['crypto', 'derivatives']","[0.5506525635719299, 0.5251373648643494]"
2026-05-01T16:56:12.621Z,2026-05-01T16:56:16.172Z,whale watching tour guarantees whale sittings and if not just lives streams a tesla board meeting,anadarkocapital.bsky.social,Anadarko,did:plc:22qjj2h2xfdzx5um7fnoimop,6,0,0,at://did:plc:22qjj2h2xfdzx5um7fnoimop/app.bsky.feed.post/3mkslupfab22p,bafyreigl2nk5luhydopcxelprovik2wn6hqo4gytp5uvasfw3tl34wh3q4,0.572857141494751,"['crypto', 'forex']","[0.572857141494751, 0.5237635374069214]"
2026-05-01T16:55:47.294Z,2026-05-01T16:55:47.476Z,extremely grateful for the person in the whale location chat who suggested watching the vesselfinder location of the whale watching boats to see where the whales are at,leilah.bsky.social,Leilah,did:plc:yrt25d2frbtnwnrogo5gry46,0,0,0,at://did:plc:yrt25d2frbtnwnrogo5gry46/app.bsky.feed.post/3mksltxadtk2z,bafyreihdqc2slpoiwz4krmxyljw6uwlyjgf7hgpit6r5babvvokcwkobje,0.5538764595985413,"['crypto', 'forex']","[0.5538764595985413, 0.5512996912002563]"
2026-05-01T16:38:50.534Z,2026-05-01T16:38:56.075Z,it s time to sue big oil and the mega billionaires and whoever else we need to sue who are destroying this earth for humanity and the animals in life on the planet mega oil has known for 100 years that they were going to affect the atmosphere and the planet i saw a news article years ago fr 1920 s,thisisme7.bsky.social,SafeWaterCleanAir 💦☮️🌏🌍🌎,did:plc:piwyxifjr3ndpmmp7jsbardl,1,0,0,at://did:plc:piwyxifjr3ndpmmp7jsbardl/app.bsky.feed.post/3mkskvnliyc2q,bafyreibrwe2jiq5y7qczezui5tcik2p5iiludvzodp5j7k3jlfczdvkpji,0.5772479772567749,"['crypto', 'macro']","[0.5772479772567749, 0.5338568091392517]"
2026-05-01T16:33:12.658Z,2026-05-01T16:33:12.672Z,talk about being in the right place at the right time yesterday one of our members photographed the moment these lucky folks on ogden point got a very close pass from biggs killer whale t049a3 nat as he exited victoria harbour mark malleson prince of whales whale watching,pacificwhalewatchassociation.com,Pacific Whale Watch Association,did:plc:muvzh4jnsoxogqainxx4ro5b,11,2,0,at://did:plc:muvzh4jnsoxogqainxx4ro5b/app.bsky.feed.post/3mksklle63s2l,bafyreifm3gezkhhlqjb27cdhdd5k235dsmzf5hig3iqqhghryd3yhnf5ia,0.5046873092651367,"['equities', 'crypto']","[0.5046873092651367, 0.5008125305175781]"
2026-05-01T16:17:39.386Z,2026-05-01T16:17:40.075Z,whales also aggregate tightly around large herring fishing vessels whale watching and snorkel boats seek out the same spots before a distance rule existed snorkelers were too close to fishing vessels triggering a regulation around active fishing boats but not around the animals 2x,lotta20241113.bsky.social,Lotta,did:plc:4b5ixdob2t3of4uaydie2kge,0,0,1,at://did:plc:4b5ixdob2t3of4uaydie2kge/app.bsky.feed.post/3mksjprcvpc2g,bafyreie5otwkmeuge4lr5xudzj5i7ecwm4tudgca3jto7hb6yrg5o6ro6m,0.5488659143447876,"['crypto', 'forex']","[0.5488659143447876, 0.5430084466934204]"
2026-05-01T14:40:04+00:00,2026-05-01T14:40:08.771Z,two victoria experiences just ranked among the best things to do in canada two victoria experiences are earning national attention once again eagle wing whale watching tours and a taste of,ca-nb.bsky.social,,did:plc:2gp3m6bnzqynpqq4nlwto5ar,0,0,0,at://did:plc:2gp3m6bnzqynpqq4nlwto5ar/app.bsky.feed.post/3mksebf4rni2e,bafyreigqdskb6erxhlez7gw32x7frlokdmhdmfqlgw5imczpfzl6itlvzy,0.5436360836029053,"['equities', 'portfolio']","[0.5436360836029053, 0.5403354167938232]"
2026-05-01T14:31:08.685Z,2026-05-01T14:31:09.473Z,politics aside ive been watching the progress of timmy the whale who was stranded on a sandbar in germany towns people rose up a millionaire got involved they are valiantly attempting to bring timmy back to the atlantic waters to free him via a huge specialized barge story is incredible,redskids.bsky.social,Ginger,did:plc:e72obnqz4jwjypbgbjozqfty,0,0,1,at://did:plc:e72obnqz4jwjypbgbjozqfty/app.bsky.feed.post/3mksdrcodnc2n,bafyreibejwrgizziyssr4bv5ubywm7a25tl3fwswo6bl7k5wfixmz77m3q,0.5474518537521362,"['crypto', 'macro']","[0.5474518537521362, 0.5329427123069763]"
2026-05-01T13:17:24.671664+00:00,2026-05-01T13:17:25.075Z,the divergence between retail sentiment and whale behavior is worth watching closely historically periods of elevated fear accompanied by onchain accumulation have preceded some of btcs strongest,buzzerintelligence.com,Buzzer intelligence,did:plc:oep3fan37rbecwrogkdgze5j,0,0,0,at://did:plc:oep3fan37rbecwrogkdgze5j/app.bsky.feed.post/3mks7nhvyfc2h,bafyreiduzeexvdgkfbnc4d2ksetqmte2shntce2yvan65tcd3rjmagj3cm,0.6745168566703796,"['crypto', 'forex']","[0.6745168566703796, 0.5685344934463501]"
2026-05-01T11:20:25.279Z,2026-05-01T11:20:31.311Z,h sav k is now a tourist hub of the north having gone from a key port in herring fishing and whaling to whale watching if you re visiting iceland i highly recommend bskysocial guide from frommer,dermotncosgrove.bsky.social,Cosgrove_Outdoors,did:plc:tkwjgczidp6rz5d5pujb3ssg,7,0,0,at://did:plc:tkwjgczidp6rz5d5pujb3ssg/app.bsky.feed.post/3mkrz4bft322k,bafyreigqws4ovpjaexie6lkzb6axypnstledi7bhbpya6q2beaf4sseame,0.5745805501937866,"['crypto', 'forex']","[0.5745805501937866, 0.5123967528343201]"
2026-05-01T07:14:33Z,2026-05-01T07:14:34.772Z,usdc 570x vol usdc volume 570x spike on 1 exchange spread 010 price 0999010010 watching usdc crypto cryptocurrency bsky liquidation whale,voiceofchain.bsky.social,VoiceOfChain,did:plc:ja5wzhrxackfsauusf43wdm3,0,0,0,at://did:plc:ja5wzhrxackfsauusf43wdm3/app.bsky.feed.post/3mkrlenf4o52s,bafyreicwlhvwjceu3oteun3b7cjbpcxfhbhrfmg6h4dr2fbssfer2k5dwy,0.6896659135818481,"['crypto', 'forex']","[0.6896659135818481, 0.6810434460639954]"
2026-05-01T00:46:44.881Z,2026-05-01T00:46:45.684Z,omg wait whale watching would be so cute there really are some neat spots in the city,ectochoir.bsky.social,"Leon, Valentino Apologist 😤",did:plc:4gikdoxycofnvojghsuwhgie,1,0,1,at://did:plc:4gikdoxycofnvojghsuwhgie/app.bsky.feed.post/3mkqvp6coo22k,bafyreih4opiwslca5zk5kwo657sd4ddf5par67aybwqcfvm5jbav4ot4xy,0.5220149755477905,"['crypto', 'forex']","[0.5220149755477905, 0.48982253670692444]"
2026-05-01T00:43:54.952Z,2026-05-01T00:43:53.879Z,i had whale watching as one idea i had stanley park as another and the orpheum as an idea maybe the east van sign,felthearts4.bsky.social,Felted Hearts (COMMS OPEN),did:plc:7ld42c24tsznfwfgrci3edac,1,0,1,at://did:plc:7ld42c24tsznfwfgrci3edac/app.bsky.feed.post/3mkqvk4aues2m,bafyreigwqemducn4eiryputy2erjglq2blkpaz54ekhw5nbe22tqb5iiw4,0.5600391626358032,"['crypto', 'derivatives']","[0.5600391626358032, 0.5239145159721375]"
2026-04-30T22:08:25.744Z,2026-04-30T22:08:25.576Z,says the fatass galaxy sized whale watching from orbit,dallasthegiratina.bsky.social,God of distortion (and blubber),did:plc:pgxswzciewun4kcoe7fxrhkg,2,0,0,at://did:plc:pgxswzciewun4kcoe7fxrhkg/app.bsky.feed.post/3mkqmu37zos2l,bafyreiemtlxaqn6qiinf3o5helkt2be2mkr273sib7rzqzibfpsk5izab4,0.5201974511146545,"['portfolio', 'equities']","[0.5201974511146545, 0.5159872174263]"
2026-04-30T19:16:03.906384+00:00,2026-04-30T19:16:04.577Z,your trading buddy just doubled up while you scrolled memes bio protocol jumped twentyone percent while you watched the wick he did not guess he caught the whale alert in three seconds you can install this trigger before the next green candle closes stop watching friends win w crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mkqd7un3hz24,bafyreiachf6fjxv7iiitzpwpguqzchw2gcysn7pd7rioxgpqwv3xrvnbge,0.6466938257217407,"['crypto', 'forex']","[0.6466938257217407, 0.6242549419403076]"
2026-04-30T18:00:14.000Z,2026-04-30T18:00:40.373Z,europes whalewatching season is starting heres where to see them cetaceans marinemammals marinelife marinebiology whales science,dolphinseeker.mstdn.social.ap.brid.gy,Kate :verigold:,did:plc:lyvtpeuju2hlv6dnkxz4ywfk,1,3,0,at://did:plc:lyvtpeuju2hlv6dnkxz4ywfk/app.bsky.feed.post/3mkq6yprg4mh2,bafyreidfi33zkw7z3u2xwk74ulfw4cpznzbr2ep3gjqwtc3firujbvkqbe,0.5553126931190491,"['forex', 'crypto']","[0.5553126931190491, 0.5501184463500977]"
2026-04-30T17:04:22.376Z,2026-04-30T17:04:22.574Z,i would buy the dilapidated motor court i always pass in orick ca then turn it into a funky lil destination lodge with one room converted into a delicumgrocery store a lending library including binoculars for whale watching and a garden for local schoolteachers to use in their lessons,lschmeiser.bsky.social,Lisa Schmeiser,did:plc:yfxaffryrhgnsnyc5vkwjjbg,9,1,1,at://did:plc:yfxaffryrhgnsnyc5vkwjjbg/app.bsky.feed.post/3mkq3ueynm227,bafyreifuytfalixov6aqzcruvktxf6355ojdvercm3xeminc4yo6y4lq7a,0.5360873341560364,"['crypto', 'derivatives']","[0.5360873341560364, 0.5189486145973206]"
2026-04-30T12:34:41.688Z,2026-04-30T12:34:44.176Z,tourismus und whale watching,kariandreapeter23.bsky.social,Kari Andrea Peter  🩺,did:plc:hiesmrrrdk2cpldkhdhetndi,0,0,1,at://did:plc:hiesmrrrdk2cpldkhdhetndi/app.bsky.feed.post/3mkpms5vai22c,bafyreih6kgyq7yprewakgkokinovmiux5au5bekntdrcztf2boz7qhmdzi,0.5829991102218628,"['crypto', 'forex']","[0.5829991102218628, 0.5382028818130493]"
2026-04-30T12:31:02+00:00,2026-04-30T12:31:09.371Z,europe s whalewatching season is starting here s where to see them this article was produced by national geographic traveller uk wildlife encounters don t come much bigger than those with,europesays.bsky.social,EUROPE SAYS,did:plc:msian4dqa2rqalf3biilnf3m,1,0,0,at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mkpmlstelw2o,bafyreicgjziri6eqdjc7d3swl4uif54tqlf7hjxqiw4nraam2vyss4rgly,0.5562249422073364,"['crypto', 'forex']","[0.5562249422073364, 0.5391151309013367]"
